,dates,chi0208-0000,chi0208-0001,chi0208-0002,chi0208-0003,chi0208-0004,chi0208-0005,chi0208-0006,chi0208-0007,chi0208-0008,chi0208-0009,chi0208-0010,chi0208-0011,chi0208-0012,chi0208-0013,chi0208-0014,chi0208-0015,chi0208-0016,chi0208-0017,chi0208-0018,chi0208-0019,chi0208-0020,chi0208-0021,chi0208-0022,chi0208-0023,chi0208-0024,chi0208-0025,chi0208-0026,chi0208-0027,chi0208-0028,chi0208-0029,chi0208-0030,chi0208-0031,chi0208-0032,chi0208-0033,chi0208-0034,chi0208-0035,chi0208-0036,chi0208-0037,chi0208-0038,chi0208-0039,chi0208-0040,chi0208-0041,chi0208-0042,chi0208-0043,chi0208-0044,chi0208-0045,chi0208-0046,chi0208-0047,chi0208-0048,chi0208-0049,chi0208-0050,chi0208-0051,chi0208-0052,chi0208-0053,chi0208-0054,chi0208-0055,chi0208-0056,chi0208-0057,chi0208-0058,chi0208-0059,chi0208-0060,chi0208-0061,chi0208-0062,chi0208-0063,chi0208-0064,chi0208-0065,chi0208-0066,chi0208-0067,chi0208-0068,chi0208-0069,chi0208-0070,chi0208-0071,chi0208-0072,chi0208-0073,chi0208-0074,chi0208-0075,chi0208-0076,chi0208-0077,chi0208-0078
0,1985-07-27 14:08:05+00:00,181.46532428833032,192.39942577309657,196.0101329205667,198.125878159843,193.61661157309615,198.78205371640706,189.76360249011242,191.45979792230983,185.38608916822895,177.1967424496341,175.9037739218969,188.48676969319368,192.66211134122167,184.88877105723228,197.44121816847857,188.0861844467536,182.21576498703337,184.50351516151386,192.1144819050679,195.59699491941325,187.73049759580533,184.1617040921664,182.70749787759522,176.85811171191247,159.17060887353713,,131.8314265987791,157.84665410215754,139.0760463317649,140.41416975388302,158.84726110086444,164.04233619797458,159.90447237368195,169.56573509088898,180.54982303024315,182.0166163364698,177.96915060361988,175.864126594514,193.7661398300507,191.19176871829504,192.50762856028976,196.2614955098334,205.25764308223063,202.60442541372743,207.23265366132793,220.53253131350272,226.65573112608007,230.49252029444634,237.11548344515157,242.14074170322917,239.13790685018654,229.91030327604707,224.8064199487001,231.95517541042204,225.43577169995896,220.90655697355595,206.47244083727503,222.0471923486319,211.7865867136213,192.65296328277825,203.8948102408853,199.03337172908115,197.32912736246388,182.21923022985416,197.94261504702462,221.1087795985942,216.54529953562152,217.09157718511545,236.22007416584665,225.25490171273705,235.1302644091954,199.3611321908364,188.05402936548327,203.30157897906184,188.32698806934954,176.48604033708526,194.9218211101418,188.1338236962845,180.63129950171
1,1986-02-04 14:05:11+00:00,192.7282117266226,199.8610574745735,210.73530043214868,219.847111452242,218.766804578846,223.4084281686449,214.76811667937633,215.70234408194517,212.62532900558304,204.89835386261404,206.8675656147193,199.13864699907907,194.66565057082659,198.7841378669367,206.1319252250364,201.40409336895146,190.49263636220795,184.51853459562093,192.2780754285861,195.35900382740593,204.67799492505222,194.70421530592293,190.98084611853514,183.59151916053327,179.3173415973333,168.31403720700618,164.92579168524242,162.44255559725173,167.7172415931923,170.5958262089195,174.21001254060604,179.3397262277347,172.98445999399016,176.91731298533483,190.03733351738728,204.4807526495525,189.81336755569325,191.5020535653381,203.2743766261014,213.20881413970196,198.10464178786776,204.33373991576912,213.6206321341798,202.37241100847567,208.5702401492598,221.7186422588783,236.2520990289215,229.39467777075316,226.92752461513976,238.68937495692887,236.45349039677527,244.2563235443202,226.75106455425214,231.90518660217788,221.19268281987382,219.27434222622972,233.77805660668943,234.64329037513448,213.11981921845268,204.04242826767947,199.39881994192706,189.65301770225955,203.04376112145468,216.5464212398085,200.90853816628766,206.9439735193497,224.95968839524733,230.93763066993927,218.59780136565237,235.31233848736383,219.23150454212947,216.79247796135473,203.96166923673772,200.45802368771388,191.6556191343593,204.96941996004392,199.67220457239296,200.41841624737714,196.61497325217348
2,1986-07-30 14:00:28+00:00,196.39181608537825,206.25789638701173,209.63290451020507,213.15315714519298,209.21137045509863,212.19938621142435,200.97805538709252,203.16899132605306,197.90790872087285,201.7152690431531,197.20062230227626,192.77835385370935,198.96322751387794,196.7208761097219,201.63260592834123,198.8048611533963,181.94683274725955,182.04298342077252,185.80385141168904,183.86129959090016,183.52934744856046,176.51679583212606,179.02188508866865,170.93020867830853,169.64906376607033,152.81069969103106,137.39120532088347,135.04304990354888,159.12797824505986,170.02357549668136,147.97764439680387,152.9043861870939,161.70265342549894,168.16394506455705,188.71362560889327,188.4619073590558,191.38695833023715,182.95938599769744,177.96043670752493,203.04548246375458,205.41871285909593,203.1474205689238,199.37777772156878,207.88197592367453,209.88739829531326,218.0628773739522,231.92417617877288,234.61903158913182,233.5202703024207,240.43467448139043,234.10887818504605,245.51544079999158,233.57210241692343,220.2790853846605,212.32527681922,233.7318669032231,239.48166882327666,202.36553392014903,194.81629502067557,212.84603431012118,203.66019521876964,219.84787548516198,203.6006979862068,184.73144936336743,207.6850748239431,236.65950169322895,227.6379699795207,234.51404692297447,224.95347049475876,238.68985754329904,231.6387181744445,226.51933504031047,186.8556326378294,189.9187044176907,202.2437715755191,190.30836719623275,191.57825655966494,199.9295078351816,180.0816208639689
3,1986-08-15 13:59:53+00:00,200.82975390305228,210.0610188087991,215.99701536166666,218.44203631376064,220.5845496221957,222.22781134866753,206.36735278322502,204.59835038486523,205.6495006696835,195.7082941233569,203.64318060616378,203.40234330990057,208.39903019760013,199.39563390669613,206.4081776846712,200.01743469493294,198.03433704640779,186.63166657351746,187.68502555369435,189.94832733314698,189.8853508926818,188.57560106635862,179.50410467189397,187.0452327319597,181.52186397247928,157.63537590630364,143.22641593850543,153.78549132233118,178.634238561461,173.70233735269247,151.63873630202679,159.15511060763959,173.92364052961133,185.93177321692943,186.5028449039466,207.8189000751185,184.43586878682476,176.49952568242625,194.1475943642068,207.50809373739983,209.3344490557015,204.17334060291137,204.52954203507355,220.82452214982771,213.13085914558218,212.14594561351288,236.9287977126488,230.0728523518374,229.3088331310032,239.53462441076903,241.74286713586784,241.9549313148231,241.0361666165716,222.7670673093093,216.09972512451807,234.80843888532337,234.56871625271782,205.97628926831302,200.91178168399944,216.68671406677288,204.9772519607814,214.91676664083667,201.92409832047704,190.29042896838405,215.21763433628385,239.6173960053859,230.70104690718995,227.212236986712,225.88272806256822,242.94395870248107,234.31696348496197,227.78912600213357,198.22388559228344,190.94228140858587,202.84422760516605,191.88172214723983,192.1747324916678,193.26492922195658,188.55079402725997
4,1986-08-31 13:59:17+00:00,191.1761640210306,201.9762479372985,207.03903583098594,211.31549699889118,204.676716143774,209.58486363686615,196.7282714014582,202.6085750720561,195.92570072101347,185.14209569228836,188.81235084469915,195.92404856958797,191.23722609635988,188.0149136894235,197.1186183142001,187.03156577490574,181.84746619984892,182.80738171183847,182.8852554249715,169.6088584718751,169.07785593805747,172.66093934315026,170.1434333720004,172.26092546922618,163.1167139629933,140.3267563430069,139.7594337446865,140.828512177933,161.92084169521635,163.65405124239706,140.97404412984463,138.22554311987773,159.684390941529,184.01146325214825,187.45011715574276,192.52806441150327,180.7886443859762,187.11537539643732,196.77034585239528,204.79968158129424,203.97021275621287,204.60570919810576,203.2891218816614,202.42258484727654,209.5395470541051,220.63123591815474,226.27235054360347,227.47656893228776,231.7984622963442,237.2501803641039,235.2821354408595,235.23724394912364,233.72248211653977,222.12800084413377,218.48498687342953,221.80227549887888,216.58454803863714,206.608706284231,207.35488554205497,200.85180461385096,206.25186800973486,200.89421289021044,194.00163972926907,186.41064322790322,204.2600837815867,225.88244077197717,231.68750437645792,232.86300784370312,230.402601249602,236.03642136107047,229.38023843574317,216.7328885721158,194.14799708116757,196.48441159056586,192.29269996463057,191.26268299523667,192.61690866744485,192.95739106161318,185.78164129021948
5,1986-09-16 13:58:46+00:00,197.93849377368406,207.73695629668222,214.54757996940364,221.42826703059384,215.49688003439306,214.01755493477668,204.95994897288244,203.08560987020937,201.73668143877975,198.4324173495353,204.1589935187969,205.23937525344937,204.95112410079045,202.10469054160868,210.46381901394534,191.2417810934225,184.81748327380419,194.0306346291032,198.31371488496035,192.08952319235667,177.66852425074117,177.42828528637907,180.7302448505622,177.0924195253931,166.78621637001223,141.6064585521378,146.32989107848036,151.9937003233074,169.24823297483726,169.03221725659603,139.47187040574258,142.71837491566103,171.26194496316015,186.80340339597637,185.56237152764731,186.19286207365278,174.59013694972919,187.39162262514733,196.33556935439987,197.60795262908442,213.35003989211611,201.4807883182882,206.3034848532026,200.3024148796524,208.97786377818827,230.39603007265035,216.84228639938212,221.48113888701246,231.69467785739712,235.52160809420533,233.11577183674223,245.6537427308099,238.3513833282661,224.97401797437067,224.59107952372963,224.26692320369173,210.99438354523633,209.7621193943733,209.4846120323899,195.84365924804635,204.7927853662861,195.11556408270164,191.41972327742897,195.65359125862003,217.44427607892754,229.95887949489355,233.3704621431353,230.86493516952993,226.43156302975575,237.8854868714785,224.16870395901458,214.44113692132808,191.38282427907936,195.95909745331625,198.57934927911202,187.49797042987325,188.51827473326688,194.34990120935268,191.39520020621345
6,1986-11-03 13:57:10+00:00,197.03993751292157,211.00482367195642,215.65097778751894,214.40585328100244,219.50401990274497,,,,,,,,,187.98067908659408,203.71828797936004,189.23997127360357,188.75948103590562,189.12794894679394,184.16001477968038,164.63789127435112,171.88953074095048,171.37838564346842,169.46293497377067,164.11733396982265,156.95996275792672,153.420537957361,146.67290903839248,159.04780871651693,174.46906362296545,156.50859163776119,137.39983392964402,145.38965104345993,174.28476983449247,174.57208366949854,190.96766145648874,,,,,,,,,,,,,,,216.02212504302025,,,,,,,,,,,,,,,,,,,,,204.96839389587458,209.43462612469338,194.28978603869288,,,,,,
7,1986-12-21 13:57:14+00:00,194.88746775399716,204.0569252458186,199.73328465650104,179.05445910586994,198.18389164849197,227.33454462088267,222.85943207617353,227.49325790221096,220.17099572490815,213.63132465966606,220.76312564848507,211.0955082373756,205.48490259655364,196.0641687521877,197.71628638999906,201.01751168040067,197.06058489228678,191.75359334339822,180.78305836070194,185.84556739237496,201.07293204897027,193.36036877058342,188.97669299489678,190.0413465944083,,175.04503039289943,,163.72746544822922,175.08512399541013,169.28406375445087,165.07989224172746,151.31426597931608,173.2542687778109,183.69104160678148,176.3251840341251,192.38472392518867,174.57864463172248,186.88512150763842,216.44770767691972,204.1292585510605,204.6702328662052,204.0354854443153,195.4790672268528,210.4462078672904,216.19280861993798,225.1414068009753,231.1890121194437,214.8471813343611,228.918288291591,230.9644953321906,246.26691825105524,234.29131035091945,230.45463097952654,226.96007823468074,220.13853329759954,232.20555805126423,238.68430088898296,211.51930142886823,219.86289167489446,197.933826982368,200.93543613838824,205.14009484026553,195.28173255498857,193.44123650409782,216.9048769697778,221.41481911758825,217.5645870882496,230.3720719317893,227.70400076052067,231.66675960672418,223.65185373647353,210.71571289464327,215.271479636037,200.32877265769875,194.84185062780452,200.1496798875828,193.52489899210516,184.193032104239,181.55866237072846
8,1987-11-06 14:06:08+00:00,193.16978753072226,205.4106804101055,208.63491792472914,213.57599022604327,197.4523952363101,197.79061535276585,192.14601259592973,195.21017957464989,185.21798450219583,190.38105345293977,195.73915217802747,189.84401371614763,188.4918151351756,187.4421617619377,196.1660022052091,188.81652210999533,183.29880031121814,185.25218619817286,195.17906625602328,193.88109240688104,186.2385541308139,166.88588979906285,163.64025971189722,156.29817963347165,150.71644703720705,132.55281486856467,133.51437285508618,102.7062926128282,139.14000162882678,139.63584571522915,140.35651100595268,142.52868036188366,157.4080558542278,162.98456279396856,154.83305736985145,169.25820930863938,185.32567500410332,184.74529804127687,184.05252805844054,187.11699827912224,199.84472460911527,186.99670406325285,180.05544722108002,205.53562144536173,213.45080076689987,213.72588394170378,216.96382681206,216.149874338216,215.8123767498654,221.47719682672715,226.4893090630439,214.50487931851677,223.1329347692184,216.24712414371257,203.16555542826578,216.9208367254496,224.02899337405688,207.53613039407298,173.95863928358523,190.57744768415486,185.1656337939752,203.14008440601123,200.62894612111066,183.19197920057118,202.8146949523995,222.9124969936376,220.0439503972813,228.66853353328838,227.19890007591275,221.08819667490067,208.3185079785035,214.16378199691496,187.43257190236068,180.3306550962615,188.571380136842,178.89545908351522,188.3851095872072,179.72454283882243,173.21887235974594
9,1988-06-01 14:08:45+00:00,192.63605477629693,196.56279280279875,201.19627677949683,204.90728405705852,205.10034497587833,201.46232018452955,206.945025304699,214.56754266288374,198.98388741317984,193.98486985492212,200.65896887049718,190.68558183683604,182.67814846869155,189.84971961161202,198.37005730218587,200.94367437692318,201.23817340910963,194.318687745236,186.23483415159254,,,,,,,,112.79277915009804,,141.16339450993306,151.41350842488768,148.42621438551384,145.10939509860316,164.09076837864623,174.3680999901951,186.50843132293454,178.1707181875677,185.19111904769923,189.42882814316528,195.58345427126616,196.3649331172202,202.65954777271637,201.19339388258578,210.0383119806668,234.63280356833985,208.8659096375301,215.94451168638759,225.2598979762848,214.2030491778987,225.81192785200355,234.45294784779617,230.76695361780003,216.00393868793927,208.0117577977905,218.7615026495144,220.80985891342203,209.33898949940001,204.4886472257883,220.32253311124956,208.79346447600358,194.26889132732066,192.8786890641756,183.438497776094,192.54889974044562,193.02400562600278,200.10706305111884,205.40178238560145,210.6902060733113,231.55442748496228,240.16583119239743,216.94165350429063,201.18276345852115,215.58052705720368,213.10481900765728,206.61170897375325,189.35327617271776,183.03555544777717,188.25471371117231,182.41209406962645,176.66256224531787
