dates,nzd0377-0000,nzd0377-0001,nzd0377-0002,nzd0377-0003,nzd0377-0004,nzd0377-0005,nzd0377-0006,nzd0377-0007,nzd0377-0008,nzd0377-0009,nzd0377-0010,nzd0377-0011,nzd0377-0012,nzd0377-0013,nzd0377-0014,nzd0377-0015,nzd0377-0016,nzd0377-0017,nzd0377-0018,nzd0377-0019,nzd0377-0020,nzd0377-0021,nzd0377-0022,nzd0377-0023,nzd0377-0024,nzd0377-0025,nzd0377-0026,nzd0377-0027,nzd0377-0028,nzd0377-0029,nzd0377-0030,nzd0377-0031,nzd0377-0032,nzd0377-0033,nzd0377-0034,nzd0377-0035,nzd0377-0036,nzd0377-0037,nzd0377-0038,nzd0377-0039,nzd0377-0040,nzd0377-0041,nzd0377-0042,nzd0377-0043,nzd0377-0044,nzd0377-0045,nzd0377-0046,nzd0377-0047,nzd0377-0048,nzd0377-0049,nzd0377-0050,nzd0377-0051,nzd0377-0052,nzd0377-0053,nzd0377-0054,nzd0377-0055,nzd0377-0056,nzd0377-0057,nzd0377-0058,nzd0377-0059,nzd0377-0060,nzd0377-0061,nzd0377-0062,nzd0377-0063,nzd0377-0064,nzd0377-0065,nzd0377-0066,nzd0377-0067,nzd0377-0068,nzd0377-0069,nzd0377-0070,nzd0377-0071,nzd0377-0072,nzd0377-0073,nzd0377-0074,nzd0377-0075,nzd0377-0076,nzd0377-0077,nzd0377-0078,nzd0377-0079,nzd0377-0080,nzd0377-0081,nzd0377-0082,nzd0377-0083,nzd0377-0084,nzd0377-0085,nzd0377-0086,nzd0377-0087,nzd0377-0088,nzd0377-0089,nzd0377-0090,nzd0377-0091,nzd0377-0092,nzd0377-0093,nzd0377-0094,nzd0377-0095,nzd0377-0096,nzd0377-0097,nzd0377-0098,nzd0377-0099,nzd0377-0100,nzd0377-0101,nzd0377-0102,nzd0377-0103,nzd0377-0104,nzd0377-0105,nzd0377-0106,nzd0377-0107,nzd0377-0108,nzd0377-0109,nzd0377-0110,nzd0377-0111,nzd0377-0112,nzd0377-0113,nzd0377-0114,nzd0377-0115,satname
1999-07-02 21:59:57+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,323.41,328.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L7
1999-09-04 22:00:09+00:00,332.78,276.19,275.18,274.54,278.96,,274.02,278.66,281.34,268.69,282.22,285.56,287.26,294.35,295.67,308.73,322.59,324.85,323.49,329.16,331.55,331.22,329.65,315.85,318.71,332.91,327.63,334.88,329.98,344.79,340.68,348.84,350.46,333.16,339.18,353.26,355.76,,337.71,323.51,332.98,313.44,314.71,321.68,326.30,334.26,332.71,339.51,334.13,327.12,333.98,340.85,344.80,343.01,337.99,338.97,329.29,325.61,312.24,312.01,313.08,314.32,308.57,292.76,,,334.87,328.71,328.02,323.96,327.33,318.93,322.57,324.33,326.57,331.77,333.92,331.75,328.44,334.32,333.82,336.94,339.80,340.75,338.46,336.58,337.27,337.32,341.51,342.02,346.13,338.51,333.02,332.45,334.48,332.63,331.83,337.11,341.64,344.87,342.06,331.07,330.85,343.97,337.65,325.57,331.44,342.52,357.49,346.86,330.53,327.54,332.49,346.29,347.83,340.81,L7
1999-09-20 22:00:08+00:00,318.90,285.75,283.54,287.73,288.01,292.08,284.19,287.14,288.98,282.87,289.91,291.99,294.15,298.67,303.19,314.30,323.87,326.68,327.38,329.32,332.41,333.14,331.15,322.28,325.25,338.99,338.34,340.83,334.61,344.76,344.19,350.33,349.70,336.85,344.61,356.40,355.89,352.30,346.01,336.76,338.38,321.41,320.04,321.31,326.88,339.61,336.24,343.21,336.63,330.10,339.35,344.09,342.69,342.20,337.70,340.63,330.15,331.19,315.23,312.34,312.63,312.30,308.48,307.54,336.68,333.96,333.11,327.58,325.79,323.79,327.84,323.59,326.47,329.49,329.62,332.19,333.53,331.58,327.96,331.65,331.17,338.09,341.91,342.23,337.25,335.16,338.27,341.79,341.94,342.07,344.28,340.83,334.30,336.01,335.31,333.50,332.49,337.11,341.64,344.87,342.06,331.07,330.85,343.97,337.65,325.57,331.44,342.52,357.49,346.86,330.53,327.54,332.49,346.29,347.83,340.81,L7
1999-12-09 22:00:09+00:00,318.90,285.75,283.54,287.73,288.01,292.08,293.08,294.68,299.05,293.31,298.05,300.81,301.72,307.51,310.23,320.27,325.92,328.76,331.94,335.19,337.50,336.70,335.04,326.04,328.72,343.60,343.92,343.70,341.66,345.49,346.42,349.52,348.71,337.64,348.39,361.56,360.49,360.86,350.46,345.02,346.53,331.52,326.28,324.42,331.02,342.53,338.37,347.01,339.93,335.06,343.86,347.34,344.81,343.61,341.46,344.13,331.96,337.05,320.66,315.69,314.10,313.22,311.13,316.82,340.69,338.79,337.71,333.78,329.35,330.16,331.89,327.26,330.60,334.16,333.88,337.40,336.50,334.54,332.95,335.10,334.78,339.59,344.50,345.32,340.53,337.89,341.49,345.22,346.61,345.68,345.53,343.74,335.85,336.73,334.72,333.63,333.02,340.44,344.78,346.50,346.22,337.72,337.95,341.34,342.25,330.48,332.19,344.06,359.62,349.21,331.86,333.01,342.16,350.14,351.13,347.15,L7
1999-12-25 22:00:04+00:00,320.70,296.40,294.65,295.14,296.40,303.00,297.63,298.64,302.72,297.06,301.00,303.68,305.35,309.47,312.14,319.48,327.69,330.04,332.94,336.05,336.82,337.77,333.82,327.20,328.31,342.64,343.75,342.75,340.88,343.88,344.69,346.01,345.29,337.29,347.99,363.03,362.84,362.54,353.25,346.59,347.86,333.17,327.85,324.81,331.12,341.96,339.38,345.70,340.28,336.01,344.35,347.17,345.27,343.54,341.67,343.89,333.50,338.14,320.99,316.57,314.54,313.19,311.47,319.13,341.33,339.16,337.79,334.13,329.44,330.93,331.64,328.00,331.80,334.12,332.42,336.01,335.75,333.50,331.81,331.49,332.49,337.13,343.91,344.95,341.76,339.89,343.34,346.41,348.09,346.62,345.13,343.81,335.77,335.31,333.69,332.13,333.56,340.13,344.51,347.36,346.96,340.37,338.27,348.08,342.49,331.74,333.97,344.48,357.40,351.34,335.46,334.04,343.86,350.47,351.63,349.54,L7
2000-01-26 22:00:02+00:00,325.56,304.86,302.86,303.17,302.27,306.78,301.35,302.51,305.52,300.33,303.35,306.37,308.53,311.58,315.07,320.03,328.63,331.41,335.49,337.88,339.24,337.82,332.90,327.49,329.19,342.53,345.58,343.47,341.02,343.44,344.11,344.37,343.79,337.55,348.76,365.58,366.90,363.98,354.39,348.52,348.68,334.64,329.06,326.88,331.98,341.58,340.37,346.11,340.68,336.77,344.15,348.22,346.43,344.93,342.51,345.88,337.18,341.52,322.17,319.05,314.34,311.95,313.66,322.30,344.76,342.90,341.81,338.52,331.71,333.35,333.00,330.01,333.47,335.78,334.35,336.63,337.24,334.54,332.82,332.07,333.30,337.86,345.30,346.50,343.62,342.29,345.64,347.92,350.66,348.74,346.57,344.65,337.88,336.44,334.45,333.36,335.28,342.12,346.71,350.29,349.65,343.79,338.75,358.29,345.27,334.46,336.91,346.77,359.11,355.50,340.26,336.96,348.10,355.09,355.47,354.37,L7
2000-02-11 21:59:57+00:00,325.56,304.86,302.86,303.17,302.27,306.78,305.27,305.88,308.58,303.61,305.95,308.04,310.06,312.98,316.62,320.94,329.90,333.80,337.99,340.29,340.21,339.20,334.59,328.77,329.75,342.91,345.86,344.01,342.08,343.91,343.76,343.54,343.55,338.86,349.54,367.82,371.03,367.86,358.05,350.59,349.69,336.72,331.64,328.81,333.61,341.78,340.73,347.86,342.72,338.25,345.61,349.95,348.06,345.98,343.84,347.26,338.50,342.98,324.64,322.04,316.61,314.83,316.12,327.10,347.26,346.50,344.88,341.42,334.06,336.19,335.15,332.31,335.00,336.45,335.13,338.19,338.76,335.50,333.01,333.15,334.51,338.61,347.15,349.41,346.90,345.53,347.91,350.59,352.17,350.42,348.21,346.37,339.20,336.68,334.86,334.33,336.56,343.37,347.47,351.59,350.96,345.29,339.65,362.88,346.84,335.76,338.37,347.51,359.73,357.35,342.57,337.62,349.77,356.38,356.26,355.99,L7
2000-02-27 21:59:52+00:00,336.73,311.65,309.49,309.06,308.12,310.79,307.91,309.05,311.37,305.43,307.98,310.14,312.63,314.57,317.69,321.47,330.23,334.16,338.43,341.77,341.17,340.10,335.95,330.66,331.98,344.64,347.55,344.96,343.25,343.98,343.38,343.51,343.46,338.88,350.55,369.27,372.13,370.10,359.89,353.59,351.50,338.78,333.42,329.75,334.87,342.69,341.47,348.82,343.55,339.19,345.86,350.14,348.52,346.73,344.37,347.86,339.41,345.80,326.41,323.63,318.15,316.27,317.82,328.74,347.78,347.17,346.24,341.87,334.63,337.20,336.34,333.67,336.20,337.82,336.23,339.08,338.30,336.88,335.01,334.66,335.75,339.66,346.82,349.54,347.88,345.64,348.77,351.38,352.82,351.88,349.68,347.37,340.22,337.46,335.29,334.90,336.52,343.76,347.35,351.62,351.69,346.72,341.36,362.87,348.22,336.87,339.57,348.73,360.40,357.62,343.22,338.71,350.20,357.90,356.96,357.26,L7
2000-03-30 21:59:45+00:00,355.69,325.08,324.46,323.98,322.56,319.03,319.56,320.98,323.17,315.94,315.67,317.47,319.75,320.14,321.67,322.74,331.04,336.48,344.46,350.05,348.18,346.32,340.54,337.94,338.36,350.31,352.61,345.59,346.12,344.42,345.53,345.12,347.75,346.27,357.77,375.94,376.24,372.50,365.97,361.95,357.81,345.51,337.89,332.94,338.63,346.41,346.54,355.22,346.83,343.32,349.77,353.52,351.23,349.92,348.66,353.56,344.00,352.59,330.95,327.82,322.48,321.41,324.33,339.87,350.87,349.93,350.51,346.78,338.38,342.35,340.23,338.78,340.82,342.06,339.17,343.23,341.84,342.47,340.80,338.71,340.21,343.88,351.34,354.44,353.27,349.59,351.89,354.94,356.41,355.54,352.19,350.82,344.29,340.68,338.09,337.48,339.95,346.23,349.61,353.46,355.37,350.82,345.10,361.75,350.97,338.80,341.16,349.78,361.37,362.02,346.31,342.51,353.55,359.90,358.07,359.06,L7
2000-04-15 21:59:31+00:00,359.09,321.18,322.77,323.97,322.77,319.92,321.04,323.07,325.52,318.62,317.25,318.53,320.25,320.86,321.81,323.74,330.09,337.44,344.13,350.70,348.96,348.29,342.88,339.93,340.11,352.17,353.80,348.80,348.57,346.08,348.05,348.94,351.86,348.62,359.36,376.26,374.42,372.74,366.78,363.36,357.95,345.64,338.15,333.58,338.53,346.96,348.30,356.42,347.51,343.65,350.28,353.46,352.37,351.12,349.75,354.42,342.56,352.59,330.89,328.60,323.10,321.15,325.95,339.73,349.63,349.24,349.57,345.50,338.40,341.77,340.17,338.33,340.84,343.27,340.80,344.95,341.97,343.50,342.83,341.20,342.02,345.47,352.10,355.35,353.31,349.01,351.73,354.67,356.53,355.77,352.74,351.67,345.39,342.59,340.23,339.22,341.18,346.91,348.95,353.08,354.68,350.12,347.22,354.62,351.35,339.29,340.90,349.59,361.82,362.27,343.66,341.94,352.64,360.36,358.11,358.22,L7
