dates,satname,nzd0377-0000,nzd0377-0001,nzd0377-0002,nzd0377-0003,nzd0377-0004,nzd0377-0005,nzd0377-0006,nzd0377-0007,nzd0377-0008,nzd0377-0009,nzd0377-0010,nzd0377-0011,nzd0377-0012,nzd0377-0013,nzd0377-0014,nzd0377-0015,nzd0377-0016,nzd0377-0017,nzd0377-0018,nzd0377-0019,nzd0377-0020,nzd0377-0021,nzd0377-0022,nzd0377-0023,nzd0377-0024,nzd0377-0025,nzd0377-0026,nzd0377-0027,nzd0377-0028,nzd0377-0029,nzd0377-0030,nzd0377-0031,nzd0377-0032,nzd0377-0033,nzd0377-0034,nzd0377-0035,nzd0377-0036,nzd0377-0037,nzd0377-0038,nzd0377-0039,nzd0377-0040,nzd0377-0041,nzd0377-0042,nzd0377-0043,nzd0377-0044,nzd0377-0045,nzd0377-0046,nzd0377-0047,nzd0377-0048,nzd0377-0049,nzd0377-0050,nzd0377-0051,nzd0377-0052,nzd0377-0053,nzd0377-0054,nzd0377-0055,nzd0377-0056,nzd0377-0057,nzd0377-0058,nzd0377-0059,nzd0377-0060,nzd0377-0061,nzd0377-0062,nzd0377-0063,nzd0377-0064,nzd0377-0065,nzd0377-0066,nzd0377-0067,nzd0377-0068,nzd0377-0069,nzd0377-0070,nzd0377-0071,nzd0377-0072,nzd0377-0073,nzd0377-0074,nzd0377-0075,nzd0377-0076,nzd0377-0077,nzd0377-0078,nzd0377-0079,nzd0377-0080,nzd0377-0081,nzd0377-0082,nzd0377-0083,nzd0377-0084,nzd0377-0085,nzd0377-0086,nzd0377-0087,nzd0377-0088,nzd0377-0089,nzd0377-0090,nzd0377-0091,nzd0377-0092,nzd0377-0093,nzd0377-0094,nzd0377-0095,nzd0377-0096,nzd0377-0097,nzd0377-0098,nzd0377-0099,nzd0377-0100,nzd0377-0101,nzd0377-0102,nzd0377-0103,nzd0377-0104,nzd0377-0105,nzd0377-0106,nzd0377-0107,nzd0377-0108,nzd0377-0109,nzd0377-0110,nzd0377-0111,nzd0377-0112,nzd0377-0113,nzd0377-0114,nzd0377-0115
1999-07-02 21:59:57+00:00,L7,644.80,,,,,,,,,,,,,,,,,,,,,,403.83,,,,,,,159.74,,242.12,,,,,,,,,,,,,108.89,,157.51,184.24,,,,,,,,,,,,,320.96,325.43,,243.43,431.36,507.49,519.24,555.37,544.22,639.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,633.59,,,590.26,,,,,87.22
1999-09-04 22:00:09+00:00,L7,331.58,273.52,272.65,272.69,276.67,,272.82,276.81,279.05,267.24,280.13,283.85,284.86,292.26,293.58,307.13,320.74,323.07,321.20,326.76,329.15,329.04,328.45,314.65,317.16,331.71,325.85,333.68,328.27,342.70,339.13,347.64,348.68,331.07,336.51,348.90,348.90,,334.71,320.69,330.31,311.59,312.79,319.50,323.90,332.41,331.26,337.59,331.31,324.45,331.58,336.85,340.80,339.32,334.30,335.28,322.43,318.75,310.24,310.01,300.56,298.12,306.97,289.94,223.76,208.69,330.87,324.71,325.20,320.27,324.13,315.73,320.17,322.24,324.57,329.59,330.72,329.46,326.52,332.54,331.97,334.85,337.71,338.46,335.64,333.58,334.45,334.65,338.69,339.20,343.46,336.11,330.49,330.53,332.48,330.34,329.01,333.68,337.28,340.07,337.70,326.71,329.65,327.97,333.65,321.88,327.44,338.83,355.20,342.06,323.67,324.11,327.16,340.96,343.03,333.95
1999-09-20 22:00:08+00:00,L7,305.27,295.87,292.43,301.30,297.55,292.67,294.61,296.00,297.10,297.35,298.03,298.78,301.55,303.41,311.13,320.20,325.52,328.88,331.74,329.97,333.77,335.51,332.90,328.96,332.11,345.32,349.42,347.03,339.59,345.17,348.03,352.07,349.32,340.96,350.59,360.45,357.46,353.13,354.94,350.60,344.35,329.77,325.77,321.39,327.95,345.33,340.07,347.31,339.72,333.63,345.22,348.16,341.40,342.17,338.18,343.06,332.44,338.21,318.64,313.08,312.18,308.74,308.72,322.92,337.51,334.67,332.18,327.29,324.16,324.39,329.02,328.92,330.87,335.07,333.08,333.05,333.81,331.89,327.87,329.36,328.90,339.67,344.46,344.19,336.64,334.36,339.87,346.83,342.97,342.72,342.99,343.65,336.11,339.98,336.56,334.86,333.73,,,,,,,,,,,,,,,,,,,
1999-12-09 22:00:09+00:00,L7,,,,,,,311.06,310.06,319.58,314.42,314.68,318.74,317.26,325.55,324.68,332.47,330.34,333.21,341.44,347.35,348.08,344.18,343.02,333.75,335.92,353.03,355.38,349.65,356.05,347.30,351.14,348.09,347.01,339.58,356.41,372.61,370.83,370.08,359.85,362.00,363.26,352.04,339.09,330.99,339.70,348.69,342.86,354.92,347.00,345.43,353.27,354.51,349.73,347.03,349.61,351.76,336.71,349.89,331.86,322.74,318.88,316.39,316.71,335.83,345.36,344.20,347.58,346.83,336.92,343.52,340.53,335.14,339.25,343.87,342.74,348.19,342.96,340.83,343.25,342.28,342.32,342.95,350.02,351.89,347.54,343.86,348.39,352.50,356.40,353.37,348.48,349.97,339.38,338.49,333.86,334.26,334.55,344.34,348.66,348.93,351.10,345.10,345.25,341.37,347.51,336.01,333.61,346.22,362.14,352.36,334.33,339.05,352.72,354.88,355.23,354.64
1999-12-25 22:00:04+00:00,L7,322.04,312.69,312.12,306.50,308.89,308.63,309.05,307.07,309.44,305.57,305.94,309.07,311.71,311.42,313.94,314.13,329.53,330.55,331.64,334.11,330.30,336.91,327.91,328.45,324.20,337.52,339.91,337.66,335.35,335.13,336.60,333.24,331.72,332.34,341.79,359.28,357.04,358.40,356.02,346.03,346.86,334.67,328.95,321.90,326.92,336.81,339.71,338.17,336.05,333.86,341.32,339.16,339.16,336.43,335.37,336.23,325.27,328.57,318.23,315.44,312.20,308.57,309.47,320.79,335.11,333.47,330.51,327.70,324.45,326.30,324.88,324.21,330.92,330.06,324.27,327.74,327.52,326.10,324.79,317.32,322.16,325.83,338.24,339.56,340.19,340.25,343.61,344.99,347.25,344.15,338.94,339.49,330.79,327.43,326.84,323.34,329.89,333.09,335.78,340.08,340.26,337.48,336.67,331.58,335.47,327.33,330.02,338.41,348.65,346.60,329.79,329.66,337.27,341.12,343.64,341.46
2000-01-26 22:00:02+00:00,L7,336.16,321.34,319.07,321.11,312.25,304.93,312.22,311.83,309.07,308.60,305.81,311.45,313.26,313.08,319.82,316.88,326.23,330.95,338.07,337.20,340.90,330.73,325.22,324.63,327.51,338.09,346.96,342.31,335.86,334.72,336.62,333.81,331.87,331.62,342.92,361.22,360.24,354.96,348.93,346.81,343.07,334.37,327.48,327.87,327.43,333.87,339.47,341.38,332.88,330.92,335.37,339.07,337.73,338.18,333.54,341.52,329.03,332.19,320.23,322.33,315.17,313.91,317.11,325.56,341.72,342.67,344.56,342.74,331.35,330.73,327.77,327.39,332.14,335.49,335.43,331.85,332.50,331.08,330.49,328.50,330.40,333.82,343.88,345.05,341.62,341.89,345.42,345.05,351.54,347.78,343.43,340.02,337.89,334.57,330.85,330.65,332.78,336.63,338.78,343.09,343.19,339.50,336.18,335.57,340.28,330.34,332.40,341.31,356.64,351.98,331.83,334.30,343.02,351.19,350.98,346.00
2000-02-11 21:59:57+00:00,L7,,,,,,,321.27,317.17,317.03,315.65,312.67,311.20,310.53,313.74,318.16,320.70,330.71,340.46,343.65,345.17,337.86,339.55,339.44,331.59,327.92,341.17,341.92,343.15,342.24,339.99,337.37,335.79,336.99,339.13,345.48,365.90,371.15,371.42,367.37,352.48,346.73,341.57,338.80,331.91,334.53,337.25,338.14,350.83,344.44,337.64,345.69,346.61,344.19,340.12,339.42,343.10,324.56,329.68,330.97,330.94,321.37,322.07,323.61,342.62,345.29,350.60,348.23,343.92,337.38,339.35,336.31,334.21,335.45,333.53,333.03,339.46,336.76,333.42,328.19,333.21,335.01,336.11,350.15,357.12,354.85,352.75,350.78,355.93,351.26,350.35,348.42,347.75,338.23,332.13,330.89,332.36,334.45,338.12,337.38,342.39,343.11,338.23,339.66,333.25,341.14,329.84,332.22,339.40,355.32,350.36,331.21,329.98,340.48,345.51,345.04,341.91
2000-02-27 21:59:52+00:00,L7,379.90,335.52,332.86,330.31,328.67,319.31,322.24,325.78,325.23,314.53,317.56,320.60,325.05,321.48,321.45,322.62,329.90,334.06,338.21,347.64,343.92,342.80,342.64,340.49,343.42,353.52,355.52,349.11,348.16,341.77,339.17,341.84,340.69,336.42,353.24,372.55,370.15,376.30,367.14,368.04,359.04,348.83,341.68,332.70,339.46,345.88,344.10,352.20,344.98,341.50,344.38,346.29,346.28,346.66,342.93,346.87,336.29,354.18,334.53,330.71,324.68,321.91,326.01,335.04,345.35,346.23,349.43,339.54,334.46,338.60,339.45,337.79,340.41,343.44,340.32,341.64,331.57,342.35,344.57,341.49,340.88,343.31,342.23,347.42,350.24,342.53,350.43,352.79,353.15,357.11,355.16,350.41,343.19,339.71,335.38,335.43,332.77,341.37,341.32,345.78,349.90,348.40,348.38,342.83,350.09,337.80,340.55,350.20,360.89,352.99,337.91,339.88,345.66,358.87,354.46,355.00
2000-03-30 21:59:45+00:00,L7,378.08,316.12,319.88,327.84,327.84,327.74,331.51,338.60,339.61,324.73,319.96,319.47,320.67,318.18,314.60,316.28,324.14,334.85,354.68,368.85,367.99,365.55,355.00,358.76,358.30,368.54,361.17,341.63,344.78,350.21,359.37,367.98,383.39,381.16,384.58,387.71,370.89,370.48,371.49,372.81,365.69,346.17,335.34,334.10,343.73,360.60,362.84,377.82,352.10,348.33,358.60,362.14,356.93,360.35,360.33,371.08,354.98,363.89,333.21,328.07,324.41,325.59,339.74,355.86,359.04,353.84,349.39,346.64,342.22,344.84,345.79,347.24,346.78,348.60,342.55,352.31,353.07,361.96,357.50,354.68,355.11,363.84,366.13,366.57,361.66,351.27,349.20,356.14,355.32,356.93,356.50,357.28,355.19,355.75,354.06,349.80,351.72,355.27,359.35,360.52,368.29,359.84,354.45,352.58,358.01,340.69,344.81,352.39,365.53,377.80,355.67,353.62,357.68,363.40,359.10,358.18
2000-04-15 21:59:31+00:00,L7,376.07,313.14,323.16,329.17,330.11,331.49,333.31,340.84,346.08,338.81,332.68,329.78,330.09,331.09,328.52,334.31,329.62,348.22,348.62,361.35,360.48,366.27,360.35,355.23,354.99,366.72,365.99,371.47,368.15,361.97,367.58,375.23,381.56,368.61,376.45,390.57,382.94,385.53,380.16,379.84,366.33,351.66,345.16,343.56,344.77,355.45,362.97,369.04,359.57,353.23,360.16,364.43,370.58,368.73,366.75,370.10,353.38,,336.23,339.00,332.98,326.43,340.19,346.89,353.52,354.80,355.26,349.13,346.50,348.73,348.87,344.74,347.76,356.41,356.29,361.48,351.79,356.20,360.49,361.13,358.12,360.97,362.54,367.27,361.56,354.03,358.76,360.66,365.24,365.18,363.62,363.58,359.15,359.46,358.76,356.13,356.61,360.65,357.36,364.37,362.89,358.26,363.34,357.18,364.92,352.70,350.66,358.90,370.99,377.40,347.15,348.24,362.30,378.22,371.92,372.60
