,dates,usa_HI_0057-0000,usa_HI_0057-0001,usa_HI_0057-0002,usa_HI_0057-0003,usa_HI_0057-0004,usa_HI_0057-0005,usa_HI_0057-0006,usa_HI_0057-0007,usa_HI_0057-0008,usa_HI_0057-0009,usa_HI_0057-0010,usa_HI_0057-0011,usa_HI_0057-0012,usa_HI_0057-0013
0,1990-09-11 20:20:05+00:00,,134.6341042594186,,,,,,,221.35917490171516,,,219.70608023110955,188.29533166417724,202.53397884261804
1,1991-12-03 20:24:42+00:00,,100.42897143380799,,,,,,,,,,,,
2,1999-07-01 20:58:44+00:00,,,,,,,,,,,,,,
3,1999-08-02 20:59:19+00:00,,,,,,,,,,,,,,
4,1999-08-11 20:53:07+00:00,188.58835573435357,188.55777422467264,189.37661442848992,200.62070599296948,210.0308287254653,194.92874153597955,205.36976908412936,216.5491611031476,232.7859353479138,234.9796531553613,254.0594962267282,231.08150894770503,194.2882364892446,197.36200485794257
5,1999-09-12 20:53:05+00:00,170.90166950602784,174.66067618735588,189.53670931561646,195.25242004801703,208.61987729370537,196.97583289371525,204.10492411309662,202.55818524356295,228.04884974674263,236.09900025788795,253.63653268032246,232.59980075766995,192.2969303072012,199.95498291813863
6,1999-09-28 20:53:15+00:00,164.664740722526,170.50276782362846,173.69371061104715,183.6636065638909,196.5045046802606,180.58330374126956,198.93134574488232,197.23701932920693,209.8919336260104,224.34335454513084,246.81188175982948,223.97190023988617,191.58246919317577,211.9539650235705
7,1999-10-05 20:59:27+00:00,158.6005485598796,176.60755843875341,179.57358661490292,192.8341440782046,197.02903712834404,179.2033315569455,197.28766897230201,214.43247335344304,216.40619658985548,216.61799435466548,239.72755809838418,211.17079046028954,188.6068282201831,211.69981149154916
8,1999-10-30 20:53:07+00:00,153.4385401194123,,181.0082075969026,181.71100863055838,186.5719801897252,162.12363597000225,178.8028167911609,188.9285409976295,180.78373305368032,,,202.51523356020954,195.14985137658053,207.27557849871502
9,1999-12-08 20:59:20+00:00,,,,,,,,142.97518262734448,146.40481021065543,,,,,
10,2000-01-02 20:53:03+00:00,162.5192645145042,,156.1933997936797,175.83139372921298,172.9730709342448,150.98549570573584,,172.35403737216834,,,,,222.37763772073873,198.97870926221032
11,2000-04-07 20:52:39+00:00,,212.94078216443336,215.80865766966906,202.97326800342623,201.30366501167416,182.1036647387353,173.29189615638975,179.02874063423147,184.60108675406258,,,205.64095153107806,193.38371098362796,184.47625466787125
12,2000-04-14 20:58:43+00:00,,,,,,,,,,,,,,
13,2000-04-30 20:58:19+00:00,,,,,,,,,,,,,,
14,2000-06-10 20:52:06+00:00,,218.16061401600106,222.87510459040647,226.3918462391542,220.77849367422687,213.45904223233015,,216.94533827998234,223.84030843499676,232.7612135055639,250.96148040256725,211.66727439282658,191.91328688426043,204.97208865117355
15,2000-06-26 20:51:56+00:00,,217.5423270552703,219.5761316986081,216.149217678793,217.20650402566042,211.34021062781494,210.71110253217955,218.7452777029714,217.09529041408774,228.63120192640548,247.19630065799635,224.18695731716093,190.6130844945147,197.4876322119423
16,2000-08-04 20:57:33+00:00,,,,,,,,,,,,,,
17,2000-09-21 20:56:29+00:00,169.30195121540618,158.0773612409862,167.43316927814936,168.42924873402904,169.45379606396904,166.61562126232056,152.12983913902409,172.1705670334258,185.74463300173537,199.29391228753113,224.77827996739592,224.04860445184173,214.2352594211771,203.95548665394165
18,2000-09-30 20:50:41+00:00,165.9692275382595,180.2225281821882,174.39564434309372,161.65023731712523,157.94400456260058,161.14634433371768,165.65722739455228,164.4294292154933,158.6678378396418,,220.95831063811303,244.44544219821523,226.8492650262986,212.88596348420754
19,2000-10-07 20:56:48+00:00,164.92391072192774,187.88926793615525,174.39776681107435,171.75292700148196,179.4557589696189,167.30190487846636,177.0862931129587,189.2091523172835,179.0282612267506,,,244.48243648619828,236.99966904832388,239.5565607196662
20,2000-10-23 20:56:16+00:00,159.5099795045178,166.06191494808093,175.24346973171458,176.6612662359833,176.1239251343973,166.7692660036476,171.36732618678008,171.63280120604867,176.50346342903623,148.49951675568957,220.3255438901616,228.37124420013362,218.78491917353293,216.49427532956236
21,2000-11-08 20:56:43+00:00,,,186.3904690644379,178.16214283979656,,143.88857127781029,169.2674421869832,169.35032459814715,172.69696453075514,156.9887429121128,218.64508379201138,236.35034551658072,222.12274065161833,213.02510868498206
22,2000-12-03 20:50:34+00:00,152.46708118430786,,180.59218364865336,179.64030853177823,156.59331502711336,140.46549748195997,153.83697738878033,172.1761913784855,,142.29837120309108,,,236.5645989043755,227.69479386351097
23,2000-12-10 20:56:23+00:00,152.29635204050297,,192.7336480770923,184.1881334262235,155.21832248139205,136.21684903609832,178.30580231070107,173.87477477283755,,142.28584919356564,132.78888970229855,,231.28999483919725,224.20405039747556
24,2000-12-19 20:50:39+00:00,154.04145651597958,,197.5308212761776,187.29179315834966,,126.63544900964226,163.50099431384243,174.71340178137535,,141.65944742534833,131.6242019511674,,232.70644619972265,224.85427512155383
25,2000-12-26 20:56:52+00:00,149.25846848600264,,160.8803035841238,155.80871698097684,,121.55786624573781,,,,126.6192288920025,128.74852018448598,,216.98531649637025,194.7335855857615
26,2001-01-04 20:50:39+00:00,153.43056136767882,,168.17808449030386,147.05905957123423,,131.3761761411405,,,,138.1957711389317,132.80090074794376,,213.59009215883702,189.42574831239003
