,dates,usa_HI_0057-0000,usa_HI_0057-0001,usa_HI_0057-0002,usa_HI_0057-0003,usa_HI_0057-0004,usa_HI_0057-0005,usa_HI_0057-0006,usa_HI_0057-0007,usa_HI_0057-0008,usa_HI_0057-0009,usa_HI_0057-0010,usa_HI_0057-0011,usa_HI_0057-0012,usa_HI_0057-0013
0,1990-09-11 20:20:05+00:00,,139.60588596533267,,,,,,,222.95724759290184,,,221.1043938358979,190.92745139083763,204.66474243086694
1,1991-12-03 20:24:42+00:00,,100.50883747558484,,,,,,,,,,,,
2,1999-07-01 20:58:44+00:00,,,,,,,,,,,,,,
3,1999-08-02 20:59:19+00:00,,,,,,,,,,,,,,
4,1999-08-11 20:53:07+00:00,186.51892872857138,186.25841088491467,185.92756941885295,198.3213426532115,208.81351872206403,193.71143153257827,203.48847180614555,215.4599889948412,232.04685427442018,233.76234315196,252.84218622332693,230.4348130083981,193.07092648584333,196.3765634266177
5,1999-09-12 20:53:05+00:00,168.79130154485955,172.31582289716889,186.01942938033596,192.90756675783004,207.37848437537107,195.73443997538095,202.1864077847618,201.4474652640007,227.29514690346824,234.85760733955365,252.39513976198816,231.94031076980485,191.0555373888669,198.95004579377277
6,1999-09-28 20:53:15+00:00,163.5608063843637,169.27617411455924,171.85382004744332,182.4370128548217,195.85513154016513,179.9339306011741,197.9277690738257,196.65600125648993,209.497671362381,223.69398140503537,246.162508619734,223.62692075921046,190.9330960530803,211.428282005398
7,1999-10-05 20:59:27+00:00,162.85264620202324,181.33211137446858,186.66041601847564,197.55869701391975,199.53027103548737,181.70456546408883,201.1532122833417,216.67041948088706,217.92480289062107,219.11922826180881,242.2287920055275,212.4995709734594,191.10806212732643,213.72461989256993
8,1999-10-30 20:53:07+00:00,156.83101477604197,,186.66233202461873,185.48042491570249,188.5675535171544,164.11920929743147,181.88688466082425,190.71405397480302,181.99533114533378,,,203.5753818904063,197.14542470400974,208.89104262091962
9,1999-12-08 20:59:20+00:00,,,,,,,,142.52423890220763,146.098812682884,,,,,
10,2000-01-02 20:53:03+00:00,163.080319123105,,157.1284908080144,176.45478773876945,173.30310305695116,151.3155278284422,,172.64932927143192,,,,,222.7076698434451,199.2458781234488
11,2000-04-07 20:52:39+00:00,,207.25318655918576,207.27726426179768,197.28567239817863,198.2925849853666,179.09258471242774,168.63840884300538,176.33461640016682,182.77293102380443,,,204.04131526710216,190.3726309573204,182.03871369419372
12,2000-04-14 20:58:43+00:00,,,,,,,,,,,,,,
13,2000-04-30 20:58:19+00:00,,,,,,,,,,,,,,
14,2000-06-10 20:52:06+00:00,,219.76622029623726,225.28351401076077,227.9974525193904,221.62852052846955,214.30906908657283,,217.70588862325212,224.35639616792983,233.61124035980657,251.81150725680993,212.11885115914302,192.76331373850311,205.66020562841763
15,2000-06-26 20:51:56+00:00,,220.17030095545695,223.51809254888806,218.77719157897965,218.59778432575925,212.73149092791377,212.86126299596864,219.99010744516508,217.9399963105763,230.0224822265043,248.58758095809517,224.92607497658844,192.00436479461354,198.61390674059373
16,2000-08-04 20:57:33+00:00,,,,,,,,,,,,,,
17,2000-09-21 20:56:29+00:00,174.12638486754798,163.4378430766993,175.47389203171903,173.78973056974215,172.29169821228774,169.45352341063926,156.51568791369843,174.70974263981623,187.46764502035742,202.13181443584983,227.61618211571462,225.55623996813603,217.0731615694958,206.2528360121044
