dates,satname,nzd0322-0000,nzd0322-0001,nzd0322-0002,nzd0322-0003,nzd0322-0004,nzd0322-0005,nzd0322-0006,nzd0322-0007,nzd0322-0008,nzd0322-0009,nzd0322-0010,nzd0322-0011,nzd0322-0012,nzd0322-0013
1999-08-17 22:12:02+00:00,L7,387.45,384.20,397.80,381.76,375.90,,390.35,361.97,369.31,371.21,383.76,386.95,388.45,395.37
1999-08-26 22:05:56+00:00,L7,370.70,316.66,316.28,325.11,333.31,325.71,333.62,342.65,340.57,344.97,342.28,346.99,336.31,320.77
1999-09-27 22:06:00+00:00,L7,372.82,320.58,314.33,334.98,344.33,331.25,342.38,349.47,345.90,348.96,352.46,355.91,350.07,344.47
1999-10-13 22:06:00+00:00,L7,388.33,341.71,341.55,338.28,347.62,340.02,350.22,348.87,349.66,359.20,354.01,362.73,357.26,357.41
1999-11-21 22:12:00+00:00,L7,353.88,324.76,329.50,338.66,344.75,339.47,347.63,347.22,350.47,352.90,351.16,354.67,344.39,346.37
1999-12-16 22:05:57+00:00,L7,443.22,386.56,404.70,403.46,401.23,412.45,412.37,370.17,374.28,388.64,412.32,407.48,414.55,403.96
2000-02-18 22:05:41+00:00,L7,337.39,300.52,313.63,336.01,341.22,338.48,336.18,333.17,340.87,347.33,347.62,340.76,334.83,334.22
2000-02-25 22:11:49+00:00,L7,452.80,389.37,438.80,438.05,431.64,435.46,433.60,375.03,390.17,400.70,413.63,411.07,425.34,419.94
2000-03-05 22:05:36+00:00,L7,,,283.09,318.67,,,285.10,321.18,,,,313.49,220.75,290.51
2000-03-21 22:05:37+00:00,L7,369.88,306.36,314.64,322.19,331.80,324.72,330.91,329.17,339.17,341.88,344.79,347.70,341.32,333.36
2000-04-13 22:11:30+00:00,L7,401.74,361.75,355.76,354.10,361.22,359.26,371.30,359.11,360.48,371.15,367.40,372.77,378.30,379.25
2000-05-24 22:04:58+00:00,L7,402.83,366.12,369.36,344.91,359.70,,,,,,,,,
2000-09-13 22:03:38+00:00,L7,,,210.45,292.96,303.08,,302.28,306.46,,310.57,300.60,267.17,266.49,260.46
2000-10-31 22:03:22+00:00,L7,390.70,381.87,350.74,342.21,,,319.72,333.51,,,324.70,329.14,335.56,343.25
2000-11-23 22:09:30+00:00,L7,355.57,315.04,320.21,328.65,333.88,334.05,331.35,345.14,347.63,356.40,354.22,357.93,355.54,352.95
2000-12-02 22:03:21+00:00,L7,421.34,384.80,381.87,372.91,365.53,381.66,382.64,388.41,393.86,389.54,387.09,394.30,393.52,398.64
2000-12-18 22:03:25+00:00,L7,438.91,420.37,414.19,388.31,381.72,370.41,383.44,385.94,382.45,379.50,382.42,382.94,389.36,398.40
2001-01-03 22:03:24+00:00,L7,437.96,373.84,413.92,410.44,405.86,405.11,390.05,402.28,411.66,416.07,394.70,403.81,415.95,409.27
2001-01-10 22:09:39+00:00,L7,328.62,327.50,331.64,340.08,348.24,346.76,363.41,365.30,371.09,367.61,355.50,361.67,352.68,356.84
2001-01-19 22:03:31+00:00,L7,372.39,341.46,354.58,354.21,363.77,361.22,362.17,362.08,365.14,364.19,366.44,371.63,368.54,372.53
2001-01-26 22:09:42+00:00,L7,,,309.33,316.28,,,312.94,341.98,,345.40,333.53,330.42,197.28,184.49
2001-02-20 22:03:24+00:00,L7,357.32,329.60,332.69,341.97,348.39,345.27,353.79,350.32,357.01,359.78,357.82,366.70,370.91,374.01
2001-03-15 22:09:27+00:00,L7,401.81,354.69,376.43,389.21,385.95,394.58,390.83,372.96,379.47,388.30,388.40,393.31,388.37,394.02
2001-03-31 22:09:19+00:00,L7,418.93,410.27,410.04,399.24,385.68,415.85,412.15,376.03,378.30,392.56,402.06,396.88,389.55,410.22
2001-06-19 22:08:41+00:00,L7,387.58,309.22,313.11,327.43,327.16,332.42,324.88,337.84,337.53,345.72,,236.98,304.89,291.13
2001-06-28 22:02:21+00:00,L7,403.52,373.65,380.53,341.58,350.77,356.90,375.48,357.80,,358.04,324.25,362.11,365.05,358.32
