,dates,jap0153-0000,jap0153-0001,jap0153-0002,jap0153-0003,jap0153-0004,jap0153-0005,jap0153-0006
0,1984-07-31 00:45:05+00:00,181.7763786180042,171.8565859431029,168.16942023873366,170.3311298780256,169.7259301774507,165.60434624947686,150.12851829298756
1,1984-08-09 00:39:12+00:00,175.5829910649039,168.56338930030418,168.460991368482,168.34092521772646,167.08640452934065,165.57121974282472,159.19003791823732
2,1984-09-17 00:45:56+00:00,165.63427262117392,162.3488051753907,155.34505750685895,148.73197698396555,148.86428330865303,150.76066946839097,149.20496090490275
3,1984-11-04 00:45:46+00:00,162.010776073943,161.2967183536302,164.4867268684063,157.7242730983106,159.70009720718826,157.49445968037554,154.32177884402637
4,1985-01-07 00:46:06+00:00,165.21591772441306,163.73789637257045,160.92734821468264,157.37212159127102,155.71844343068543,154.07303520999093,152.6907690501705
5,1985-01-16 00:39:59+00:00,175.13808602935816,164.97596629656815,160.59031237154355,156.38572278322175,158.1207980242517,153.88880240468364,156.58591349341833
6,1985-04-06 00:39:59+00:00,149.85987208700132,144.27348667073156,143.65792992007525,147.78279058545468,146.11959551865377,140.75832776254413,135.1082459727499
7,1985-12-02 00:37:51+00:00,145.43679282849035,140.43053736932535,150.0741103805128,150.25556393579924,145.49292237137035,140.91317574092662,146.3642048574925
8,1985-12-09 00:43:54+00:00,147.32531071772317,147.30731271600553,154.80852471029866,144.57222438203036,145.13263403567328,142.53806762359014,141.61337188664024
9,1986-01-10 00:43:19+00:00,162.6131178952081,162.6442193108452,163.5193789566257,160.85501751853158,158.98026536254483,157.7785460288505,159.92747960369547
10,1986-02-04 00:36:35+00:00,151.01802606611406,148.8288535725875,148.77081635994415,145.20222869952855,144.52540371707414,146.62433298863243,160.5728452432693
11,1986-04-09 00:35:13+00:00,152.74185796812563,148.98208319577526,158.5393043977793,157.324574377466,155.923433947066,152.94130325241275,140.8596441371506
12,1986-04-16 00:41:14+00:00,152.7971061423919,145.10705302704366,141.5787307534163,149.2464887162402,144.66969939709335,143.66060875145226,133.98505312001842
13,1986-05-27 00:33:59+00:00,165.2443467900761,162.0722535337103,156.91903702338325,157.30327272833927,152.974976170975,150.30361710919712,149.69896882400306
14,1986-06-12 00:33:30+00:00,158.29853174109297,153.95051076612805,148.56964433175887,149.27658815326055,155.49163169614823,155.71992222425982,153.90002986050584
15,1986-07-30 00:31:53+00:00,149.01993929356945,141.1799114603591,142.02945547269496,149.061284344423,160.45171804999293,159.26696927899022,150.90200676302916
16,1986-10-18 00:29:08+00:00,151.74207392923205,151.90586106689634,151.70461543812846,153.1850213637572,148.0963803183942,147.5453537186241,143.31962950099302
17,1986-11-10 00:34:29+00:00,139.77667101153767,143.47421510002684,143.744208717088,139.59829094034694,133.97732402441372,134.78462401414274,131.23192668241876
18,1987-01-13 00:35:28+00:00,148.4395108072196,145.957560251429,139.43456870730472,144.6346772916312,144.47169648804424,147.02282512121366,140.57133616902996
19,1987-02-14 00:36:34+00:00,147.36716333357987,146.85650265325373,142.13088764261997,142.97675428359284,140.97900342799113,142.36979455511343,143.34217169733796
20,1987-03-02 00:37:11+00:00,137.65316843960986,136.01841044459542,136.52356480343505,134.5127679054266,137.49877634295794,140.28407528448403,135.6005023661524
21,1987-03-18 00:37:47+00:00,142.77703611456838,141.55898710205568,140.0653116084931,142.42501447115856,139.76570658351767,142.89038322035532,132.07303879747352
22,1987-04-28 00:32:58+00:00,142.63881363649188,146.01137872662113,142.96026052970274,139.43236968208709,139.27462380364943,136.28867664243504,128.19660756761465
23,1987-05-05 00:39:21+00:00,155.16417588961363,152.71703318420793,145.26772927216956,146.00515954273558,148.54866728999272,147.05135341908823,143.42884667742106
24,1987-05-21 00:39:47+00:00,173.6940703152001,163.413768038333,162.32561116736701,158.09354846167753,161.0121131270606,160.4179715755277,153.20205842283875
25,1987-06-06 00:40:10+00:00,158.66185247527412,156.34963731646155,156.51755387310035,148.9948009404807,148.51577027303506,147.9014106556218,142.91161611685172
26,1987-06-22 00:40:32+00:00,149.55513124781766,150.2024117914016,145.66557224815284,144.9456941728836,142.30209764961532,140.52239755240402,129.45674461347312
27,1987-07-24 00:41:10+00:00,166.28145667896138,161.6449830409626,161.42283353839633,156.9572545324918,150.44650155613454,147.7495972767662,138.6955771335897
28,1987-08-09 00:41:41+00:00,166.44766143972498,164.2688748106046,157.1580084912379,155.19043835503786,147.80057416943427,141.8682151570902,130.16906977919456
29,1987-12-15 00:44:22+00:00,147.67109317143763,141.1396419042094,135.41734671563165,133.92505047887246,135.8357574416025,139.49632912774442,130.8120452513776
30,1988-01-25 00:38:53+00:00,154.3301694604097,144.64521831565312,145.7805614439974,149.0296798447689,143.1685554200803,140.4844021134484,145.92629442030707
31,1988-02-10 00:39:10+00:00,147.18629860703783,144.1183675548693,141.01658697567476,132.46782343522534,136.21491944388103,132.60518551422763,130.120167599253
32,1988-07-26 00:46:33+00:00,141.00284056835451,136.15981621587537,137.64669416305827,134.12046931596186,126.78013500450507,128.6845965655273,117.72304139885547
33,1988-11-08 00:40:15+00:00,152.30029872515138,143.7423750269932,141.24266205612037,145.09395135819196,145.1011537658798,142.97643562865582,137.59550218192865
34,1988-12-01 00:46:24+00:00,151.32026272060605,149.37971376456528,138.18387229543262,139.35993491421607,133.57297668472083,131.99647707654958,136.32467186933206
35,1988-12-26 00:39:57+00:00,144.8591582157695,141.84617677422133,136.6817027686469,139.7610591847187,133.8434521907854,128.05439357333918,134.33491810640908
