dates,satname,nzd0453-0000,nzd0453-0001,nzd0453-0002,nzd0453-0003,nzd0453-0004,nzd0453-0005,nzd0453-0006,nzd0453-0007,nzd0453-0008,nzd0453-0009,nzd0453-0010,nzd0453-0011,nzd0453-0012,nzd0453-0013,nzd0453-0014,nzd0453-0015,nzd0453-0016,nzd0453-0017,nzd0453-0018,nzd0453-0019,nzd0453-0020,nzd0453-0021,nzd0453-0022,nzd0453-0023,nzd0453-0024,nzd0453-0025,nzd0453-0026,nzd0453-0027
1999-08-08 22:19:28+00:00,L7,374.54,361.37,359.58,356.67,351.08,344.48,340.55,335.25,344.65,356.89,347.76,318.63,316.29,323.74,346.15,354.72,342.58,340.42,351.64,362.06,343.97,342.33,335.34,320.30,144.47,201.65,246.38,261.50
1999-09-25 22:19:33+00:00,L7,381.81,375.81,370.99,369.62,368.41,355.58,345.28,348.34,344.91,336.06,323.70,318.15,333.79,340.90,336.73,334.72,344.17,351.85,354.67,352.37,347.66,345.31,315.37,293.88,282.34,241.96,253.20,288.28
1999-11-12 22:19:27+00:00,L7,396.12,373.96,364.59,358.30,363.67,373.22,374.80,356.44,323.72,320.03,333.54,355.67,351.01,332.40,344.26,359.15,367.30,363.48,348.93,335.55,347.89,367.58,329.14,295.45,289.72,295.67,330.58,
1999-11-28 22:19:20+00:00,L7,419.89,392.18,380.68,376.42,376.75,378.41,375.03,358.18,331.16,334.86,362.48,370.44,357.08,352.46,384.10,385.24,376.08,367.50,353.94,347.84,357.78,356.46,330.54,314.67,309.16,329.82,340.12,342.56
2000-01-31 22:19:21+00:00,L7,380.97,374.55,371.20,358.80,356.11,357.43,351.21,337.83,325.05,324.19,326.39,339.50,339.46,342.87,334.28,335.10,349.88,350.70,347.75,342.26,337.72,320.23,322.03,332.93,340.17,342.34,332.90,289.43
2000-04-20 22:18:51+00:00,L7,354.84,342.78,348.51,345.56,348.37,346.33,342.60,335.72,322.49,307.54,302.54,324.89,338.44,345.86,351.81,349.50,319.21,331.44,355.81,374.67,369.68,354.96,341.47,313.15,285.24,210.97,226.11,258.14
2000-05-22 22:18:33+00:00,L7,,,,,,,,,,,,334.33,342.94,342.51,349.78,345.86,346.77,354.07,359.38,365.80,365.19,350.90,327.43,,109.11,196.70,224.02,255.85
2000-09-27 22:17:00+00:00,L7,,,,,,261.35,344.10,337.33,330.26,342.12,345.70,336.80,332.02,320.11,316.20,321.36,333.42,341.45,332.51,310.28,297.37,296.40,296.82,313.44,314.36,280.75,272.11,292.97
2000-11-14 22:16:54+00:00,L7,423.03,404.66,386.13,375.42,363.79,361.30,368.92,368.56,359.62,356.89,353.87,345.57,319.04,314.56,324.75,340.26,344.67,340.54,337.43,329.55,326.01,322.60,306.91,313.47,321.85,317.01,293.71,288.40
2000-12-16 22:16:59+00:00,L7,418.87,397.64,384.96,380.00,373.45,371.98,376.15,372.04,369.73,367.31,360.67,355.95,345.67,332.55,336.39,347.74,356.89,359.29,366.30,365.55,357.73,342.42,331.50,329.56,334.32,332.40,316.78,291.34
2001-01-01 22:16:57+00:00,L7,416.67,409.75,397.23,381.96,373.31,364.84,349.79,352.58,355.45,356.14,354.34,358.68,350.13,339.69,339.31,344.57,335.38,338.28,361.84,376.57,363.88,334.99,315.77,315.54,317.69,327.09,328.09,291.71
2001-01-17 22:17:03+00:00,L7,404.47,387.66,375.34,360.60,358.15,353.52,351.11,349.52,350.69,349.17,348.17,348.93,336.96,332.29,330.48,324.82,327.97,353.10,369.27,373.12,361.74,330.05,304.05,305.08,317.00,322.99,320.91,288.67
2001-04-07 22:16:37+00:00,L7,359.32,353.63,337.37,330.19,327.59,317.47,302.39,306.70,317.16,327.28,327.29,333.67,327.63,318.81,318.71,329.56,351.60,355.70,359.49,354.03,345.30,326.17,312.31,308.75,300.18,216.15,250.36,272.61
2001-08-13 22:15:25+00:00,L7,617.11,355.47,322.84,308.22,304.39,295.77,317.95,327.46,322.85,313.53,314.29,330.78,348.45,349.27,343.34,332.38,342.36,355.25,347.37,335.70,343.80,351.56,333.66,297.88,124.86,211.32,224.83,258.16
2001-08-29 22:15:16+00:00,L7,380.08,332.41,317.85,319.47,317.58,336.97,332.91,325.07,317.66,313.91,324.04,334.22,335.49,330.80,335.02,346.05,347.09,341.37,334.59,347.14,358.76,346.10,329.58,316.84,171.12,214.11,249.69,
2002-01-20 22:15:25+00:00,L7,369.70,359.78,359.39,359.52,353.10,336.61,331.37,327.84,327.62,332.77,352.84,368.43,346.78,338.76,348.37,365.61,374.05,370.23,350.58,335.98,344.02,353.07,345.22,336.49,343.97,334.14,321.39,298.10
2002-02-05 22:15:25+00:00,L7,388.84,363.56,360.56,354.28,339.56,328.92,318.82,326.75,325.46,329.69,353.38,347.43,335.96,335.71,354.66,364.63,363.49,353.90,340.71,335.65,338.44,347.45,336.76,330.09,335.21,333.09,264.92,290.93
2002-03-09 22:15:29+00:00,L7,368.95,353.88,338.80,340.07,332.65,318.48,315.79,321.35,328.93,336.12,338.58,330.68,332.65,338.50,339.29,350.87,345.95,337.25,324.36,330.18,331.47,328.05,332.54,332.54,328.24,310.13,257.59,288.15
2002-05-12 22:15:19+00:00,L7,464.02,642.89,542.29,527.80,584.37,624.60,,,,,,578.65,639.03,,,166.11,143.87,,192.51,,,494.70,482.98,450.03,458.94,593.54,629.66,
2002-10-03 22:14:17+00:00,L7,400.34,395.81,375.78,357.51,349.97,350.13,352.64,347.83,346.69,339.93,333.17,333.54,335.80,338.06,337.38,331.02,333.47,340.36,354.14,348.68,321.42,304.98,296.50,301.41,313.69,314.02,260.63,294.30
2002-12-06 22:14:49+00:00,L7,386.03,371.64,355.91,339.75,332.25,330.86,327.53,329.33,328.65,327.49,324.74,331.93,326.92,322.16,325.08,322.77,330.46,337.68,340.21,332.06,334.03,322.41,297.93,281.63,283.61,288.31,294.99,287.59
2003-01-07 22:14:52+00:00,L7,371.38,366.06,367.95,366.28,354.61,345.57,343.30,350.73,364.12,358.90,354.51,358.95,363.78,358.62,349.67,365.53,363.62,354.45,356.49,364.02,369.41,337.78,327.08,320.68,317.06,328.94,339.43,296.55
2003-01-23 22:15:03+00:00,L7,374.67,366.02,352.16,348.49,341.67,347.20,351.85,354.15,341.71,340.47,351.28,351.61,348.31,347.99,350.97,353.70,352.55,349.00,358.47,366.02,348.16,325.49,299.19,308.10,328.70,341.43,336.80,293.59
2003-02-24 22:15:13+00:00,L7,380.69,362.44,356.76,347.87,347.99,347.99,351.01,356.61,360.34,355.80,362.48,355.08,353.54,354.95,359.34,352.83,359.07,359.67,360.40,358.63,340.49,337.14,329.18,327.11,333.05,359.34,350.26,290.63
2003-03-12 22:15:18+00:00,L7,363.65,355.84,347.09,333.61,336.49,335.67,333.99,340.47,347.46,346.77,348.62,349.63,348.61,350.10,346.06,342.57,349.08,353.36,356.33,343.98,332.66,324.48,321.74,321.00,328.69,325.73,253.41,287.99
2003-08-11 22:03:27+00:00,L5,378.20,359.04,357.72,359.64,353.57,361.64,355.53,345.93,334.17,325.91,321.24,332.55,334.10,324.75,325.25,332.55,341.57,337.65,328.77,323.34,330.46,326.32,323.36,,147.60,223.72,237.70,264.22
2003-08-27 22:03:45+00:00,L5,383.07,353.08,337.44,332.80,335.95,330.70,317.62,308.53,313.61,316.46,317.48,322.84,320.76,322.23,321.92,320.63,318.58,311.58,303.43,298.42,297.07,318.01,310.10,313.80,147.08,223.46,244.21,270.54
2003-09-20 22:14:46+00:00,L7,390.65,392.10,383.88,370.66,341.83,316.15,308.28,317.12,337.51,339.87,330.29,333.35,327.26,312.47,307.35,306.65,304.70,306.51,307.75,307.05,304.12,307.59,307.39,315.26,314.29,297.42,253.41,288.93
2003-11-07 22:15:01+00:00,L7,386.26,379.84,368.94,346.02,326.74,311.85,308.02,313.70,320.96,312.39,323.11,320.91,305.78,293.89,298.81,318.36,308.98,308.18,314.87,305.12,290.17,283.67,290.93,302.94,312.88,305.50,291.08,279.05
2003-11-23 22:15:14+00:00,L7,391.34,377.37,369.81,354.27,332.24,323.93,320.07,311.29,319.12,316.35,314.96,315.55,308.79,302.90,306.09,308.49,325.16,317.44,308.95,306.04,310.58,308.80,302.93,306.76,318.08,315.59,287.17,293.79
2003-12-01 22:05:04+00:00,L5,,,,363.05,357.97,342.00,331.77,317.26,317.31,316.24,314.36,309.99,294.84,291.43,302.36,328.01,332.04,327.13,322.60,324.42,329.96,330.20,310.93,311.16,315.36,322.79,319.67,264.50
2003-12-17 22:05:10+00:00,L5,405.55,387.50,376.82,380.47,376.58,363.60,351.47,343.63,348.38,343.59,323.88,318.95,314.09,306.99,314.63,327.99,338.31,341.20,344.14,349.52,340.41,336.91,345.04,343.69,332.96,334.77,337.80,286.46
2004-01-18 22:05:21+00:00,L5,380.08,357.83,347.25,330.80,322.06,324.35,324.66,319.10,313.09,297.98,307.71,305.68,302.21,,,,,,,,,,294.31,306.50,310.05,296.85,260.99,286.86
2004-01-26 22:15:37+00:00,L7,413.03,385.96,376.78,369.43,365.22,362.79,347.43,346.36,350.22,340.82,334.17,334.29,319.58,326.53,330.53,338.55,342.08,334.14,339.61,335.91,337.28,337.21,336.02,336.52,326.97,334.77,337.16,287.59
2004-02-11 22:15:41+00:00,L7,403.42,392.95,385.87,378.96,365.49,365.22,357.83,361.43,354.65,339.19,329.39,329.74,329.25,328.12,323.36,338.06,343.30,339.58,333.45,335.12,336.65,339.56,337.38,335.96,328.47,329.87,254.04,292.02
2004-03-14 22:15:49+00:00,L7,,,639.20,,373.63,362.31,351.13,362.80,349.95,334.85,328.60,309.82,315.05,,,,,,,,,641.76,327.04,281.20,303.85,293.00,295.31,
2004-04-23 22:06:29+00:00,L5,360.17,350.81,361.12,349.35,355.95,360.08,359.52,360.49,355.07,329.77,324.58,328.70,328.04,318.43,322.07,331.73,350.91,360.16,361.03,351.97,346.80,352.36,346.03,318.32,136.26,217.73,238.29,264.49
2004-05-17 22:15:45+00:00,L7,611.80,636.50,605.17,382.32,387.02,463.19,517.39,640.38,600.86,626.61,595.23,634.20,468.71,,,,,575.94,,626.30,,635.64,631.83,557.51,325.84,314.40,313.85,
2004-09-06 22:15:16+00:00,L7,373.65,371.69,369.65,355.57,345.72,346.29,342.15,329.31,326.95,327.81,329.43,323.55,329.91,338.87,332.80,330.33,332.25,336.86,339.28,330.64,327.57,332.18,327.89,309.23,274.42,216.84,253.34,287.42
2004-09-30 22:10:46+00:00,L5,374.48,360.11,347.50,334.00,342.67,340.69,331.81,325.75,320.34,309.34,309.37,320.34,331.60,328.37,325.76,322.73,325.80,329.29,328.75,330.42,327.77,322.85,297.90,294.24,285.54,234.01,255.99,281.61
2004-11-09 22:15:30+00:00,L7,367.83,358.19,351.23,345.81,336.96,341.60,342.20,325.20,316.01,313.01,324.11,332.58,336.76,332.85,322.99,322.75,331.92,339.04,341.55,336.62,334.85,322.98,304.57,299.84,293.65,288.18,257.17,288.05
2004-11-25 22:15:38+00:00,L7,366.08,340.88,330.47,337.51,343.08,347.33,323.68,305.42,303.44,308.71,325.69,331.02,333.29,312.25,317.36,324.59,332.49,335.72,335.40,320.40,326.09,319.44,302.74,288.01,275.96,290.07,296.76,293.68
2005-02-21 22:13:15+00:00,L5,375.52,357.20,347.48,343.79,342.67,335.13,329.08,324.94,318.88,309.31,312.91,334.92,331.29,319.49,317.76,328.54,336.70,351.60,343.07,332.58,330.54,340.45,323.38,298.76,302.85,271.88,253.72,284.09
2005-04-10 22:13:40+00:00,L5,357.28,352.36,345.62,326.80,323.18,329.09,335.35,325.51,596.34,631.47,,388.80,421.88,,,,,,,,,503.31,501.50,496.18,545.68,575.17,557.02,
2005-04-26 22:13:44+00:00,L5,,,,,,,,,,,,,,,,331.94,338.12,341.05,336.03,335.41,342.07,345.42,334.92,315.90,147.81,230.78,251.49,264.38
2005-05-04 22:16:10+00:00,L7,352.37,344.43,332.82,331.16,327.84,328.36,323.48,326.02,326.82,331.17,339.60,336.66,319.35,304.02,321.19,351.06,350.99,349.56,345.38,325.58,334.42,334.61,330.15,303.60,141.64,211.19,239.59,271.26
2005-05-20 22:16:10+00:00,L7,,,,,,,,,,,,,,571.17,,,,,,,,640.31,597.32,450.77,639.41,524.83,624.96,
2005-06-05 22:16:05+00:00,L7,362.79,345.74,322.90,319.65,325.35,320.32,316.56,333.43,338.73,330.32,325.70,306.86,319.88,332.11,357.44,348.00,340.82,327.62,320.31,325.10,339.41,347.10,316.67,,125.38,211.41,216.53,258.37
2005-06-21 22:15:59+00:00,L7,373.64,378.75,330.65,323.98,323.93,319.34,312.98,324.77,333.22,,319.86,313.34,318.06,330.03,349.03,353.13,330.04,312.60,309.55,320.99,,338.83,,,,196.21,223.42,256.32
