dates,satname,nzd0373-0000,nzd0373-0001,nzd0373-0002,nzd0373-0003,nzd0373-0004,nzd0373-0005,nzd0373-0006,nzd0373-0007,nzd0373-0008,nzd0373-0009,nzd0373-0010,nzd0373-0011,nzd0373-0012,nzd0373-0013,nzd0373-0014,nzd0373-0015,nzd0373-0016,nzd0373-0017,nzd0373-0018,nzd0373-0019,nzd0373-0020,nzd0373-0021,nzd0373-0022,nzd0373-0023,nzd0373-0024
1999-07-02 21:59:57+00:00,L7,243.97,,,,,,,,,,,,,,216.45,,,,,,,,139.87,116.25,394.28
1999-09-04 22:00:09+00:00,L7,337.42,323.16,320.44,317.43,323.04,330.81,335.22,342.54,335.75,334.88,360.84,362.91,368.59,350.34,345.77,364.29,324.38,342.91,339.70,321.39,338.56,324.30,330.34,333.70,333.96
1999-09-20 22:00:08+00:00,L7,324.02,320.06,305.23,307.73,309.96,316.24,318.74,328.51,322.22,331.89,351.55,352.34,357.94,339.71,342.43,353.10,316.64,335.97,336.12,310.81,327.77,313.29,312.06,321.31,324.94
1999-12-09 22:00:09+00:00,L7,331.93,324.31,315.91,318.68,323.04,321.79,322.13,329.41,320.45,333.27,355.50,358.08,361.93,346.01,344.27,360.26,320.81,336.24,345.00,323.08,337.60,317.68,320.58,326.76,336.61
1999-12-25 22:00:04+00:00,L7,331.13,321.27,307.89,308.39,315.16,317.82,319.07,320.80,315.27,323.47,348.48,344.42,353.14,336.04,341.70,345.83,320.85,336.36,339.23,313.99,323.13,311.82,315.74,326.44,326.61
2000-01-26 22:00:02+00:00,L7,333.89,329.53,315.37,312.30,319.03,318.12,318.03,318.58,316.58,330.89,352.24,353.00,352.30,340.16,344.49,351.11,317.67,334.78,337.94,311.29,324.59,308.10,320.17,324.51,337.30
2000-02-11 21:59:57+00:00,L7,339.00,317.15,307.59,313.67,319.48,322.31,323.66,327.25,314.86,324.16,347.57,347.69,361.00,337.84,343.62,355.66,319.56,342.21,338.16,322.81,334.97,318.77,319.79,317.03,319.44
2000-02-27 21:59:52+00:00,L7,343.57,336.70,322.11,316.98,322.97,327.47,324.73,330.48,321.26,334.60,352.83,347.76,356.24,343.19,345.13,351.64,322.82,345.51,339.79,319.24,330.45,312.90,322.30,330.60,327.02
2000-03-14 21:59:47+00:00,L7,325.34,323.14,315.20,309.81,316.07,315.60,318.92,323.82,315.22,326.46,351.27,349.67,354.69,334.91,336.61,346.59,317.97,332.49,341.29,311.06,327.26,309.12,303.11,315.14,322.76
2000-03-30 21:59:45+00:00,L7,374.38,347.17,341.93,328.43,329.34,328.73,331.55,342.75,337.08,349.11,374.60,378.76,382.57,353.58,360.56,368.86,330.36,350.81,354.57,328.67,342.00,326.73,333.62,343.77,350.20
2000-04-15 21:59:31+00:00,L7,392.57,358.61,345.44,327.59,334.15,334.93,336.79,342.35,334.65,348.90,391.27,399.03,405.86,367.42,366.72,,335.72,,375.83,329.79,343.88,329.48,334.19,346.24,348.68
2000-05-01 21:59:30+00:00,L7,374.82,358.59,344.49,321.39,328.16,333.83,334.78,341.06,336.79,347.70,398.76,403.19,408.28,373.66,374.55,410.71,334.46,359.31,368.11,329.50,344.35,328.84,339.28,351.41,350.56
