dates,satname,sar2320-0000,sar2320-0001,sar2320-0002
1989-12-23 09:22:46+00:00,L5,,199.25,142.86
1990-01-31 09:27:43+00:00,L5,245.55,203.55,218.93
1990-02-16 09:27:12+00:00,L5,,,
1990-04-14 09:19:47+00:00,L5,105.18,197.72,140.38
1990-04-21 09:25:58+00:00,L5,261.16,219.93,207.83
1990-06-01 09:19:44+00:00,L5,120.98,189.47,156.71
1990-06-17 09:20:06+00:00,L5,,215.68,95.63
1990-06-24 09:25:54+00:00,L5,,,
1990-07-10 09:25:52+00:00,L5,88.03,207.34,105.73
1990-07-26 09:25:48+00:00,L5,,,
1990-08-04 09:19:56+00:00,L5,,,
1990-08-11 09:25:43+00:00,L5,89.32,199.75,116.02
1990-08-20 09:19:54+00:00,L5,106.42,194.87,147.59
1990-09-12 09:25:35+00:00,L5,,,
1990-09-28 09:25:26+00:00,L5,,205.30,96.92
1990-10-14 09:25:20+00:00,L5,,,
1990-10-30 09:25:11+00:00,L5,,204.24,99.43
1990-11-15 09:25:13+00:00,L5,,,
1990-12-26 09:19:37+00:00,L5,267.69,186.31,215.84
1991-01-02 09:25:37+00:00,L5,90.28,198.55,107.21
1991-01-11 09:20:03+00:00,L5,316.44,189.35,237.37
1991-01-27 09:20:30+00:00,L5,,,
1991-04-01 09:21:34+00:00,L5,,,
1991-04-08 09:27:30+00:00,L5,265.56,208.47,211.19
1991-04-24 09:27:46+00:00,L5,,,
1991-05-26 09:28:22+00:00,L5,,,
1991-06-27 09:28:49+00:00,L5,,,
1991-07-22 09:22:58+00:00,L5,89.46,198.74,138.23
1991-07-29 09:29:13+00:00,L5,106.99,199.18,120.26
1991-08-07 09:23:28+00:00,L5,89.88,203.28,104.31
1991-08-14 09:29:15+00:00,L5,,,
1991-08-23 09:23:34+00:00,L5,,211.43,99.19
1991-09-08 09:23:24+00:00,L5,,199.92,104.07
1991-09-24 09:23:55+00:00,L5,150.65,206.33,201.13
1991-10-01 09:29:43+00:00,L5,106.82,198.57,141.85
1991-10-17 09:29:54+00:00,L5,90.74,200.55,137.77
1991-11-02 09:29:52+00:00,L5,,,
1992-01-05 09:29:59+00:00,L5,266.49,208.22,227.44
1992-01-14 09:23:49+00:00,L5,251.41,208.84,218.76
1992-02-06 09:29:56+00:00,L5,153.71,206.59,211.58
1992-02-15 09:24:02+00:00,L5,145.31,204.70,227.34
1992-03-18 09:23:45+00:00,L5,79.49,143.50,210.85
1992-04-10 09:29:42+00:00,L5,,,
1992-05-12 09:29:27+00:00,L5,,,
1992-06-06 09:23:03+00:00,L5,106.48,195.42,147.76
1992-06-13 09:29:08+00:00,L5,,203.79,97.77
1992-06-29 09:28:56+00:00,L5,,,
1992-07-15 09:28:44+00:00,L5,,,
1992-07-31 09:28:32+00:00,L5,,209.42,98.21
1992-08-09 09:22:38+00:00,L5,106.24,195.66,147.88
1992-08-16 09:28:17+00:00,L5,,207.32,96.96
1992-09-10 09:21:44+00:00,L5,,205.23,106.07
1992-09-17 09:27:48+00:00,L5,,,
