dates,satname,sar1375-0000,sar1375-0001,sar1375-0002,sar1375-0003,sar1375-0004,sar1375-0005,sar1375-0006
1991-04-08 09:28:18+00:00,L5,,133.66,122.45,121.32,124.42,126.05,131.76
1991-04-24 09:28:34+00:00,L5,,135.57,126.48,131.17,127.87,135.88,138.17
1991-05-26 09:29:10+00:00,L5,206.59,169.33,177.60,174.33,171.12,175.82,187.71
1991-06-27 09:29:37+00:00,L5,,159.69,175.39,158.40,160.44,171.50,167.21
1991-07-13 09:29:45+00:00,L5,,150.44,153.52,147.64,153.56,149.86,153.01
1991-07-29 09:30:00+00:00,L5,190.07,157.37,152.94,148.36,151.55,149.50,155.31
1991-08-14 09:30:03+00:00,L5,188.36,165.16,171.83,159.08,156.64,163.16,169.62
1991-08-30 09:30:13+00:00,L5,193.47,165.12,170.95,158.19,154.12,169.13,162.26
1991-10-01 09:30:30+00:00,L5,183.16,157.22,143.68,148.70,143.34,140.00,143.82
1991-10-17 09:30:42+00:00,L5,193.01,162.31,161.88,156.33,156.84,160.03,161.88
1991-11-02 09:30:40+00:00,L5,190.70,160.51,163.59,152.68,152.92,158.63,155.69
1992-02-22 09:30:41+00:00,L5,190.01,164.58,148.58,132.05,132.07,141.34,148.50
1992-03-09 09:30:43+00:00,L5,,135.11,138.40,138.78,132.72,144.35,153.95
1992-05-28 09:30:06+00:00,L5,180.03,149.39,162.84,166.01,150.59,154.53,161.44
1992-06-29 09:29:44+00:00,L5,191.61,158.64,162.26,159.37,158.38,166.50,167.46
1992-07-31 09:29:20+00:00,L5,191.53,161.04,164.18,161.02,159.40,163.57,160.65
1992-08-16 09:29:05+00:00,L5,170.64,145.58,131.79,139.16,133.50,132.18,136.03
1992-09-01 09:28:50+00:00,L5,162.36,143.83,131.72,131.96,121.06,126.82,128.94
1992-09-17 09:28:36+00:00,L5,167.60,150.99,152.86,145.56,146.02,150.77,154.13
1992-11-04 09:27:46+00:00,L5,161.64,139.92,128.37,136.11,125.05,122.86,129.15
1992-12-06 09:27:46+00:00,L5,,123.01,106.74,112.98,109.95,108.26,
1993-03-12 09:28:42+00:00,L5,204.13,167.89,173.97,166.84,160.07,171.60,167.83
1993-05-15 09:29:01+00:00,L5,154.12,135.65,129.70,140.53,134.50,133.34,139.23
1993-05-31 09:29:04+00:00,L5,168.27,150.89,149.52,140.81,138.31,146.47,151.46
1993-06-16 09:29:02+00:00,L5,168.85,146.41,136.61,136.22,139.27,130.08,136.85
1993-07-18 09:28:56+00:00,L5,185.97,167.90,176.81,160.51,155.74,162.21,163.85
1993-08-03 09:28:56+00:00,L5,186.75,161.97,161.98,151.21,155.30,154.63,160.06
1993-08-19 09:28:55+00:00,L5,194.05,167.91,175.75,162.66,155.56,162.80,172.95
1993-09-20 09:28:50+00:00,L5,178.94,154.93,153.96,144.93,152.87,144.62,142.81
1993-11-07 09:28:34+00:00,L5,153.00,141.49,135.01,131.23,125.13,125.38,131.55
1994-02-27 09:27:23+00:00,L5,194.54,162.55,171.36,160.20,153.46,170.42,163.47
1994-03-31 09:26:54+00:00,L5,,164.26,176.84,164.99,167.83,175.62,182.65
1994-05-02 09:26:17+00:00,L5,175.91,,,,151.85,153.84,170.20
1994-05-18 09:25:59+00:00,L5,168.20,141.65,132.81,137.76,133.41,127.99,135.86
1994-08-22 09:23:41+00:00,L5,191.91,163.85,166.67,155.10,153.95,151.50,157.42
1994-09-07 09:23:17+00:00,L5,186.45,160.88,162.29,153.43,151.69,157.57,154.18
1995-01-13 09:19:10+00:00,L5,,141.52,125.09,123.66,122.14,129.36,115.87
1995-01-29 09:18:34+00:00,L5,170.81,144.22,130.59,133.53,125.88,124.83,125.97
1995-04-19 09:15:18+00:00,L5,191.77,163.96,163.08,167.20,162.71,168.40,162.73
1995-05-05 09:14:35+00:00,L5,207.02,166.74,181.43,170.19,168.37,175.08,185.76
1995-06-06 09:13:07+00:00,L5,178.76,152.15,150.23,140.45,148.13,144.75,159.44
1995-07-08 09:11:41+00:00,L5,191.24,167.03,173.53,166.83,162.34,165.06,171.46
