,dates,usa_CA_0296-0000,usa_CA_0296-0001,usa_CA_0296-0002,usa_CA_0296-0003,usa_CA_0296-0004,usa_CA_0296-0005,usa_CA_0296-0006,usa_CA_0296-0007,usa_CA_0296-0008,usa_CA_0296-0009,usa_CA_0296-0010,usa_CA_0296-0011,usa_CA_0296-0012,usa_CA_0296-0013,usa_CA_0296-0014,usa_CA_0296-0015,usa_CA_0296-0016,usa_CA_0296-0017,usa_CA_0296-0018,usa_CA_0296-0019,usa_CA_0296-0020,usa_CA_0296-0021,usa_CA_0296-0022,usa_CA_0296-0023,usa_CA_0296-0024,usa_CA_0296-0025,usa_CA_0296-0026,usa_CA_0296-0027,usa_CA_0296-0028,usa_CA_0296-0029,usa_CA_0296-0030,usa_CA_0296-0031,usa_CA_0296-0032
0,1984-04-14 18:24:25+00:00,,212.34781794665537,215.32420137432922,212.56730951346123,213.25675140768158,188.53885150045562,171.8541997095965,182.26118808777974,180.13240977309968,175.26171783712098,179.7526879719902,181.78783364228963,180.89560952912558,178.0694193996017,175.63385405159264,171.19164280047988,165.05928436967943,,170.78949202577056,171.97138685596178,,147.99819934212886,172.3270228863936,176.5530374758801,188.1165241907215,183.78724502439405,161.92494556492042,176.38905079371906,182.6341250955488,183.89055765044654,176.3315791891498,172.76796185430504,185.28048847106376
1,1984-05-16 18:24:53+00:00,,233.93720448254692,240.22475483688905,242.58469936209679,230.94662880652263,210.52917825104257,192.61069562731294,198.9088439459391,195.46043186782907,196.61675361218533,216.474582026208,213.24684471655192,195.04072105595853,193.77357159687185,192.4749513916563,194.12344618017303,197.9797617293648,204.10474345156874,207.86448938018333,202.63720134830083,190.8612958042894,181.90997053605125,176.388287297019,192.47329925917077,211.6719820007832,215.64682479704513,192.29726858079474,208.02994267726893,209.74200283375149,214.77228523654168,214.38253823453604,200.19081954039808,200.49369666387463
2,1984-06-01 18:25:17+00:00,189.43136379130556,224.26867142532666,219.46527609895708,227.66741929647554,226.16747700607675,205.38447906589224,196.14242674313192,202.43954696330923,190.98017269362455,202.30975019815025,210.54578072928547,205.10192976719514,185.5666027713697,170.34154097813737,177.9202889090142,204.95962310564954,213.3527346292073,220.79942829327766,211.03418719003741,198.41867723308386,172.46745594637508,164.4839052372788,176.09929554010603,188.26144099978603,217.46855225696984,210.69858102895716,191.7512308105088,206.84642970419105,216.45886365685362,222.4824733406341,206.80874882218222,188.86872993207612,202.33192426330157
3,1984-06-17 18:25:35+00:00,,238.92561818567128,223.00660803547646,242.05571521922496,243.89120133833572,216.73384565137644,212.72963245020148,209.65432166052804,194.66119386037838,212.29289552193222,249.59955259892575,203.02477694158722,176.66807703688357,173.16372254659683,196.002529574918,226.59905179338386,216.4547858991666,216.98544537135803,226.84294793159006,202.99892628138286,189.5267391269208,178.68019142772658,178.64780051974765,215.7875832869841,232.44013136873176,211.63489388386228,198.05543542460344,211.58454955882772,218.22648209141954,229.21949990563186,213.88658832887822,199.26481128391876,215.97073286889264
4,1984-07-03 18:25:46+00:00,,236.65175203846638,216.28376985512347,244.7714639860829,242.51786363779036,217.7159028508069,199.2926387963446,208.93503464502894,198.3470129559495,237.14609628833335,237.6431226532479,206.01019041387028,179.8217836370082,174.44562064147811,206.41939498001864,224.6838448516142,226.62737103161118,232.63747654780104,210.40570754442416,188.67121243063826,186.00378471983143,181.80854000583437,197.81442760573108,208.2602523991394,224.71007163307058,194.19504749427404,185.7614391855154,222.09435693153983,238.72369893450207,229.3012085735189,217.42516749464932,207.33133553369692,222.55750899919016
5,1984-09-21 18:27:21+00:00,214.19187706848777,206.4023082853174,200.91404359365902,209.45592286226335,203.53180449253898,200.6031891038215,233.63320987075514,253.14687375286377,,230.17877985820115,212.87757731144842,203.94066249242553,188.78810353582224,184.3097806726903,208.39168443555985,229.33081729314694,215.26001239783182,198.00533863070928,200.79751960964182,195.9472128708179,181.87321143766636,181.8173934330868,175.30621726540585,188.8886863443159,211.95726671120917,203.86385827058132,201.9408897882692,227.6314379641031,224.49473346043197,210.0644100082153,205.71846999814227,189.14222068856742,210.66511810526768
6,1984-10-23 18:27:16+00:00,179.37577463092447,199.64715826039992,208.18198924030386,212.63549010343354,209.0739380972861,211.31993766912893,214.20287023931564,218.08210118467994,200.30464194520812,207.9467211389758,205.20175569999282,200.79849958781006,187.6136762384919,187.4212379259505,186.04755107540458,184.66796883036886,188.33146179841475,193.0049984416633,190.6545823004005,183.24419128539964,179.03611711738426,181.9113385704684,183.19262961612742,183.12913717341456,184.84900925403824,166.82363566881165,168.80875703181587,195.82895419350538,199.53233593985522,187.65251769780753,182.37424230386534,182.6908654050194,204.63753450830538
7,1985-02-28 18:27:41+00:00,,218.7695838335949,218.3909160551117,227.1338341822105,217.04820992341507,211.80421420352053,236.47846765806318,221.7115621032342,199.74308738812803,210.6210945880483,216.75145121492625,218.64236076644283,217.97346684866298,222.3120090388183,222.869521845897,217.26202963169388,211.10251485487373,190.02785362266516,196.26456848702767,194.79843315536442,200.72518075548703,220.6259578953896,216.93908104290142,204.19358035486061,214.70450695326275,186.98455095881602,166.30422707022447,193.04817224886511,223.6695327961337,223.64087800073958,209.43498962853118,203.10201246098518,218.42516492189307
8,1985-05-03 18:27:24+00:00,184.61198191261522,190.63295938540045,188.979353523123,192.39605745086442,196.3593605030093,196.40224238666116,,,,168.4384671358561,186.45857114213285,187.523605969939,189.00307065394566,,,,,186.0898456725857,203.70358779071566,203.77912393244762,193.96422680349065,182.47570276378298,,179.77823016147696,178.09407358209012,175.11701359403946,167.0921792222391,192.12689238876595,197.29061625941225,188.8220440229723,183.1044182475287,189.32497288663603,199.58629329879756
9,1985-08-07 18:26:58+00:00,,,,,,,,,,,,217.50448545756288,213.61532016185765,219.9533993869856,216.9294016722548,217.08708182772943,212.15567400995894,194.37497343826823,225.92103619217667,239.88817057116222,234.5487162150021,221.60896570607522,232.7079021107748,217.65572929466813,226.77094915862892,205.99176945330407,199.3606331132924,226.51616509379303,215.59475725055654,208.9810730136591,199.24318453857603,204.20228816845048,244.71836044677949
