dates,sar2319-0000,satname
2010-04-29 09:52:08+00:00,163.29333333333332,L7
2010-10-22 09:52:00+00:00,183.53,L7
2010-11-06 09:55:32+00:00,181.275,L5
2011-01-25 09:55:40+00:00,185.66666666666666,L5
2011-03-07 09:49:53+00:00,187.6775,L5
2011-04-07 09:59:21+00:00,187.16,L7
2011-04-08 09:49:21+00:00,188.57500000000002,L5
2011-05-18 09:53:07+00:00,193.746,L7
2011-08-13 09:59:08+00:00,188.488,L7
2011-08-29 09:59:06+00:00,187.75166666666667,L7
2011-09-23 09:52:49+00:00,191.43666666666664,L7
2011-11-10 09:53:28+00:00,190.37199999999999,L7
2012-03-17 09:53:40+00:00,194.58,L7
2012-04-09 09:59:47+00:00,173.64333333333332,L7
2012-05-11 10:00:25+00:00,173.51999999999998,L7
2012-05-27 10:00:16+00:00,168.4725,L7
2012-09-09 09:55:21+00:00,172.642,L7
2012-10-02 10:01:21+00:00,172.708,L7
2012-12-30 09:55:43+00:00,186.09,L7
2013-01-15 09:55:41+00:00,187.0575,L7
2013-02-16 09:56:09+00:00,187.35600000000002,L7
2013-04-12 10:01:45+00:00,187.07500000000002,L7
2013-05-14 10:01:36+00:00,186.89000000000001,L7
2013-06-16 10:01:55+00:00,181.27166666666668,L8
2013-06-24 09:55:09+00:00,182.72857142857146,L7
2013-08-02 10:00:59+00:00,184.9366666666667,L7
2013-08-11 09:55:10+00:00,180.33428571428573,L7
2013-09-04 10:01:59+00:00,179.70714285714286,L8
2013-09-27 10:07:36+00:00,180.7075,L8
2013-11-07 10:01:18+00:00,176.65375,L8
2013-11-30 10:07:21+00:00,176.3825,L8
2013-12-09 10:01:09+00:00,178.56666666666666,L8
2013-12-16 10:07:15+00:00,182.57333333333335,L8
2013-12-17 09:56:16+00:00,182.805,L7
2014-01-25 10:02:30+00:00,182.497,L7
2014-03-07 09:56:21+00:00,181.4225,L7
2014-03-22 10:06:07+00:00,182.74777777777777,L8
2014-04-08 09:56:55+00:00,182.39555555555555,L7
2014-05-10 09:56:49+00:00,185.89111111111112,L7
2014-05-26 09:57:19+00:00,182.58599999999998,L7
2014-08-06 09:59:34+00:00,178.01999999999998,L8
2014-10-08 10:03:40+00:00,180.22750000000002,L7
2014-11-01 10:05:55+00:00,181.144,L8
2014-11-02 09:58:08+00:00,181.6783333333333,L7
2014-12-12 10:00:01+00:00,189.124,L8
2014-12-19 10:05:52+00:00,189.705,L8
2014-12-20 09:58:05+00:00,184.49857142857144,L7
2015-01-13 09:59:36+00:00,185.2475,L8
2015-01-28 10:04:23+00:00,186.3477777777778,L7
2015-02-14 09:59:45+00:00,187.0288888888889,L8
2015-03-17 10:04:43+00:00,187.11,L7
2015-03-18 09:59:08+00:00,187.21454545454546,L8
2015-04-02 10:04:49+00:00,188.5616666666667,L7
2015-04-19 09:58:56+00:00,187.7325,L8
2015-05-13 09:58:59+00:00,185.14545454545456,L7
2015-05-29 09:59:26+00:00,185.10000000000002,L7
2015-08-08 10:05:33+00:00,186.37875,L7
2015-08-17 09:59:24+00:00,185.54125000000002,L7
2015-10-03 10:05:45+00:00,181.52166666666668,L8
2015-10-12 09:59:58+00:00,177.5557142857143,L8
2015-11-28 10:06:37+00:00,181.214,L7
2015-12-07 10:00:35+00:00,181.85666666666668,L7
2015-12-15 09:59:41+00:00,182.3242857142857,L8
2015-12-22 10:05:52+00:00,183.7125,L8
2016-02-01 09:59:36+00:00,183.74777777777777,L8
2016-02-09 10:01:48+00:00,179.15555555555554,L7
2016-03-19 10:07:51+00:00,180.47333333333333,L7
2016-03-27 10:05:26+00:00,181.29399999999998,L8
2016-05-15 10:01:57+00:00,185.02777777777777,L7
2016-06-16 10:02:06+00:00,189.32857142857145,L7
2016-07-18 10:02:31+00:00,185.77714285714288,L7
2016-08-10 10:08:21+00:00,191.39166666666668,L7
2016-08-19 10:02:11+00:00,186.0914285714286,L7
2016-08-27 09:59:43+00:00,185.8475,L8
2016-09-04 10:02:15+00:00,185.76555555555558,L7
