,dates,mex0561-0000,mex0561-0001,mex0561-0002,mex0561-0003,mex0561-0004,mex0561-0005,mex0561-0006,mex0561-0007,mex0561-0008,mex0561-0009,mex0561-0010,mex0561-0011,mex0561-0012,mex0561-0013,mex0561-0014,mex0561-0015,mex0561-0016,mex0561-0017,mex0561-0018,mex0561-0019,mex0561-0020,mex0561-0021,mex0561-0022,mex0561-0023,mex0561-0024,mex0561-0025,mex0561-0026,mex0561-0027,mex0561-0028,mex0561-0029,mex0561-0030,mex0561-0031,mex0561-0032
0,1984-05-08 17:38:22+00:00,202.4008803015418,198.70958342849266,199.1243764797991,198.56750666422352,201.8555791476433,205.37417026660563,206.15784112468006,199.84917928391673,199.07391219955082,195.753912199391,198.51137150009697,203.984957004953,199.49053759507987,202.06785948500064,200.04145486121618,201.6194006766828,194.71919382682637,194.79270017763247,189.9353130706802,192.0938614444857,193.45905029660523,200.43417582230867,196.5959344729024,193.1298260212337,194.74554024846304,190.2509347417999,176.73887053330284,180.99184780896866,182.78793140042458,177.29416001401597,183.24180951239742,186.83039751108768,182.97175216949475
1,1984-10-22 17:47:12+00:00,195.2701534349285,190.167021849373,188.3889931307813,190.40425161752813,199.32480106832233,204.68259366852234,215.32591039348986,209.20134308448255,207.45162323204718,207.74109978170785,203.54357578730304,195.1682482962434,198.62757035920544,195.72716136385597,203.68440058039124,200.87350968812262,203.65503232405783,204.58499744609804,197.90728553607084,197.79429816427717,197.81400162317414,204.26901724115186,195.35371950848526,194.85785454220155,196.72639017151155,193.5313362844133,193.8387919641186,195.15486480643608,195.94449257471487,185.222313846004,177.1585134832535,176.67741881576268,173.5557769945348
2,1984-11-23 17:47:03+00:00,186.46700281603933,179.53178276827376,177.93268960253712,189.39935047475834,193.92417516159222,193.95863379881632,206.1793395522265,200.72046891657845,190.17440969521894,187.8662930319663,190.30719332198242,186.38386392964827,186.70769983979463,187.83126152418427,192.049101218485,185.3646844133803,193.95221043614956,184.52342282274486,181.78544575010312,186.26988954501977,182.95320925762752,183.21962362633707,179.3877810953541,183.3182359284703,183.51789421257422,181.9120438655995,185.41812634345865,177.63895697671208,177.2923654226421,174.06399023038085,160.35975603874076,160.9192386996098,169.337314467231
3,1985-01-03 17:41:15+00:00,194.6127568223694,181.75899726294912,173.93689302947632,174.3653141155323,187.2740400239745,190.71905558816295,199.8768860400487,205.6944865333809,196.6191871657458,200.50918483404476,200.77655357101864,198.28307031772445,191.97076245329848,184.4944254541821,190.35558358581525,181.16318314005792,187.35887291487634,199.7702332020655,189.8740381165838,192.3005406970187,198.89077018155248,198.22751072479812,183.45781486751392,174.2294179328252,178.4091070263898,173.72715504598148,175.7898065929917,187.54629275855913,187.18800003524126,181.48880361871852,171.4732917661002,180.98455890026338,158.72754763673828
4,1985-01-19 17:41:20+00:00,184.5501561441318,171.29353857447668,169.7551093631512,176.41612362219138,185.20207263175254,184.68704502703866,191.4174486187249,190.92355627513484,181.5664985323643,190.6636656183835,195.2062856905583,187.88496233513928,185.9871022457855,186.25635602971863,188.11683797558115,177.19000302497113,182.86045464495717,180.67772021674176,177.4514149799569,182.1517845994314,181.81624228920168,180.67770651584328,176.6520737695113,172.58775355022493,166.31979516021346,163.71427200752618,159.28667090781292,167.7178569218493,170.73665699264888,175.82595219448496,161.48274342164592,163.45717849596662,156.80522809963156
5,1985-08-15 17:40:38+00:00,206.13812942204225,204.86650454473735,204.08553177137532,198.80608139874582,202.2467816599024,206.07146944977373,211.9700801827019,206.2581871650673,211.5217147714018,214.34087886387385,211.6404221145936,207.88091191482675,208.5339654347042,198.3397971609416,195.84039214494445,196.71712106783235,193.53993660704057,200.91066404316211,206.59881011295172,205.01372201161337,203.1723364295912,210.05391900241074,198.6200538574718,194.1043065774785,192.90707799581887,193.51401622928802,188.08853296689676,199.12126665371787,200.5994807547529,200.1348553694313,192.91316507651624,195.98147056961847,183.78122652395504
6,1985-10-02 17:40:05+00:00,194.38093797861484,191.40150098536571,188.47136960736105,190.54389968366678,209.8100891888109,213.45451029765673,216.31126187352447,215.90931180473873,211.18272643195684,198.9391187459857,202.4699919343562,194.14427791494776,194.42986552557014,198.08898939407396,210.36663891814595,202.41209177239858,196.34865198001756,205.77092286478816,199.453397164062,200.40920858546633,196.80114827809012,196.86197633392752,192.16784686882892,199.70561108751323,206.09947650848466,203.7417105074206,198.6814269972536,203.1056237059166,189.22617232324052,188.20719390375604,179.1228942815245,179.42865435862515,174.659765263517
7,1985-10-18 17:39:54+00:00,199.3137334986706,189.99566449945283,197.35432459523327,200.30654971457494,203.466634135973,206.28801917775758,215.1697716924715,202.20205056795436,191.64402656989634,196.34467184982947,199.46188190984788,193.09341915649935,204.19518210789266,205.52457880999287,205.90666849217095,201.9724541097638,203.98199864439226,195.34824207134392,191.57230689967048,195.64964230742314,188.4770346330793,191.01656816665295,195.65613695386028,197.67392824842716,195.13103754965266,196.60936285823215,187.37775172446288,193.79757138677485,191.8521815310464,190.9151908321748,180.6118152969839,183.82694916369917,183.0166213622111
8,1985-11-03 17:39:41+00:00,195.05793569768426,186.4243859941035,182.995410543975,195.59890649314931,203.31767045649758,206.36436174186224,218.40427618132492,209.88588267202107,200.54989131618908,194.17210248840468,202.53575228775924,194.90817248175605,203.66657691754062,203.92215140907564,206.84424987542255,198.901394987173,203.61867055490532,196.87570945012894,190.93559551551536,189.6297875390528,194.11421210679936,193.14045677669017,196.6109496956251,196.57355483736606,194.75136263281095,197.74730888293524,196.43237452015282,189.35595887840702,188.69099841544863,186.62435578630388,177.56658896413114,175.52182541073472,179.46548413742562
9,1986-01-22 17:38:12+00:00,184.36238423376525,170.30391200061467,177.05532980980934,181.3015491065012,193.0571379747581,195.32348001419618,209.26994704834254,196.66559981518134,186.91480726490272,186.9188283979,191.05415868729904,184.5101334703609,194.8355769352316,191.39969477989357,197.01881844469222,189.68597472863826,195.12673438286976,186.19860206469113,182.5179077741478,186.2887353644992,189.77871508227463,185.76149937363792,186.87226086954774,187.4435215620539,179.05096510512436,178.53002562359023,180.43913275592377,173.26539205371915,173.6158412608757,175.22534855772327,157.72974329601232,173.72288818144483,166.26990918855137
10,1986-02-23 17:37:28+00:00,198.09703708429743,185.8228306668382,180.64326589726406,182.33065391301486,193.25921173129828,197.9975992311393,205.526633426571,205.47002916376442,205.47532386527058,200.15406159874928,204.15799703942315,187.67799822475274,181.00084974250183,185.95015408890123,191.4308594176692,188.13121320301298,208.00368767157812,205.0953117505699,203.82999111314132,198.40573601675973,200.38705531050235,190.70370985370027,182.52172464487,181.09860000706954,182.70625397743544,182.62679573136018,186.4766100721736,190.35104749037393,189.44438396179595,183.17778171346666,180.66317217637285,172.26864043932054,164.92415553931474
11,1986-03-27 17:36:49+00:00,186.13308909665625,182.7300091190684,180.96809833376608,182.6573061630478,186.76909495208102,197.52235131735927,198.93257930218002,193.9381304221551,192.73270836535934,196.97069353166083,186.999966900422,179.9921659300278,178.35329783704617,183.6460248195582,188.52276546054765,192.98198717543724,,,,,174.82271848915414,182.4175124655518,177.60867520919672,176.13046203838243,184.70745293524746,185.26544473819746,183.8870153046344,175.2418655551803,181.35212118236825,174.93500389653659,161.84952487401796,160.12208578341418,159.42585587421442
12,1986-04-03 17:42:51+00:00,201.95205768285598,190.5132467127689,187.64101021008486,189.37741088719082,200.26807526041458,197.04349246129212,205.17416426605234,197.76356871744449,196.85352512896492,193.94109302305625,204.13700364663657,189.43374592216654,185.2753069622011,193.69865789108928,195.73614186788768,191.11949007234963,197.0967433408509,198.61649847387838,191.60817486477433,195.69565310421098,192.493255926169,195.6830476182118,185.42766191506635,186.77736279004174,182.38777108172388,176.94872360919223,178.95709450894418,183.7468685809673,184.59093725317274,182.5047101907371,175.08187363897656,176.58468276667833,164.98164428863294
13,1986-04-19 17:42:29+00:00,206.1186634588892,191.06980224952906,190.18594269489728,190.9244581611693,194.36908525651606,196.37312992814358,204.7376176724893,197.0482091185797,193.47703729828484,198.7089901861434,202.04926571680312,192.71809255085677,191.0846781683648,199.69077844763228,198.83073621251808,197.33496988074384,205.31224520986035,202.54714224935913,196.39588671730252,200.05074716443053,193.76475229204306,199.8435899749186,198.25071452360848,194.26355650378707,194.16009671817994,194.4790941673721,186.99657877472734,190.68813908708702,189.79244556112045,187.11399266174797,179.54591970955386,179.7939449159922,176.4044008956168
14,1986-04-28 17:36:05+00:00,203.1266181956976,194.33363539200158,196.33336558391326,190.41220695378132,195.45160751545126,200.5361787254317,201.7068255625036,198.08415083195806,204.39002312712032,205.6323216753786,205.67379461313098,199.95172757985935,190.10829020959682,185.56619414728974,190.17622722432023,192.14084891441698,192.2388098326929,199.605234724803,200.62427312505304,199.82475685383153,198.35020238647573,207.37131698278202,193.36520642596975,188.20708625241218,188.3473845899047,185.19567253572282,178.69377817771962,191.4556911734751,189.5907786920296,190.27254084961663,184.5514985556903,186.5712515390101,171.14550171180386
15,1986-09-10 17:37:51+00:00,198.90285677657002,193.2249555518595,196.27437287742578,196.45711149784032,202.87695803069246,203.15683809825603,213.93514761016235,204.20708655251337,208.38665050690372,209.8844681867421,207.44140711448944,193.504166361466,198.3014790642891,207.78458255576456,206.05371749563625,202.27834577404727,206.77535659429697,203.99683622508365,200.00711568885882,205.50878909063653,203.73103894724963,207.7474926274908,199.032159903863,199.22100902709408,203.9938606008354,193.73056966762772,194.64560536312266,196.83405211989768,200.75284315691718,194.64965424961846,184.96574518294213,186.353133427193,182.66458087723183
16,1986-11-29 17:35:30+00:00,186.78577430690217,171.91707450431838,178.0438532245732,176.46241224880816,191.1015269508182,196.39131987506767,202.7786225050571,200.47349965260628,195.1367993603566,198.39298794249567,200.1782660197154,193.58934859850308,191.1329492647181,188.42443812581593,200.9155386549971,192.80998312121008,195.13458877746973,196.01179485217702,190.43662678340127,196.1216848478146,190.5832941144761,193.38342589189233,187.22800184804402,180.88516778062487,189.53873216141855,181.25698968427514,178.57332142905764,193.2913409419989,190.98064669075325,182.25828872289617,169.73695184685616,172.2979430276042,165.1767656845651
17,1987-02-10 17:31:36+00:00,,,,174.86276814897366,184.99279939700395,184.76683770354126,176.90610207364406,,,,,192.6172602090432,184.2276957329187,181.22254206125828,190.0583335091957,173.19424092161574,175.2607383237298,175.3803613579316,173.95003202008627,172.38000298715934,179.0012399007236,180.75467897399764,177.08019156027115,175.975353200958,,,,162.3250822795564,166.71778406358578,168.0226665638122,161.4361663946652,160.62684202274073,154.4608136619626
18,1987-02-17 17:38:03+00:00,186.84629337084635,176.0843820907254,174.69684475131808,178.34352141958774,193.4699056024734,191.27455278911393,199.8385270979027,198.6141501565494,190.74728215175764,194.76843493926273,201.87039930297354,193.76296789985525,188.83474045776347,194.29829986005134,193.2006802816054,185.70326192150478,193.73239774798486,195.87213297887703,190.79994351152573,193.27587610912343,189.25498253736285,186.40712793793384,181.17492478479232,183.98929220725412,174.99939781622805,177.7713925459448,172.57958026856159,180.61125870122368,182.21852184846065,186.99084762164546,173.86391604938748,172.60789429948917,171.34588604948507
19,1987-04-06 17:39:49+00:00,198.08781038784895,183.56467250122347,186.15870001145976,189.80727824674517,197.89726591713787,197.02774911962285,203.6909379680805,198.48759391467567,192.38567066974414,192.3736903915597,197.24937929110524,189.5677194787938,191.35154207074388,193.42753076087155,197.0938238676941,190.69857107600998,197.81840081824268,193.30298072942972,187.76814640596746,183.6213650413127,187.9938954110717,192.4780739847297,187.81304706955697,185.18375730103864,181.09499741369336,179.41412696909563,180.31650681271287,184.4378214865696,182.36766117323594,178.7763522254095,171.02177714267472,174.03900035756902,173.88180238149073
20,1987-04-22 17:40:20+00:00,198.82469281949935,181.83757198233764,187.70162755503745,188.4109774770502,192.52635948929657,196.63890941443833,205.91201469915208,202.51132261135018,193.96412295135065,197.65473471460984,201.19014084880124,193.2017441679264,192.06686561964858,200.0452970479572,197.08720461576038,195.7054370134159,196.79789462474108,198.26706149762433,193.49674259629387,198.00192769255727,196.2898432235074,197.41565571201252,193.52628623803284,186.77851048703306,187.23853233290055,187.56398516798419,175.8883355481538,187.81466747590338,179.288965655539,183.458707802699,176.49077188470054,178.11741602796735,171.2363662231255
21,1987-05-01 17:34:25+00:00,209.9284547334912,188.1513730044906,187.3687869951711,190.74360012237625,195.18198108668565,197.534401600286,214.77412780464167,209.01697684229057,203.34580463786745,200.15444340373634,209.02985920116458,192.3693557776895,192.67476638602398,199.2229955453408,196.66219442867333,195.01634457972744,201.81612094003486,202.16547152810386,199.48871770892777,201.38952468155873,198.70990271441386,200.8531256030305,193.49176017661432,192.3888117098907,191.3557176095006,190.61666114324072,184.13571876377932,188.24336874615088,187.8451622462209,188.64944501408465,188.43174275596064,184.20608488498874,179.68508327275353
22,1987-05-08 17:40:48+00:00,196.2990352022531,191.0186181754537,187.25267938834997,194.25252792222713,200.126904827533,198.60681738437032,205.1232467418781,205.92497626491158,197.84660009778628,193.30686153646712,202.8062538012857,192.4166251323013,191.21476878899796,197.07741973978702,196.27235860818425,190.57856798425559,190.51023274503066,197.94949443776468,194.3231747463433,194.60984244671138,191.63859812082697,199.76796768133954,190.3203360324633,189.09285151070833,186.55396228893358,183.20813148596997,178.957740916835,183.44109025956797,179.33984079232192,182.39608103652898,176.80122643107234,177.53574299513312,173.35862097753048
23,1987-08-12 17:43:08+00:00,197.28712221794018,190.57919597382056,189.65263736901665,195.67083482610622,200.53663080163776,202.36884460744815,209.2967377266715,203.6049729802497,206.806475142896,200.85700857895634,204.64895857980827,199.2366883390586,195.9592203916516,198.81060230374226,199.14838749953554,200.8107668238448,196.81600214538065,202.20390956272416,195.98951141683284,197.6119123136085,198.62082657123958,206.4864039001946,195.85284240451176,193.75469623515417,197.3543263178858,192.57755127531013,189.11329224189143,194.76136888278177,190.60370592278545,191.1516679657268,183.55662889434652,186.93791388241473,181.14995762263555
24,1987-08-28 17:43:35+00:00,202.7102851567576,193.6098413918853,193.063198307421,199.91272821838172,204.21373792235872,206.16654178491603,214.36323154764145,208.38228070146172,208.76620099617597,208.510322844277,208.82021804730945,201.46415886356752,198.2821283369897,206.8552754943827,201.63837369897914,201.92523536868657,203.57473932075519,204.59376800539718,200.304495994227,199.91640481769022,201.99822443748215,209.41827207564785,200.863265262071,198.23046862588888,201.96272091399314,202.55929295265477,194.83431434875058,193.81255136855353,195.57661502695206,192.85115088791542,186.51870254587786,190.0667513569889,186.22691933624375
25,1987-09-13 17:43:59+00:00,204.8842600803182,198.29866437895197,194.20688597077725,203.07040186317965,208.32123498719625,207.07796314212038,213.57379583583239,208.43369083200975,205.51385430533549,206.10894460882147,212.38617722599108,206.9059408145992,203.45986229859489,204.84638472241295,206.57664297266842,199.41014924771648,200.29005681639393,210.2820013176879,202.22050791971552,203.6368495120036,207.3321631102825,206.49096516667402,200.63522552888332,199.55153018165296,203.79220167818963,199.2825062161562,193.4074986209584,198.6735469355732,196.7738426225002,195.18212143350735,190.32704442843786,189.74094086646326,188.36054610159619
26,1987-09-22 17:38:00+00:00,164.91795250633612,186.11227136736787,185.69269760383798,187.29458519302233,187.93912414089368,190.91250998566147,204.7202905333309,206.90134561309145,209.1948644670041,188.72305903154003,200.37006266174475,195.38403887326072,194.90175010047616,194.16124043800355,207.80033909181512,203.51028175319163,209.7194755703854,214.5290878097595,204.7933167760096,197.91820576015425,191.2158722184814,193.95737778256148,173.29903594962977,,199.21224636179136,187.2549923822462,168.37512605994172,,,,,,
27,1988-04-01 17:41:02+00:00,190.71083622686191,185.55055176060594,187.95562232656556,185.5627143932949,194.85751750395548,198.49977372250754,204.99606870270037,198.49039315661526,197.5814407879934,194.37223547542848,192.62738019229658,186.62310525471588,183.36155643274665,188.6967345685438,196.68281277580732,197.54127911330772,199.45315835318792,196.85139709407454,191.27093746283325,192.74635870483533,185.35252930179144,191.6737696347306,190.96721231076802,179.545220709856,191.56162348156627,189.29259462309543,184.4452575032977,189.06959148174712,188.8098373614478,184.0063456360311,178.21564771904698,184.69585694625047,169.80312132534002
