,dates,chi0074-0000,chi0074-0001,chi0074-0002,chi0074-0003,chi0074-0004,chi0074-0005,chi0074-0006,chi0074-0007,chi0074-0008,chi0074-0009,chi0074-0010,chi0074-0011,chi0074-0012,chi0074-0013,chi0074-0014,chi0074-0015,chi0074-0016,chi0074-0017,chi0074-0018,chi0074-0019,chi0074-0020,chi0074-0021,chi0074-0022,chi0074-0023,chi0074-0024,chi0074-0025,chi0074-0026,chi0074-0027,chi0074-0028,chi0074-0029
0,1985-03-05 14:07:05+00:00,202.89373637224867,197.87845892670146,184.31833352342792,192.65077963999985,192.2390720287407,193.9089182213474,202.14119954352992,197.7211043627722,212.80231673785664,186.717114755276,200.95404318378598,191.81589856391153,197.54866590651127,200.63583731350138,197.59854168603476,217.69825061620784,224.5622741585808,209.98632790138,203.12414472009937,201.17071923905218,207.1608463461505,206.62006475518626,195.23924602142262,205.9454317707204,212.35383970564573,214.54315297168188,218.11040694449824,234.12530959320873,237.40268519853305,224.1992642961956
1,1985-03-28 14:13:13+00:00,192.6546974093227,191.81015820955392,181.29369388400374,191.11790941807658,191.11781961514714,191.63860541117515,204.43478846742633,197.5343588977906,212.0416380666985,182.92341738152203,204.24211536141004,196.73025718962947,201.0459159649071,210.1001471724622,207.50657816276942,218.24902509739405,221.9042705066769,210.60503712390135,207.3233312581709,197.04060190201633,201.61492200247275,207.35304943528936,194.67245493866454,207.98558042896428,214.37591759972628,220.53008030102384,228.52775704495815,233.17556969457297,232.35101396064832,226.2938928269164
2,1986-02-04 14:03:35+00:00,209.76974806956338,203.92912605403382,196.11758986076683,210.52253798258062,200.64462313484424,196.900656026975,216.25476244079152,209.6880392891896,217.7586651913325,189.93898515249685,213.49368481743616,199.4888139627366,203.5617562928131,217.36161488800394,210.46979771570645,236.63223784223598,238.18893577076443,224.447820809383,217.8513767005419,202.6906854565431,210.09730314825143,212.3978551475241,198.87291285447483,217.50624287629796,223.98252395499642,232.67831617043382,241.4627996587164,245.35866683366174,248.10661146183162,241.9218689001963
3,1986-04-09 14:02:13+00:00,,,,,,,,189.05501143525845,204.99021940150936,189.50945854125587,,,,196.06905256031274,191.28833431950417,206.52157572995895,212.96970775291436,203.11879598404374,196.33205154251718,191.97093907732238,198.91512837606552,210.51839173487895,196.33937526712018,199.2228108927156,210.4720471748947,219.31344768373012,207.67889367784696,,,
4,1986-07-21 14:05:23+00:00,194.89716053312804,191.3316375668918,181.06148354351595,189.4260539352193,186.2725610457063,190.31060150813448,190.95881634168646,190.66397154369326,202.85359428354212,175.53334849765207,186.80784805392,181.91157495312288,184.30737626531163,185.62528531339802,180.21822330658182,200.06073756522855,206.48132203219816,196.670278160422,190.19766320930472,188.09232345546138,193.89337097835497,198.9290560740214,188.07470649441896,200.79816433184448,204.09407761274906,205.73745456973987,206.36498964997776,217.0325924913334,223.35073941562524,215.75808738100096
5,1986-09-07 14:03:37+00:00,189.4974876284013,190.3522201857457,179.70035703901382,188.1545589243437,186.6472391529109,176.5309353770964,185.292259471284,191.2547756279204,199.68396397670566,173.5123613755791,187.96434469878656,183.62316322701255,178.6588452127351,186.29368851484907,179.12958077468068,202.9510458943376,203.11269504016414,198.02766958642155,193.4192377470415,192.222893083781,195.88294179933803,195.09277012038496,187.08892299608885,200.87820386040096,208.33241436483974,215.27472179488103,217.87162597165272,220.9279962172659,227.76637875759806,213.40198464993458
6,1986-09-16 13:57:10+00:00,201.89125019845443,197.9019364729313,178.01278708082154,187.0705812112708,186.77001992797577,182.75514047269007,184.27655795298878,197.0251781214467,209.99703114713645,181.92348504842457,196.30313954445467,187.88171418276303,190.92149766943777,190.61934308289148,180.52477672773887,208.52844743397384,209.65999045702662,201.23774595229833,205.06220242909205,198.30847066084675,206.17813281466556,207.1702128840509,195.902093172676,213.20628083032375,209.86570404087018,214.0068013663471,215.09704015437802,219.6828101627559,221.14023974062897,218.09981695540853
7,1986-10-18 13:56:08+00:00,178.13280398684446,181.66470274376272,178.0260743962193,187.589451630001,183.03943921231468,186.45880154859594,187.40637405209503,177.22569472817142,182.08034548171383,169.2989104578234,178.41206305691512,169.34668483076442,179.46464867557094,184.41824426527023,180.0611599045194,200.6716461495316,200.9460231646817,203.5209512236857,188.24857786556547,185.88505822730627,182.74387183458418,185.1035498527795,175.76857832952203,189.6100123634409,205.00342122366192,209.7896665736468,212.64576766297296,215.14668566083725,218.08414079963205,207.56907122004802
8,1986-10-25 14:02:04+00:00,212.7783374901125,206.4267251870271,186.6913723674585,199.48770713152948,199.05763445712563,198.01058504287397,216.45104723885282,210.9887275227127,219.9148102046272,196.5156233961545,212.29412562049308,202.95157365061874,205.50890069499889,212.8972666852008,194.99642709985585,226.4136339331385,233.3029458849728,221.4435450174495,214.82008889973213,199.46256920013536,208.7626970058225,216.26909519365668,202.8505327239046,221.08569493665328,222.38309089990526,229.76026569530683,228.8147896726643,234.28497351966286,240.20026850245847,238.3968135905758
9,1986-11-10 14:01:28+00:00,199.59155792263655,203.05458577181957,186.70047659096912,195.00280517985107,193.88049477360292,192.04085394268122,210.12042747187374,205.55928737455605,218.28700893443443,192.5449260999775,209.86441131854906,204.51299270073946,202.73915341222573,208.3533040863431,201.67461418617262,227.96467277076192,224.13865164090282,214.41841759791802,213.94904224078218,203.17786105138916,210.72178472290756,210.49862119670036,196.85664036265968,214.44658773328533,220.8965824866845,222.21802351477143,221.97949631858148,231.27216795269732,232.59152584083316,228.86211400366804
