dates,nzd0018-0000,nzd0018-0001,nzd0018-0002,nzd0018-0003,nzd0018-0004,nzd0018-0005,nzd0018-0006,nzd0018-0007,nzd0018-0008,nzd0018-0009,nzd0018-0010,nzd0018-0011,nzd0018-0012,nzd0018-0013,nzd0018-0014,nzd0018-0015,nzd0018-0016,nzd0018-0017,nzd0018-0018,nzd0018-0019,nzd0018-0020,nzd0018-0021,nzd0018-0022,nzd0018-0023,nzd0018-0024
1999-08-17 22:10:26+00:00,170.79189950918902,166.48392741316593,161.91152846639457,154.66076041954935,151.69880783967974,146.83578675292864,145.95284790204894,147.94302429757946,154.0403185191219,153.21443564322112,144.38594204166915,171.75630734249114,174.90322836954618,175.456467291909,179.58142839375796,182.25351146767355,180.33176652468214,180.0741689985064,184.42804215594754,181.59679232452964,162.62957680760337,171.22738523003304,173.81424361167322,177.3569250973585,179.86544354738783
1999-10-04 22:10:38+00:00,183.27744196894577,174.94373597603595,171.77325197453385,162.8099291664242,169.5455098385748,150.24262783809388,148.0685081057317,165.97845159946195,166.37578877920066,160.5375055964788,186.48247415605948,182.61319227288226,185.7629777020845,199.37618427132367,190.6296009912488,197.1857955075721,206.68705613019227,190.57191857892647,189.58294508875517,206.51953292644453,191.77286421467997,190.82595974345264,193.51487485572076,204.3001702345602,201.88817193660552
2000-03-28 22:10:07+00:00,186.59264911852597,179.42583097262195,179.4133475612357,174.66604854248286,186.76862679207343,,,,,193.34560170124655,194.14905487020675,198.75944782111057,184.37981368215304,186.45956992277945,188.61894706772665,194.27433386232485,197.0032985663936,200.7055611191392,195.80894262028465,195.33839951869805,188.449438038286,191.76569514692486,188.71163932768215,196.5680823394825,193.4906186419369
2000-05-15 22:09:42+00:00,166.65162621566748,163.34132137163604,165.5405641419205,158.1160705967349,182.28351897784592,142.49417987058771,170.71191542626792,174.68250848867012,179.44360537287025,169.91578800865256,183.98944328597577,197.05326163517054,192.0436509743568,183.35253853560573,193.92754521272144,194.81859758308872,182.4386342697372,179.3398148671072,183.20816430897008,179.97429258896184,171.5853475019824,163.08097983888425,175.2792514401522,175.93256392488357,179.22347152775896
2000-08-03 22:08:44+00:00,157.96756374551862,157.21155091142515,140.68094956800377,130.15207112170333,124.05204042260492,,,,,,,,,,,,,,,,172.3139272832812,157.03725087599983,168.00973007061867,174.33597222612053,172.00286270448254
2000-09-04 22:08:22+00:00,163.10058463394526,152.75999372957378,143.17166800394924,139.48796392492295,127.0885043033493,127.0615340981062,133.0182801421996,128.93469996759592,141.25652642941995,133.1005395782249,145.31944526715293,158.73192216578425,162.08065743058137,161.64140233477266,169.8228558846113,173.68306992945003,163.6238404977666,166.9146213803671,173.84712216108676,175.8317795818757,157.41520304703653,161.73886652524288,159.27275823526992,161.31592669193736,164.34790695016005
2000-09-20 22:08:03+00:00,173.68528601709676,164.6584138592286,161.3657725850875,156.31893996452249,151.146595457744,140.17423904466335,139.0456302059455,148.9970700694042,155.42906790786276,161.1119188443935,164.06702965677235,175.80878717731818,176.46237361220673,174.01553234135193,183.2169668299289,187.58579256325623,186.49971848294345,178.29123360699052,178.70003588273275,190.0670357479912,178.01473019280328,175.70667425736823,180.4098886957527,177.6298182035531,184.35345010863304
2001-01-26 22:08:07+00:00,182.39478098634964,179.79276269056376,177.49840081652198,167.9778087053527,176.26761340014698,159.7854325591833,152.13784397790323,168.30667146992644,167.48637188853323,172.09676584299393,174.60924833418395,185.367377043589,189.8882588408433,190.02261080864642,199.432461382692,196.94341322150237,191.5699572673567,192.40896627918687,188.664832009997,198.79753372920274,187.63000262036246,184.7456280864264,184.69719839168158,185.4571527210636,186.52099178455308
2001-04-16 22:07:42+00:00,167.84880033586725,161.46104244841163,159.22126992762549,146.1112401622295,155.60093978402497,154.0662927068816,153.74015801675995,143.27805853325324,151.74406673247836,151.07447604072036,160.87534849846637,171.86808724628645,180.1763673754175,177.3950383038506,178.7580682569504,193.2868400313052,186.03642855013572,178.7772540559775,178.6958944873616,177.8782406069015,169.61280761814197,163.89973879536464,163.1327628867121,171.94999501261375,182.51673051215636
2001-06-03 22:07:16+00:00,161.94214845186715,153.99913206996422,154.76663691912555,146.70829825106992,134.12840237733596,141.20063935632567,138.57207820714711,153.1357541507985,170.4128501090568,157.95979654133163,163.4672963646494,165.0702913714808,175.36527946138148,179.23266051028494,186.8621525390452,184.71902356844808,181.26225098754006,177.1114844507192,178.23849228894943,193.04270022488768,187.34717773397367,149.83714920214092,160.75283877709248,160.23077626453366,168.2493891552843
2001-09-07 22:06:11+00:00,172.70993051888271,165.86934232207312,158.1807626085347,,,,,,,,,179.87538913438624,175.54136791808742,174.23598127745535,184.3658063401678,188.6713020613498,165.5698611224001,176.9376988950752,181.72131612151642,183.85006884385356,175.91155743518107,162.39825421692254,170.55309041133597,172.23875552323824,170.93701099016644
2001-11-26 22:06:09+00:00,159.4597628976638,155.15971941491335,157.93813106169034,156.89413679481223,161.89450816302627,146.23848003468066,153.97052017017717,155.89817179682245,159.4280804115219,160.27489622716072,169.05407202589404,176.27359894603026,174.18862837222824,168.81446138944935,169.96138770681023,186.4288718401104,181.60883935775098,165.77594108169185,169.95816435451135,179.37089522059895,167.8538399779952,165.8205587665861,166.4203373669974,164.48064988438006,170.60435544151022
