dates,satname,nzd0234-0000,nzd0234-0001,nzd0234-0002,nzd0234-0003,nzd0234-0004,nzd0234-0005,nzd0234-0006,nzd0234-0007,nzd0234-0008,nzd0234-0009,nzd0234-0010,nzd0234-0011,nzd0234-0012,nzd0234-0013,nzd0234-0014,nzd0234-0015,nzd0234-0016,nzd0234-0017,nzd0234-0018,nzd0234-0019,nzd0234-0020,nzd0234-0021,nzd0234-0022,nzd0234-0023,nzd0234-0024,nzd0234-0025,nzd0234-0026,nzd0234-0027,nzd0234-0028,nzd0234-0029,nzd0234-0030,nzd0234-0031,nzd0234-0032,nzd0234-0033,nzd0234-0034,nzd0234-0035,nzd0234-0036,nzd0234-0037,nzd0234-0038,nzd0234-0039,nzd0234-0040,nzd0234-0041,nzd0234-0042,nzd0234-0043,nzd0234-0044,nzd0234-0045,nzd0234-0046,nzd0234-0047,nzd0234-0048,nzd0234-0049,nzd0234-0050,nzd0234-0051,nzd0234-0052,nzd0234-0053,nzd0234-0054,nzd0234-0055,nzd0234-0056,nzd0234-0057,nzd0234-0058,nzd0234-0059,nzd0234-0060,nzd0234-0061,nzd0234-0062,nzd0234-0063,nzd0234-0064,nzd0234-0065,nzd0234-0066,nzd0234-0067,nzd0234-0068,nzd0234-0069,nzd0234-0070,nzd0234-0071,nzd0234-0072,nzd0234-0073,nzd0234-0074,nzd0234-0075,nzd0234-0076,nzd0234-0077,nzd0234-0078,nzd0234-0079,nzd0234-0080,nzd0234-0081,nzd0234-0082,nzd0234-0083,nzd0234-0084,nzd0234-0085,nzd0234-0086,nzd0234-0087,nzd0234-0088,nzd0234-0089,nzd0234-0090,nzd0234-0091,nzd0234-0092,nzd0234-0093,nzd0234-0094,nzd0234-0095,nzd0234-0096,nzd0234-0097,nzd0234-0098,nzd0234-0099,nzd0234-0100,nzd0234-0101,nzd0234-0102,nzd0234-0103,nzd0234-0104,nzd0234-0105,nzd0234-0106,nzd0234-0107,nzd0234-0108,nzd0234-0109,nzd0234-0110,nzd0234-0111,nzd0234-0112,nzd0234-0113,nzd0234-0114,nzd0234-0115,nzd0234-0116,nzd0234-0117,nzd0234-0118,nzd0234-0119,nzd0234-0120,nzd0234-0121,nzd0234-0122,nzd0234-0123,nzd0234-0124,nzd0234-0125,nzd0234-0126,nzd0234-0127,nzd0234-0128,nzd0234-0129,nzd0234-0130,nzd0234-0131,nzd0234-0132,nzd0234-0133,nzd0234-0134,nzd0234-0135,nzd0234-0136,nzd0234-0137,nzd0234-0138,nzd0234-0139,nzd0234-0140,nzd0234-0141,nzd0234-0142,nzd0234-0143,nzd0234-0144,nzd0234-0145,nzd0234-0146,nzd0234-0147,nzd0234-0148,nzd0234-0149
1999-08-12 21:52:44+00:00,L7,369.19,360.90,355.12,357.55,356.02,361.80,353.19,354.65,347.50,355.79,355.65,358.77,355.40,351.94,349.14,341.93,344.79,343.49,344.19,342.15,345.83,337.95,341.09,335.98,340.89,337.95,343.28,339.11,342.09,337.79,338.15,337.84,335.20,336.21,331.04,334.57,328.82,331.69,337.90,348.38,343.24,332.11,327.68,327.40,329.66,338.97,352.44,357.77,362.88,355.03,350.88,341.27,343.47,345.41,337.28,332.20,345.22,350.18,360.08,367.55,370.77,370.36,363.90,356.97,350.18,347.44,343.03,350.31,345.83,344.35,341.28,341.46,340.85,326.11,329.01,326.99,334.70,336.28,338.96,338.89,337.48,347.80,342.06,343.74,341.05,341.01,,,,,,,,,,,,,,360.29,369.65,405.19,369.28,372.84,368.01,367.16,358.06,354.02,358.48,356.56,355.64,350.29,362.00,366.14,367.19,368.07,368.32,362.32,356.07,355.37,351.51,347.47,351.55,360.07,361.20,368.95,378.92,386.15,384.87,383.77,366.84,364.64,361.77,362.26,369.31,374.82,374.21,366.02,369.36,375.28,365.99,377.21,371.54,364.35,356.65,369.50,363.19,355.77,357.02,357.35
1999-09-29 21:52:52+00:00,L7,377.19,371.57,357.07,352.31,358.24,360.93,358.97,355.37,346.48,355.00,352.87,361.18,356.15,363.72,357.16,352.72,342.59,349.05,352.21,342.81,351.63,344.78,348.51,337.04,344.41,336.55,342.58,335.64,342.87,345.44,343.80,346.22,341.23,334.83,329.45,333.52,329.16,334.34,343.87,353.19,347.46,338.70,334.86,323.77,321.25,336.27,345.62,357.17,368.89,363.33,357.78,340.99,339.07,329.90,333.21,333.13,351.75,352.20,352.69,368.08,367.15,366.31,366.78,365.53,360.94,358.68,359.24,359.83,351.37,359.23,349.34,343.54,340.84,326.85,333.49,331.15,330.34,327.96,331.13,339.33,340.40,342.33,338.07,346.62,339.75,341.09,337.70,343.54,339.69,344.70,343.65,347.31,351.42,352.25,362.66,359.97,371.04,369.18,369.17,364.27,355.25,361.65,364.68,369.08,366.35,370.08,366.48,355.07,355.66,357.84,363.85,366.37,370.03,363.48,370.63,372.90,370.77,368.42,358.68,355.83,351.17,356.17,352.57,364.41,366.22,376.44,380.98,387.45,387.16,376.49,382.42,376.30,373.05,366.02,378.79,381.10,376.98,373.69,369.85,382.50,382.49,386.29,377.89,365.94,371.49,372.05,373.85,367.11,379.94,380.16
1999-10-15 21:52:49+00:00,L7,364.44,363.03,355.97,358.32,355.66,351.97,343.93,354.61,346.39,354.67,350.73,361.79,363.57,360.96,340.70,342.23,347.73,344.40,351.51,343.07,352.16,342.68,347.97,339.95,345.99,338.83,342.06,341.23,340.75,350.25,341.05,343.64,333.50,340.10,331.48,338.40,329.84,336.36,335.43,345.87,343.06,329.29,329.52,324.16,330.31,329.78,347.74,359.74,366.53,359.72,351.76,342.69,342.29,335.67,330.62,336.15,351.72,354.57,349.06,363.86,366.65,367.30,367.24,363.34,364.58,350.30,346.98,339.90,342.22,342.77,348.14,345.34,346.15,328.10,333.74,333.30,330.53,312.22,329.13,341.87,334.33,327.09,337.18,340.71,340.92,341.93,337.01,338.88,338.17,337.78,343.34,341.45,350.90,349.21,357.43,360.43,367.12,362.23,353.13,356.31,357.98,363.97,358.20,366.37,369.70,366.08,364.64,356.28,356.72,358.04,356.74,355.12,357.36,362.93,354.33,365.51,364.51,367.21,364.70,361.74,354.21,357.57,357.70,363.99,365.21,369.93,376.45,383.02,386.83,377.00,377.70,375.54,371.84,,,,,,,,,,,,,,,,,274.86
2000-02-04 21:52:37+00:00,L7,368.05,358.26,356.30,356.26,353.78,347.56,351.66,354.23,348.69,351.82,357.56,362.11,353.82,352.61,347.62,348.91,358.24,362.00,355.54,353.74,352.44,345.33,347.58,337.86,348.03,351.25,352.89,356.10,357.34,351.55,346.11,346.04,346.40,344.05,335.95,337.72,338.77,352.20,349.34,347.08,343.01,350.10,338.05,331.38,337.24,348.95,355.10,358.61,356.51,355.98,351.29,345.96,349.60,346.60,340.62,331.25,342.90,344.30,349.86,355.72,370.50,375.62,377.51,374.37,359.21,354.60,345.77,360.97,368.35,364.42,354.11,353.59,353.30,349.19,344.61,338.35,344.36,335.55,341.53,342.26,353.14,355.94,355.15,352.18,343.41,346.13,343.14,348.20,346.28,343.80,334.27,334.39,342.40,351.05,355.54,354.69,367.68,370.01,373.19,361.14,357.72,361.38,366.93,379.69,373.11,373.10,367.87,364.63,362.11,360.93,358.07,354.09,360.44,365.37,376.09,374.42,375.27,365.07,363.95,361.04,360.75,360.36,359.35,367.36,373.71,375.84,372.38,384.60,385.77,379.54,382.43,378.20,392.21,388.50,401.90,393.83,385.45,377.77,368.95,374.12,367.46,377.81,376.54,383.24,386.74,390.89,385.49,382.59,393.40,402.31
2000-04-24 21:52:10+00:00,L7,359.49,362.36,362.91,366.68,358.62,350.97,353.96,353.13,354.56,453.28,488.15,357.01,353.11,347.49,347.19,344.72,352.11,353.18,356.39,353.59,352.58,347.34,331.13,335.64,342.10,340.85,342.88,345.70,344.46,347.53,343.76,343.81,342.35,327.24,324.07,320.65,329.77,336.80,344.66,341.58,339.35,331.24,335.15,333.46,333.04,335.07,348.84,368.02,369.66,352.54,334.28,332.50,330.98,335.84,335.49,339.29,332.95,336.12,346.24,346.54,357.36,360.44,360.09,362.15,357.76,357.95,362.99,364.12,371.89,366.39,355.42,355.75,347.64,343.88,339.86,343.63,335.37,333.74,335.93,348.88,354.44,339.88,336.77,332.36,325.78,330.44,336.47,329.61,313.85,313.25,320.34,327.47,325.11,336.41,350.82,362.04,360.27,360.52,352.25,348.57,353.22,349.66,351.40,361.36,369.81,373.35,373.22,365.11,362.03,356.12,357.75,360.11,360.68,363.91,364.38,369.16,371.62,374.40,367.82,364.15,360.11,357.29,364.38,369.19,372.74,374.20,382.80,382.60,377.50,371.65,372.19,372.89,375.48,382.34,377.36,381.12,383.33,377.68,371.41,366.32,368.12,375.04,376.45,378.85,384.76,390.96,378.54,368.92,364.43,358.10
2000-05-26 21:51:48+00:00,L7,400.07,394.41,386.17,385.28,386.54,381.66,380.78,380.09,375.29,378.27,380.22,383.55,377.95,370.63,365.25,371.54,370.25,371.07,373.69,371.92,372.13,363.92,364.12,362.79,363.60,361.20,366.32,358.02,368.72,360.48,364.48,361.47,361.68,357.64,350.55,350.70,353.33,359.38,355.40,364.58,354.86,355.48,352.33,349.93,347.58,356.68,373.90,388.75,384.73,372.30,361.00,356.17,353.49,350.28,352.49,342.76,350.05,348.76,362.95,372.93,375.45,383.89,387.02,383.59,382.06,382.45,377.58,388.24,391.78,392.99,384.28,374.56,368.94,362.46,360.68,360.77,359.49,365.41,363.12,368.63,363.24,362.93,352.35,356.97,350.86,345.82,353.51,344.98,341.61,345.02,346.33,352.57,356.70,360.36,374.14,382.22,387.66,377.45,372.19,366.87,365.84,372.86,377.68,381.39,386.33,388.90,385.28,382.38,378.77,372.93,373.73,376.96,375.34,371.47,379.08,384.80,387.07,391.29,386.81,395.14,382.60,384.18,384.29,384.49,389.25,387.87,391.13,394.09,393.94,395.16,399.31,397.28,399.21,398.78,402.07,401.14,397.62,393.99,386.72,386.68,389.78,396.08,394.71,399.15,405.74,411.38,403.11,386.33,384.73,377.26
2000-07-13 21:51:19+00:00,L7,384.79,390.54,380.19,376.36,379.70,385.45,378.05,383.14,382.56,378.04,377.32,373.72,378.28,377.96,377.02,374.45,374.33,373.73,368.47,373.51,367.81,367.84,371.26,366.40,359.81,364.93,368.38,360.83,364.42,359.42,357.54,361.93,362.80,363.89,356.82,344.26,350.81,350.92,366.67,382.30,359.73,355.97,353.14,339.01,350.70,373.75,385.72,382.92,377.56,369.03,374.81,366.20,358.52,359.06,357.95,356.05,359.33,380.79,378.87,369.91,370.84,371.49,369.38,362.49,363.18,362.76,379.36,370.82,364.26,369.81,369.58,367.60,354.46,358.37,355.19,363.34,361.39,365.94,363.21,352.46,353.93,363.98,364.76,371.05,376.27,356.48,364.20,369.36,353.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,392.68,384.49,374.52,376.10,387.57,392.39,400.32,408.46,403.73,396.67,398.38,388.96,384.72,379.80,383.18,381.19,385.90,382.62,385.87,386.39,,,,,,,,358.47
2000-08-14 21:50:56+00:00,L7,376.65,377.40,383.32,377.17,381.56,377.89,372.89,377.08,374.29,370.20,373.13,373.10,365.61,370.71,365.85,369.45,364.33,370.77,365.16,370.44,364.37,368.42,364.46,365.48,361.26,360.44,359.03,355.51,351.83,352.94,358.24,351.58,357.75,349.62,357.37,353.52,358.55,365.11,352.93,345.54,347.87,351.54,349.21,356.16,371.05,378.66,373.87,371.43,356.15,364.34,359.67,362.92,361.11,354.57,358.48,363.01,376.13,381.70,382.78,371.25,370.73,369.92,368.68,360.85,358.41,360.52,363.88,361.81,368.01,364.03,357.99,366.32,367.77,370.55,361.45,355.98,360.21,361.60,360.50,364.25,346.71,354.66,363.16,360.11,353.42,348.10,344.30,356.38,346.73,350.77,347.95,345.29,348.03,354.21,353.96,356.16,352.81,362.83,369.53,375.86,377.40,368.60,380.86,377.52,387.97,380.27,382.00,389.74,389.06,384.02,380.85,384.06,376.49,387.82,377.44,381.71,383.28,371.81,381.11,373.32,377.79,379.42,382.25,380.67,385.79,388.27,389.43,399.02,399.65,397.98,395.38,398.03,398.04,385.98,386.13,382.68,387.79,377.66,380.91,391.74,399.03,392.55,392.55,393.80,394.65,404.48,395.23,389.00,387.75,378.10
2000-09-15 21:50:25+00:00,L7,363.17,367.13,375.25,367.77,366.69,360.67,362.01,354.46,345.58,349.51,352.97,360.40,354.88,359.41,354.00,356.38,354.42,355.01,349.65,342.37,337.88,342.46,347.94,340.11,335.03,331.88,330.36,328.62,335.76,331.22,337.14,327.96,332.80,327.86,334.94,344.46,342.99,337.82,344.35,342.42,331.32,333.06,341.49,354.34,343.49,353.33,347.71,355.87,348.28,347.42,344.26,345.27,351.75,342.41,346.40,355.76,370.97,374.68,372.95,355.84,356.83,348.73,354.17,342.54,334.25,337.05,335.32,346.53,345.76,356.62,349.89,352.12,353.69,356.38,354.67,354.54,352.04,346.23,343.10,339.59,346.00,337.70,342.98,343.28,349.10,344.97,344.42,335.06,330.97,335.87,328.92,338.90,329.65,343.13,341.45,345.19,345.03,348.67,353.13,351.03,360.61,368.22,371.98,366.68,365.55,368.79,369.33,366.50,363.93,367.31,363.28,365.95,364.10,362.64,369.43,367.46,361.42,359.94,362.44,362.77,364.83,358.84,369.75,369.34,374.00,374.22,377.74,379.97,372.97,382.27,377.94,371.36,376.57,376.59,376.43,378.91,372.61,368.31,370.25,370.49,379.78,381.59,376.73,373.86,384.72,386.07,381.81,380.65,370.64,365.67
2000-11-02 21:50:13+00:00,L7,343.86,332.73,334.57,331.92,331.52,336.50,336.49,335.98,336.88,335.37,340.26,343.52,341.50,336.12,337.79,332.55,334.51,331.83,332.67,328.26,326.14,328.26,325.30,328.14,317.32,318.86,316.41,319.36,321.56,319.90,316.70,313.56,317.81,318.27,320.65,327.37,323.88,317.96,315.95,319.90,321.67,320.08,322.88,319.30,330.00,326.32,331.49,337.68,336.95,330.90,333.75,338.01,335.03,329.17,322.84,339.14,338.83,344.61,346.46,347.56,347.44,336.53,332.19,328.52,322.42,314.04,317.64,318.42,322.77,327.96,324.75,325.26,327.52,341.26,340.77,339.07,334.98,330.60,326.75,325.74,320.90,320.21,318.23,327.16,326.61,317.51,321.72,310.82,311.71,318.85,315.99,320.75,319.68,321.29,323.84,325.80,326.77,329.18,328.66,338.06,338.10,344.47,350.48,345.40,346.07,352.93,356.39,352.63,353.57,349.72,342.90,346.98,347.74,351.18,349.56,353.58,344.96,342.40,341.68,339.47,344.31,339.92,348.29,353.82,355.51,352.63,359.85,361.01,359.77,360.91,364.21,361.93,352.67,359.07,357.25,360.54,344.23,339.12,347.09,356.08,352.84,358.04,352.58,354.20,355.19,367.60,366.23,360.15,359.41,352.28
