dates,nzd0121-0000,nzd0121-0001,nzd0121-0002,nzd0121-0003,nzd0121-0004,nzd0121-0005,nzd0121-0006,nzd0121-0007,nzd0121-0008,nzd0121-0009,nzd0121-0010,nzd0121-0011,nzd0121-0012,nzd0121-0013,nzd0121-0014,nzd0121-0015,nzd0121-0016,nzd0121-0017,nzd0121-0018,nzd0121-0019,nzd0121-0020,nzd0121-0021,nzd0121-0022,nzd0121-0023,nzd0121-0024,nzd0121-0025,nzd0121-0026,nzd0121-0027,nzd0121-0028,nzd0121-0029,nzd0121-0030,nzd0121-0031,nzd0121-0032,nzd0121-0033,nzd0121-0034,nzd0121-0035,nzd0121-0036,nzd0121-0037,nzd0121-0038,nzd0121-0039,nzd0121-0040,nzd0121-0041,nzd0121-0042,nzd0121-0043,nzd0121-0044,nzd0121-0045,nzd0121-0046,nzd0121-0047,nzd0121-0048,nzd0121-0049,nzd0121-0050,nzd0121-0051,nzd0121-0052,nzd0121-0053,nzd0121-0054,nzd0121-0055,nzd0121-0056,nzd0121-0057,nzd0121-0058,nzd0121-0059,nzd0121-0060,nzd0121-0061,nzd0121-0062,nzd0121-0063,nzd0121-0064,nzd0121-0065,nzd0121-0066,nzd0121-0067,nzd0121-0068,nzd0121-0069,nzd0121-0070,nzd0121-0071,nzd0121-0072,nzd0121-0073,nzd0121-0074,nzd0121-0075,nzd0121-0076,nzd0121-0077,nzd0121-0078,nzd0121-0079,nzd0121-0080,nzd0121-0081,nzd0121-0082,nzd0121-0083,nzd0121-0084,nzd0121-0085,nzd0121-0086,nzd0121-0087,nzd0121-0088,nzd0121-0089,nzd0121-0090,nzd0121-0091,nzd0121-0092,nzd0121-0093,nzd0121-0094,nzd0121-0095,nzd0121-0096,nzd0121-0097,nzd0121-0098,nzd0121-0099,nzd0121-0100,nzd0121-0101,nzd0121-0102,nzd0121-0103,nzd0121-0104,nzd0121-0105,nzd0121-0106,nzd0121-0107,nzd0121-0108,nzd0121-0109,nzd0121-0110,nzd0121-0111,nzd0121-0112,nzd0121-0113,nzd0121-0114,nzd0121-0115,nzd0121-0116,nzd0121-0117,nzd0121-0118,nzd0121-0119,nzd0121-0120,nzd0121-0121,nzd0121-0122,nzd0121-0123,nzd0121-0124,nzd0121-0125,nzd0121-0126,nzd0121-0127,nzd0121-0128,nzd0121-0129,nzd0121-0130,nzd0121-0131,nzd0121-0132,nzd0121-0133,nzd0121-0134,nzd0121-0135,nzd0121-0136,nzd0121-0137,nzd0121-0138,nzd0121-0139,nzd0121-0140,nzd0121-0141,nzd0121-0142,nzd0121-0143,nzd0121-0144,nzd0121-0145,nzd0121-0146,nzd0121-0147,nzd0121-0148,nzd0121-0149,nzd0121-0150,nzd0121-0151,nzd0121-0152,nzd0121-0153,nzd0121-0154,nzd0121-0155,nzd0121-0156,nzd0121-0157,nzd0121-0158,nzd0121-0159,nzd0121-0160,nzd0121-0161,nzd0121-0162,nzd0121-0163,nzd0121-0164,nzd0121-0165,nzd0121-0166,nzd0121-0167,nzd0121-0168,nzd0121-0169,nzd0121-0170,nzd0121-0171,nzd0121-0172,nzd0121-0173,nzd0121-0174,nzd0121-0175,nzd0121-0176,nzd0121-0177,nzd0121-0178,nzd0121-0179
1999-08-26 22:04:44+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119.11056416425657,114.07879992811145,124.29772893380968,123.59636403386142,130.4375735092424,128.0746856123394,118.45817810428616,157.0790579523781,164.77460166866516,169.47211501820846,188.42618955602288,207.35333125961532,178.5993796722464,184.71776604595297,202.16312021409328,191.14450017411718,183.26368563111825,178.99932679499858,190.76881248599472,188.3075504950885,178.62098222336883,164.73018007074532,146.4167440175953,140.8383742886079,161.2541884143733,134.3644546519867,123.61066189442961,126.04160987997898,122.51649473546532,134.53233298088432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-09-27 22:04:48+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125.1172251437916,127.87143750106449,128.19736653607762,146.2706496006477,166.07402735931882,155.60240130793017,141.2513990126152,179.3610078329488,165.3043766563867,163.82368875231418,166.4458603164131,159.85866442996485,163.90901298634049,158.45295549651763,129.60644433298575,130.95680348492613,124.60732850359769,129.30279065641645,106.87566847253913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-11-14 22:04:42+00:00,120.22015219411578,106.34501838729236,87.57921728852115,79.6772193280735,65.5418559872673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.040421891493935,70.39523368626234,79.75909085527908,71.25270033363353,76.4966648441738,98.78762003785877,119.63557953419264,130.91487402578426,129.18628033932686,134.0641104900004,132.2992572548151,136.5130201985233,143.71774872509565,150.40577570298854,163.00572813693782,179.0521778086734,185.99996807512258,190.33486156992132,193.60789049045994,198.61231084527867,196.5706053227094,200.76279867270452,201.45609713939243,193.77389911467182,169.13040330507877,163.8989978062231,149.2185051361315,153.02171270719552,144.13746394564546,142.79139880557577,143.25458949583881,137.88389957963741,127.06378921785539,107.36738038133942,103.95940190001343,103.19025185391175,101.15374110211279,103.36651334550015,91.46172581796797,86.0541562520526,84.56100591646195,86.34777882978845,89.35660362742564,82.65521047787527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.70248584727752,63.95536772810767
2000-01-01 22:04:37+00:00,133.7810792111274,113.2653825433351,94.74740003041151,88.90962898615987,79.5661783290236,59.42831893483473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.90808966912303,80.35535602433079,86.41194462136284,93.07958817974776,90.34373704805431,90.20048565372508,98.38235374138648,111.17198429921672,124.78232743974722,132.5933160965591,136.92069970996207,137.7455672833288,135.55772294158902,137.26127870922707,153.07619110508674,168.98506252348827,188.6760691103363,192.69153600812504,195.69406353925123,197.92182239619802,203.51073340199116,209.77468599475603,204.88474870479382,201.0334600988326,201.65820854901796,201.40319920651092,190.40370161107649,180.239285058618,169.03428781424896,163.97232340234018,155.35076134999687,151.75565856962288,148.65590644455497,143.995202648773,140.6248760884258,136.52649559106882,120.86932455413185,114.62860568712495,112.12686967348931,115.26149101252368,105.54530442582328,101.39590542169827,94.26499232622739,94.92711543762003,90.2919824641158,89.95659824964484,90.16185425909867,88.18945708708627,80.65368203562569,77.68363739060538,74.17431762532033,68.86257358818015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.31433958970256,69.66490323976333,72.30421387746719,65.17701295787327,,,,
2000-05-24 22:03:46+00:00,129.2366223815169,111.12998061298636,103.34246814095617,97.09696585808341,84.56597283029365,68.87929424527223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.14063374311057,82.33111252700787,86.29216566338918,95.16062556785344,105.69836353661236,113.20213799757113,123.66361958154314,120.81671831148293,132.9987561150998,130.04238760752187,128.63242828829718,128.4521206455927,137.29616615311383,132.81444376719801,133.4367567036835,153.12664408552305,163.62058880812057,178.43894052620595,199.18531115450634,199.8890095636558,207.3554011025321,206.84093568290206,206.99052032487077,199.86996814745785,207.03616741979974,201.91842368171416,193.39533244352742,180.81776158502583,184.39803130511817,176.06269865605694,175.82238944106675,169.51000650346182,163.46879474440667,162.08628078112267,152.48551479832386,149.4254274294697,135.60238855811912,136.0988449028553,120.6550403056328,114.92212297411378,121.06299631769757,109.88315927917971,116.01101670189146,115.76228655814585,109.03132229095709,94.18233883892228,89.07609828613857,65.3295664805091,,,64.1158153932846,67.69775964362925,59.923873098758605,,61.08579667696408,80.48534184903214,79.18956649458976,76.85504712338083,67.85205733182552,68.29060196337386,59.44520335688783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-10-15 22:01:56+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.21079382757114,106.80130842806479,115.59498162660788,117.66215278657536,108.71669192041885,126.7875510389321,125.00234343398273,129.61163090430148,152.11610444621618,167.9591693659928,178.5336592625739,192.18979774220023,202.8601194004267,190.44877087710668,202.89362911957363,209.0338188105744,196.44535459383198,188.1809271201409,197.27839264205448,193.26903755887108,179.11059509722332,177.08799827927027,165.4099716169617,150.96871621432962,170.71194577038224,165.825308774599,147.59621534238497,142.58377985187965,141.41603033813402,122.72668292148781,120.51414035710164,107.70879159165537,107.59919880151494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-03-24 22:01:59+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.6264623674679,146.44009554943972,137.70726956872784,135.74919049828156,157.46189777688554,170.8249594761731,169.776742880808,193.50281725611478,200.27376514862894,190.50230510389164,205.62759564613592,207.42286851142848,199.67807711072547,189.8238056127718,200.33249497170115,195.01009478181874,198.43825815589685,188.17533175256492,164.7864820478122,146.7149570148162,163.80957673688823,154.80086860243182,140.8186354592473,132.36679611960008,146.14271991266372,125.53033678133136,131.12179569121923,127.20572577940099,113.47809988103728,115.62345754957693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-10-02 22:00:04+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.28747843479728,106.79838431496302,108.28241005060814,116.9139242315842,125.18124662165206,115.35938420424381,131.48308754416053,130.90575293596243,135.59717407481546,154.18765496552646,176.2720622131457,179.21597892076952,,,,,,,,,,,,,158.89649701407419,163.89330397280497,159.2485978919417,143.13939308454593,136.614657909748,145.41489895379195,125.50664282444365,121.7054437454985,126.46839378550749,114.19277372368447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-11-03 22:00:10+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.68219623058133,113.00856455640891,109.7539586773451,130.05895109369746,147.03891931257243,149.4357997687053,162.99845801351975,188.95769899297835,182.21745829149967,192.03982101236753,204.90257421281464,181.16667127358969,171.8327104057935,185.89297896881877,167.37895216446896,148.82277869205944,152.08872286627434,130.26647515861117,124.44934667239696,137.1504833798769,129.3043763663941,115.25660496864755,110.92505284434984,118.44781425488809,102.17919903085988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-01-06 22:00:31+00:00,85.1811901933109,60.42349707740721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.89478106092565,58.23746800113062,75.31164830214874,77.4452235063277,86.24134917681923,95.00561708886613,110.68206396466496,116.46221746479273,113.63467746281344,124.25224541798252,125.75883637963963,131.56265758957264,149.00194043517038,160.25300593335157,172.2143888992187,174.30711436947922,187.04239469970588,181.65900554110053,168.85263662345957,162.2362560839743,148.14380383304152,119.7214309980373,133.5828431897782,120.39423493155837,128.44759936328154,127.37961352514716,127.38141021767908,112.25407033639823,92.29250560606533,92.78116578701415,92.44399312510942,92.04947712802792,96.04854431864864,78.75364661680226,53.46593836542569,63.985401972306505,62.9187781530607,58.97584042836913,45.39954434862675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
