dates,nzd0121-0000,nzd0121-0001,nzd0121-0002,nzd0121-0003,nzd0121-0004,nzd0121-0005,nzd0121-0006,nzd0121-0007,nzd0121-0008,nzd0121-0009,nzd0121-0010,nzd0121-0011,nzd0121-0012,nzd0121-0013,nzd0121-0014,nzd0121-0015,nzd0121-0016,nzd0121-0017,nzd0121-0018,nzd0121-0019,nzd0121-0020,nzd0121-0021,nzd0121-0022,nzd0121-0023,nzd0121-0024,nzd0121-0025,nzd0121-0026,nzd0121-0027,nzd0121-0028,nzd0121-0029,nzd0121-0030,nzd0121-0031,nzd0121-0032,nzd0121-0033,nzd0121-0034,nzd0121-0035,nzd0121-0036,nzd0121-0037,nzd0121-0038,nzd0121-0039,nzd0121-0040,nzd0121-0041,nzd0121-0042,nzd0121-0043,nzd0121-0044,nzd0121-0045,nzd0121-0046,nzd0121-0047,nzd0121-0048,nzd0121-0049,nzd0121-0050,nzd0121-0051,nzd0121-0052,nzd0121-0053,nzd0121-0054,nzd0121-0055,nzd0121-0056,nzd0121-0057,nzd0121-0058,nzd0121-0059,nzd0121-0060,nzd0121-0061,nzd0121-0062,nzd0121-0063,nzd0121-0064,nzd0121-0065,nzd0121-0066,nzd0121-0067,nzd0121-0068,nzd0121-0069,nzd0121-0070,nzd0121-0071,nzd0121-0072,nzd0121-0073,nzd0121-0074,nzd0121-0075,nzd0121-0076,nzd0121-0077,nzd0121-0078,nzd0121-0079,nzd0121-0080,nzd0121-0081,nzd0121-0082,nzd0121-0083,nzd0121-0084,nzd0121-0085,nzd0121-0086,nzd0121-0087,nzd0121-0088,nzd0121-0089,nzd0121-0090,nzd0121-0091,nzd0121-0092,nzd0121-0093,nzd0121-0094,nzd0121-0095,nzd0121-0096,nzd0121-0097,nzd0121-0098,nzd0121-0099,nzd0121-0100,nzd0121-0101,nzd0121-0102,nzd0121-0103,nzd0121-0104,nzd0121-0105,nzd0121-0106,nzd0121-0107,nzd0121-0108,nzd0121-0109,nzd0121-0110,nzd0121-0111,nzd0121-0112,nzd0121-0113,nzd0121-0114,nzd0121-0115,nzd0121-0116,nzd0121-0117,nzd0121-0118,nzd0121-0119,nzd0121-0120,nzd0121-0121,nzd0121-0122,nzd0121-0123,nzd0121-0124,nzd0121-0125,nzd0121-0126,nzd0121-0127,nzd0121-0128,nzd0121-0129,nzd0121-0130,nzd0121-0131,nzd0121-0132,nzd0121-0133,nzd0121-0134,nzd0121-0135,nzd0121-0136,nzd0121-0137,nzd0121-0138,nzd0121-0139,nzd0121-0140,nzd0121-0141,nzd0121-0142,nzd0121-0143,nzd0121-0144,nzd0121-0145,nzd0121-0146,nzd0121-0147,nzd0121-0148,nzd0121-0149,nzd0121-0150,nzd0121-0151,nzd0121-0152,nzd0121-0153,nzd0121-0154,nzd0121-0155,nzd0121-0156,nzd0121-0157,nzd0121-0158,nzd0121-0159,nzd0121-0160,nzd0121-0161,nzd0121-0162,nzd0121-0163,nzd0121-0164,nzd0121-0165,nzd0121-0166,nzd0121-0167,nzd0121-0168,nzd0121-0169,nzd0121-0170,nzd0121-0171,nzd0121-0172,nzd0121-0173,nzd0121-0174,nzd0121-0175,nzd0121-0176,nzd0121-0177,nzd0121-0178,nzd0121-0179,satname
1999-08-26 22:04:44+00:00,296.41,267.15,248.82,259.19,268.00,232.72,220.98,217.68,229.23,179.40,160.67,,127.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124.77,,132.37,129.64,114.08,,161.02,148.05,145.15,151.13,190.04,178.53,172.32,206.16,229.26,215.82,242.31,237.79,243.20,245.72,255.78,272.61,278.72,300.94,286.67,294.30,294.65,311.23,313.24,294.41,337.85,336.91,339.98,,383.41,354.44,355.07,383.85,370.11,359.89,357.55,361.93,347.60,359.87,335.51,322.71,321.70,336.88,311.97,289.55,,,,,,,,,,,,239.77,224.63,231.75,242.94,234.27,237.33,231.30,213.53,203.12,,,,,,,,,,,,,,,,,,,183.55,176.22,177.40,179.15,173.20,173.36,,,,,,189.38,193.06,194.84,204.58,208.89,213.41,,,,,,,,,,,,,,,228.69,,,,242.07,240.49,233.56,251.99,L7
1999-09-27 22:04:48+00:00,289.53,266.19,240.75,252.57,265.22,235.25,218.08,221.94,229.03,179.40,160.67,,127.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124.77,,124.91,132.94,120.85,135.57,157.78,147.07,145.92,149.93,185.75,180.50,181.36,210.26,228.85,216.84,240.89,239.15,242.06,246.60,256.00,270.36,275.25,291.79,283.24,288.48,288.45,312.13,312.97,293.81,328.48,325.31,328.21,,373.13,354.61,345.75,382.29,366.08,360.07,359.69,357.40,345.80,359.71,328.88,322.05,321.34,329.69,307.82,289.33,,282.22,303.57,282.35,,,262.48,266.54,257.45,,,247.86,231.11,233.57,247.88,234.45,231.94,230.80,222.74,210.72,,,,,,,,,,181.95,185.95,188.38,194.61,,,,,179.95,180.70,180.38,183.23,180.93,176.66,178.38,190.12,189.45,191.09,187.84,191.31,187.16,185.91,191.36,198.63,200.70,203.90,203.87,204.91,210.33,212.48,213.89,216.32,215.13,215.77,221.11,229.30,230.67,239.93,235.63,230.68,232.55,235.79,239.73,245.55,243.50,245.84,243.74,252.59,L7
1999-11-14 22:04:42+00:00,305.01,282.62,259.50,267.03,266.01,240.15,227.08,226.29,225.01,192.26,179.09,162.01,128.40,102.23,76.35,81.09,68.77,,,,,,,,,,,,,,,,,,,,,66.62,70.90,82.09,81.28,79.39,86.04,96.62,103.35,111.13,110.65,106.74,117.09,122.15,142.57,152.87,150.60,137.62,156.97,137.34,142.31,133.36,148.07,159.85,154.99,159.99,165.30,194.92,192.79,196.68,217.08,234.26,216.84,248.88,247.89,251.19,256.38,265.78,272.19,277.34,295.40,298.31,288.48,288.45,322.50,321.73,293.81,335.39,325.31,328.21,386.25,379.27,368.55,364.28,389.15,366.08,360.07,378.80,357.40,345.80,362.42,338.28,335.69,331.48,336.66,322.16,289.33,336.02,302.02,306.81,296.50,315.21,313.04,280.51,280.71,276.71,293.21,295.75,262.16,231.11,244.45,253.90,244.78,240.84,240.11,235.21,226.39,264.11,245.61,247.83,245.69,243.72,231.74,244.78,232.16,230.67,199.14,201.85,204.12,207.62,225.60,225.06,214.98,216.29,193.99,191.79,192.82,192.41,191.06,188.24,192.25,206.41,203.93,199.88,200.40,203.47,197.06,196.16,202.31,208.80,211.42,212.15,215.62,213.75,217.98,222.64,226.73,228.06,225.02,224.98,231.23,240.95,241.84,243.65,243.76,244.19,244.26,253.34,253.07,253.21,249.49,250.78,251.23,257.80,L7
2000-01-01 22:04:37+00:00,314.08,291.59,270.40,273.35,270.02,245.30,232.89,230.54,225.78,201.36,187.88,170.43,134.98,111.33,89.47,85.64,72.54,,,,,,,,,,,,,,,,,,,,,67.97,74.16,87.91,89.27,88.73,86.83,93.84,103.55,113.53,117.08,112.77,122.46,126.20,137.06,146.63,149.22,141.90,159.25,145.85,151.57,144.70,160.13,165.56,164.23,171.38,177.00,201.71,201.55,206.02,222.79,236.62,216.84,254.42,257.50,261.47,266.35,273.00,278.02,283.83,300.05,305.95,288.48,288.45,327.43,326.15,293.81,340.87,325.31,328.21,391.48,384.30,376.85,375.22,395.10,366.08,360.07,385.87,357.40,345.80,368.23,347.31,344.26,338.84,341.50,330.08,289.33,341.46,315.59,312.98,304.52,316.47,316.33,290.93,289.33,284.53,296.23,294.96,269.72,231.11,256.62,261.28,254.18,250.49,247.83,241.92,235.73,263.80,253.49,255.19,252.10,248.28,237.82,246.56,234.44,231.87,208.31,209.89,210.56,213.62,227.41,229.80,223.84,223.99,202.57,198.23,197.78,197.50,196.79,194.81,198.77,211.41,208.80,205.03,206.90,209.11,202.68,202.65,209.66,216.36,217.78,217.39,220.21,218.27,223.87,229.03,233.93,235.32,233.64,234.36,236.74,241.63,242.39,245.28,249.18,252.58,251.32,259.81,260.32,258.15,254.19,254.00,254.43,260.13,L7
2000-05-24 22:03:46+00:00,323.27,301.20,283.56,279.69,266.44,247.64,250.33,243.30,228.08,219.56,205.44,178.85,148.16,120.43,102.60,90.18,76.31,,,,,,,,,,,,,,,,,,,,,69.33,77.42,93.73,97.25,98.08,78.85,87.06,95.03,101.41,103.68,118.79,115.28,117.81,116.09,117.01,133.31,135.97,130.89,156.19,160.00,153.52,184.26,184.35,186.43,193.89,194.61,211.59,212.06,203.08,229.36,233.20,205.15,263.56,271.70,272.00,291.02,287.11,286.30,294.77,309.31,314.23,282.26,280.36,324.60,323.34,288.41,343.48,332.85,337.32,374.86,382.30,383.67,388.02,396.91,366.26,362.33,390.00,364.39,346.15,371.61,359.13,354.48,344.80,347.80,338.45,302.22,336.74,311.42,318.14,306.71,296.18,308.06,286.95,291.35,287.21,278.29,275.42,280.21,243.06,256.20,257.86,264.71,254.94,250.09,245.17,240.70,258.78,259.51,244.55,237.10,244.67,239.63,230.30,222.48,233.07,226.65,225.96,223.44,225.60,229.21,234.54,232.70,231.69,219.74,217.57,212.65,212.77,213.98,214.53,218.33,221.42,218.54,215.33,219.91,220.39,219.53,222.11,231.71,239.02,236.85,233.10,229.39,227.32,235.65,241.81,248.34,249.83,250.88,253.13,247.76,242.98,243.47,248.54,260.01,269.34,272.52,272.74,274.81,268.04,268.29,263.65,264.00,267.15,L7
2000-10-15 22:01:56+00:00,294.83,275.77,260.93,260.72,246.86,230.18,227.25,216.49,227.47,197.14,174.25,166.89,120.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.10,83.06,86.30,86.89,83.85,,102.72,92.31,95.45,95.80,119.44,122.96,115.43,147.08,147.11,136.84,157.54,177.33,173.36,177.31,182.56,199.97,201.31,190.38,227.11,228.48,216.21,252.74,254.38,252.38,273.53,275.22,280.01,286.84,301.89,300.83,289.34,285.52,310.55,310.18,301.27,335.78,339.51,345.74,365.82,377.18,374.85,376.48,391.49,372.67,369.88,377.80,366.94,347.87,363.49,348.57,335.26,343.47,344.05,327.01,314.34,322.03,291.03,306.99,291.24,279.67,291.16,269.70,279.83,272.99,261.02,256.84,262.50,247.36,233.69,238.37,245.68,231.94,233.27,234.11,227.07,246.00,253.50,226.67,219.00,232.03,225.22,213.38,211.26,212.17,200.74,212.22,206.57,204.13,203.09,202.46,204.52,202.73,205.85,205.42,199.31,196.43,197.18,194.24,189.71,191.09,192.52,192.99,193.52,199.43,204.69,203.17,216.61,225.18,222.48,218.56,218.26,212.53,210.57,212.49,226.61,235.97,240.87,242.59,247.12,247.08,239.20,239.69,238.75,238.27,243.43,245.19,254.24,257.00,261.54,266.12,266.79,266.10,L7
2001-03-24 22:01:59+00:00,284.44,267.65,257.86,254.35,242.90,225.82,227.25,216.49,227.47,197.14,174.25,166.89,120.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.25,90.27,107.54,124.25,124.46,130.60,153.16,153.55,145.36,157.54,168.65,165.81,172.38,188.01,200.00,215.53,213.55,240.47,236.33,230.04,246.75,247.43,259.21,270.13,280.61,290.64,294.55,301.64,300.81,299.92,300.85,328.64,323.39,323.57,348.17,352.11,355.52,385.43,393.75,388.30,393.13,405.66,388.10,381.97,389.56,378.93,365.07,379.93,355.20,332.78,359.57,348.60,334.54,327.45,327.34,309.41,313.34,305.63,292.88,295.69,281.79,294.51,281.66,271.70,272.44,264.38,268.63,257.66,255.05,256.34,241.05,241.89,247.71,241.43,241.88,255.78,233.67,226.06,231.99,219.00,214.98,221.37,216.02,207.13,218.69,215.52,208.44,208.50,209.03,207.25,207.29,209.02,205.04,198.57,197.09,198.46,197.92,198.50,201.47,204.01,200.90,199.65,203.91,205.05,203.54,212.33,222.26,222.44,222.07,223.29,221.38,221.01,221.17,227.87,233.76,238.73,243.31,246.28,248.69,244.19,247.00,247.12,247.11,249.11,250.39,255.90,258.09,261.67,264.82,265.51,264.70,L7
2001-10-02 22:00:04+00:00,,292.29,283.70,285.23,273.69,271.24,247.03,241.05,237.15,221.65,,183.40,179.44,156.61,118.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.94,91.06,101.67,114.12,116.45,124.15,150.62,159.64,164.26,151.15,171.19,174.66,166.20,188.44,193.46,205.43,202.78,204.87,217.70,221.15,223.20,235.95,245.34,259.16,271.84,281.13,294.43,307.39,308.94,309.71,315.35,310.50,329.79,327.20,332.10,350.36,363.52,366.50,,,,,,,,,,,,,347.26,360.14,352.39,339.55,331.61,335.85,316.17,314.69,319.44,301.52,298.12,294.43,306.44,294.15,284.40,277.85,289.24,270.52,266.50,269.96,260.49,256.60,259.15,254.05,246.30,242.94,241.25,231.84,233.93,228.66,225.39,219.66,226.70,217.42,218.46,217.06,227.41,225.11,223.31,224.65,218.36,215.11,218.60,214.12,211.80,210.45,208.64,211.62,214.22,213.53,213.42,212.92,208.62,204.63,200.31,205.07,211.28,210.98,217.68,220.76,225.43,222.86,228.19,228.27,231.48,233.28,238.34,238.57,241.08,246.94,243.73,249.05,258.87,,,,265.37,269.93,268.89,269.41,265.92,267.06,L7
2001-11-03 22:00:10+00:00,282.73,277.42,265.19,285.23,273.69,253.92,247.03,224.35,223.38,204.95,172.04,183.40,163.88,137.12,118.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.94,91.06,101.67,114.12,116.45,124.15,150.62,145.86,150.16,138.99,158.40,169.34,157.24,173.32,177.85,187.80,183.88,192.57,208.52,213.87,211.96,223.77,234.38,245.28,255.45,270.04,281.88,292.61,296.72,296.54,307.00,299.09,317.15,318.20,319.00,338.28,349.51,352.22,359.09,384.97,381.98,386.79,404.69,377.16,368.06,380.81,360.25,,351.77,323.00,331.42,346.65,337.33,325.40,318.70,322.77,304.72,303.16,302.78,287.57,285.67,280.40,292.53,280.47,269.91,277.85,274.22,270.52,250.76,255.06,249.80,244.44,243.65,241.41,232.98,228.28,228.46,222.06,223.69,219.21,211.81,208.33,213.54,206.21,205.36,206.75,214.80,209.21,207.13,208.39,203.86,202.53,206.48,201.37,201.90,201.72,202.71,201.13,201.08,202.07,203.12,203.79,201.75,199.15,196.49,197.56,201.78,203.09,207.93,210.95,220.53,219.81,221.40,220.92,219.25,220.70,226.91,228.34,236.25,241.54,239.41,244.28,249.82,239.62,244.91,246.24,255.67,259.30,256.48,257.14,256.38,260.08,L7
2002-01-06 22:00:31+00:00,294.62,276.31,258.61,285.23,273.69,240.53,230.68,217.93,209.92,196.83,169.91,174.44,155.66,125.44,118.68,50.60,,,,,,,,,,,,,,,,,,,,,,,40.61,66.73,71.10,61.84,67.86,71.20,70.02,74.21,93.61,76.08,84.97,90.75,97.37,106.08,112.88,118.28,132.37,138.01,141.98,135.91,150.37,162.99,156.14,167.65,170.71,181.92,176.26,185.10,199.17,207.39,208.81,222.52,236.17,246.98,251.99,262.43,272.41,281.91,290.23,293.56,303.82,299.09,317.15,319.69,319.90,336.13,346.11,350.39,356.57,375.81,379.45,384.38,396.98,383.34,377.18,375.15,358.98,343.38,342.97,329.37,335.22,342.11,337.48,324.57,312.29,316.28,304.25,302.77,303.40,290.17,280.50,277.94,285.56,276.93,264.42,261.86,261.41,255.16,248.19,248.30,246.63,241.45,240.00,239.10,231.77,230.96,227.49,220.60,219.67,215.78,210.79,209.04,213.09,210.56,207.52,204.72,208.01,202.27,201.70,204.46,201.51,200.42,202.42,199.45,201.26,201.29,200.78,196.45,195.63,198.11,201.09,204.27,203.99,199.99,196.95,197.60,200.67,200.14,204.73,207.87,216.33,217.33,218.40,217.30,214.00,216.32,226.23,230.25,234.64,237.28,237.07,240.84,247.38,242.13,245.19,244.37,253.10,259.30,256.48,257.14,256.38,260.08,L7
