dates,satname,nzd0027-0000,nzd0027-0001,nzd0027-0002,nzd0027-0003,nzd0027-0004,nzd0027-0005,nzd0027-0006,nzd0027-0007,nzd0027-0008,nzd0027-0009,nzd0027-0010,nzd0027-0011,nzd0027-0012,nzd0027-0013,nzd0027-0014,nzd0027-0015,nzd0027-0016,nzd0027-0017,nzd0027-0018,nzd0027-0019,nzd0027-0020,nzd0027-0021,nzd0027-0022,nzd0027-0023,nzd0027-0024,nzd0027-0025,nzd0027-0026,nzd0027-0027,nzd0027-0028,nzd0027-0029,nzd0027-0030,nzd0027-0031,nzd0027-0032,nzd0027-0033,nzd0027-0034,nzd0027-0035,nzd0027-0036,nzd0027-0037,nzd0027-0038,nzd0027-0039,nzd0027-0040,nzd0027-0041,nzd0027-0042,nzd0027-0043,nzd0027-0044,nzd0027-0045,nzd0027-0046,nzd0027-0047,nzd0027-0048,nzd0027-0049,nzd0027-0050,nzd0027-0051,nzd0027-0052,nzd0027-0053,nzd0027-0054,nzd0027-0055,nzd0027-0056,nzd0027-0057,nzd0027-0058,nzd0027-0059,nzd0027-0060,nzd0027-0061,nzd0027-0062,nzd0027-0063,nzd0027-0064,nzd0027-0065,nzd0027-0066,nzd0027-0067,nzd0027-0068,nzd0027-0069,nzd0027-0070,nzd0027-0071,nzd0027-0072,nzd0027-0073,nzd0027-0074,nzd0027-0075,nzd0027-0076,nzd0027-0077,nzd0027-0078,nzd0027-0079,nzd0027-0080,nzd0027-0081,nzd0027-0082,nzd0027-0083,nzd0027-0084,nzd0027-0085,nzd0027-0086,nzd0027-0087,nzd0027-0088,nzd0027-0089,nzd0027-0090,nzd0027-0091,nzd0027-0092,nzd0027-0093,nzd0027-0094,nzd0027-0095,nzd0027-0096
1999-08-17 22:10:26+00:00,L7,383.53,372.77,370.62,369.18,,,403.96,404.35,401.79,408.74,417.19,417.46,409.55,406.16,420.05,427.91,424.27,429.83,433.90,439.95,438.06,452.72,458.96,460.31,450.80,445.28,443.74,,,,,,,435.11,443.78,452.06,458.70,457.92,456.37,444.17,422.42,421.72,417.76,418.70,424.11,420.95,417.91,426.99,417.01,409.18,398.60,360.58,378.05,384.40,401.50,406.24,397.65,403.93,408.66,416.25,415.12,410.91,408.00,406.87,411.84,411.59,405.65,406.21,402.22,403.29,403.17,402.17,397.62,402.43,400.20,402.44,397.48,399.65,398.12,403.95,395.70,397.86,393.44,394.11,390.22,388.51,394.77,399.24,397.03,387.85,390.53,369.04,374.65,368.42,376.85,370.85,359.57
1999-08-26 22:04:21+00:00,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-09-27 22:04:25+00:00,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,259.21,400.61,408.43,407.41,405.22,402.31,399.59,398.65,400.10,396.53,394.19,395.76,392.84,397.27,393.02,391.07,390.53,385.96,386.53,387.00,381.04,383.37,386.82,385.88,386.07,384.24,385.17,383.08,378.79,382.28,377.26,378.58,378.26,379.80,363.29,367.20,365.06,365.72,364.65,364.42
1999-10-04 22:10:38+00:00,L7,401.08,394.49,391.87,397.06,414.84,400.21,432.61,418.78,414.12,426.49,428.45,426.89,417.78,418.02,429.73,441.94,437.98,442.38,450.04,452.22,449.64,465.12,473.54,468.79,457.02,458.52,458.83,463.58,464.17,459.56,468.96,499.92,489.44,479.57,485.03,486.78,489.32,487.31,485.69,474.68,446.52,441.47,432.36,436.29,446.16,443.52,439.88,439.32,435.15,420.00,406.39,415.61,414.47,389.77,418.96,424.63,428.73,429.82,433.45,436.25,438.51,432.97,429.30,423.54,426.73,426.81,424.00,422.59,421.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-10-13 22:04:24+00:00,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,321.51,384.12,,,,,398.56,405.34,408.41,405.20,403.27,399.35,399.42,397.84,396.60,395.55,393.44,394.72,398.01,394.49,391.55,387.40,387.73,383.81,381.12,386.44,380.92,,,,,,,,,,,,,,355.56,361.11,357.10,361.55,353.76,355.80
1999-11-14 22:04:18+00:00,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,407.22,409.55,414.09,416.91,411.84,407.23,406.14,408.61,407.08,409.29,406.66,407.26,407.02,406.20,398.55,400.03,396.81,397.33,397.07,392.74,392.96,390.84,396.03,395.41,397.15,396.93,391.56,391.78,394.77,394.66,394.22,388.86,382.28,384.10,370.35,366.49,368.82,375.16,369.49,366.29
2000-02-09 22:10:19+00:00,L7,411.61,399.21,397.08,391.50,406.82,396.19,436.40,429.41,430.35,434.07,442.67,442.79,432.33,425.41,446.83,453.91,447.28,450.79,457.64,459.19,458.81,468.08,476.59,473.71,469.16,452.52,451.67,459.55,458.81,441.38,418.07,408.98,428.65,451.59,465.70,476.24,486.84,489.82,491.29,465.31,441.96,435.30,432.11,437.33,438.07,437.66,440.15,437.60,433.72,428.52,415.29,401.83,369.29,360.89,417.15,422.22,420.61,423.72,420.79,425.76,426.15,420.45,416.92,417.75,417.27,418.88,413.87,416.14,413.09,415.01,410.75,408.45,400.65,403.56,401.06,403.34,395.53,398.84,401.31,398.40,401.33,400.91,402.99,399.72,398.42,394.23,391.21,397.73,386.60,390.03,395.42,381.44,378.23,371.66,387.77,377.92,363.18
2000-04-29 22:09:53+00:00,L7,428.56,425.35,418.29,415.84,430.84,409.38,452.32,445.27,445.83,456.08,461.20,458.65,447.55,445.32,458.57,468.23,458.11,464.84,470.13,473.97,469.09,482.01,494.65,491.45,484.68,479.04,,,,,,,,,,,,,,,,454.16,449.76,450.55,451.70,449.99,451.34,454.85,450.33,439.69,434.31,427.92,404.97,410.21,429.37,434.64,438.58,438.24,439.54,439.53,436.53,432.57,428.22,427.46,427.15,429.64,424.52,424.49,423.39,417.61,415.68,412.12,412.46,410.26,413.18,415.68,412.94,404.78,410.48,410.57,410.64,407.92,407.12,405.38,403.15,400.52,397.43,400.22,400.89,395.40,397.77,386.48,382.01,385.97,388.03,392.58,369.88
2000-05-15 22:09:42+00:00,L7,413.33,406.16,400.25,396.70,406.86,396.53,434.89,430.32,425.61,435.03,436.10,442.22,429.81,421.10,438.78,443.76,445.64,445.98,453.05,456.23,450.86,465.61,472.43,472.39,459.97,455.08,,,,,,,,,,,,,,,,,431.10,430.51,434.25,428.80,429.31,436.08,428.50,420.60,414.47,403.39,372.22,394.72,418.26,424.06,421.57,426.86,426.78,428.51,430.38,423.99,419.40,419.00,422.17,423.81,423.84,422.15,424.06,417.74,414.36,413.18,408.42,404.99,401.36,403.29,407.72,401.89,404.28,409.26,406.73,402.35,401.27,400.00,398.78,394.87,394.44,398.19,397.95,394.22,398.22,385.14,380.90,377.51,385.19,377.34,
2000-08-03 22:08:44+00:00,L7,381.15,373.05,365.17,362.18,,377.99,404.84,401.17,400.50,406.00,413.18,414.02,404.70,395.26,406.31,415.26,412.07,413.95,422.86,427.54,423.82,437.57,448.36,449.56,436.81,432.28,429.39,437.73,442.10,425.94,,,410.37,428.83,441.62,449.50,452.56,450.30,,428.39,406.28,405.81,402.01,,407.65,404.74,405.20,410.17,,381.55,366.71,252.64,246.64,342.27,,,,397.70,399.59,405.34,402.69,,,394.53,394.48,396.66,395.00,393.10,391.99,386.53,388.49,382.27,383.57,381.27,379.70,380.12,385.70,380.69,386.04,387.89,387.46,384.14,386.35,379.78,381.56,381.71,378.03,378.36,379.72,382.22,379.19,359.74,363.29,363.15,361.21,336.37,
