dates,nzd0027-0000,nzd0027-0001,nzd0027-0002,nzd0027-0003,nzd0027-0004,nzd0027-0005,nzd0027-0006,nzd0027-0007,nzd0027-0008,nzd0027-0009,nzd0027-0010,nzd0027-0011,nzd0027-0012,nzd0027-0013,nzd0027-0014,nzd0027-0015,nzd0027-0016,nzd0027-0017,nzd0027-0018,nzd0027-0019,nzd0027-0020,nzd0027-0021,nzd0027-0022,nzd0027-0023,nzd0027-0024,nzd0027-0025,nzd0027-0026,nzd0027-0027,nzd0027-0028,nzd0027-0029,nzd0027-0030,nzd0027-0031,nzd0027-0032,nzd0027-0033,nzd0027-0034,nzd0027-0035,nzd0027-0036,nzd0027-0037,nzd0027-0038,nzd0027-0039,nzd0027-0040,nzd0027-0041,nzd0027-0042,nzd0027-0043,nzd0027-0044,nzd0027-0045,nzd0027-0046,nzd0027-0047,nzd0027-0048,nzd0027-0049,nzd0027-0050,nzd0027-0051,nzd0027-0052,nzd0027-0053,nzd0027-0054,nzd0027-0055,nzd0027-0056,nzd0027-0057,nzd0027-0058,nzd0027-0059,nzd0027-0060,nzd0027-0061,nzd0027-0062,nzd0027-0063,nzd0027-0064,nzd0027-0065,nzd0027-0066,nzd0027-0067,nzd0027-0068,nzd0027-0069,nzd0027-0070,nzd0027-0071,nzd0027-0072,nzd0027-0073,nzd0027-0074,nzd0027-0075,nzd0027-0076,nzd0027-0077,nzd0027-0078,nzd0027-0079,nzd0027-0080,nzd0027-0081,nzd0027-0082,nzd0027-0083,nzd0027-0084,nzd0027-0085,nzd0027-0086,nzd0027-0087,nzd0027-0088,nzd0027-0089,nzd0027-0090,nzd0027-0091,nzd0027-0092,nzd0027-0093,nzd0027-0094,nzd0027-0095,nzd0027-0096,satname
1999-08-17 22:10:26+00:00,387.73,376.27,373.85,373.00,,,407.78,407.58,404.59,411.54,420.19,420.46,412.35,409.16,423.05,430.71,427.07,433.06,436.52,442.57,440.86,455.35,461.58,462.94,453.27,448.08,446.74,,,,,,,440.36,446.25,453.11,459.75,458.97,458.70,447.40,425.65,424.72,420.38,421.50,426.91,423.95,420.54,430.49,422.26,415.18,404.60,364.78,381.87,386.87,404.12,409.04,399.15,,410.87,417.60,418.62,414.41,411.23,410.10,414.46,414.59,409.15,409.21,405.45,406.52,406.40,404.80,400.62,405.43,403.70,405.94,401.30,403.15,401.62,407.77,398.93,400.86,395.77,397.11,393.45,391.74,398.97,402.04,399.03,390.18,394.03,374.29,379.32,371.22,381.52,376.10,362.80,L7
1999-09-27 22:04:25+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,411.45,415.08,424.58,422.39,418.16,415.44,411.52,414.81,413.70,408.90,411.61,408.69,413.12,405.89,405.78,405.24,403.13,403.70,405.73,398.21,400.54,405.55,401.73,400.78,395.68,399.88,398.93,394.64,402.88,390.99,388.39,389.70,396.97,389.04,390.09,378.79,388.61,390.40,380.27,L7
1999-10-04 22:10:38+00:00,385.08,381.16,379.56,382.51,398.84,389.54,418.06,406.47,403.45,415.82,417.02,415.46,407.11,406.59,418.30,431.27,427.31,430.07,440.04,442.22,438.97,455.12,463.54,458.79,447.61,447.85,447.40,452.15,448.17,441.78,448.96,459.92,457.44,459.57,475.62,482.78,485.32,483.31,476.80,462.37,434.21,430.04,422.36,425.62,435.49,432.09,429.88,425.99,415.15,397.14,383.53,399.61,399.92,380.36,408.96,413.96,423.02,419.82,425.03,431.09,425.18,419.64,416.99,411.23,416.73,415.38,410.67,411.16,408.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L7
1999-10-13 22:04:24+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398.12,,,,,408.19,413.45,413.38,418.03,416.10,411.20,411.27,407.46,407.60,408.38,404.44,406.57,409.86,406.34,401.18,398.40,398.73,396.64,393.95,400.44,393.75,,,,,,,,,,,,,,374.81,378.22,367.37,378.66,373.01,367.65,L7
1999-11-14 22:04:18+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,410.47,412.29,415.77,421.24,416.17,411.23,410.14,411.86,410.79,413.62,410.37,411.26,411.02,410.20,401.80,403.74,400.52,401.66,401.40,397.47,397.29,395.17,400.76,399.41,400.86,399.82,395.27,395.78,398.77,399.86,397.69,391.34,385.17,388.43,376.85,372.27,372.29,380.94,375.99,370.29,L7
2000-02-09 22:10:19+00:00,429.41,414.04,410.77,407.68,424.62,408.06,452.58,443.10,442.22,445.94,455.38,455.50,444.20,438.12,459.54,465.78,459.15,464.48,468.76,470.31,470.68,479.20,487.71,484.83,479.63,464.39,464.38,472.26,476.61,461.16,440.32,453.48,464.25,473.84,476.17,480.69,491.29,494.27,501.18,479.00,455.65,448.01,443.24,449.20,449.94,450.37,451.27,452.43,455.97,453.95,440.72,419.63,385.47,371.36,428.27,434.09,426.97,434.85,430.16,431.50,440.98,435.28,430.61,431.44,428.39,431.59,428.70,428.85,426.78,428.70,424.44,419.57,413.36,416.27,415.89,418.17,411.71,413.67,416.14,414.58,415.02,413.62,412.88,412.43,412.11,407.92,409.01,409.60,395.08,399.92,410.25,403.69,398.01,383.53,407.55,400.17,376.87,L7
2000-04-29 22:09:53+00:00,416.96,415.68,409.37,405.29,419.24,401.65,441.77,436.35,438.10,448.35,452.91,450.36,439.82,437.03,450.28,460.50,450.38,455.92,462.88,466.72,461.36,474.76,487.40,484.20,477.86,471.31,,,,,,,,,,,,,,,,445.87,442.51,442.82,443.97,441.70,444.09,445.18,435.83,423.12,417.74,416.32,394.42,403.39,422.12,426.91,434.44,430.99,433.43,435.79,426.86,422.90,419.30,418.54,419.90,421.35,414.85,416.20,414.47,408.69,406.76,404.87,404.17,401.97,403.51,406.01,402.39,395.11,400.81,400.02,401.72,399.63,400.68,397.09,394.23,391.60,385.83,392.49,395.37,388.96,388.10,371.98,369.12,378.24,375.14,378.08,360.96,L7
2000-05-15 22:09:42+00:00,404.93,399.16,393.79,389.06,398.46,390.93,427.25,423.86,420.01,429.43,430.10,436.22,424.21,415.10,432.78,438.16,440.04,439.52,447.80,450.98,445.26,460.36,467.18,467.14,455.03,449.48,,,,,,,,,,,,,,,,,425.85,424.91,428.65,422.80,424.06,429.08,418.00,408.60,402.47,394.99,364.58,389.78,413.01,418.46,418.57,421.61,422.36,425.80,423.38,416.99,412.94,412.54,416.92,417.81,416.84,416.15,417.60,411.28,407.90,407.93,402.42,398.99,394.36,396.29,400.08,394.89,397.28,401.62,400.27,396.35,396.60,394.00,392.32,388.41,386.04,392.59,393.95,389.55,391.22,374.64,371.57,371.91,375.86,366.84,,L7
2000-08-03 22:08:44+00:00,399.75,388.55,379.48,379.09,,390.39,421.75,415.48,412.90,418.40,426.47,427.31,417.10,408.55,419.60,427.66,424.47,428.26,434.49,439.17,436.22,449.19,459.99,461.19,447.75,444.68,442.68,451.02,460.70,446.61,,,447.57,452.08,452.56,454.15,457.21,454.95,,442.70,420.59,419.10,413.63,,420.05,418.03,416.82,425.67,,408.12,393.28,,,353.21,,,,409.32,409.38,411.34,418.19,,,408.84,406.11,409.95,410.50,406.39,406.30,400.84,402.80,393.89,396.86,394.56,395.20,395.62,402.61,396.19,401.54,404.80,401.77,397.43,396.68,393.07,395.87,396.02,396.63,390.76,388.58,392.55,394.69,382.99,383.96,375.55,381.88,359.62,,L7
2000-11-07 22:07:53+00:00,,,,,,,,,408.39,415.77,419.27,418.62,408.70,410.33,419.39,431.86,426.89,431.85,440.51,442.31,437.69,454.15,461.37,457.66,449.59,441.45,440.79,446.67,446.85,436.76,416.99,,,433.19,451.13,462.35,471.67,474.48,,456.68,419.03,425.46,419.95,,417.29,418.01,425.50,431.57,,379.41,,355.51,370.29,379.33,401.97,408.72,413.68,412.61,421.17,423.84,413.72,407.69,406.13,402.45,407.76,403.77,396.69,394.99,395.52,392.25,392.33,387.33,386.31,384.18,382.87,383.75,380.81,378.74,376.68,378.70,378.75,381.03,384.98,379.24,378.06,374.41,371.74,378.31,374.72,372.88,369.54,,349.59,351.24,349.97,348.28,353.75,L7
