,dates,chi0166-0000,chi0166-0001
0,1986-07-30 13:59:40+00:00,,176.97893685758322
1,1986-09-16 13:57:58+00:00,186.97560900523462,176.90426985512008
2,1988-02-26 14:07:12+00:00,203.92677520200226,192.2168964401143
3,1988-06-17 14:08:03+00:00,,171.2066109549761
4,1988-08-20 14:08:12+00:00,187.97661678259192,178.76842632156718
5,1988-09-05 14:08:15+00:00,189.295369825514,
6,1988-09-21 14:08:10+00:00,178.42787725686904,180.65795837638927
7,1989-05-03 14:06:13+00:00,193.0797124429732,183.45827922759813
8,1989-08-07 14:04:21+00:00,183.94035467369798,161.3645764159548
9,1989-09-24 14:03:11+00:00,193.63013966602517,183.65729699978834
10,1990-02-15 13:58:56+00:00,189.59306674919463,173.83532811738792
11,1990-09-27 13:57:10+00:00,195.92750435554805,197.29086725605455
12,1991-02-02 13:58:00+00:00,189.6699029953255,181.4599210273905
13,1991-09-30 14:01:25+00:00,,
14,1991-12-03 14:01:54+00:00,198.08696064678534,185.36772688961494
15,1992-01-20 14:01:43+00:00,192.33475255274575,179.7963696643893
16,1992-02-05 14:01:40+00:00,191.23304857799596,177.3425292027885
17,1992-12-05 13:58:39+00:00,178.72642753153238,176.91453668602233
18,1993-01-22 13:59:11+00:00,198.94213954965198,188.1829494209738
19,1993-05-30 14:00:00+00:00,,178.09527221310503
20,1993-10-05 13:59:43+00:00,193.48632142299152,182.18445284660962
21,1994-01-25 13:58:43+00:00,193.9883467779614,188.0702141183818
22,1994-02-26 13:58:19+00:00,,
23,1995-05-04 13:45:34+00:00,201.9139728874255,180.47810807815213
24,1995-05-20 13:44:50+00:00,,
25,1995-10-11 13:38:02+00:00,189.23492376340693,185.14806997086214
26,1996-01-15 13:40:45+00:00,160.58678690635537,168.0033828340677
27,1996-03-03 13:44:03+00:00,189.60795058919413,178.10558171554666
28,1996-03-19 13:45:05+00:00,198.7983992394704,187.11894401389756
29,1996-04-20 13:47:05+00:00,185.48180464592795,176.9640436320275
30,1996-10-13 13:56:40+00:00,188.31694025295454,178.4691524896178
31,1997-01-01 14:00:30+00:00,197.70298809557406,194.69072904795752
32,1997-02-02 14:01:58+00:00,194.50915098639817,185.58870627925342
33,1997-06-10 14:06:44+00:00,,173.62220679200172
34,1997-06-26 14:07:17+00:00,,172.32330160396796
35,1997-07-12 14:07:50+00:00,,176.04978660279556
36,1998-01-20 14:13:02+00:00,196.2911569715663,199.56277676056885
37,1998-02-21 14:13:42+00:00,,145.099290391141
38,1998-03-25 14:14:11+00:00,,
39,1998-06-13 14:15:19+00:00,189.95301668875598,189.00128083235353
40,1998-06-29 14:15:30+00:00,,184.33819764678714
41,1998-09-01 14:16:07+00:00,193.1777955325779,188.56914359122902
42,1998-09-17 14:16:14+00:00,211.55102314130974,201.69652516749503
43,1999-03-28 14:16:13+00:00,192.49494977033297,
44,1999-04-29 14:16:09+00:00,204.52382668695844,190.50358063750133
45,1999-07-18 14:15:11+00:00,198.44515360806736,207.6653317951171
46,1999-11-15 14:30:20+00:00,,
47,1999-12-01 14:30:15+00:00,208.05346522283602,208.42768079188798
48,2000-01-18 14:30:13+00:00,228.47116311908982,212.26314249152898
49,2000-02-03 14:30:14+00:00,216.71247624432453,207.27864756735528
50,2000-02-11 14:11:30+00:00,208.76020150493818,202.58810788681654
51,2000-02-19 14:30:07+00:00,206.87568484507202,198.68305589063715
52,2000-03-06 14:30:02+00:00,206.98193601058668,196.08182326037536
53,2000-03-14 14:11:10+00:00,195.0262662963748,191.31580820551198
54,2000-03-22 14:30:04+00:00,212.39608772607235,201.45742794993646
55,2000-05-25 14:29:25+00:00,204.987515531807,203.07342603012225
56,2000-06-02 14:13:32+00:00,,180.57120329610464
57,2000-06-18 14:13:53+00:00,205.13000641065193,195.7485358544591
58,2000-06-26 14:29:09+00:00,202.31485101372763,194.68373981837243
59,2000-07-12 14:28:56+00:00,205.68743730121398,200.06803569063305
60,2000-11-09 14:16:18+00:00,207.20517023462068,198.5628629054781
61,2000-11-25 14:16:39+00:00,208.62454078361182,199.39563877632926
62,2000-12-19 14:27:52+00:00,204.2661198934397,207.5491087585925
63,2001-01-28 14:17:24+00:00,200.97382963197543,195.5578178938941
64,2001-02-13 14:17:28+00:00,191.48977142249433,190.0270186216496
65,2001-02-21 14:27:51+00:00,209.38478414184402,199.6578075732511
