dates,satname,nzd0190-0000,nzd0190-0001,nzd0190-0002,nzd0190-0003,nzd0190-0004,nzd0190-0005,nzd0190-0006,nzd0190-0007,nzd0190-0008,nzd0190-0009,nzd0190-0010,nzd0190-0011,nzd0190-0012,nzd0190-0013,nzd0190-0014,nzd0190-0015,nzd0190-0016,nzd0190-0017,nzd0190-0018,nzd0190-0019,nzd0190-0020,nzd0190-0021,nzd0190-0022,nzd0190-0023,nzd0190-0024,nzd0190-0025,nzd0190-0026,nzd0190-0027,nzd0190-0028,nzd0190-0029,nzd0190-0030,nzd0190-0031,nzd0190-0032,nzd0190-0033,nzd0190-0034,nzd0190-0035,nzd0190-0036,nzd0190-0037,nzd0190-0038,nzd0190-0039,nzd0190-0040,nzd0190-0041,nzd0190-0042,nzd0190-0043,nzd0190-0044,nzd0190-0045,nzd0190-0046,nzd0190-0047,nzd0190-0048,nzd0190-0049,nzd0190-0050,nzd0190-0051,nzd0190-0052,nzd0190-0053,nzd0190-0054,nzd0190-0055,nzd0190-0056,nzd0190-0057,nzd0190-0058,nzd0190-0059,nzd0190-0060,nzd0190-0061,nzd0190-0062,nzd0190-0063,nzd0190-0064,nzd0190-0065,nzd0190-0066,nzd0190-0067,nzd0190-0068,nzd0190-0069,nzd0190-0070,nzd0190-0071,nzd0190-0072,nzd0190-0073,nzd0190-0074,nzd0190-0075,nzd0190-0076,nzd0190-0077,nzd0190-0078,nzd0190-0079,nzd0190-0080,nzd0190-0081,nzd0190-0082,nzd0190-0083,nzd0190-0084,nzd0190-0085,nzd0190-0086,nzd0190-0087,nzd0190-0088,nzd0190-0089,nzd0190-0090,nzd0190-0091,nzd0190-0092,nzd0190-0093,nzd0190-0094,nzd0190-0095,nzd0190-0096,nzd0190-0097,nzd0190-0098,nzd0190-0099,nzd0190-0100,nzd0190-0101,nzd0190-0102,nzd0190-0103,nzd0190-0104,nzd0190-0105,nzd0190-0106,nzd0190-0107,nzd0190-0108,nzd0190-0109,nzd0190-0110
1999-08-26 22:05:08+00:00,L7,350.28,,387.16,373.70,342.83,294.02,273.53,271.30,261.62,244.07,212.20,186.70,149.48,110.80,,,,,,,,,,,,,,,,,,,,,,,,,,94.93,96.92,108.55,177.76,213.03,,338.15,391.13,434.40,,,543.58,549.39,582.18,583.83,576.76,571.29,557.59,529.39,522.70,512.56,504.09,496.15,479.17,464.24,439.82,399.39,380.30,361.30,342.82,327.78,309.91,300.64,278.26,275.00,254.90,240.68,209.44,194.27,199.79,188.57,177.53,169.30,176.98,171.61,146.12,143.42,129.27,129.35,122.34,128.05,,116.25,129.19,135.98,136.68,146.63,165.11,,177.82,160.23,134.59,140.29,144.29,143.74,160.21,165.07,156.65,160.38,168.96,182.73,228.96
1999-09-27 22:05:12+00:00,L7,354.81,375.67,375.30,382.46,355.87,299.71,275.61,265.78,254.10,243.30,218.65,183.69,140.02,86.95,,,,,,,,,,,,,,,,,,,,,,,,83.42,99.70,116.15,113.00,122.89,183.32,218.57,,340.32,,451.26,483.31,510.08,542.38,542.01,565.14,568.88,565.15,558.53,550.36,520.37,507.90,506.50,505.33,483.97,465.07,455.80,427.91,402.73,381.59,354.69,333.80,320.10,302.26,290.75,269.01,257.53,244.68,224.29,,,209.63,196.35,186.57,164.73,194.63,160.78,146.64,141.87,128.50,130.84,117.76,121.95,116.71,116.03,127.72,135.96,137.36,141.85,162.30,150.54,187.88,159.47,136.64,138.16,139.61,117.93,,,157.99,167.48,178.00,184.25,221.05
1999-11-14 22:05:06+00:00,L7,402.68,,411.77,395.25,361.70,,283.84,280.83,277.92,264.50,247.41,214.90,,115.71,,,,,,,,,,,,,79.77,74.65,95.03,111.39,107.38,90.28,80.08,,,86.90,106.16,139.25,185.12,205.46,217.62,258.86,333.10,389.81,436.78,481.79,533.87,563.63,585.31,614.88,633.23,,,,652.81,636.74,615.16,596.46,,,,,,504.96,516.07,521.93,518.46,482.51,,366.28,343.71,331.45,333.96,337.30,332.48,331.07,299.26,321.76,283.86,261.85,244.43,235.74,235.21,232.87,226.28,216.04,210.75,197.17,189.44,190.98,187.69,180.09,178.52,187.64,206.69,225.10,234.01,227.19,222.67,174.93,201.42,227.52,235.33,208.82,230.08,249.82,252.77,238.21,226.06,247.98,302.05
1999-12-25 21:58:52+00:00,L7,345.81,358.92,361.50,345.00,304.92,256.13,240.62,250.42,250.02,237.26,211.36,170.03,122.77,,,,,,,,,,,,,,,,,,,,,,,,80.75,110.80,141.59,165.10,171.01,195.08,249.11,295.40,,388.99,,493.67,532.76,559.48,580.58,590.35,593.75,597.57,599.97,592.25,576.83,552.78,532.28,513.89,492.62,478.56,462.53,450.46,442.40,431.32,423.68,408.33,378.10,352.45,315.80,295.43,283.69,283.81,280.20,269.93,253.67,246.62,244.01,225.21,211.16,200.28,191.94,196.41,191.84,191.41,175.30,161.21,,,,,,,,,,,,,,,,,172.80,176.31,172.28,179.22,189.36,197.04,226.93
2000-01-01 22:05:01+00:00,L7,357.64,373.66,368.21,350.92,312.90,276.79,262.38,259.23,261.81,243.43,219.32,186.62,143.52,88.42,,,,,,,,,,,,,,,,,,,,,,78.81,107.44,159.54,187.30,208.30,230.72,266.90,333.07,376.19,407.22,451.76,489.68,539.73,574.95,598.65,617.05,631.81,629.92,631.37,640.43,631.80,616.32,593.03,572.94,546.69,521.10,504.66,491.58,485.09,492.05,483.60,476.38,467.34,445.19,412.60,359.83,315.71,305.08,308.46,311.30,302.09,282.17,287.80,274.78,253.08,240.35,227.06,226.04,222.25,229.19,228.57,206.74,197.71,185.48,179.79,184.67,170.19,162.43,167.19,176.35,197.69,210.99,209.83,212.86,172.06,181.00,196.95,197.15,194.71,203.38,222.68,232.87,235.16,229.95,240.84,269.89
2000-05-08 22:04:21+00:00,L7,383.39,,363.81,334.85,,,,176.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,239.89,230.82,259.63,303.33,347.69,384.44,,486.28,,,,,,,,,,,,,,,,,510.70,,,,,448.12,,521.55,578.15,,,,,,,,,,,,,,,,132.21,104.15,518.09,648.03,624.65,632.92,541.94,156.61,192.58,223.10,,,,,,,,,,,225.43,230.41,274.98,266.11
2000-05-24 22:04:10+00:00,L7,369.32,,363.40,334.48,295.28,256.25,239.65,239.32,229.05,213.52,183.51,153.16,94.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,312.17,347.68,392.09,,,541.41,577.60,600.79,615.39,612.75,614.68,604.22,599.85,601.55,608.38,610.85,604.42,586.87,580.45,562.98,549.30,534.08,513.41,495.77,481.33,452.02,414.81,382.01,367.23,367.21,360.93,353.54,338.52,327.66,320.32,301.43,296.29,277.85,270.10,264.62,260.99,248.30,241.28,,,,,,,,,,,,,,181.60,172.02,,,,,,,,,,,
2000-07-04 21:57:38+00:00,L7,328.75,325.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,197.24,206.35,207.13,213.45,227.33,227.26,250.45,279.00,331.97,367.28,412.54,459.40,,,,,,,,,,,,,,,535.83,520.35,493.71,,,,,,,,,,,,,,,,,,,,238.80,230.37,220.91,205.25,162.50,,,,149.90,159.57,166.13,172.68,,,,,,,,,,,,,,,229.32,
2000-07-11 22:03:41+00:00,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-08-12 22:03:18+00:00,L7,,,,,,,,,200.56,,115.52,72.06,,,,,,,,,,,,,,,,,,,78.12,107.28,146.25,177.31,176.12,163.94,166.76,191.41,185.52,224.96,216.74,243.36,280.46,313.40,332.28,403.31,406.53,465.94,515.12,554.81,577.80,568.86,579.58,568.79,566.98,576.15,567.62,561.60,550.66,538.79,519.70,496.37,477.43,449.02,430.69,424.81,410.14,414.44,372.74,351.46,328.26,311.96,301.03,291.69,296.70,295.74,,,245.10,231.83,220.82,,,,,,,,,,,,,,,,,,,,,135.09,119.21,99.65,167.87,177.62,172.43,174.16,192.00,201.13,238.76
