dates,nzd0190-0000,nzd0190-0001,nzd0190-0002,nzd0190-0003,nzd0190-0004,nzd0190-0005,nzd0190-0006,nzd0190-0007,nzd0190-0008,nzd0190-0009,nzd0190-0010,nzd0190-0011,nzd0190-0012,nzd0190-0013,nzd0190-0014,nzd0190-0015,nzd0190-0016,nzd0190-0017,nzd0190-0018,nzd0190-0019,nzd0190-0020,nzd0190-0021,nzd0190-0022,nzd0190-0023,nzd0190-0024,nzd0190-0025,nzd0190-0026,nzd0190-0027,nzd0190-0028,nzd0190-0029,nzd0190-0030,nzd0190-0031,nzd0190-0032,nzd0190-0033,nzd0190-0034,nzd0190-0035,nzd0190-0036,nzd0190-0037,nzd0190-0038,nzd0190-0039,nzd0190-0040,nzd0190-0041,nzd0190-0042,nzd0190-0043,nzd0190-0044,nzd0190-0045,nzd0190-0046,nzd0190-0047,nzd0190-0048,nzd0190-0049,nzd0190-0050,nzd0190-0051,nzd0190-0052,nzd0190-0053,nzd0190-0054,nzd0190-0055,nzd0190-0056,nzd0190-0057,nzd0190-0058,nzd0190-0059,nzd0190-0060,nzd0190-0061,nzd0190-0062,nzd0190-0063,nzd0190-0064,nzd0190-0065,nzd0190-0066,nzd0190-0067,nzd0190-0068,nzd0190-0069,nzd0190-0070,nzd0190-0071,nzd0190-0072,nzd0190-0073,nzd0190-0074,nzd0190-0075,nzd0190-0076,nzd0190-0077,nzd0190-0078,nzd0190-0079,nzd0190-0080,nzd0190-0081,nzd0190-0082,nzd0190-0083,nzd0190-0084,nzd0190-0085,nzd0190-0086,nzd0190-0087,nzd0190-0088,nzd0190-0089,nzd0190-0090,nzd0190-0091,nzd0190-0092,nzd0190-0093,nzd0190-0094,nzd0190-0095,nzd0190-0096,nzd0190-0097,nzd0190-0098,nzd0190-0099,nzd0190-0100,nzd0190-0101,nzd0190-0102,nzd0190-0103,nzd0190-0104,nzd0190-0105,nzd0190-0106,nzd0190-0107,nzd0190-0108,nzd0190-0109,nzd0190-0110,satname
1999-08-26 22:05:08+00:00,391.95,,437.16,415.37,392.83,344.02,309.24,280.92,267.87,250.32,218.45,222.41,185.19,125.51,,,,,,,,,,,,,,,,,,,,,,,,,,130.64,132.63,150.22,219.43,254.70,,379.82,,476.07,,,585.25,591.06,613.43,625.50,618.43,607.00,593.30,565.10,558.41,548.27,545.76,531.86,514.88,499.95,475.53,435.10,416.01,397.01,374.07,359.03,351.58,342.31,319.93,325.00,290.61,276.39,,,231.04,219.82,213.24,200.55,208.23,202.86,181.83,171.20,164.98,160.60,164.01,169.72,,157.92,170.86,177.65,178.35,182.34,200.82,,213.53,195.94,176.26,190.29,185.96,185.41,201.88,206.74,198.32,196.09,204.67,218.44,278.96,L7
1999-09-27 22:05:12+00:00,395.54,420.00,432.83,421.08,400.95,348.47,311.43,278.47,264.31,250.13,221.88,222.05,181.61,114.06,,,,,,,,,,,,,,,,,,,,,,,,127.75,144.03,142.39,141.81,158.72,223.54,258.80,,382.24,,485.83,,,585.98,588.70,605.91,619.36,613.95,601.76,590.83,561.74,552.15,546.38,547.71,526.91,508.98,496.88,470.72,437.92,417.80,394.85,370.56,356.19,349.08,338.69,316.63,317.87,286.64,269.34,,,236.96,224.71,218.91,199.26,218.06,198.44,183.24,171.31,165.74,162.34,163.05,168.00,161.04,159.14,171.46,178.97,180.02,181.09,200.56,,219.70,196.70,178.62,190.82,184.95,173.83,201.88,206.74,200.32,200.78,210.33,220.34,276.61,L7
1999-11-14 22:05:06+00:00,394.26,420.00,421.41,408.80,383.47,348.47,299.09,278.41,268.30,254.37,229.84,216.52,181.61,113.31,,,,,,,,,,,,,,,,101.96,97.95,,,,,75.90,95.16,128.00,159.07,160.27,163.94,188.43,223.54,258.80,425.78,382.24,,508.10,575.88,605.45,598.06,588.70,605.91,619.36,623.24,610.28,595.80,570.17,552.15,546.38,547.71,526.91,508.98,496.43,470.72,437.92,417.80,394.85,370.56,356.80,343.63,332.61,318.74,319.94,298.78,286.77,289.83,,249.84,234.34,224.27,208.67,221.02,207.17,194.44,183.78,177.60,171.20,168.18,171.99,168.87,162.46,170.14,178.19,185.24,192.62,208.57,221.19,217.55,186.30,182.55,198.66,184.95,181.83,210.48,222.78,214.14,210.12,212.43,226.41,280.69,L7
1999-12-25 21:58:52+00:00,387.98,401.12,413.43,398.69,370.83,327.02,289.47,272.75,264.60,250.97,226.09,209.90,168.66,113.31,,,,,,,,,,,,,,,,101.96,97.95,,,,,75.90,99.62,130.04,161.02,166.48,170.71,195.93,239.84,278.78,425.78,392.26,,510.32,564.32,592.47,599.52,597.03,607.69,619.87,623.25,610.77,596.06,570.82,552.20,542.22,537.12,517.46,500.16,489.94,467.95,442.38,426.43,406.01,378.91,360.09,342.50,329.15,315.81,317.91,299.13,287.56,281.75,264.12,252.76,236.43,225.99,210.95,218.13,208.86,198.79,189.58,182.03,173.08,168.18,171.99,168.87,162.46,170.14,178.19,185.24,192.62,208.57,221.19,217.55,186.30,182.55,198.66,184.95,181.83,205.70,215.07,209.50,207.39,211.66,224.07,274.25,L7
2000-01-01 22:05:01+00:00,380.04,388.86,402.15,387.27,357.00,311.66,282.45,269.62,263.76,249.18,224.46,203.64,160.38,106.27,,,,,,,,,,,,,,,,101.96,97.95,,,,,72.69,99.12,135.09,165.26,173.24,181.11,208.26,260.81,300.80,411.83,404.81,480.35,514.34,565.20,591.86,601.16,603.39,611.50,620.41,624.82,613.38,598.51,573.66,555.38,541.34,530.78,512.26,496.01,487.37,471.97,450.69,436.91,419.34,393.73,369.19,344.10,324.60,311.80,313.78,299.97,288.87,279.22,272.46,255.76,238.36,227.26,212.77,218.31,210.13,203.27,196.13,185.37,176.61,170.17,171.61,171.02,162.06,165.88,173.11,180.69,191.89,207.17,212.97,214.38,180.74,179.83,195.43,185.91,182.72,202.78,214.64,212.31,211.35,213.72,225.82,271.14,L7
2000-05-08 22:04:21+00:00,371.05,373.29,374.72,355.17,327.71,274.86,263.14,263.72,263.40,248.55,226.18,191.37,139.14,98.48,,,,,,,,,,,,,,,,101.96,97.95,,,,,72.69,99.12,137.53,172.34,203.55,211.40,243.78,297.06,341.65,399.93,427.38,479.15,533.34,565.20,591.86,611.29,618.08,617.08,621.47,632.07,621.12,603.63,581.61,558.61,536.29,513.86,497.61,483.05,486.66,473.22,463.46,456.03,443.83,425.22,377.86,340.78,315.20,308.58,311.06,308.85,301.89,279.22,272.46,268.30,247.46,232.84,221.78,218.48,217.93,216.63,212.68,198.45,186.11,177.30,175.22,176.01,164.98,160.31,167.25,170.33,196.93,214.51,212.97,209.05,164.78,181.04,200.04,187.82,191.60,203.09,217.27,220.31,218.36,217.80,239.07,264.64,L7
2000-05-24 22:04:10+00:00,362.12,373.29,361.93,339.40,304.63,263.32,247.74,249.71,246.99,231.44,204.76,170.13,120.32,85.13,,,,,,,,,,,,,,,,,,,,,,69.48,101.10,142.17,171.44,206.05,212.47,242.43,297.50,339.83,384.25,427.38,479.15,525.16,561.96,586.50,604.56,611.86,612.95,611.28,613.64,608.72,600.70,585.74,570.07,549.34,531.61,497.61,483.05,493.44,482.81,470.42,460.65,442.75,420.12,382.52,347.84,326.34,316.79,315.54,310.20,300.08,285.58,278.78,271.86,252.21,240.73,230.82,226.49,222.49,220.96,214.66,197.02,184.71,176.15,170.46,175.34,160.86,153.10,157.86,157.65,187.56,209.47,204.74,187.51,162.32,171.67,185.75,187.82,185.38,195.09,206.49,209.57,214.89,218.19,239.24,256.58,L7
2000-07-04 21:57:38+00:00,360.49,347.10,350.61,323.84,279.28,240.25,228.22,236.24,227.05,211.52,181.51,141.73,82.66,,,,,,,,,,,,,,,,,,,,,,,218.91,,228.80,235.12,239.32,234.75,261.71,298.17,342.45,381.27,434.21,479.51,528.08,566.17,589.36,602.06,599.42,604.68,590.89,586.52,590.12,596.95,599.42,592.99,575.44,567.12,,,512.83,501.98,484.34,469.90,440.59,423.34,372.01,353.90,353.88,347.60,337.54,327.09,316.23,308.89,291.43,286.29,267.85,258.67,254.62,250.99,246.68,239.39,235.35,223.82,178.75,,,,171.57,181.24,187.80,171.31,185.44,215.96,,170.17,160.59,,,,,,,,218.29,223.27,257.87,256.11,L7
2000-08-12 22:03:18+00:00,360.49,347.10,350.61,323.84,279.28,240.25,228.22,236.24,215.31,211.52,181.51,115.47,82.66,,,,,,,,,,,,,,,,,,95.26,,163.39,194.45,196.12,201.43,186.76,220.11,220.32,240.25,234.46,262.26,298.74,340.19,374.02,428.76,461.85,507.01,549.21,580.65,599.93,594.14,599.63,589.84,586.75,591.70,590.86,589.08,580.39,565.68,553.41,513.51,494.57,501.16,501.98,463.14,448.59,436.08,411.47,369.24,351.08,342.92,334.31,326.62,320.46,314.56,308.89,291.43,273.20,257.34,248.31,254.62,250.99,246.68,239.39,235.35,223.82,178.75,,,,171.57,181.24,187.80,171.31,185.44,215.96,,170.17,160.59,,159.09,,,187.87,197.62,192.43,204.80,216.20,244.67,259.44,L7
2000-08-21 21:57:02+00:00,358.85,351.55,340.58,323.84,265.12,238.38,230.56,242.25,217.05,204.72,181.51,115.47,82.66,,,,,,,,,,,,,,,,,108.58,124.67,185.41,180.45,203.06,215.48,201.43,219.19,232.21,234.10,246.37,242.53,264.52,301.68,341.48,374.02,428.76,461.85,507.01,549.21,580.65,592.56,595.96,602.96,589.84,586.75,591.70,590.86,589.08,580.39,565.68,553.41,513.51,494.57,501.16,496.21,463.14,448.59,445.26,415.48,379.97,347.92,337.33,334.31,326.62,320.46,309.08,309.83,292.59,278.46,261.43,255.60,257.57,268.19,246.68,239.39,235.35,223.82,178.75,,,,171.57,181.79,187.80,179.28,193.37,208.22,,178.94,159.31,167.90,169.52,191.67,176.57,192.78,201.05,201.56,209.54,216.05,248.19,267.21,L7
