dates,nzd0190-0000,nzd0190-0001,nzd0190-0002,nzd0190-0003,nzd0190-0004,nzd0190-0005,nzd0190-0006,nzd0190-0007,nzd0190-0008,nzd0190-0009,nzd0190-0010,nzd0190-0011,nzd0190-0012,nzd0190-0013,nzd0190-0014,nzd0190-0015,nzd0190-0016,nzd0190-0017,nzd0190-0018,nzd0190-0019,nzd0190-0020,nzd0190-0021,nzd0190-0022,nzd0190-0023,nzd0190-0024,nzd0190-0025,nzd0190-0026,nzd0190-0027,nzd0190-0028,nzd0190-0029,nzd0190-0030,nzd0190-0031,nzd0190-0032,nzd0190-0033,nzd0190-0034,nzd0190-0035,nzd0190-0036,nzd0190-0037,nzd0190-0038,nzd0190-0039,nzd0190-0040,nzd0190-0041,nzd0190-0042,nzd0190-0043,nzd0190-0044,nzd0190-0045,nzd0190-0046,nzd0190-0047,nzd0190-0048,nzd0190-0049,nzd0190-0050,nzd0190-0051,nzd0190-0052,nzd0190-0053,nzd0190-0054,nzd0190-0055,nzd0190-0056,nzd0190-0057,nzd0190-0058,nzd0190-0059,nzd0190-0060,nzd0190-0061,nzd0190-0062,nzd0190-0063,nzd0190-0064,nzd0190-0065,nzd0190-0066,nzd0190-0067,nzd0190-0068,nzd0190-0069,nzd0190-0070,nzd0190-0071,nzd0190-0072,nzd0190-0073,nzd0190-0074,nzd0190-0075,nzd0190-0076,nzd0190-0077,nzd0190-0078,nzd0190-0079,nzd0190-0080,nzd0190-0081,nzd0190-0082,nzd0190-0083,nzd0190-0084,nzd0190-0085,nzd0190-0086,nzd0190-0087,nzd0190-0088,nzd0190-0089,nzd0190-0090,nzd0190-0091,nzd0190-0092,nzd0190-0093,nzd0190-0094,nzd0190-0095,nzd0190-0096,nzd0190-0097,nzd0190-0098,nzd0190-0099,nzd0190-0100,nzd0190-0101,nzd0190-0102,nzd0190-0103,nzd0190-0104,nzd0190-0105,nzd0190-0106,nzd0190-0107,nzd0190-0108,nzd0190-0109,nzd0190-0110,satname
1999-08-26 22:05:08+00:00,385.99,,428.83,409.41,374.08,319.02,294.36,289.82,278.29,261.41,230.27,205.57,169.22,131.49,,,,,,,,,,,,,,,,,,,,,,,,,,122.71,132.63,144.26,209.01,233.86,,388.15,,484.40,,,579.29,587.85,623.85,625.50,601.76,633.79,568.46,550.22,537.41,543.81,539.80,537.82,520.84,492.02,489.82,482.72,403.03,402.97,370.60,363.49,345.62,336.35,300.99,325.00,282.68,268.46,,,241.46,238.57,202.53,210.97,218.65,213.28,173.90,174.67,191.77,179.35,135.50,155.83,,144.03,148.42,167.23,167.93,174.41,196.36,,205.60,178.09,184.59,190.29,185.96,174.99,,,179.38,222.88,210.63,232.73,253.96,L7
1999-09-27 22:05:12+00:00,392.81,413.67,419.63,420.46,389.12,326.31,297.78,285.48,271.83,261.75,237.88,203.77,161.02,108.96,,,,,,,,,,,,,,,,,,,,,,,,136.62,144.03,145.71,151.00,160.89,216.57,240.74,,393.52,,504.46,549.81,576.58,580.38,582.93,609.47,613.21,591.75,625.03,561.93,542.54,523.55,539.75,543.33,528.30,509.40,485.36,481.11,491.40,405.77,399.02,363.36,358.10,340.26,328.75,293.19,310.73,274.24,253.85,,,253.96,249.55,213.17,209.06,238.96,205.11,176.20,175.12,195.00,184.04,131.76,151.51,183.21,145.59,148.18,169.21,170.61,171.41,195.55,194.87,217.44,178.47,189.84,191.36,183.94,151.18,,,182.17,233.98,222.33,237.45,247.65,L7
1999-11-14 22:05:06+00:00,393.25,,400.77,385.82,353.45,,278.34,275.94,273.52,259.92,242.64,209.92,,110.25,,,,,,,,,,,,,,,,105.39,104.08,,,,,70.40,100.16,126.05,174.12,198.13,208.19,249.43,,,423.58,,,550.43,568.81,598.38,623.80,,,,646.21,620.24,612.29,590.96,,,,,,497.63,502.87,499.93,,471.51,,356.85,334.28,322.02,327.96,324.10,325.15,323.74,292.66,,272.86,248.65,237.83,224.74,224.21,221.87,218.95,207.79,194.25,183.97,,183.65,171.19,172.76,173.44,179.39,198.44,217.77,225.76,216.19,215.34,170.22,188.22,214.32,,,,,,221.71,215.06,234.78,,L7
1999-12-25 21:58:52+00:00,365.81,378.92,384.83,365.00,322.42,270.13,252.29,260.79,259.35,246.97,221.48,180.60,133.82,,,,,,,,,,,,,,,,,,,,,,,,93.48,138.80,164.92,180.66,191.01,215.08,266.61,307.07,,416.99,,521.67,567.76,594.48,600.58,611.89,617.08,620.90,613.97,627.25,582.92,564.45,540.52,531.39,512.62,501.89,485.86,466.02,470.40,477.99,436.41,431.66,393.66,372.45,335.80,315.43,296.42,311.81,295.76,285.49,267.67,262.18,267.34,253.21,225.16,223.61,215.27,219.74,207.40,208.91,210.30,189.21,,,,,,,,,,,,,,,,,176.58,191.87,185.01,214.22,212.69,225.04,240.93,L7
2000-01-01 22:05:01+00:00,349.64,365.66,358.88,342.92,305.90,271.19,257.71,255.08,258.08,239.55,215.27,182.39,139.10,83.79,,,,,,,,,,,,,,,,,,,,,,64.81,102.35,148.34,177.97,202.08,222.72,258.90,326.07,371.52,396.02,440.56,478.48,528.53,560.95,584.65,609.05,623.19,620.59,622.04,634.83,617.80,613.89,588.36,569.65,539.69,513.10,495.33,482.25,478.87,480.85,464.93,471.29,458.01,438.97,404.60,351.83,307.71,299.99,297.26,305.08,295.87,276.57,281.58,265.45,241.88,234.75,217.73,216.71,212.92,222.97,221.57,192.74,186.51,,173.57,170.67,163.97,158.12,160.19,169.35,191.47,203.99,200.50,206.64,168.06,169.80,185.75,187.82,187.71,201.87,216.46,,221.16,220.62,229.64,264.29,L7
2000-05-08 22:04:21+00:00,376.25,,355.48,327.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234.33,223.68,252.49,297.08,343.52,374.44,,476.28,,,,,,,,,,,,,,,,,505.14,,,,,442.56,,,,,,,,,,,,,,,,,,,,101.52,,,,,,150.36,187.02,216.85,,,,,,,,,,,212.93,222.08,264.98,261.11,L7
2000-05-24 22:04:10+00:00,357.89,,350.07,323.05,285.28,248.25,232.98,233.39,223.72,207.97,177.73,147.12,87.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,302.17,341.01,376.09,,,525.41,557.60,580.79,603.96,600.44,601.35,590.89,591.85,581.55,604.90,604.18,599.71,576.87,569.02,,,525.19,497.41,469.10,474.06,438.69,405.92,370.58,355.80,355.78,,337.54,329.63,318.77,312.32,292.54,282.96,261.85,262.10,251.29,247.66,234.97,232.39,,,,,,,,,,,,,,172.71,166.31,,,,,,,,,,,,L7
2000-07-04 21:57:38+00:00,347.32,344.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,229.74,,233.13,235.12,241.77,245.83,269.02,295.25,342.80,393.28,438.54,485.40,,,,,,,,,,,,,,,,,508.15,,,,,,,,,,,,,,,,,,,,260.47,244.81,237.16,237.75,188.50,,,,164.34,169.57,182.38,188.93,,,,,,,,,,,,,,,255.32,,L7
2000-08-12 22:03:18+00:00,,,,,,,,,208.56,,,81.12,,,,,,,,,,,,,,,,,,,84.12,,166.25,197.31,,193.94,177.67,215.41,205.52,238.29,233.88,260.50,295.46,323.40,356.28,427.31,,489.94,545.12,584.81,594.94,587.32,599.58,588.79,578.98,606.15,572.84,571.60,557.72,553.79,536.84,516.37,497.43,462.35,454.69,464.81,421.05,434.44,386.07,368.60,345.40,329.10,311.94,315.69,310.03,309.07,,,265.10,255.83,232.82,,,,,,,,,,,,,,,,,,,,,159.09,,,171.11,190.95,183.34,204.16,212.00,225.13,250.76,L7
2000-08-21 21:57:02+00:00,356.88,358.95,324.65,,260.25,248.92,240.27,243.85,215.38,192.42,,,,,,,,,,,,,,,,,,,,115.02,165.59,185.41,194.56,208.72,237.79,,261.02,252.28,261.66,268.65,266.74,274.27,318.60,357.00,,,,,,,580.78,601.20,604.46,,,,,,,,,,,,483.35,,,460.65,429.21,399.22,344.55,329.11,,,,302.05,316.08,295.47,283.82,260.32,275.49,255.35,280.21,,,,,,,,,,193.46,192.96,200.38,205.22,202.68,,191.65,166.87,163.77,179.95,191.67,181.74,,211.36,220.08,205.74,212.79,251.67,295.16,L7
