,dates,chi0274-0000,chi0274-0001,chi0274-0002,chi0274-0003,chi0274-0004,chi0274-0005,chi0274-0006,chi0274-0007,chi0274-0008,chi0274-0009,chi0274-0010,chi0274-0011,chi0274-0012,chi0274-0013,chi0274-0014,chi0274-0015,chi0274-0016,chi0274-0017,chi0274-0018,chi0274-0019,chi0274-0020,chi0274-0021,chi0274-0022,chi0274-0023,chi0274-0024,chi0274-0025,chi0274-0026,chi0274-0027,chi0274-0028,chi0274-0029,chi0274-0030,chi0274-0031,chi0274-0032,chi0274-0033,chi0274-0034,chi0274-0035,chi0274-0036,chi0274-0037,chi0274-0038,chi0274-0039,chi0274-0040,chi0274-0041,chi0274-0042,chi0274-0043,chi0274-0044,chi0274-0045,chi0274-0046,chi0274-0047,chi0274-0048,chi0274-0049,chi0274-0050,chi0274-0051,chi0274-0052,chi0274-0053,chi0274-0054,chi0274-0055,chi0274-0056,chi0274-0057,chi0274-0058,chi0274-0059,chi0274-0060,chi0274-0061,chi0274-0062,chi0274-0063,chi0274-0064,chi0274-0065,chi0274-0066,chi0274-0067
0,1985-07-27 14:08:53+00:00,,217.78554381282126,215.9573152187808,200.11397984704035,192.11376251752984,186.43904086102083,179.33526680576128,177.86880118387242,178.00273389401548,181.17933831273575,,180.61604184537774,178.11102979110103,,,175.35227835461743,181.53425816029022,,,,,,,,,,,126.55807275167228,137.0474023410978,156.62263778372204,149.80806458290857,151.10463547075727,167.27364721122794,,162.11599284103647,172.61491259206824,178.24308274290905,180.71243242622958,,200.45464545103414,213.33415121607837,208.373944533038,210.1886528262579,205.35702752913485,217.56209454619687,210.31772833719108,223.81558380764,,,219.73009956703558,218.505651357354,214.2442327921635,223.02096913659946,216.38213915486853,220.8645476293165,224.98350645765694,214.95151199832398,,211.7199659745571,,199.71731872550382,208.24011824796807,,210.2052320414743,211.07018979192674,217.32471766527766,223.8134607222937,212.60092252232135
1,1986-02-04 14:05:59+00:00,253.76096707932487,253.30447147328564,244.57456129849646,232.91599242614006,222.1173489144532,212.35155459260153,211.7301752796675,209.95490514577727,210.23216445105746,213.98595567446574,220.01327756633464,214.81103309413555,210.36337724111456,209.99002808258967,211.41285590481846,208.55014333792838,212.7426915883881,210.15861372148262,,190.37853393033245,184.94319755225746,176.08106973045722,170.33382586498857,162.39247280943775,160.11888314200206,159.118139237751,,159.7669619506534,164.61034772499946,162.90815354894607,166.1301188840826,173.4918347547359,177.87410321483378,185.45870450946728,191.73326168207885,200.3607263808175,211.35136768183474,215.55584650322982,,234.93852547217725,235.95290933026072,232.86974703070112,243.07061160420903,239.96954850554235,244.70203915992087,243.6714377718842,243.86450920583385,242.65987924625995,246.6023751597242,245.6746972217529,243.14781803534,247.56896077326678,254.80061836566523,251.56547900905605,246.95248013408408,251.76814147571162,251.1128727077866,250.88102598072416,247.94533743940826,240.6792419616092,232.55169719601443,232.9993903963131,233.4053085205436,233.65852537321933,235.4065434974322,233.16205501229587,239.6556069618242,231.56219349844685
2,1986-07-30 14:01:16+00:00,224.33569073548966,231.45016707931242,223.53434534636747,211.1334956535105,201.81276917281366,194.24735373842026,195.28218110430174,185.7799198168526,184.84073810874875,187.48486162842661,188.04376349102233,181.71794632255623,183.38349761362323,174.76545966084933,177.4139996386645,184.90155416980105,183.06577134277504,176.29462781065052,163.17531803002413,154.0254731119185,148.8125229193623,150.04475902545363,144.8535893116971,126.26783280702584,136.2008063464766,127.53637806899938,122.52875975850294,134.7873700034974,128.16328835515978,134.853275857651,125.55626861349826,136.48627845775053,151.17853476622685,151.60133418992135,163.89989565719077,169.42453773642788,176.9197383890558,189.91319635757907,190.63608488413405,214.1778965186629,202.55782009722233,214.71254307800854,209.46046813625742,219.85947874566585,223.28347265296586,214.3742601932491,218.83598417022108,213.56786494766018,217.71248830229374,215.99700122769167,217.92087467382368,219.33178098764427,225.1778682727202,223.9104425335169,219.95758110130876,227.1623702240748,218.87754730418825,216.30291262108082,206.03991689054132,216.81741226398606,210.09980380057613,201.77479680736957,210.15432676978548,207.44464560510218,207.85442661107078,207.7166404089373,212.16867605868947,209.47199724289928
3,1986-08-15 14:00:41+00:00,233.41977985966923,237.46209400150033,229.75961421719316,218.7334966350902,210.4878005126489,205.0995475777748,196.1487830986032,197.44093820234556,189.7745979000397,188.28434351716706,195.66613310540177,194.11579831799813,186.99482276477437,184.34285827291356,186.62554596702742,190.29813406690482,188.48150006935086,179.58654630876785,178.8408834769341,151.8247312714135,149.5426869667743,150.90339510851388,145.89695143944198,121.59319182011657,135.9405104587714,131.68405977627154,126.23145128808217,145.11178684812523,129.29354967489058,144.01117644259887,129.11803264767647,141.65397751845114,154.8185271746403,153.63806930789787,169.7380493923124,171.97912304881365,177.55325625380382,191.61885169066403,190.61079455742296,212.5378437453548,207.62302955752364,221.0842566232673,217.70191697404238,229.70904169145933,224.4000735269913,210.78805881138987,218.47115486591372,213.29933614941635,217.2009502649079,218.5392620642712,219.21974201380314,224.05961679623096,232.05709892242479,221.87582038825607,221.74677660214908,224.94371448017785,222.04864696801286,209.9053705739702,208.83621686056074,217.66391101707524,210.79880488603402,208.43594473005948,212.73532302956795,209.8004453761706,210.3186500701174,211.27712096939035,215.59289596015324,211.40321664040778
4,1986-08-31 14:00:04+00:00,212.99042898085324,217.11342008414044,214.42129386022444,198.10387767730876,190.71051225616262,182.64193970878154,178.95694236262008,174.35790429059486,166.8903834469539,169.8033797699046,178.33674673772805,168.2289403307759,165.35137548206444,167.24197103571757,173.02000084387745,168.7098653800145,172.01526557404284,169.81906446854677,153.6153732403572,146.70053411412616,142.64949776715318,137.07815139641926,132.07063154984365,127.29535619114502,125.24574632048952,124.28563991155029,116.77608610127636,124.72660615891913,123.05189040437931,129.95449101773872,128.1560421139752,136.8284146930094,142.38812532176112,154.70487534979935,155.20567007421243,164.0575214766038,170.63509704705382,183.57201468328148,189.931471272517,199.85510243533324,204.80459793916725,207.27663017933787,209.72574778315848,213.69075627823182,220.4089863825657,207.26258201587322,213.8396477051891,212.7430078521314,205.74670517338927,213.80339239499537,216.88641988778835,216.71373743082998,213.40660172045335,220.2917705119408,212.38847081062318,212.5824649427814,208.5691676614761,202.32384056746048,205.79427140004714,201.94729889735964,209.59075200709665,203.19975198011582,206.26382410064306,204.43588826995142,207.6494074220594,204.86605771724285,209.40592395669483,206.4173081142159
5,1986-11-03 13:57:58+00:00,239.70784786222546,244.55148998825243,243.44768102397177,229.68511240233207,215.2490848156736,210.1083456933158,201.835635505678,198.53146749211322,196.29297424490363,203.1252607257015,200.41035910740092,200.5296472407101,192.9612610639095,196.50685928429684,196.81823357071713,195.7522985792012,196.68572089031542,188.09254949831364,185.28086961154978,169.9177017383913,167.82415877732038,155.30299227232197,150.6552790969554,153.56290907961844,146.60897690772478,140.22621989241603,137.5026243568988,134.0057855744429,145.29489249038596,147.97252526136774,145.7918423207232,153.93514609861333,155.46713692317084,161.97765123599427,171.19841662156844,179.71904180445384,188.6731602085381,194.4124878532245,207.59380478509263,221.42391052973295,217.87086598543007,223.72204853405535,216.6775268055496,223.20297186984627,232.62388659399357,230.51469710298116,223.25079119485886,218.13724956818567,226.80025453586623,232.1443093298705,231.80480369857617,227.55787176906998,237.26811389074845,222.37781442599933,232.36342413058753,227.68130123055167,227.78700564551275,220.14035473785657,217.8162954065547,224.2240693433894,217.39430262544653,220.98006102731452,215.2929384753228,211.25734867199478,215.10387022458178,210.92041288553125,222.85065059207378,206.48998136862068
6,1987-01-22 13:58:58+00:00,259.926588448567,255.3861312128791,247.41077325923055,235.51051927946662,226.25656905329313,216.37610998180838,215.67633534466438,210.96864771924493,206.4541153781612,206.26889572199232,211.6875969879336,205.6995065628572,206.07363858584327,206.96549448839747,203.89959097662853,204.11997082774062,203.60823825924462,205.52864582683324,191.45787949916217,178.48842071820826,175.4829684361862,162.63990958868453,160.2483000056186,157.49576080921457,151.51112162444497,153.3199865445614,149.1363128935943,157.95394514205526,154.29033164249628,159.29637784502142,160.61302500180864,167.97454107881134,170.92584552687032,179.75376559559191,189.87873739002242,192.09396333892127,205.23243877456213,211.064066199671,220.8843183069965,226.15321060323546,231.1499788848834,231.3268684873395,237.37901812484512,235.07372215804745,240.55220424064146,236.47757095837065,239.84646419058157,234.96068076199523,239.59787096013173,239.43602306633466,236.95075993132053,242.60045451783532,251.6295532455694,257.71795741904435,250.66140595460013,244.63953625483165,244.73598418443382,235.30463786338595,233.84894993860726,227.91329993043422,221.8481473288135,216.47647682025257,211.85224994543233,214.62566417121056,213.94340748074148,214.07575243413982,220.53683648902853,214.61927139038232
7,1987-02-07 13:59:33+00:00,264.79094126345,263.6314295841282,257.2708728986288,243.02688307594377,229.42456170902662,221.13799948904415,219.72052801106824,211.17887508871877,216.22366556791147,216.03866289067494,222.53946351795676,212.25763631478395,213.5769871036434,207.815937834694,208.128751834251,207.6941701926456,211.6356978822713,205.34741354717806,200.0198533992074,190.86362872412465,182.03178873168886,174.8946634483243,170.8805368518067,160.57405256976716,163.97991689968404,160.76963796264272,162.12934025757983,158.59597300765856,160.86751698344048,163.5736013108885,163.4761357517692,171.21369580477892,176.44856799544507,181.39001032987144,185.77248982250657,193.8742170816804,200.97560967717982,213.08198868813645,223.90089995186986,227.55082199040814,229.90343197636764,232.88738666120236,238.04595203189885,234.50107809884133,234.89285135741005,235.3285674269413,233.94898721999004,238.60085629801745,244.41386180075654,245.04664445243614,242.27253513286166,247.59540644038367,247.20980455733124,242.5972163034433,245.4453033329647,239.4689100613586,242.70543645273835,234.1473545443474,238.81964788105552,231.82583161854132,226.1404614706793,215.28085052486972,214.18020139768285,216.14048398338957,220.47453240916667,219.18674642007397,225.44880495085178,215.9690947775693
8,1987-03-27 14:01:21+00:00,272.41445069884674,276.7818938545919,268.126064343509,254.96099531147624,248.10477435620658,239.47862033562342,240.44785894069437,235.83237280231154,227.68613443296906,231.7577162607609,233.30314355584358,230.75000860515857,231.4498126586112,230.5664247456882,228.12273266444373,229.85728424496693,227.8024220787894,230.76552459524848,213.23667087035523,201.73862486072034,194.21653981965576,183.59951187793993,182.67459437863042,174.69698826226522,171.9195602840595,173.71603674513042,174.0618337532985,176.11091959978268,176.0880471557235,176.50651851456254,183.78597189392087,183.10032325243296,186.674663386447,196.10532915473385,203.7052368827308,211.98861802068507,223.87461651325629,232.0749206315355,240.7615144272679,249.6860891344637,254.23880079533492,254.19116871422213,258.42050074026514,260.6228472382899,265.0132442070486,258.79265541730734,260.21660074156677,260.2301238147571,255.70120520229779,254.89599487503256,254.5068925423428,256.35594761792566,259.1165400099248,264.89008412242066,259.18035029007274,257.20146154871145,254.48096299379787,255.43294717347007,249.0382975938864,243.6321387034658,237.28179394143487,229.32912759416388,227.12763297252818,229.5175746481233,232.09938006526414,228.2804533092619,230.57340720362143,231.4476800047244
9,1987-11-06 14:06:56+00:00,219.4995712624016,226.00135231879204,224.9775325855941,215.7031522356742,208.37850298450414,201.42016882663006,191.16417404216352,181.73015950265457,183.89544455695358,187.54368849596818,191.04424263984583,185.49748327429248,188.65606596545933,187.2612254923751,182.59005681687475,187.04958578500458,187.60949886338105,178.5605178817992,166.0632877483519,160.78298960258712,152.7570337736697,149.39940405015298,139.55328251746275,135.6819303363206,140.83669483201746,136.4879109520091,137.22992715729552,137.3203231361048,134.50621294019408,140.68135847209547,142.9970360305448,145.10104154063959,158.0346106688533,155.0066544242487,166.54372582436548,171.63392981721728,185.16032309129696,189.1240600047334,209.1114462920312,208.20539737932282,226.17539979660614,222.79473836612877,221.40910087210472,222.89611838205767,223.81598894393258,220.08828363721375,219.119221469389,216.22133938766885,213.61390224968935,220.26296964914894,220.07860895383928,220.4865838757323,222.56637194861727,220.82903364492535,224.277649469354,224.0808945994999,219.39035409618697,209.00172431341088,216.96155281517127,207.74273818410904,206.38877131820115,212.79217334109543,201.76261959953553,204.9909146562977,205.30389394548908,203.5019072113009,206.81503248806789,205.51676265624153
