,dates,per0139-0000,per0139-0001,per0139-0002,per0139-0003,per0139-0004,per0139-0005,per0139-0006,per0139-0007,per0139-0008,per0139-0009,per0139-0010,per0139-0011,per0139-0012,per0139-0013,per0139-0014,per0139-0015,per0139-0016,per0139-0017,per0139-0018,per0139-0019
0,1984-05-06 14:44:27+00:00,,,,,,,,,,,,,,,,,,,,
1,1984-12-25 14:41:08+00:00,213.03111822592498,221.54347568954233,,,,,,,,,,,,,,,,217.03493771756112,,
2,1986-02-14 14:37:39+00:00,,,,,,,,,,,,,,,,131.37792148645778,154.41889640067197,,,
3,1986-04-19 14:36:16+00:00,235.83106344785148,233.47725972493976,225.46261586207024,225.34491536947098,212.14661745466577,199.1840719778926,189.47336615506913,176.11735482714408,163.52539361693763,157.30039540453035,,,128.3774484651111,129.72196816668048,,165.2197014843341,165.14117545759072,178.09749399169962,174.52783192312614,179.4916063444429
4,1986-05-05 14:35:53+00:00,220.53471581241485,215.1024904795648,208.66687993523885,202.11988953345534,190.28733060026212,180.66405054125548,161.55089090784352,162.54507654843516,137.16080449688204,126.88440159424101,,145.31441234372627,136.75733035752887,124.42999449021005,,131.5651996853794,,158.50361622326216,175.0247199089511,173.11192926217245
5,1986-08-09 14:32:48+00:00,,,,,,,,,,,,,,,,,,,,
6,1986-08-25 14:32:12+00:00,,,,,,,,,,,,,,,,,,,,
7,1986-09-10 14:31:38+00:00,,,,,,,,,,,,,,,,,,,,
8,1986-09-26 14:31:09+00:00,,,,,,,,,,,,,,,,,,,,
9,1986-10-12 14:30:38+00:00,,,,,,,,,,,,,,,,,,,,
10,1986-12-15 14:29:44+00:00,,,,,,,232.83520899989583,,,,,,,,,,,,,
11,1987-02-08 14:37:40+00:00,248.23782274994397,240.49398331550827,235.92624702723077,237.73369031695816,224.7215007671371,212.25290602591048,199.0995470701548,195.68885664926836,185.3988850341739,184.95615852974345,184.8822785549101,182.78725692576515,184.67826248525552,179.0589378927994,177.07397221682018,175.10241327739487,164.19632883040543,182.01081938646212,182.6717713461309,200.72783717538553
12,1987-03-05 14:32:27+00:00,246.23819975030545,245.831599836759,244.5651859094044,237.36331220682678,228.3276502774741,215.74449303484474,206.16162365882883,191.59027207676766,185.94686554432494,177.3514841331436,184.2114369761793,180.31553011617595,173.82227554331823,164.64549591712392,164.54236649906204,162.73894466216225,167.47337155611933,186.5991490109599,175.9074780980782,196.24371679841445
13,1987-03-28 14:39:28+00:00,,,,,,,,,,,,,,,,,,,,
14,1987-04-06 14:33:36+00:00,,,,,,,,,,,,,,,,,,,,
15,1987-05-24 14:35:00+00:00,209.50461205608062,202.10719549477705,202.5436297580137,202.80693822068227,191.22712453343166,182.69027381221912,174.85448679502974,167.52867347404273,150.1776682243708,138.4358132839669,166.20872660204589,,145.18332010066655,,146.2859381227089,180.74770107729597,179.3289989089971,,,162.8736176709343
16,1987-06-09 14:35:23+00:00,,,,,,,,,,,,,,,,,,,,
17,1987-12-18 14:39:32+00:00,208.14882385268564,209.40811059793984,202.37339079626994,205.3247800240052,191.41130696715712,188.43340506086443,176.0636325741833,173.22930429719648,167.0133610041898,157.8449676614645,165.39820611678417,171.4009399597362,165.25166958756685,164.04159755792352,168.18641743129558,181.29623575098125,173.45643126622795,175.23740113550818,180.42032512912905,190.853202433851
18,1988-01-03 14:39:48+00:00,228.80107826224864,222.85518183278958,220.05211653459364,215.75174739153812,195.56536347182836,194.24527965919148,188.06712624828944,183.67659768741356,173.92331632684255,172.9682276640616,186.2760000054099,185.57628830691758,179.40917185748344,173.93531616225346,175.79110393495918,180.0669907689701,182.0534696398797,187.24992356009568,198.23734755086537,205.0533524798896
19,1988-03-07 14:40:48+00:00,,207.60999069125958,198.33849654892148,181.96830782593526,,,,,,,,,,178.14072516562635,,170.10087912307648,,,189.45234438817488,
20,1988-03-23 14:40:56+00:00,221.46402535011293,218.09858643680036,221.48336217915104,209.32223178843947,205.66749204611494,201.8975162746574,194.42252128112463,178.81974398704702,171.63208322163956,169.22491170932403,187.5899031636521,182.36985284074527,167.66176599360827,161.67076788517426,157.0292653287919,161.65485892324978,171.26342841003262,185.58840026036975,182.35644894242608,193.97611302738906
21,1988-04-08 14:41:02+00:00,226.36449175873062,221.56640003777036,222.49908495107695,213.37787628616707,208.57860142952336,198.40933563716925,192.66935348105025,186.23809922534465,184.94007815002573,184.86294126126998,195.6570860254076,191.25904947651364,179.07407962753578,175.3470143069832,179.3201141447331,190.04913488422798,188.99920888404517,186.59598988336867,181.3068016797314,194.5241006360494
22,1988-05-10 14:41:17+00:00,,,,,,,,,,,,,,,,,,,,
23,1988-06-11 14:41:30+00:00,,,,,,,,,,,,,,,,,,,,
24,1988-06-27 14:41:35+00:00,,,,,,,,,,,,,,,,,,,,
25,1988-09-15 14:41:41+00:00,,,,,,,,,,,,,,,,,,,,
26,1988-11-02 14:41:33+00:00,203.2735105296062,191.03013597350778,202.9677856302549,200.32191981920386,192.68292784335816,193.1966771041235,189.02859958757108,183.9650217429809,182.68185012813987,182.34792220969143,204.03731280324368,206.7019588777565,198.88852743528685,199.23523982205293,198.04302437825194,202.71080277662367,212.54243261818652,207.02305439028447,198.8222346079213,206.14660228632513
27,1989-03-01 14:46:53+00:00,210.99495917589326,202.90601345836518,210.0943022116831,201.1119656567105,190.90302517333484,173.5936399944872,173.97427464381238,,,140.98655248836118,156.12812318325473,,137.28754545374014,185.30782664754372,183.29799213344086,224.39519524331766,247.30087505238427,,,
28,1989-03-10 14:40:26+00:00,210.18874652935833,225.55779020253422,212.3952971844402,202.85009716714734,193.18545244681312,190.98131335208103,183.16326502237317,173.82795602573145,166.80712899141065,163.6407045447605,182.72836218876301,180.71772930379453,180.41629582895965,173.3833704857233,180.23436335922162,175.51059078608512,181.81455111754983,179.92223926293445,,
29,1989-04-27 14:39:44+00:00,,,,,,,,,,,,,,,,,,,,
30,1989-05-13 14:39:30+00:00,192.83275176065814,194.06348429248376,207.0302731881368,199.8332130648378,192.92583886017903,189.44566950316522,191.42464565733755,184.49948936292296,175.41978958245994,170.64094047796985,190.08479974848635,192.6974825793038,181.30437810652367,173.24406317159094,176.00804811600096,184.59950826909522,185.76747973388746,172.22651960724863,176.1586584078044,175.14148108128325
31,1989-06-14 14:38:51+00:00,,,,,,,,,,,,,,,,,,,,
32,1989-07-16 14:38:17+00:00,,,,,,,,,,,,,,,,,,,,
