,dates,usa_CA_0298-0000,usa_CA_0298-0001,usa_CA_0298-0002,usa_CA_0298-0003,usa_CA_0298-0004,usa_CA_0298-0005,usa_CA_0298-0006,usa_CA_0298-0007,usa_CA_0298-0008,usa_CA_0298-0009,usa_CA_0298-0010,usa_CA_0298-0011,usa_CA_0298-0012,usa_CA_0298-0013,usa_CA_0298-0014,usa_CA_0298-0015,usa_CA_0298-0016,usa_CA_0298-0017,usa_CA_0298-0018,usa_CA_0298-0019,usa_CA_0298-0020,usa_CA_0298-0021,usa_CA_0298-0022
0,1984-04-14 18:24:25+00:00,153.8038678481626,142.99239288088876,,201.86112287469595,195.91473775608605,186.7217313424393,181.75939320740508,164.28981932942236,160.83710058882284,156.32494767714044,164.34966462700447,175.90153042570145,196.06471944281446,188.29578352191498,209.7421510089266,214.7742519661884,220.20789392843002,218.95360557844484,225.11276021553616,227.28631708771348,224.79166176051993,221.50717654635457,215.73101866329748
1,1984-05-16 18:24:53+00:00,176.64463592372482,171.6330373990779,219.7307779601591,218.75902792969526,212.9211096256129,207.08569055119602,200.66980201207335,183.31420504642637,183.55694753946054,194.04064395991526,198.75718173628744,204.3323995762791,228.48361823326542,229.22072123018793,234.13407549933817,238.87535465877636,232.0436357547382,260.09330339837663,248.42552331983595,255.545685707514,245.75534297459276,243.30907835246612,246.02230786096325
2,1984-06-01 18:25:17+00:00,175.6470323133855,193.52144410672275,219.62270610662438,218.61051731070114,213.4254290166799,211.83599165210694,213.91706637896291,198.33665272177896,186.37540177471595,190.40686667768173,202.18388009629697,225.78403453243152,229.00811385551984,249.0509331540625,239.00033547337,242.28612045065853,260.4679325594134,258.7159142253823,236.09145438633865,240.56725905920754,252.97137241858164,259.42499302757216,288.8777680043857
3,1984-06-17 18:25:35+00:00,222.65715677335976,223.45336819019462,235.67872895373418,223.1254570580089,219.44981785432063,221.2644289109317,208.06076704430222,210.32972164766977,199.6235866516226,213.72514571595843,225.87296005013502,241.96415046945359,242.51775616353564,244.58684216845415,246.0851503652372,262.4019394431239,282.2506273528624,243.79940613659792,236.85592444206588,244.30335049680485,251.62169082952778,,306.3817745581047
4,1984-07-03 18:25:46+00:00,220.09896757581467,224.6812159714086,221.01707676333316,211.49933520718528,218.20211751902167,205.8596720691088,202.2984876708582,207.84498332629835,209.1641609894954,207.89567181839828,208.77423951517642,221.49630048775242,222.13599073545305,216.28827871647053,239.60360278696075,257.2028973285692,242.28747803434055,232.20638432840028,238.74651086375434,243.55503449853524,256.6541410917743,282.9651223534536,288.8914336005905
5,1984-09-21 18:27:21+00:00,231.31781088746658,232.4825386148683,238.2547431232176,245.314955084318,235.17912021920992,210.58059014801793,201.65135947892657,185.34712055363778,173.22223199347025,183.24730655903554,221.60550116402987,202.33177394535568,229.15646969283029,223.4876668536796,232.11939765900019,240.53976343001432,241.89124313860646,259.5312364907987,291.71102833296976,306.46401836590667,,303.85096476066815,290.98777863325495
6,1984-10-23 18:27:16+00:00,174.4294951414823,196.93625097953986,213.24914465016076,222.11944547132774,207.2083937658001,191.98064738333156,183.68086499681567,177.73409687457638,165.3339505024995,168.17844764043653,181.53439607983972,195.57856659497773,215.53461353268753,214.98576206942704,229.63369554512485,243.99962692293593,252.5337782899292,258.71132213656915,257.57160198723113,270.86561966758956,261.01449389057336,264.93749199996165,261.9387636867531
7,1985-02-28 18:27:41+00:00,213.37530313039272,210.49934840746383,239.67856946250046,231.72854432893132,213.38459799013637,212.90710580293538,200.9533539383863,194.71225096762453,209.73609195924425,209.68222708230655,215.98588082645014,225.77558595929233,243.35166672579442,245.96127471397585,269.6093459316118,272.0903162529108,279.4480618982818,293.4131621186085,292.2045468431092,293.96712603482246,299.53829189298415,297.0319376841376,285.0710333578195
8,1985-04-01 18:27:36+00:00,,174.58630890762532,205.36579132896998,,,,,,,,,,,221.31992182777356,240.79038891697178,241.21549137757162,248.88593506433443,259.17794058500715,274.31432273952623,269.2754936230192,281.0615913818484,276.9407722618663,263.9070153142327
9,1985-08-07 18:26:58+00:00,230.0060752468237,245.23403218042762,254.10782304944098,244.30596787280368,224.24628036491217,225.61566467829022,244.0421345931727,263.26144486366695,295.5071277131011,281.11954834678494,283.1688562027181,289.63712815077946,289.145865463517,290.09604363371886,285.2768425941367,286.92316674023334,286.6145612484406,287.4140173708198,284.64162134331724,289.8232503660856,291.74338453516555,288.95411676641504,267.983800172687
10,1985-09-08 18:26:36+00:00,222.8478595648167,230.63404120653712,235.32783562905422,216.75502013348387,219.436427409811,211.97863442383948,212.96987729561639,245.12856171022756,278.2053936150604,276.38274277956185,272.5234222030159,271.92308256632896,278.6087142105213,276.30865180192404,264.41729485924293,260.31896258887105,260.3879198386273,259.0406788844234,259.93902063388475,283.93133913859265,274.61184645421065,263.50586194968156,235.63660210780245
11,1985-10-10 18:26:15+00:00,221.38837186017338,227.20987682486876,231.91254420952598,218.0551074045008,208.08776789729365,205.6733566199302,214.56284941161653,249.51725608276476,273.4206798518506,269.55067248655905,266.5059721575042,270.7690216629217,278.28520964615217,269.7828858505991,266.253636934912,266.0685283531144,259.0231969072426,258.27206606786103,258.98441284666006,262.9915464588663,250.2550971793349,241.9186901435625,225.9581946958117
12,1985-11-11 18:25:49+00:00,172.00241804867835,193.35006266081143,191.7361649306805,178.57096494407037,,,190.90912065174263,199.7176132416246,217.18640033267866,238.13461738270036,239.7894964581416,251.84403227134433,249.3054950023807,,240.62595301080754,237.216897741125,226.5300006926367,221.9009745053899,228.40153187422175,225.08170531690948,221.78442781084226,217.88832729773623,211.07611540405537
13,1986-04-20 18:22:32+00:00,201.09225979605105,205.08824568739712,213.01459720702638,215.63849405069465,209.86304426833422,202.34099897625035,204.3017912125469,198.80878712059436,185.35110574808962,198.92782694312064,216.1678488906211,222.86929253755173,227.39610784172112,225.2095012477888,229.32489250505293,242.06825839582694,254.15681116440015,258.5532018156714,258.758679410996,273.8680513786003,274.2922426660263,260.01181119532185,244.06195404344263
14,1986-06-07 18:21:13+00:00,203.67812233265084,218.78851079720957,234.2457310710418,223.90908178798247,216.42331579613239,200.4893594381478,195.97240278984071,182.3268366101237,201.1288812263415,213.89902361706828,227.6874544115801,234.08858904006632,229.2487111897548,225.89291911219618,242.09082950589118,257.2350259374571,258.3291694432118,247.46540878231542,251.90526289034062,285.16239521848723,276.29683412609285,256.32763927749613,240.59093432858114
15,1986-09-11 18:17:53+00:00,238.88975171716376,227.27252415869455,226.90891323117756,230.9508423648728,225.27381572187073,216.96907013172049,214.487009014279,224.65443377447497,234.51308212121415,230.449172120121,242.09354388211824,257.5640820407092,245.74200019551586,241.08236348780846,243.21618494687968,242.1290554758561,243.38860844705783,266.2696254619814,248.81991460651713,255.41342832197466,247.4826630336916,243.73226004240422,229.12158182294925
16,1986-09-27 18:17:24+00:00,206.5045531761161,208.86329266516162,230.07041618324337,230.01702354389718,225.39212463146765,217.43932174526014,216.53302284115978,224.01208508155923,205.31857772507928,227.95177039675377,241.56439437262978,235.24227840431473,245.78494018250615,235.06858182226338,234.9389919368821,247.6737851589067,256.4543438151521,262.0444727666302,255.09804745346156,253.09039557168552,244.51894893228203,246.47337145770814,232.49588621812958
17,1986-11-30 18:15:36+00:00,,,,,,,,,,,,,,,,225.2294420359623,232.87625850103817,238.9016297523673,236.15381892847208,230.75630356546918,226.0410260817983,217.10186535321355,207.1112688378749
18,1987-07-28 18:22:45+00:00,238.67867014576902,254.7376840310107,268.03832706296,266.9571229002125,257.76924020267853,243.64587699056005,231.39855592775407,217.31646458058054,218.94465874239447,230.2054694274833,246.51909278401223,272.83232201493956,263.2003545997167,263.249438745486,,,335.8597263528036,332.608805174224,321.45329644887846,326.1997131832971,340.74455192361825,329.9862626751076,319.0375482446509
19,1988-04-09 18:27:20+00:00,223.34154905566353,233.55905280490316,266.349086369679,263.05926619843,257.9970377447548,249.44837665804263,241.3673763734342,214.74547782947354,246.27975707893825,235.03581369342146,258.12072494142916,265.68060107787875,286.60572062965076,292.48975374447684,280.636311723194,282.4341156099886,330.77889285189724,332.0538410025606,314.4849294855069,330.4479286938457,340.8573580654188,327.0688663765229,317.2301628277489
20,1988-06-28 18:27:53+00:00,220.87814653777622,221.61488055835488,235.51077986356148,235.0128291341621,238.42771783095526,233.891260889339,227.2049342545631,220.3898137280575,233.75758245415028,236.58157546520775,247.88788595519853,263.7932794077831,287.8368341613198,301.4688190799366,304.7212126548232,323.95451107732003,329.42385215315977,344.36477860380575,356.5285637383645,360.35240289056674,347.6599322225822,338.75060928391787,309.89332218927484
21,1988-07-14 18:27:56+00:00,213.57584352438278,224.75308087496788,238.90515572093568,236.28008518975633,236.4732508347681,229.8881702331346,226.69440006632078,217.7090871670996,231.9369950342103,240.7577933544619,245.8556545875603,259.48869670520133,282.2638708043592,292.8453904842394,304.5631679258245,319.5990884650705,337.1299242599549,351.2019623117857,355.8489743197895,349.61503397276465,332.08136998378075,316.4473480484851,302.9032701885766
22,1988-09-16 18:27:58+00:00,222.12226740408272,242.8524933597207,243.70358581480906,242.52212249100825,239.14702289502776,223.52688062920157,230.54742662038078,237.12929860088968,300.6417313814859,,,323.39447461441074,331.9634056563151,322.3169424591489,318.31502927306366,319.9456209352729,324.8491083885847,324.723796597165,329.15007725596007,320.168894452906,304.12526196005706,286.5161458869988,
23,1989-04-28 18:26:02+00:00,249.8191501769153,252.14781940766352,265.8410700684842,278.5906145212046,281.2181993480537,262.3535227797171,253.78702847715851,251.43654825390553,291.04162163446847,264.9218590725942,275.4704240998092,298.5240991347088,302.27205390416685,311.4826622331728,313.8759823442045,314.5909591557835,322.4161276620424,349.51989075831625,366.13606741110124,345.7456294141526,337.0440339237556,335.50285860940994,320.17069394059456
24,1989-07-01 18:24:55+00:00,220.86330329982403,225.7338546267435,241.1906512161611,242.1994029344205,247.2115225016426,227.84980280017203,223.51468305144513,229.38207400617534,252.8314371372991,268.6811095838316,262.9981577025119,267.31184596378785,275.8774801503533,286.9897500476385,290.3827486084641,289.9671639886039,316.0533346311897,322.7337780497008,318.5290990889783,316.25301467702167,301.13940495306497,304.8606245310475,315.3456762912897
25,1989-07-17 18:24:34+00:00,213.72802120945798,225.93771132849113,240.40795495196738,246.17750074362638,241.29435867907054,231.1617905227141,225.84280593853256,224.37106670047916,253.98631306668895,271.25113773010276,270.2007051534502,262.08703670132604,274.63474739688445,283.573827676022,287.37916584436755,291.1731085534868,310.5989182078808,319.03317753218977,308.25092782557067,310.10665711287913,299.1541873808536,303.929138483759,314.26824922376323
26,1989-09-03 18:23:32+00:00,230.3024427321049,241.83674449458618,258.41658594353044,262.80230169002635,253.42608587980848,241.12009463618602,238.30123332871852,237.62859670756515,275.6686522025384,280.3666846869182,285.7392173520851,283.35813746025644,295.2475459206124,291.8981931715982,288.8953840401927,291.8096698624182,312.86247929218973,311.46454128020247,319.88224333609867,318.2095546913193,318.11857803437533,320.3387157985501,318.03969197148035
27,1989-09-19 18:23:00+00:00,229.87372653331138,241.3928218485603,261.95750841685776,264.4650212028364,258.8861382316121,239.5828834544045,239.45877152205293,236.77813156618558,271.43754298796455,283.8996174822214,284.8214635846139,288.1429464491119,305.9561170669918,309.1600976640187,299.52533582292386,299.7088016262177,318.057755271668,317.588179847987,317.60575408434613,299.62085559822214,315.6193065323035,329.94391733853575,312.04991523676017
28,1989-10-05 18:22:51+00:00,228.51485379113797,238.00556663383446,265.4901013037959,269.00561454671305,260.20904340749144,243.48631742192663,235.28394752719237,228.79034367725555,272.1618057881933,284.3166382845976,278.30683762581015,298.0954785938377,306.0753521401509,300.72838019134133,304.7879734554878,309.13975377878364,329.7776456364883,320.4927145673434,311.783746316348,303.8663597959685,317.5256573435934,323.30982147930825,317.1032233521711
29,1990-03-30 18:17:19+00:00,235.88251627932505,253.08229142569883,262.08820605305004,257.38043541238545,267.03987347174655,256.4584405965809,263.6697464901975,234.11886445909408,,,260.30748663514555,279.71755942868367,304.4643721512708,324.6887254403956,333.2741654350781,335.74670135157953,339.04299471277403,350.12237843157595,346.7046544239631,372.3123784213865,377.84612583756297,366.426722038787,348.4714472712647
30,1990-05-01 18:17:19+00:00,254.2223505084328,258.41275002382116,273.94773329088935,293.5679871413748,288.4534182217395,267.97546405290353,264.7541314887186,255.54491731465973,306.18942382222036,308.02399122510724,299.1831963162331,311.83781219935133,319.79741416387947,323.8876815679897,337.13676999111647,356.20453991784706,349.7627844699352,355.9515716507727,374.12269666920787,366.8340665986944,366.710129035169,370.08126140711806,363.97663244496334
