dates,sar1299-0000,satname
1999-08-21 09:53:13+00:00,185.53,L7
1999-09-22 09:53:17+00:00,185.18,L7
1999-10-08 09:53:23+00:00,173.46,L7
1999-11-09 09:53:16+00:00,173.47,L7
1999-11-25 09:53:07+00:00,173.48,L7
1999-12-11 09:53:17+00:00,164.31,L7
2000-02-13 09:53:05+00:00,186.35,L7
2000-02-29 09:52:59+00:00,188.40,L7
2000-03-16 09:52:55+00:00,173.48,L7
2000-04-01 09:52:52+00:00,187.93,L7
2000-05-03 09:52:36+00:00,188.46,L7
2000-05-19 09:52:25+00:00,182.47,L7
2000-06-04 09:52:13+00:00,188.42,L7
2000-06-20 09:52:10+00:00,178.66,L7
2000-07-06 09:51:56+00:00,178.42,L7
2000-07-22 09:51:40+00:00,183.41,L7
2000-08-07 09:51:26+00:00,180.73,L7
2000-08-23 09:51:20+00:00,183.19,L7
2000-10-10 09:50:42+00:00,185.68,L7
2000-10-26 09:50:39+00:00,173.48,L7
2000-11-11 09:50:41+00:00,174.84,L7
2001-01-30 09:50:51+00:00,174.23,L7
2001-02-15 09:50:46+00:00,186.20,L7
2001-03-19 09:50:34+00:00,193.29,L7
2001-05-22 09:50:12+00:00,181.64,L7
2001-06-07 09:49:59+00:00,185.40,L7
2001-06-23 09:49:46+00:00,187.71,L7
2001-07-25 09:49:36+00:00,187.25,L7
2001-08-10 09:49:18+00:00,184.56,L7
2001-08-26 09:49:07+00:00,185.19,L7
2001-09-11 09:48:55+00:00,186.79,L7
2001-09-27 09:48:46+00:00,175.81,L7
2001-10-13 09:48:31+00:00,182.90,L7
2001-10-29 09:48:38+00:00,183.52,L7
2001-11-14 09:48:50+00:00,176.26,L7
2001-12-16 09:49:01+00:00,165.18,L7
2002-01-17 09:49:08+00:00,173.48,L7
2002-02-02 09:49:11+00:00,168.00,L7
2002-03-06 09:49:16+00:00,182.58,L7
2002-03-22 09:49:08+00:00,182.48,L7
2002-04-07 09:49:09+00:00,178.54,L7
2002-05-09 09:49:10+00:00,178.98,L7
2002-05-25 09:49:00+00:00,185.16,L7
2002-06-10 09:48:54+00:00,181.91,L7
2002-06-26 09:48:46+00:00,180.87,L7
2002-07-28 09:48:36+00:00,180.40,L7
2002-08-13 09:48:31+00:00,179.38,L7
2002-09-30 09:48:05+00:00,173.47,L7
2002-12-19 09:48:38+00:00,161.21,L7
2003-01-04 09:48:41+00:00,162.03,L7
2003-02-05 09:48:58+00:00,173.51,L7
2003-03-25 09:48:59+00:00,185.06,L7
2003-05-28 09:49:03+00:00,183.00,L7
2003-09-01 09:48:41+00:00,188.47,L7
2003-11-04 09:48:44+00:00,173.46,L7
2003-11-20 09:49:00+00:00,166.77,L7
2003-12-06 09:49:03+00:00,173.48,L7
2004-02-08 09:49:27+00:00,175.70,L7
2004-03-27 09:49:38+00:00,186.64,L7
2004-05-14 09:49:32+00:00,188.59,L7
2004-07-17 09:49:19+00:00,180.15,L7
2004-08-02 09:49:10+00:00,187.20,L7
2004-10-05 09:48:54+00:00,186.11,L7
2004-10-21 09:49:04+00:00,181.56,L7
2004-11-06 09:49:16+00:00,173.49,L7
2004-11-22 09:49:22+00:00,174.24,L7
2004-12-24 09:49:38+00:00,171.56,L7
2005-03-14 09:50:03+00:00,185.76,L7
2005-03-30 09:50:01+00:00,182.74,L7
2005-05-01 09:49:56+00:00,192.00,L7
2005-10-08 09:49:22+00:00,186.92,L7
2006-07-07 09:50:12+00:00,182.18,L7
2006-07-23 09:50:04+00:00,185.20,L7
2006-08-08 09:50:02+00:00,188.48,L7
2006-10-27 09:50:02+00:00,180.48,L7
2006-11-12 09:50:15+00:00,174.42,L7
2006-11-28 09:50:25+00:00,173.47,L7
2007-03-04 09:50:51+00:00,185.20,L7
2007-08-27 09:50:18+00:00,179.10,L7
2008-04-23 09:50:27+00:00,188.47,L7
2008-08-13 09:49:31+00:00,188.39,L7
2008-08-29 09:49:24+00:00,189.84,L7
2009-03-25 09:50:35+00:00,178.85,L7
2009-04-10 09:50:40+00:00,175.01,L7
2009-05-12 09:50:47+00:00,186.75,L7
2009-05-28 09:50:48+00:00,180.79,L7
2009-06-13 09:50:47+00:00,186.77,L7
2009-10-03 09:50:28+00:00,181.76,L7
2009-10-19 09:50:33+00:00,177.40,L7
2009-11-04 09:50:49+00:00,172.13,L7
2009-12-06 09:51:12+00:00,167.97,L7
2010-04-29 09:52:32+00:00,191.87,L7
2010-06-16 09:52:29+00:00,187.42,L7
2010-10-06 09:52:38+00:00,183.01,L7
2010-11-23 09:53:11+00:00,172.33,L7
2011-02-11 09:53:47+00:00,179.97,L7
2011-05-18 09:53:54+00:00,182.30,L7
2011-09-23 09:53:36+00:00,187.75,L7
2011-11-26 09:54:03+00:00,172.69,L7
2012-01-13 09:54:23+00:00,168.64,L7
2012-02-14 09:54:29+00:00,183.60,L7
2012-03-17 09:54:28+00:00,179.87,L7
2012-04-18 09:54:26+00:00,188.48,L7
2012-05-04 09:54:53+00:00,194.36,L7
2012-08-24 09:55:34+00:00,181.05,L7
2012-09-09 09:55:45+00:00,181.37,L7
2012-12-30 09:56:31+00:00,171.35,L7
2013-01-15 09:56:29+00:00,176.50,L7
2013-01-31 09:56:34+00:00,173.48,L7
2013-04-21 09:56:17+00:00,190.16,L7
2013-05-07 09:56:14+00:00,182.91,L7
2013-06-24 09:55:57+00:00,181.66,L7
2013-07-26 09:55:39+00:00,188.48,L7
2013-12-17 09:56:40+00:00,162.62,L7
2014-01-18 09:56:59+00:00,175.82,L7
2014-02-03 09:57:15+00:00,176.79,L7
2014-03-07 09:57:09+00:00,184.20,L7
2014-03-23 09:57:16+00:00,187.03,L7
2014-04-08 09:57:19+00:00,186.76,L7
2014-04-24 09:57:32+00:00,179.48,L7
2014-06-11 09:57:45+00:00,186.65,L7
2014-06-27 09:57:49+00:00,180.23,L7
2014-07-13 09:57:52+00:00,185.24,L7
2014-08-14 09:58:00+00:00,197.91,L7
2014-09-15 09:58:01+00:00,181.03,L7
2014-10-01 09:58:13+00:00,181.21,L7
2014-10-17 09:58:21+00:00,190.41,L7
2014-11-18 09:58:35+00:00,173.47,L7
2014-12-04 09:58:44+00:00,165.98,L7
2015-01-05 09:58:54+00:00,155.98,L7
2015-02-22 09:59:09+00:00,173.48,L7
2015-03-10 09:59:14+00:00,187.14,L7
2015-05-13 09:59:47+00:00,185.75,L7
2015-05-29 09:59:50+00:00,176.80,L7
2015-06-14 09:59:57+00:00,182.03,L7
2015-06-30 10:00:00+00:00,180.87,L7
2015-07-16 10:00:05+00:00,188.08,L7
2015-08-17 10:00:12+00:00,181.12,L7
2015-09-02 10:00:11+00:00,183.92,L7
2015-09-18 10:00:18+00:00,177.16,L7
2015-10-04 10:00:19+00:00,177.62,L7
2016-01-24 10:02:05+00:00,178.07,L7
2016-02-25 10:02:14+00:00,179.04,L7
2016-03-28 10:02:30+00:00,191.00,L7
2016-04-13 10:02:36+00:00,182.83,L7
2016-05-15 10:02:45+00:00,184.85,L7
2016-07-02 10:02:55+00:00,185.70,L7
2016-07-18 10:02:55+00:00,182.81,L7
2016-08-03 10:02:58+00:00,188.47,L7
2016-08-19 10:02:59+00:00,181.29,L7
2016-09-04 10:03:03+00:00,179.67,L7
2016-10-06 10:03:06+00:00,186.75,L7
2016-11-23 10:02:53+00:00,182.19,L7
2017-01-26 10:02:22+00:00,180.85,L7
2017-02-11 10:02:16+00:00,179.84,L7
2017-02-27 10:02:25+00:00,184.39,L7
2017-03-15 10:02:31+00:00,191.71,L7
2017-03-31 10:02:36+00:00,191.98,L7
2017-04-16 10:02:42+00:00,199.07,L7
2017-05-02 10:02:48+00:00,196.35,L7
2017-05-18 10:02:51+00:00,177.96,L7
2017-06-03 10:02:55+00:00,179.46,L7
2017-06-19 10:02:59+00:00,179.62,L7
2017-07-05 10:03:00+00:00,181.29,L7
2017-10-09 10:02:58+00:00,188.49,L7
2017-10-25 10:02:59+00:00,167.99,L7
2017-11-10 10:02:58+00:00,188.61,L7
2017-11-26 10:02:53+00:00,174.31,L7
2017-12-12 10:02:45+00:00,166.73,L7
2017-12-28 10:02:34+00:00,166.94,L7
2018-01-13 10:02:20+00:00,176.29,L7
2018-03-02 10:01:42+00:00,175.14,L7
2018-04-19 10:01:01+00:00,185.80,L7
2018-05-05 10:00:43+00:00,181.73,L7
2018-06-22 09:59:55+00:00,194.54,L7
2018-07-08 09:59:36+00:00,182.79,L7
2018-08-09 09:59:02+00:00,183.26,L7
2018-08-25 09:58:43+00:00,179.01,L7
2018-10-12 09:57:37+00:00,180.86,L7
2018-11-13 09:56:54+00:00,170.54,L7
2018-11-29 09:56:30+00:00,173.46,L7
2019-02-17 09:54:07+00:00,182.24,L7
2019-05-08 09:51:21+00:00,175.33,L7
2019-05-24 09:50:44+00:00,184.45,L7
2019-06-25 09:49:35+00:00,178.78,L7
2019-07-11 09:48:58+00:00,186.25,L7
2019-07-27 09:48:20+00:00,182.94,L7
2019-08-12 09:47:41+00:00,179.49,L7
2019-09-13 09:46:18+00:00,173.55,L7
