dates,satname,sar1299-0000
1989-06-30 09:28:02+00:00,L5,
1989-07-16 09:27:43+00:00,L5,
1989-08-01 09:27:23+00:00,L5,
1989-09-02 09:26:41+00:00,L5,
1989-09-18 09:26:08+00:00,L5,
1989-12-23 09:23:34+00:00,L5,
1990-01-08 09:23:00+00:00,L5,
1990-03-13 09:20:59+00:00,L5,
1990-04-14 09:20:34+00:00,L5,
1990-06-01 09:20:32+00:00,L5,
1990-07-03 09:20:30+00:00,L5,
1990-07-19 09:20:25+00:00,L5,
1990-08-04 09:20:20+00:00,L5,
1990-08-20 09:20:18+00:00,L5,
1990-09-05 09:20:10+00:00,L5,
1990-09-21 09:20:06+00:00,L5,
1990-10-07 09:19:54+00:00,L5,
1990-10-23 09:19:53+00:00,L5,
1990-11-08 09:19:51+00:00,L5,
1990-12-26 09:20:01+00:00,L5,
1991-01-11 09:20:27+00:00,L5,
1991-02-12 09:21:06+00:00,L5,
1991-04-01 09:21:58+00:00,L5,
1991-05-19 09:22:50+00:00,L5,
1991-06-04 09:23:06+00:00,L5,
1991-06-20 09:23:18+00:00,L5,
1991-07-06 09:23:34+00:00,L5,
1991-07-22 09:23:46+00:00,L5,
1991-08-07 09:23:52+00:00,L5,
1991-09-08 09:24:12+00:00,L5,
1991-09-24 09:24:18+00:00,L5,
1991-10-10 09:24:25+00:00,L5,
1991-11-11 09:24:33+00:00,L5,
1991-11-27 09:24:41+00:00,L5,
1992-01-30 09:24:42+00:00,L5,
1992-02-15 09:24:26+00:00,L5,
1992-03-18 09:24:33+00:00,L5,
1992-04-19 09:24:18+00:00,L5,
1992-11-29 09:21:28+00:00,L5,
1993-02-17 09:22:18+00:00,L5,
1993-03-05 09:22:27+00:00,L5,
1993-05-08 09:22:49+00:00,L5,
1993-05-24 09:22:51+00:00,L5,
1993-06-09 09:22:53+00:00,L5,
1993-06-25 09:22:48+00:00,L5,
1993-07-27 09:22:44+00:00,L5,
1993-08-12 09:22:45+00:00,L5,
1993-11-16 09:22:17+00:00,L5,
1993-12-02 09:22:15+00:00,L5,
1994-03-08 09:21:04+00:00,L5,
1994-03-24 09:20:50+00:00,L5,
1994-04-25 09:20:14+00:00,L5,
1994-05-11 09:19:55+00:00,L5,
1994-06-12 09:19:20+00:00,L5,
1994-07-14 09:18:32+00:00,L5,
1994-07-30 09:18:04+00:00,L5,
1994-08-31 09:17:17+00:00,L5,
1994-09-16 09:16:52+00:00,L5,
1994-11-03 09:15:21+00:00,L5,
1994-12-05 09:14:18+00:00,L5,
1995-01-22 09:12:39+00:00,L5,
1995-02-07 09:12:02+00:00,L5,
1995-03-27 09:10:04+00:00,L5,
1995-04-12 09:09:25+00:00,L5,
1995-05-14 09:07:59+00:00,L5,
1995-05-30 09:07:16+00:00,L5,
1995-07-01 09:05:49+00:00,L5,
1995-07-17 09:05:03+00:00,L5,
1995-08-02 09:04:22+00:00,L5,
1995-09-03 09:02:52+00:00,L5,
1995-10-21 09:00:24+00:00,L5,
1995-11-06 08:59:51+00:00,L5,
1996-02-26 09:06:32+00:00,L5,
1996-03-29 09:08:37+00:00,L5,
1996-04-14 09:09:37+00:00,L5,
1996-05-16 09:11:30+00:00,L5,
1996-06-01 09:12:24+00:00,L5,
1996-07-03 09:14:07+00:00,L5,
1996-07-19 09:14:58+00:00,L5,
1996-08-04 09:15:48+00:00,L5,
1996-08-20 09:16:38+00:00,L5,
1996-09-05 09:17:31+00:00,L5,
1996-10-23 09:20:04+00:00,L5,
1996-11-08 09:20:50+00:00,L5,
1996-11-24 09:21:34+00:00,L5,
1997-02-12 09:25:17+00:00,L5,
1997-03-16 09:26:35+00:00,L5,
1997-04-01 09:27:10+00:00,L5,
1997-05-03 09:28:18+00:00,L5,
1997-05-19 09:28:50+00:00,L5,
