dates,sar2127-0000,satname
1999-08-05 09:52:52+00:00,247.53,L7
1999-08-12 09:59:01+00:00,239.44,L7
1999-08-21 09:52:49+00:00,247.46,L7
1999-08-28 09:58:41+00:00,250.09,L7
1999-09-13 09:58:59+00:00,254.15,L7
1999-09-22 09:52:53+00:00,253.45,L7
1999-09-29 09:58:45+00:00,247.23,L7
1999-10-08 09:52:59+00:00,251.56,L7
1999-10-31 09:58:37+00:00,241.24,L7
1999-11-09 09:52:52+00:00,229.0,L7
1999-11-16 09:58:37+00:00,235.67,L7
1999-12-02 09:58:32+00:00,231.08,L7
1999-12-11 09:52:53+00:00,232.65,L7
1999-12-18 09:58:40+00:00,227.6,L7
2000-01-03 09:58:33+00:00,227.92,L7
2000-02-04 09:58:30+00:00,238.59,L7
2000-02-13 09:52:41+00:00,246.95,L7
2000-02-29 09:52:35+00:00,244.97,L7
2000-03-07 09:58:18+00:00,251.85,L7
2000-03-16 09:52:31+00:00,228.94,L7
2000-03-23 09:58:44+00:00,253.49,L7
2000-04-24 09:58:27+00:00,248.74,L7
2000-05-03 09:52:12+00:00,254.94,L7
2000-05-19 09:52:01+00:00,251.43,L7
2000-06-04 09:51:49+00:00,254.78,L7
2000-06-11 09:57:36+00:00,242.13,L7
2000-06-20 09:51:46+00:00,253.1,L7
2000-06-27 09:57:49+00:00,250.26,L7
2000-07-06 09:51:32+00:00,252.01,L7
2000-07-13 09:57:37+00:00,241.54,L7
2000-07-22 09:51:16+00:00,253.74,L7
2000-07-29 09:57:19+00:00,242.38,L7
2000-08-07 09:51:02+00:00,254.15,L7
2000-08-14 09:57:13+00:00,253.02,L7
2000-08-23 09:50:57+00:00,248.0,L7
2000-08-30 09:56:38+00:00,251.01,L7
2000-09-08 09:50:41+00:00,225.26,L7
2000-09-15 09:56:19+00:00,253.69,L7
2000-11-02 09:56:06+00:00,242.91,L7
2000-11-27 09:50:19+00:00,230.61,L7
2000-12-04 09:56:03+00:00,232.59,L7
2000-12-13 09:50:21+00:00,230.66,L7
2001-01-05 09:56:33+00:00,234.23,L7
2001-01-21 09:56:15+00:00,229.96,L7
2001-02-06 09:56:08+00:00,245.48,L7
