dates,satname,nzd0202-0000,nzd0202-0001,nzd0202-0002,nzd0202-0003,nzd0202-0004,nzd0202-0005,nzd0202-0006,nzd0202-0007,nzd0202-0008,nzd0202-0009,nzd0202-0010,nzd0202-0011,nzd0202-0012,nzd0202-0013,nzd0202-0014,nzd0202-0015,nzd0202-0016,nzd0202-0017,nzd0202-0018,nzd0202-0019,nzd0202-0020,nzd0202-0021,nzd0202-0022,nzd0202-0023,nzd0202-0024,nzd0202-0025,nzd0202-0026,nzd0202-0027,nzd0202-0028,nzd0202-0029,nzd0202-0030,nzd0202-0031,nzd0202-0032,nzd0202-0033,nzd0202-0034,nzd0202-0035,nzd0202-0036,nzd0202-0037,nzd0202-0038,nzd0202-0039,nzd0202-0040,nzd0202-0041,nzd0202-0042,nzd0202-0043
1999-08-26 22:05:08+00:00,L7,396.04,397.38,402.54,419.08,420.04,413.89,410.10,410.41,420.77,425.93,416.40,415.46,412.56,415.54,405.74,402.35,394.13,398.04,403.92,405.11,406.89,404.27,406.29,412.58,419.72,433.72,430.06,420.96,415.88,415.08,409.82,407.59,409.28,399.72,365.96,338.19,295.32,268.82,185.93,,,,,
1999-09-27 22:05:12+00:00,L7,391.12,394.73,399.61,410.51,416.23,409.26,408.95,414.84,422.03,423.84,417.96,415.94,419.55,416.28,407.22,399.15,399.74,400.97,403.44,402.82,397.40,398.41,398.72,408.19,415.22,417.24,425.56,419.38,415.24,416.06,402.89,405.57,396.24,383.04,353.66,328.50,294.06,266.13,155.95,,,,,
1999-10-13 22:05:12+00:00,L7,416.89,415.67,419.83,435.89,443.62,434.48,433.31,428.75,427.83,432.41,432.51,437.45,436.72,423.62,418.15,413.20,412.79,419.46,423.94,423.03,423.32,427.52,430.23,436.97,428.53,437.31,439.82,441.60,439.24,442.37,429.95,418.72,409.01,395.56,379.87,356.43,329.81,301.82,240.56,141.44,,,,
1999-11-14 22:05:06+00:00,L7,442.37,443.19,473.24,492.19,498.06,486.69,470.74,461.30,470.60,474.25,470.83,458.83,450.08,456.01,455.61,455.65,466.71,470.41,463.20,458.79,473.17,488.65,494.61,485.12,477.59,472.97,472.43,480.84,485.62,494.05,485.19,469.52,455.74,441.12,432.79,418.79,383.40,338.67,313.83,218.04,142.25,122.59,564.18,585.13
1999-12-25 21:58:52+00:00,L7,412.35,408.18,420.17,439.49,443.56,437.89,432.12,428.40,426.84,430.60,423.37,423.55,420.18,412.07,407.75,415.27,423.27,425.24,424.29,418.85,424.25,420.05,426.46,427.70,432.77,432.70,426.37,420.75,425.53,433.01,422.28,419.29,406.88,398.60,373.03,333.49,308.31,274.09,242.86,169.59,,,,
2000-01-01 22:05:01+00:00,L7,438.50,422.19,442.13,467.00,475.69,463.42,448.57,447.61,445.98,438.57,437.04,444.35,447.97,440.81,435.94,436.84,452.45,453.23,445.32,442.38,443.52,444.04,453.38,457.62,458.37,458.70,458.06,458.08,457.52,460.96,462.40,455.32,441.81,425.86,401.48,369.02,330.37,307.01,281.74,221.90,,,90.64,
2000-02-18 22:04:53+00:00,L7,399.84,397.10,406.00,422.31,423.64,419.81,414.83,416.92,416.62,423.52,416.63,414.13,412.49,411.51,416.46,415.07,408.43,404.93,403.97,405.59,402.30,409.69,408.96,414.86,413.80,417.79,415.61,416.91,413.83,420.54,407.10,401.34,393.28,,,,296.25,258.39,200.92,,,,,
2000-06-25 22:03:56+00:00,L7,,,,,,,,,,,,,,,,440.85,455.17,458.56,462.65,478.45,480.24,491.25,497.78,499.25,492.33,479.13,478.92,494.21,500.66,506.26,504.91,511.71,473.61,490.37,495.22,473.26,462.64,412.92,368.65,487.96,532.64,650.66,610.96,617.02
2000-09-13 22:02:50+00:00,L7,387.29,392.75,399.42,400.32,404.49,404.76,412.97,410.11,415.33,414.74,408.32,406.71,404.31,400.38,392.49,387.73,381.26,382.40,391.57,395.98,396.23,391.64,392.21,380.37,378.19,378.10,367.91,372.20,363.28,378.61,379.32,374.28,364.85,,,,265.57,211.61,,,,,,
2000-10-15 22:02:20+00:00,L7,384.94,383.03,392.71,405.17,409.67,401.70,400.80,411.89,421.50,429.03,418.56,412.74,403.82,396.02,396.65,400.06,407.97,408.01,406.20,396.02,394.26,393.39,392.20,399.17,397.97,395.50,396.00,389.46,379.09,371.56,370.74,376.03,373.84,374.28,354.33,321.90,278.52,248.48,,,,,,
