dates,nzd0202-0000,nzd0202-0001,nzd0202-0002,nzd0202-0003,nzd0202-0004,nzd0202-0005,nzd0202-0006,nzd0202-0007,nzd0202-0008,nzd0202-0009,nzd0202-0010,nzd0202-0011,nzd0202-0012,nzd0202-0013,nzd0202-0014,nzd0202-0015,nzd0202-0016,nzd0202-0017,nzd0202-0018,nzd0202-0019,nzd0202-0020,nzd0202-0021,nzd0202-0022,nzd0202-0023,nzd0202-0024,nzd0202-0025,nzd0202-0026,nzd0202-0027,nzd0202-0028,nzd0202-0029,nzd0202-0030,nzd0202-0031,nzd0202-0032,nzd0202-0033,nzd0202-0034,nzd0202-0035,nzd0202-0036,nzd0202-0037,nzd0202-0038,nzd0202-0039,nzd0202-0040,nzd0202-0041,nzd0202-0042,nzd0202-0043,satname
1999-08-26 22:05:08+00:00,438.71,429.38,434.54,455.65,456.61,456.56,452.77,453.08,457.34,462.50,459.07,452.03,455.23,458.21,442.31,445.02,436.80,440.71,446.59,456.31,449.56,440.84,448.96,463.78,456.29,484.92,494.06,484.96,467.08,466.28,461.02,458.79,460.48,442.39,417.16,389.39,331.89,297.26,217.93,,,,,,L7
1999-09-27 22:05:12+00:00,435.79,428.23,433.11,448.80,454.52,453.93,453.62,459.51,460.32,462.13,462.63,454.23,464.22,460.95,445.51,443.82,444.41,445.64,448.11,456.42,442.07,436.70,443.39,461.79,453.51,470.84,492.56,486.38,468.84,469.66,456.49,459.17,449.84,427.71,407.26,382.10,332.35,295.91,189.45,,,,,,L7
1999-10-13 22:05:12+00:00,432.89,427.67,431.83,449.60,457.33,450.48,449.31,444.75,441.54,446.12,448.51,451.16,452.72,439.62,431.86,429.20,428.79,435.46,439.94,442.23,439.32,441.23,446.23,456.17,442.24,456.51,463.82,465.60,458.44,461.57,449.15,437.92,428.21,411.56,399.07,375.63,343.52,312.49,,,,,,,L7
1999-11-14 22:05:06+00:00,430.70,434.44,464.49,482.19,488.06,475.02,459.07,449.63,460.60,464.25,459.16,448.83,438.41,444.34,445.61,443.98,455.04,458.74,451.53,444.79,461.50,478.65,482.94,471.12,467.59,458.97,454.93,463.34,471.62,480.05,471.19,455.52,441.74,429.45,418.79,404.79,373.40,330.89,,210.26,,,,573.46,L7
1999-12-25 21:58:52+00:00,435.35,425.43,437.42,459.20,463.27,460.89,455.12,451.40,446.55,450.31,446.37,443.26,443.18,435.07,427.46,438.27,446.27,448.24,447.29,446.45,447.25,439.76,449.46,455.30,452.48,460.30,460.87,455.25,453.13,460.61,449.88,446.89,434.48,421.60,400.63,,328.02,289.42,260.11,184.92,,,,,L7
2000-01-01 22:05:01+00:00,429.17,415.19,435.13,459.00,467.69,454.09,439.24,438.28,437.98,430.57,427.71,436.35,438.64,431.48,427.94,427.51,443.12,443.90,435.99,431.18,434.19,436.04,444.05,446.42,450.37,447.50,444.06,444.08,446.32,449.76,451.20,444.12,430.61,416.53,390.28,,322.37,300.79,274.74,215.68,,,,,L7
2000-02-18 22:04:53+00:00,449.17,434.10,443.00,464.60,465.93,469.14,464.16,466.25,458.91,465.81,465.96,456.42,461.82,460.84,458.75,464.40,457.76,454.26,453.30,464.79,451.63,451.98,458.29,474.06,456.09,476.99,,,473.03,479.74,466.30,460.54,452.48,,,,338.54,291.28,237.92,,,,,,L7
2000-06-25 22:03:56+00:00,,,,,,,,,,,,,,,,410.52,424.84,428.23,432.32,442.05,449.91,465.25,467.45,462.85,466.33,442.73,433.42,448.71,464.26,469.86,468.51,475.31,437.21,,,436.86,,,,,496.24,,,586.69,L7
2000-09-13 22:02:50+00:00,430.29,425.00,431.67,437.18,441.35,447.76,455.97,453.11,452.19,451.60,451.32,443.57,447.31,443.38,429.35,430.73,424.26,425.40,434.57,447.58,439.23,428.50,435.21,431.97,415.05,429.70,432.41,436.70,414.88,430.21,430.92,425.88,416.45,,,,302.43,240.28,,,,,,,L7
2000-10-15 22:02:20+00:00,424.27,412.53,422.21,438.88,443.38,441.03,440.13,451.22,455.21,462.74,457.89,446.45,443.15,435.35,430.36,439.39,447.30,447.34,445.53,443.22,433.59,427.10,431.53,446.37,431.68,442.70,455.00,448.46,426.29,418.76,417.94,423.23,421.04,413.61,401.53,369.10,312.23,274.70,,,,,,,L7
2000-10-31 22:02:34+00:00,418.38,417.96,422.90,434.81,431.02,431.69,427.93,434.91,442.73,448.04,438.08,423.52,421.16,417.86,417.86,429.99,428.43,431.06,423.79,417.33,411.14,408.43,412.40,418.45,410.18,415.28,413.07,414.84,409.62,402.55,402.95,403.71,407.09,409.96,399.83,378.27,333.28,305.77,236.55,,,,,,L7
2001-01-03 22:02:36+00:00,468.88,467.71,472.08,453.88,426.51,412.17,419.42,433.18,457.56,469.99,463.53,458.99,443.18,435.54,434.31,429.14,442.37,455.77,437.27,431.52,442.23,452.91,446.28,440.11,440.58,416.61,422.45,436.09,458.62,460.36,441.62,412.66,415.87,412.69,402.35,397.19,,,,,513.29,436.50,,,L7
2001-02-04 22:02:38+00:00,437.51,442.47,449.86,454.11,439.76,427.31,417.79,424.15,448.31,460.73,465.27,459.00,449.73,445.96,440.39,437.87,446.78,448.60,442.51,439.02,445.45,447.20,436.49,426.64,427.97,420.29,422.81,431.28,442.96,449.56,448.74,437.54,423.97,404.94,384.30,351.81,345.59,348.86,,,,,,,L7
2001-02-20 22:02:36+00:00,448.32,442.46,453.11,462.36,459.41,448.66,443.45,443.68,446.81,465.57,476.67,466.07,461.28,448.75,440.36,450.65,459.22,461.90,461.52,461.55,450.90,448.60,455.97,448.39,433.90,442.79,453.31,458.33,455.32,459.12,459.27,450.63,439.47,410.30,396.63,371.98,337.50,327.28,,,,,,,L7
2001-03-01 21:56:21+00:00,438.59,440.91,456.52,461.05,453.42,441.15,443.08,442.70,450.31,461.53,460.79,461.26,449.83,443.39,444.91,447.73,457.08,454.01,450.46,447.59,463.14,466.63,472.46,462.85,431.35,434.92,447.68,440.92,447.52,464.43,487.48,457.15,435.43,419.82,387.23,368.35,331.19,349.66,,,,446.12,,,L7
2001-03-24 22:02:23+00:00,454.09,437.90,444.69,455.84,455.62,457.48,455.95,459.93,459.43,467.45,469.84,459.90,460.42,453.39,447.85,459.48,451.65,450.42,448.46,464.17,459.06,450.72,454.18,456.58,435.97,442.75,456.55,461.02,453.55,453.58,453.10,447.66,436.80,408.11,396.14,362.75,321.36,295.10,291.03,255.66,,,,,L7
2001-08-08 21:55:01+00:00,424.09,417.58,422.89,440.77,439.59,435.45,436.93,427.27,427.76,440.80,452.82,442.95,427.69,417.17,412.59,433.36,440.81,440.92,435.38,437.33,436.92,441.35,444.55,446.67,446.63,447.25,449.34,436.50,430.20,433.15,432.09,433.24,418.69,407.80,386.18,358.50,320.97,282.05,253.54,196.69,,,107.56,,L7
2001-08-15 22:01:02+00:00,429.64,413.94,417.75,432.77,436.83,434.49,428.60,417.12,424.74,,,,,,,,,,,,,,,438.00,435.96,430.86,421.90,422.42,426.34,420.38,420.69,417.08,410.08,393.33,374.94,346.67,310.80,280.22,253.38,181.72,,,114.61,,L7
2001-08-24 21:54:48+00:00,413.37,414.59,401.65,,,,,,,,,,,,,,,426.28,418.15,412.97,410.93,413.95,411.75,414.69,419.35,408.16,408.01,399.72,412.87,412.81,407.45,399.75,390.82,383.33,353.99,321.65,294.41,268.18,242.84,163.56,,,,,L7
2001-09-09 21:54:36+00:00,,433.08,422.64,430.73,436.13,444.41,453.95,458.37,469.58,478.76,463.47,427.93,415.71,434.84,465.83,467.40,458.09,449.41,447.80,441.01,448.12,454.48,449.84,450.02,471.98,457.59,451.74,455.13,456.12,447.83,447.75,448.79,432.40,422.84,403.30,388.67,356.50,327.49,278.45,179.35,,367.26,,,L7
2001-09-25 21:54:28+00:00,431.33,435.18,434.57,439.57,437.27,431.68,440.12,448.44,459.92,467.12,451.89,434.67,428.66,441.44,451.08,448.93,452.84,457.26,455.13,449.03,450.31,454.70,452.15,449.78,461.85,446.75,440.76,438.37,438.20,431.89,424.53,415.77,414.06,410.60,395.15,363.54,341.27,314.97,283.75,218.82,,355.16,,,L7
2001-10-11 21:54:09+00:00,428.05,430.38,439.21,436.54,433.08,426.91,428.38,439.53,452.11,454.78,440.59,431.78,428.42,428.57,433.57,431.76,433.34,436.70,437.55,450.30,451.45,436.98,434.43,432.23,442.65,422.67,423.02,419.95,431.33,418.62,408.76,401.86,402.99,393.97,373.67,356.63,342.11,304.20,249.32,220.99,,,211.03,,L7
2001-11-19 22:00:44+00:00,422.97,421.25,431.06,446.75,442.02,443.18,448.77,448.30,453.07,456.65,448.37,432.30,426.22,425.22,425.87,430.14,437.34,441.58,447.51,451.04,448.73,435.24,433.58,426.62,426.75,426.08,424.99,422.18,420.20,419.51,413.37,412.94,404.49,387.47,361.83,327.30,293.49,265.54,,,,,,,L7
