dates,nzd0202-0000,nzd0202-0001,nzd0202-0002,nzd0202-0003,nzd0202-0004,nzd0202-0005,nzd0202-0006,nzd0202-0007,nzd0202-0008,nzd0202-0009,nzd0202-0010,nzd0202-0011,nzd0202-0012,nzd0202-0013,nzd0202-0014,nzd0202-0015,nzd0202-0016,nzd0202-0017,nzd0202-0018,nzd0202-0019,nzd0202-0020,nzd0202-0021,nzd0202-0022,nzd0202-0023,nzd0202-0024,nzd0202-0025,nzd0202-0026,nzd0202-0027,nzd0202-0028,nzd0202-0029,nzd0202-0030,nzd0202-0031,nzd0202-0032,nzd0202-0033,nzd0202-0034,nzd0202-0035,nzd0202-0036,nzd0202-0037,nzd0202-0038,nzd0202-0039,nzd0202-0040,nzd0202-0041,nzd0202-0042,nzd0202-0043,satname
1999-08-26 22:05:08+00:00,428.04,425.82,430.98,451.08,456.61,450.46,446.67,442.41,452.77,457.93,448.40,447.46,444.56,447.54,437.74,434.35,426.13,430.04,440.49,441.68,443.46,436.27,442.86,444.58,456.29,465.72,472.73,463.63,458.55,457.75,452.49,450.26,451.95,442.39,402.53,380.86,331.89,311.49,237.13,,,,,,L7
1999-09-27 22:05:12+00:00,426.33,425.16,430.19,447.54,455.56,449.00,446.96,445.38,454.15,457.63,449.93,448.45,448.81,448.66,439.23,433.50,429.69,432.25,441.11,441.39,439.57,434.09,439.94,443.13,454.90,458.23,471.48,463.84,459.23,459.24,450.02,450.25,446.43,435.05,397.24,377.01,332.12,311.14,223.34,,,,,,L7
1999-10-13 22:05:12+00:00,427.18,425.56,430.29,447.66,456.15,448.73,446.98,443.83,449.38,453.23,448.12,448.78,448.78,444.31,436.20,430.73,428.05,431.99,439.96,439.84,438.73,435.90,441.27,445.08,450.68,455.26,466.26,461.76,457.90,458.95,448.67,445.07,439.29,427.22,396.02,375.49,335.92,313.37,235.48,,,,,,L7
1999-11-14 22:05:06+00:00,428.79,428.02,439.08,456.61,464.13,455.72,450.42,446.01,452.50,456.30,451.61,449.11,446.92,445.05,438.87,434.77,435.53,439.41,443.27,442.08,444.84,435.90,452.11,452.90,454.91,457.50,464.88,463.61,461.91,464.81,454.88,448.27,440.49,427.78,402.71,383.39,345.29,316.78,251.57,204.04,,,,567.63,L7
1999-12-25 21:58:52+00:00,428.95,427.12,438.37,456.63,463.96,456.10,450.70,445.94,450.81,454.61,449.41,447.45,445.02,441.90,436.09,434.32,436.53,440.02,443.41,441.38,444.66,436.25,450.92,451.31,454.42,455.99,461.78,459.64,459.24,463.05,452.96,447.07,438.36,426.54,400.72,383.39,341.84,312.84,255.35,200.62,,,,567.63,L7
2000-01-01 22:05:01+00:00,429.38,425.26,437.96,457.19,464.58,455.98,449.01,445.05,448.84,450.77,446.19,445.76,444.34,440.56,434.90,433.58,438.02,441.06,442.40,440.21,443.14,436.41,450.00,451.20,453.75,455.27,459.61,457.82,457.39,461.14,452.98,446.89,437.38,424.87,399.51,383.39,338.59,310.31,257.88,203.98,,,,567.63,L7
2000-02-18 22:04:53+00:00,430.44,425.94,438.09,457.50,464.77,456.86,450.17,446.32,449.52,452.16,447.25,446.53,445.08,441.69,437.55,436.22,439.07,441.18,442.95,441.31,443.35,438.12,450.17,451.29,454.08,455.20,460.37,459.03,458.22,462.39,453.47,447.43,438.13,424.87,399.51,383.39,338.58,309.94,258.20,203.98,,,,567.63,L7
2000-06-25 22:03:56+00:00,434.17,422.98,437.40,459.65,466.81,458.76,448.85,447.26,446.30,446.04,441.83,444.24,445.23,441.16,441.20,433.34,441.10,441.32,440.08,444.90,444.78,450.74,456.14,459.66,457.60,454.29,454.09,459.62,460.56,465.81,461.36,459.35,439.46,416.53,393.48,442.93,330.46,302.70,265.33,210.70,496.24,,,571.52,L7
2000-09-13 22:02:50+00:00,419.54,421.42,428.09,432.57,441.35,441.62,449.83,442.36,447.58,446.99,440.57,438.96,436.56,432.63,424.74,419.04,422.97,425.23,432.54,442.64,443.66,446.19,450.42,444.56,440.69,433.37,429.75,439.54,438.30,448.77,448.45,449.33,425.56,,,442.93,302.43,254.61,,,496.24,,,571.52,L7
2000-10-15 22:02:20+00:00,416.99,415.34,423.51,433.62,442.37,438.51,442.17,441.88,449.29,452.76,444.31,440.60,434.94,429.07,425.44,422.55,427.80,429.32,435.00,438.34,438.43,438.43,442.25,439.26,437.69,430.58,431.61,435.96,431.68,436.14,435.66,438.01,421.43,413.61,388.04,402.08,307.33,271.21,,,496.24,,,571.52,L7
