,dates,per0235-0000,per0235-0001,per0235-0002
0,1984-06-20 14:16:12+00:00,,,
1,1985-03-03 14:18:15+00:00,,,
2,1985-03-19 14:18:14+00:00,,,
3,1985-04-20 14:18:05+00:00,,,
4,1987-02-21 14:08:52+00:00,124.19176619000758,136.0564750460173,139.2875823905298
5,1988-02-08 14:17:20+00:00,119.73827801076305,121.17798923713528,126.70252113097251
6,1988-02-24 14:17:33+00:00,122.89115337578319,126.91414232245228,123.51294243840266
7,1988-03-11 14:17:43+00:00,,,
8,1988-03-27 14:17:51+00:00,,,
9,1988-06-15 14:18:24+00:00,,123.854269523749,116.99362948493376
10,1988-11-06 14:18:26+00:00,118.432371854419,119.84426477429538,121.3003178185861
11,1989-03-14 14:17:09+00:00,113.41228395102584,118.90976813198625,120.76538116295671
12,1989-12-11 14:11:24+00:00,,,
13,1990-02-13 14:09:22+00:00,119.65331085609256,128.6693302530259,130.8030342820932
14,1990-03-01 14:08:49+00:00,118.4818453050953,119.59857495631346,126.39787675878928
15,1990-03-17 14:08:18+00:00,,,
16,1990-04-18 14:08:03+00:00,,115.41212914359224,124.76558212749111
17,1990-05-04 14:07:57+00:00,133.95635919156743,128.40713956865687,123.31726097281832
18,1991-01-15 14:08:05+00:00,,100.88159807878965,116.08183720231224
19,1991-01-31 14:08:23+00:00,100.64501787428868,114.65795498923228,123.08527241897521
20,1991-02-16 14:08:41+00:00,,99.3640221112481,104.9235659668405
21,1991-03-04 14:08:58+00:00,112.15501634641194,116.35834848566495,130.19700046630513
22,1991-04-05 14:09:31+00:00,126.24993079018861,135.6382218422154,140.9639235970838
23,1992-02-03 14:12:07+00:00,,,
24,1992-03-06 14:12:00+00:00,,,
25,1992-11-01 14:09:07+00:00,,,
26,1993-01-20 14:09:31+00:00,,116.52061872855853,120.37455020940604
27,1993-06-29 14:10:15+00:00,,,
28,1994-12-25 14:01:08+00:00,119.61793476462906,143.4758620438338,138.10369114536414
29,1995-03-31 13:57:23+00:00,139.41645335230126,150.75343480497858,161.82594046723548
30,1995-04-16 13:56:43+00:00,,,
31,1995-06-03 13:54:32+00:00,,,
32,1995-07-21 13:52:22+00:00,,,
33,1996-01-13 13:50:59+00:00,,121.37302023933978,131.3010602227734
34,1996-01-29 13:52:07+00:00,,149.88325977520705,152.44484240224907
