dates,satname,nzd0511-0000,nzd0511-0001,nzd0511-0002,nzd0511-0003,nzd0511-0004,nzd0511-0005,nzd0511-0006,nzd0511-0007,nzd0511-0008,nzd0511-0009
1999-08-26 22:07:32+00:00,L7,316.79,310.69,306.23,313.78,324.61,338.36,373.46,414.10,420.98,409.97
1999-09-02 22:13:44+00:00,L7,322.11,302.03,289.50,285.37,293.38,307.66,324.25,323.58,312.69,324.88
1999-09-18 22:13:39+00:00,L7,279.16,270.55,262.68,260.48,264.40,279.32,306.06,318.67,337.71,364.12
1999-12-07 22:13:41+00:00,L7,292.15,293.17,296.78,304.31,299.69,318.82,383.81,408.29,394.75,390.27
2000-02-25 22:13:25+00:00,L7,,,,,,233.05,266.82,251.80,250.11,272.82
2000-05-08 22:06:44+00:00,L7,279.07,274.43,277.55,287.65,304.14,326.60,353.16,336.15,312.67,283.10
2000-05-15 22:12:54+00:00,L7,289.96,289.72,294.59,307.96,323.78,352.95,385.18,387.68,331.49,305.32
2000-05-31 22:12:42+00:00,L7,286.33,277.40,285.28,290.32,307.25,327.37,354.46,353.76,317.92,243.73
2000-06-25 22:06:19+00:00,L7,266.87,276.67,277.41,279.81,293.02,313.08,324.98,326.67,303.12,198.11
2000-07-11 22:06:05+00:00,L7,284.81,280.22,281.45,285.67,297.98,314.95,346.16,358.18,325.30,208.09
2000-07-27 22:05:48+00:00,L7,257.50,,,,,312.04,332.97,336.21,308.47,277.98
2000-08-03 22:11:55+00:00,L7,294.21,296.25,293.82,307.53,323.51,349.13,373.46,380.74,331.90,309.33
2000-08-19 22:11:49+00:00,L7,295.94,283.22,,,,304.04,322.19,317.88,316.83,315.75
2000-09-20 22:11:14+00:00,L7,266.96,256.79,261.63,268.00,282.33,294.24,311.24,310.97,319.59,327.71
2000-10-22 22:11:02+00:00,L7,263.52,254.36,262.67,263.45,275.68,297.26,324.33,334.34,328.24,328.57
2001-01-03 22:05:00+00:00,L7,288.36,277.63,283.79,285.72,301.81,329.82,371.88,367.13,335.01,319.62
2001-02-11 22:11:12+00:00,L7,,,,,,,,,183.97,194.16
2001-03-31 22:10:55+00:00,L7,,,,,,349.82,354.42,337.75,309.69,310.73
2001-04-16 22:10:54+00:00,L7,291.14,280.77,294.22,304.83,313.70,325.92,325.41,312.93,302.76,270.85
2001-06-28 22:03:56+00:00,L7,263.13,,276.76,,,317.11,316.05,284.15,240.37,217.82
