,dates,aus0199-0000,aus0199-0001,aus0199-0002,aus0199-0003,aus0199-0004,aus0199-0005
0,1987-05-22 23:07:44+00:00,209.13230660571273,210.28101087643225,209.56128670591903,205.4411810920277,212.02251621313985,202.84705397428493
1,1987-09-11 23:10:29+00:00,224.01687623825583,224.2197452806332,213.3278179287552,211.67371291775052,216.8687596955528,211.28842667077302
2,1987-09-27 23:10:51+00:00,248.32999881841337,242.10412517075503,232.76917818832302,225.989922334651,223.28453815901267,215.70222687578845
3,1987-11-14 23:11:47+00:00,219.50559433384805,204.8279136669018,203.91150915771846,202.64423647219664,201.62673893366056,202.75980092115958
4,1988-02-18 23:13:23+00:00,221.12803903633682,208.01989643691138,207.33829815905636,211.3093260411563,212.4597873473466,196.6545834493579
5,1988-05-08 23:14:02+00:00,194.59931872626518,195.92844154488913,198.073555190632,203.91372573377356,208.01538076388871,199.80566890601924
6,1988-06-09 23:14:15+00:00,197.555552905553,196.56065848233885,195.77349532537698,201.42369318370865,205.08432358397965,200.77587695872194
7,1988-06-25 23:14:20+00:00,207.43080773426453,205.06721143448704,200.14031635882415,204.34330272269767,205.75888759666654,197.4274146225022
8,1988-07-27 23:14:26+00:00,204.31670043867229,203.21588058046,201.37488030792082,203.44895819996287,204.3359195355505,197.07949417930195
9,1988-08-12 23:14:25+00:00,216.40821122899789,213.09587960291495,206.84899275569794,208.2943820379976,209.57322753060004,201.04638295038856
10,1988-08-28 23:14:30+00:00,214.67026232373172,211.58702819311574,213.24417766074814,209.52934139070888,207.63106395266345,202.31054965630247
11,1988-09-29 23:14:21+00:00,218.58571829431372,213.12992538530762,205.95494420256625,212.78527734134528,222.90230584038835,207.30585613580365
12,1988-10-15 23:14:16+00:00,210.97941069663807,201.92206772732993,200.45756634593684,206.28589733410888,216.69902551529094,207.60260030642505
13,1989-01-19 23:13:42+00:00,203.03389996750087,196.38430296671166,210.38568590201066,206.91254383971895,217.31390014137978,229.6160484748164
14,1989-02-20 23:13:39+00:00,200.90579109594344,197.3850068497401,198.49459113773648,209.45417655615037,219.76829240011898,208.66088492552868
15,1989-03-08 23:13:15+00:00,213.89056348235675,208.32178296683458,217.48331440921652,224.4349622864904,230.64334339143505,216.3661830459358
16,1989-06-12 23:11:41+00:00,201.9216564872654,200.45144378233036,211.23570483242952,212.26367254678837,217.82287837301388,215.25692570487905
17,1989-06-28 23:11:25+00:00,193.5246697755211,199.29423526777975,197.39859310931183,207.72276057355967,209.82044826623178,199.11833027659776
18,1989-07-30 23:10:47+00:00,214.699332057882,205.24392758745913,203.9859141840117,204.29881395354593,213.48772524532535,208.30379932000207
19,1989-08-15 23:10:23+00:00,213.22638199447562,198.73636481477718,195.29007142525356,196.94351381422928,215.26513006319527,207.26666757657986
20,1989-09-16 23:09:32+00:00,219.99697213676066,212.50723640167703,208.88574950910547,212.70115355647425,229.63115263866126,220.17852654699638
21,1989-10-02 23:09:23+00:00,212.8671998596312,200.98276542543613,202.43762177024303,205.2625494062785,211.82188885858935,202.88990617890408
22,1989-10-18 23:08:40+00:00,224.0098589250591,208.65263000758392,205.8717509547966,207.68231520740483,217.21685229082567,201.0029476068956
