dates,nzd0486-0000,nzd0486-0001,nzd0486-0002,satname
1999-08-26 22:07:32+00:00,347.56,354.69,358.98,L7
1999-11-30 22:07:23+00:00,350.96,349.96,359.44,L7
1999-12-16 22:07:09+00:00,347.66,349.40,357.46,L7
2000-05-08 22:06:44+00:00,347.47,348.73,359.79,L7
2000-06-25 22:06:19+00:00,351.79,353.58,365.15,L7
2000-07-11 22:06:05+00:00,332.26,332.80,348.78,L7
2000-07-27 22:05:48+00:00,350.71,352.05,361.01,L7
2000-08-12 22:05:17+00:00,349.44,354.48,358.09,L7
2000-11-16 22:04:32+00:00,347.18,349.66,361.77,L7
2000-12-18 22:05:01+00:00,353.67,352.96,370.83,L7
2001-01-03 22:05:00+00:00,349.95,350.12,361.31,L7
2001-01-19 22:04:43+00:00,346.58,348.70,358.01,L7
2001-02-20 22:05:00+00:00,349.59,350.50,356.94,L7
2001-03-08 22:04:56+00:00,354.16,355.57,358.73,L7
2001-07-14 22:03:57+00:00,351.45,353.57,369.72,L7
2001-08-15 22:03:02+00:00,355.28,360.85,370.51,L7
2001-11-03 22:02:34+00:00,351.09,353.22,361.17,L7
2002-03-11 22:03:31+00:00,354.14,353.07,361.85,L7
2002-04-12 22:03:25+00:00,354.57,359.21,361.22,L7
2002-05-14 22:02:55+00:00,346.78,353.37,357.67,L7
2002-05-30 22:03:13+00:00,352.41,354.27,366.09,L7
2002-06-15 22:02:43+00:00,357.75,362.41,372.35,L7
2002-08-18 22:02:45+00:00,344.57,346.58,351.31,L7
2002-10-05 22:01:55+00:00,349.22,358.76,366.52,L7
2002-11-22 22:02:45+00:00,348.38,351.54,352.13,L7
2002-12-08 22:02:51+00:00,333.15,345.00,345.53,L7
2002-12-24 22:02:33+00:00,350.78,351.39,361.46,L7
2003-08-13 21:51:08+00:00,362.99,360.51,370.68,L5
2003-09-30 21:52:18+00:00,327.97,337.73,346.84,L5
2003-10-16 21:52:08+00:00,359.17,358.43,365.19,L5
