dates,nzd0486-0000,nzd0486-0001,nzd0486-0002,satname
1999-08-26 22:07:32+00:00,347.56,354.69,358.98,L7
1999-11-30 22:07:23+00:00,349.26,352.32,359.21,L7
1999-12-16 22:07:09+00:00,348.73,351.35,358.63,L7
2000-05-08 22:06:44+00:00,348.70,349.36,358.90,L7
2000-06-25 22:06:19+00:00,349.63,351.15,362.47,L7
2000-07-11 22:06:05+00:00,343.84,345.04,357.91,L7
2000-07-27 22:05:48+00:00,345.56,346.79,358.68,L7
2000-08-12 22:05:17+00:00,346.33,348.33,358.56,L7
2000-11-16 22:04:32+00:00,346.28,348.51,358.96,L7
2000-12-18 22:05:01+00:00,347.51,349.26,360.94,L7
2001-01-03 22:05:00+00:00,347.20,348.68,360.30,L7
2001-01-19 22:04:43+00:00,349.59,351.33,361.84,L7
2001-02-20 22:05:00+00:00,349.39,350.39,361.77,L7
2001-03-08 22:04:56+00:00,350.19,351.25,361.27,L7
2001-07-14 22:03:57+00:00,350.44,352.08,360.85,L7
2001-08-15 22:03:02+00:00,352.62,355.12,363.97,L7
2001-11-03 22:02:34+00:00,352.61,355.88,367.13,L7
2002-03-11 22:03:31+00:00,352.62,353.14,361.51,L7
2002-04-12 22:03:25+00:00,353.27,355.17,361.41,L7
2002-05-14 22:02:55+00:00,351.83,355.22,360.25,L7
2002-05-30 22:03:13+00:00,351.98,354.98,361.71,L7
2002-06-15 22:02:43+00:00,353.13,356.47,363.84,L7
2002-08-18 22:02:45+00:00,351.70,354.82,361.75,L7
2002-10-05 22:01:55+00:00,350.88,355.77,362.53,L7
2002-11-22 22:02:45+00:00,350.47,354.71,361.68,L7
2002-12-08 22:02:51+00:00,346.61,352.86,357.57,L7
2002-12-24 22:02:33+00:00,345.22,350.65,355.39,L7
2003-08-13 21:51:08+00:00,362.99,360.51,370.68,L5
2003-09-30 21:52:18+00:00,345.48,349.12,358.76,L5
2003-10-16 21:52:08+00:00,350.04,352.22,360.90,L5
2003-11-17 21:52:57+00:00,351.61,353.37,362.49,L5
2004-01-04 21:52:58+00:00,350.17,350.99,358.70,L5
2004-01-12 22:03:07+00:00,350.17,350.99,360.99,L7
2004-01-20 21:53:00+00:00,347.00,350.99,360.99,L5
2004-02-29 22:03:21+00:00,343.81,348.61,357.98,L7
2004-05-03 22:03:23+00:00,345.57,349.44,357.58,L7
2004-05-19 22:03:23+00:00,342.06,346.75,355.90,L7
2004-06-12 21:55:59+00:00,344.48,350.63,358.22,L5
2004-06-28 21:56:28+00:00,346.30,345.70,358.69,L5
2004-07-06 22:03:12+00:00,347.07,347.88,360.42,L7
2004-07-30 21:57:15+00:00,350.73,350.16,360.55,L5
2004-08-15 21:57:37+00:00,349.48,349.68,358.94,L5
2004-09-08 22:02:53+00:00,349.66,350.12,360.45,L7
2004-09-24 22:02:48+00:00,349.90,350.27,360.37,L7
2004-10-10 22:03:07+00:00,350.19,350.43,360.85,L7
2004-10-18 21:59:11+00:00,350.40,350.49,360.71,L5
2004-11-03 21:59:30+00:00,349.40,349.61,360.07,L5
2004-12-29 22:03:32+00:00,348.52,350.45,357.81,L7
2005-03-03 22:03:53+00:00,349.56,349.58,357.74,L7
2005-03-11 22:01:31+00:00,349.85,350.39,357.62,L5
2005-03-19 22:03:54+00:00,350.14,350.57,357.77,L7
2005-04-12 22:01:42+00:00,348.67,349.45,355.33,L5
2005-04-20 22:04:08+00:00,348.07,349.70,355.68,L7
2005-04-28 22:01:23+00:00,351.72,349.70,355.68,L5
2005-05-21 22:07:44+00:00,353.28,351.26,356.15,L5
2005-06-07 22:04:06+00:00,353.95,351.26,356.15,L7
2005-06-23 22:04:01+00:00,353.91,353.21,357.59,L7
2005-07-09 22:03:38+00:00,354.87,355.77,360.70,L7
2005-08-26 22:03:27+00:00,354.34,354.37,359.54,L7
2005-09-19 22:02:44+00:00,355.48,355.52,359.44,L5
2005-09-27 22:03:16+00:00,355.44,355.75,360.11,L7
2005-10-05 22:02:41+00:00,354.79,354.78,359.02,L5
2005-11-06 22:02:46+00:00,352.82,355.21,359.57,L5
2006-02-26 22:05:22+00:00,352.68,353.74,357.88,L5
2006-03-22 22:04:18+00:00,350.57,351.38,357.20,L7
2006-05-17 22:06:45+00:00,353.56,352.67,358.27,L5
2006-06-26 22:04:08+00:00,353.90,354.74,360.83,L7
2006-07-04 22:07:29+00:00,345.65,349.25,355.80,L5
2006-07-12 22:04:01+00:00,346.79,350.67,356.51,L7
2006-07-28 22:04:18+00:00,347.39,350.81,357.26,L7
2006-08-05 22:07:55+00:00,347.89,350.70,358.11,L5
2006-08-29 22:04:14+00:00,347.30,350.06,358.22,L7
2006-09-14 22:03:45+00:00,348.07,350.57,358.67,L7
2006-10-08 22:08:40+00:00,349.18,350.76,357.19,L5
2006-10-16 22:03:42+00:00,349.08,350.47,356.68,L7
2006-10-24 22:08:50+00:00,348.98,350.50,356.87,L5
2006-12-11 22:08:52+00:00,349.47,350.87,357.06,L5
2007-02-13 22:09:34+00:00,352.61,351.66,356.60,L5
2007-03-09 22:04:43+00:00,352.31,352.15,357.79,L7
2007-05-12 22:04:59+00:00,352.82,353.12,362.29,L7
2007-06-13 22:04:52+00:00,349.20,350.69,361.98,L7
2007-07-15 22:04:48+00:00,349.69,353.46,362.92,L7
2007-09-01 22:04:31+00:00,348.55,353.26,362.99,L7
