,dates,chi0281-0000,chi0281-0001,chi0281-0002,chi0281-0003,chi0281-0004,chi0281-0005
0,1985-07-27 14:08:53+00:00,182.57002989675655,144.7739622112343,136.075302214932,117.65718626519183,116.09867621461711,131.03131934935155
1,1986-07-30 14:01:16+00:00,182.27757508824038,140.9758662255052,133.42986458176063,130.18990276068675,118.59222507962579,139.11289608152586
2,1986-08-31 14:00:04+00:00,185.07974421465127,136.64884632964794,131.14760637273707,127.95836143178775,121.04253027217631,147.0345547711736
3,1986-11-03 13:57:58+00:00,216.136088384994,137.50396531252565,130.53494156859998,128.22449035137726,126.35008346396711,132.44869633890207
4,1987-01-22 13:58:58+00:00,195.4998422271021,133.75650357353737,,,,
5,1987-02-07 13:59:33+00:00,181.4268657527872,128.8079646128551,125.65555907891576,112.09371816056272,105.9658821980579,121.7056976113058
6,1987-03-27 14:01:21+00:00,230.49866125682036,145.65884102558093,138.43182656706546,134.652513927274,134.21706804262683,146.3581402954786
7,1987-11-06 14:06:56+00:00,200.5985245571156,141.54653402298604,185.100663042634,175.6228622237144,131.7710749042149,121.74983328818037
8,1988-02-26 14:08:48+00:00,199.23532167412253,213.56043658143963,215.77970710112135,203.3615641498206,143.74472084332572,113.61318945733763
9,1988-03-29 14:09:05+00:00,206.7415855788807,219.51434170377573,217.7708874669463,193.185524677183,149.31935962893337,132.76791021679205
10,1988-04-30 14:09:16+00:00,208.90123700810298,215.03338139654826,202.61109969993876,175.82776703059764,147.45044590245504,140.67563574141505
11,1988-05-16 14:09:27+00:00,197.6998699675145,204.29904890411066,197.00841237887724,166.7889392322044,,135.74331954706534
12,1988-06-01 14:09:33+00:00,212.2481545112627,218.31045789054392,202.7837617548717,174.74666109895747,151.13608075405475,150.80804042635984
13,1988-07-03 14:09:43+00:00,203.13420383866108,196.37665120260763,187.79219610218206,149.67975126867526,147.269795018765,160.57938835098216
14,1988-08-04 14:09:46+00:00,211.09301929240257,202.6437488542256,189.647246479687,167.85124275261808,171.9967260398958,156.40549055322901
15,1988-08-20 14:09:48+00:00,213.77266364819258,199.9758130487576,189.0621632252978,170.73514212815164,162.82493411538152,162.42032186952784
