,dates,chi0111-0000,chi0111-0001,chi0111-0002,chi0111-0003,chi0111-0004,chi0111-0005,chi0111-0006,chi0111-0007,chi0111-0008,chi0111-0009,chi0111-0010,chi0111-0011,chi0111-0012,chi0111-0013,chi0111-0014
0,1984-07-15 14:11:57+00:00,246.5834940242342,198.8711394045245,186.18171298951356,181.52309733443505,189.0580730923405,191.91707905225638,187.39028913474388,185.63930711722662,171.8484022422759,169.00228368470596,156.06951547712976,175.99992172105547,155.03529286996843,141.32057750463179,
1,1985-03-05 14:07:29+00:00,230.54741419218254,188.5973831241324,179.24126925754393,178.8243829170197,178.92942187605914,171.21248622754229,171.56740026795325,162.93704807026796,153.8045413956575,,,,,,
2,1985-03-28 14:13:37+00:00,242.31601607624438,174.93337740899756,,,,,171.65210502758632,177.957899141254,163.18051285040423,164.92589804343936,154.22619751789378,179.2448475478627,149.05855364967618,139.83511958600602,
3,1986-02-04 14:04:00+00:00,241.40993281522117,178.67359268062242,167.586523165824,164.29807146348924,160.00489966806123,160.54026535978207,160.7902457011509,160.05906054747405,147.4421270017841,143.55111619419145,131.97295471025035,,,,
4,1986-07-30 13:59:17+00:00,240.64553517392952,184.4603701418294,178.30340738148482,169.71099397211142,178.08933147828967,178.6992781554171,177.37344712888302,170.91899191151964,152.63292272073275,133.99480322889153,131.23829918434288,152.36932738776053,123.39339638600345,129.17634205487388,135.8598876998333
5,1986-09-07 14:04:01+00:00,236.42627933906854,184.5831657402887,173.98006445257275,172.89971231317952,193.8334616662385,203.1142320432926,183.65330549472645,171.94220579230782,161.91224971807006,154.5280280509548,146.28663306893307,162.3337917808647,148.41130172026953,138.9541868577297,135.56636864945557
6,1986-09-16 13:57:34+00:00,236.26880388633126,195.49656648296423,188.9286041020035,182.6817547827547,175.04331945297446,178.04569079054014,175.6013891217591,166.15149926764283,157.402667278938,152.9734791736468,156.04019263511532,169.91938111148968,160.80166683832215,146.9720482023119,147.6304068167084
7,1986-11-10 14:01:53+00:00,226.396681917899,177.20661421379046,167.37447172083247,164.06620961658973,171.7964909496375,169.14908252468535,169.49576917133578,160.35072365531428,147.67021575804327,144.14472829676143,140.9259689382733,152.9518075154339,138.44268983610277,163.19410134893633,
8,1986-12-28 14:02:25+00:00,229.70368193793144,176.00801957059494,166.2755363358454,165.460254313109,165.94497202314128,167.89365984902338,170.5087231582084,165.9199863422229,145.35626405704988,137.38932416243335,129.55848667449655,148.27435986510793,,,
9,1987-03-18 14:05:13+00:00,233.9174795875211,184.1498225366905,181.6032653367837,171.90835575454466,173.56245730186617,175.9924533600152,176.99839425074268,174.09593469809775,158.78582046122327,158.9621125303792,153.7445523127093,171.7552822388382,155.9550627451463,145.35289204045094,138.64074051240107
10,1987-11-06 14:04:57+00:00,229.79298337769552,184.0172757965411,180.43610302836225,172.0710713778105,177.53423029737772,175.12895218583617,174.83193821660737,167.6778974876369,157.25832449782774,149.89548619682185,151.87933375457774,160.84272831381304,156.13012509319836,178.72213319920573,188.18275224349264
11,1987-11-22 14:05:16+00:00,242.87739145711456,187.89624432631578,182.89860200039902,171.9711008403008,172.66548547674296,176.95514416724598,174.37799041141375,171.0422776197331,154.60209020209402,153.0928138621292,152.72196497182614,165.91991924135698,149.95023078222206,181.12260771213656,209.42974617525945
12,1987-11-29 14:11:33+00:00,205.0971306778432,175.42593557423595,167.9814986005976,162.6457898886167,169.1725913780467,167.3949141370252,162.69133414696392,157.4083452594596,139.96454046003316,135.58297507201894,138.46206671474354,149.76305045270269,131.12133572098776,167.54090750535835,194.59041574978556
13,1988-01-25 14:06:19+00:00,228.69772154284908,176.72265003062734,168.8501246131936,161.0862457999509,165.70128978238188,170.1487752946362,163.04498221906934,159.05752599733646,146.64712521130124,145.00809890338337,134.15517627877804,157.56202366114093,,,
14,1988-02-01 14:12:38+00:00,227.21275014570912,177.72160740058598,166.77365321978806,166.4238224578701,166.82547302485,173.19742243693014,176.4314983674959,169.6727002477902,159.2204674737809,158.66343306112483,148.84901610421716,164.0038289825814,146.91314657132318,147.79783550218147,198.67354274205996
15,1988-02-17 14:12:53+00:00,212.93445368323611,183.73880392617235,184.81671432439055,178.64495420939818,177.37870287496816,182.65216704525048,181.82848981607117,174.4441235650283,157.56222064800676,154.41406496498564,153.749116219255,168.76446843103392,154.92145760144965,,
16,1988-02-26 14:06:49+00:00,228.6764754307063,180.05686265175228,175.11566207929562,174.43086887376398,178.39569280982278,179.78285573126007,171.59596689589736,164.8767101391386,151.32887351546296,143.98557849118015,138.09601421913976,158.26411832733254,142.78860993989076,134.1938081271396,194.55053748346612
17,1988-03-04 14:13:03+00:00,229.63024293494055,186.97704898388974,182.6342600347062,182.86158105037643,182.52814949068787,181.74087373778968,177.9958090770679,173.49469086355919,159.90170620638708,159.2959663747005,145.34294997373354,164.47363382701243,147.32056973082058,141.7219454401652,133.53324815465535
18,1988-04-14 14:07:09+00:00,232.23326726471663,182.8761171296205,177.53488778375538,173.04214595508566,182.50791824616906,183.4439857123697,178.51023371143884,171.9394430423013,158.76281357720453,154.0920427039889,146.13272177793436,,,,
19,1988-04-21 14:13:23+00:00,213.44827684500078,190.42888395341947,171.85247529861587,169.79150434568692,173.643146976381,173.60446605466484,170.38086657844596,166.1803184259025,153.24239347299644,148.82545108878278,131.53195970469858,160.16180328591616,142.90956234181039,134.40778953127747,129.27327372200463
20,1988-04-30 14:07:16+00:00,232.78028146605067,198.79171838134786,174.1751710167839,172.79898757223913,178.06493276772238,179.9876881506316,177.52912551855965,170.80547414177175,156.88044158458206,156.15798523190796,149.64078658276108,165.70196573626558,155.85987215812335,141.8357623566262,139.50244523432204
21,1988-05-23 14:13:41+00:00,244.18407764926332,187.29561359740802,186.58264954400505,181.24694345084023,192.3742372860992,183.5492783460086,179.07366774495745,178.5562173853937,168.53080272923847,160.93667420181305,143.40262009872322,172.0349678595678,158.8290284755621,,131.9316081269554
22,1988-06-17 14:07:39+00:00,244.0779317538608,189.0376559556844,183.50727689857533,179.1776482773778,180.5653751241871,181.0336012619288,178.32543669097586,173.19372366465586,159.7796387041098,154.46010616271653,148.3416137578574,160.5236591526214,150.19728394216997,133.01037688039818,142.69134977313456
23,1988-06-24 14:13:51+00:00,223.00344845174828,185.71413533414258,182.90342612654516,173.60696702460663,180.57899230658006,184.43253455968508,177.0835700188586,171.87321969555845,157.66725028958942,154.72979486750745,137.4339935616807,163.42395076063153,136.77233599796276,123.47622518855802,131.22430467098022
24,1988-08-20 14:07:48+00:00,240.90005215382794,182.5073288618816,176.17140534691055,170.34724979752022,175.76312117151005,178.3757145494071,179.65412961027437,169.150748629172,153.2459523703083,149.79908586157703,136.36993774020505,165.37990941315454,,,
25,1988-09-21 14:07:46+00:00,243.18377361955356,180.73346553346138,180.33066644064988,167.72686670990845,173.16984766602715,170.8719137501987,167.88441823448846,159.48738262364213,147.5969585248147,143.80619566560347,141.03761619452126,160.06843101812987,143.21293073548756,162.86796425432163,178.7023223611504
26,1988-11-08 14:07:39+00:00,243.37888612197276,181.1474839740365,177.41833266915154,173.61999331272816,178.49176080484264,178.46348631925073,172.14830534047096,163.8306528028119,150.4957521777573,149.4062497067536,145.0243057147057,165.58468679628484,162.06284537217667,189.28082061247378,201.56069712050444
27,1988-11-15 14:13:49+00:00,239.84010159557215,182.69009460919395,179.13251298541314,171.72114612334312,173.5401321278924,177.53167838779586,175.95487681725947,165.00359319967708,154.2913513331973,144.88890925167792,145.79074817808987,158.43604123897074,151.0939992934905,188.97912231981704,205.12384837060438
28,1988-11-24 14:07:39+00:00,242.70913305190987,185.56229505570707,178.19095996137477,174.0625782369692,179.3981805697189,180.9931209857861,181.06214864390566,172.5531411289044,154.43984484552135,151.99433792234282,153.25572529172118,168.9075299859736,155.42340639442645,178.28314679203186,198.88899695165122
29,1988-12-01 14:13:48+00:00,230.29433078294412,176.49447478329168,167.35300649340945,166.2335274684623,172.23081154249408,170.15137261289033,167.64007940131302,162.9106780274847,148.61394649746853,147.81719648553343,148.65677808409112,159.51808400520272,146.7452851771712,183.93530646051192,205.17009109142086
30,1988-12-26 14:07:23+00:00,229.5357081087351,178.04080185792512,167.53396098574962,160.81431177463088,164.4882250361456,172.08069489012286,170.58238974167585,165.7595541455543,151.21399694364166,144.1861817548371,137.45803032690543,156.55694186983598,,,
31,1989-01-27 14:07:02+00:00,241.43573542113816,182.3051181220788,177.22222384374086,171.07953838147162,175.81488266227217,174.441201226247,175.01168989358754,169.21546491297073,153.37337211461244,150.63978187118585,143.6637416222783,162.20727778448577,142.88148892831862,200.14408362624354,212.31644110409582
32,1989-03-07 14:12:50+00:00,228.4793056298471,180.35910873685776,177.87952033707708,170.73997091779077,177.1217402727383,177.99778964891595,174.87653910325898,172.13176140440237,158.9244316700891,158.24594341118245,151.12003831350935,168.20622443372048,152.4654637463501,,
33,1989-03-23 14:12:09+00:00,228.69667266690126,183.10943879346792,178.59340823069834,175.61694358576312,180.6874775907904,179.50524523552826,176.8030333534655,171.82078251722365,156.3434945723593,157.21092573298898,148.72116692862073,164.55486527162384,148.8140127168367,135.40424280070502,218.78964666155485
34,1989-04-24 14:12:06+00:00,231.41175859785142,184.10100147641108,183.6863750862125,171.89365468184303,181.92658645019196,187.28781496997885,175.85519875632835,175.56847878627866,156.28471927752017,154.39707753217246,146.15976663475797,162.88162708342065,150.1807611219473,134.46554919040523,
35,1989-05-03 14:05:50+00:00,248.9099041980357,189.97107932838506,185.6720896125239,170.20229547424353,179.1984856489572,182.68247393116042,183.18080133661937,172.83272379959948,164.05272159765687,155.24330762783504,143.10974075351882,163.6052694139361,155.66231363184355,139.74397195787742,
36,1989-09-15 14:09:03+00:00,232.48921802693297,201.59227029019647,190.8218750549386,186.74469600987211,192.9437280790494,193.99295701613713,192.99165192481152,181.54672943991037,164.83498857410876,161.9631335739949,161.62693042188025,169.2474938515652,162.0344417702396,,191.813902129548
37,1989-09-24 14:02:47+00:00,240.34065449308727,182.16247979646417,179.7856813502874,167.42506604630046,179.88675059257272,176.2663702962603,176.10590772646617,164.76111660349056,146.9965203930703,144.5896096162986,140.13182848649512,161.00575908684405,158.5237692177151,191.27845872883665,192.68314536783498
38,1989-11-27 14:01:00+00:00,232.28101511458985,187.91134599839467,179.84269303998957,175.76149244955238,177.1289902000031,174.22171021940002,172.76215008351454,166.86812322362348,159.64460968826077,151.77685448812795,149.10630743597426,170.18230606398112,151.82012965970995,186.7794045772579,210.1430716184341
39,1989-12-04 14:07:01+00:00,225.1837265282138,173.3811932737169,166.4063711711068,166.2682280384948,165.4065648855555,166.3091891143303,167.52957683866072,160.40033780740717,148.71548907947994,146.18192082700557,141.7022873954532,157.85820534548876,,184.2382883379491,215.51148395476955
40,1989-12-13 14:00:35+00:00,227.1308460163859,181.01619396426204,170.60721356565807,168.01621603816085,161.37783842754138,171.86766686937642,173.33379997986,169.3040940554678,152.3122453638649,147.14734023749955,141.14085635776505,155.8473194030695,146.46847912783227,163.90609205162392,197.7323541699327
41,1990-01-14 13:59:33+00:00,,,,,,,,,,,,153.8950124967497,132.0400745427001,123.40497127120695,197.98098175561637
42,1990-01-21 14:05:33+00:00,206.4574816199625,183.2664682595816,172.84607767360697,172.86418136409299,170.62751439718085,173.60526371036914,173.29519825587005,169.76967508177876,154.4756415679526,146.91513543061933,145.19943307799147,159.6434791564066,133.87507312308728,129.30628453401775,208.57585489350703
43,1990-02-06 14:05:01+00:00,229.804087816561,181.00702261390276,173.33955882844828,168.20477170003096,170.79062203196173,169.46618961509262,169.71133102167613,160.2632717064871,144.02080057878644,144.33730542761018,131.2509206554014,157.50225429873743,137.87313593593495,122.2975791147236,194.93147940336056
44,1990-02-15 13:58:32+00:00,226.2658358445861,173.66615223864576,167.44240500626793,164.34294806907016,158.45787598913194,162.41854862474207,162.3969086249338,156.21814864107722,149.09810190617,143.20605826784134,141.91371336288407,149.89355654765805,144.9096545414202,133.25929218282317,212.0252701111421
45,1990-03-10 14:03:56+00:00,228.03081958072704,179.80029285103876,172.82408724999584,169.31243180974062,176.5501533594188,175.80601452713242,176.56806450807525,166.70410332742352,155.78941774888824,154.75949012912886,141.82913471332134,167.2506229524393,144.44365132588104,133.19298080557652,130.56831504137483
46,1990-04-04 13:57:05+00:00,240.1212034688775,188.17118703714837,180.34206453042324,179.48051442112376,181.3009964255485,184.29403495072188,177.79717844768183,170.2480524808264,154.8469099789398,150.77596405418717,143.91488317749986,161.42409280645012,145.19655523390236,118.73896260024448,131.1732342509891
47,1990-04-20 13:57:18+00:00,,181.28926399444626,180.96552047784502,178.39742646229547,183.3566903779478,185.17504893050344,178.78397208319564,174.24522808969616,160.96898987950868,161.54736641125183,140.01539753806864,168.58054414248454,,,
48,1990-04-27 14:03:24+00:00,245.81774505441598,200.9014575257127,186.2327401574903,190.12861111115183,194.20225254167286,198.23958701224527,185.0770997169154,182.9200286768334,166.22468566183267,170.5959851981182,155.68343813093432,173.6967330234241,170.44911457183883,150.6891592089168,144.5409681817398
