,dates,usa_CA_0055-0000,usa_CA_0055-0001,usa_CA_0055-0002,usa_CA_0055-0003,usa_CA_0055-0004,usa_CA_0055-0005,usa_CA_0055-0006,usa_CA_0055-0007,usa_CA_0055-0008,usa_CA_0055-0009,usa_CA_0055-0010,usa_CA_0055-0011,usa_CA_0055-0012,usa_CA_0055-0013,usa_CA_0055-0014,usa_CA_0055-0015,usa_CA_0055-0016,usa_CA_0055-0017,usa_CA_0055-0018,usa_CA_0055-0019,usa_CA_0055-0020,usa_CA_0055-0021,usa_CA_0055-0022,usa_CA_0055-0023,usa_CA_0055-0024,usa_CA_0055-0025,usa_CA_0055-0026,usa_CA_0055-0027,usa_CA_0055-0028,usa_CA_0055-0029,usa_CA_0055-0030,usa_CA_0055-0031,usa_CA_0055-0032,usa_CA_0055-0033,usa_CA_0055-0034,usa_CA_0055-0035,usa_CA_0055-0036,usa_CA_0055-0037,usa_CA_0055-0038,usa_CA_0055-0039,usa_CA_0055-0040,usa_CA_0055-0041,usa_CA_0055-0042,usa_CA_0055-0043,usa_CA_0055-0044,usa_CA_0055-0045,usa_CA_0055-0046,usa_CA_0055-0047,usa_CA_0055-0048,usa_CA_0055-0049,usa_CA_0055-0050,usa_CA_0055-0051,usa_CA_0055-0052,usa_CA_0055-0053,usa_CA_0055-0054,usa_CA_0055-0055,usa_CA_0055-0056,usa_CA_0055-0057,usa_CA_0055-0058,usa_CA_0055-0059,usa_CA_0055-0060,usa_CA_0055-0061,usa_CA_0055-0062,usa_CA_0055-0063,usa_CA_0055-0064,usa_CA_0055-0065,usa_CA_0055-0066,usa_CA_0055-0067,usa_CA_0055-0068,usa_CA_0055-0069,usa_CA_0055-0070,usa_CA_0055-0071
0,1984-06-30 17:56:50+00:00,,,,,,,,,,,152.4943433636163,162.43624146752597,167.73573059422137,,,,,,,,,,177.14167832126697,184.87889453179488,191.200324997454,180.7297914453218,179.0133110047767,192.89427367825732,194.5520810390146,196.89528900062479,197.85110406446847,193.78890638286944,195.00558221527336,189.03355645677033,191.4081853551917,193.11770864030842,192.50056356436036,194.35807155220655,195.42962279527768,197.51897661261924,197.84973309286028,197.1618894750497,194.27669355241727,187.494953678914,192.43111335614643,197.16602823699907,191.24895155998226,198.57515899584507,192.9682424225196,193.79317298636295,188.15416661136032,185.9684359723271,180.73800158985352,178.4949774235066,180.47603230520593,182.69819930663866,182.94274481838758,182.5223571563933,182.60482306084054,191.55628077802277,193.55287901995464,188.64673769479327,187.61599605205546,187.54023654371892,188.03563276584967,169.93613248776316,166.03492065456095,,,,,
1,1984-07-16 17:57:29+00:00,160.35236030885528,158.68216691697543,160.06118643506233,167.22924789877885,161.4803497317535,162.17518400197787,166.26082852940556,172.47926346795202,174.4238112833638,175.5989321553945,178.85510110760444,179.32284978394568,192.67461638106386,191.3248831857848,185.66983515015505,183.5338595129753,186.99368930360788,191.9501322625667,193.40339787552927,195.48551877013045,191.58098525736315,188.37845569551328,192.58225428705708,202.52098114364713,199.62083521564014,201.72576060051347,203.07182329201584,205.49699701269523,209.36099804117876,202.32041357029595,206.41791217997007,207.38091662188205,208.67104954776428,201.31312657657554,200.97661677358894,204.54279912136002,206.40109672959042,204.8595575891441,203.93986765927522,208.16245869467366,209.6745637386116,208.8682552250168,206.94956560367976,205.86692428850495,211.40341325685142,207.7065790809873,209.04279913991073,213.58386417732305,212.65905890305515,208.74045808000636,203.9086465952575,204.52853145863241,200.1254728275864,192.78851250614207,193.78649093600225,198.7917369651206,197.32368454012374,198.58906827874137,209.6761567155432,206.03754722872475,208.3858140674521,204.73942258307017,206.8251422015775,208.1251441510878,203.62304110702388,199.5788254817902,195.6985346241682,,196.20442524055514,188.6643209365401,181.80786154601807,
2,1984-11-21 17:58:12+00:00,148.83452193659238,125.33081764888954,143.7179508279671,148.74908569440495,149.14663313928617,154.07917323295993,154.4191977210101,147.91048070302102,157.12968150120275,155.86244647606074,159.59861754514958,158.30479312088636,157.91346929201995,158.36048590497882,163.29777047321178,160.3150744749273,161.25071680384758,163.60535720149514,169.55481770928702,170.82209176628288,174.7312030343454,174.70772253252989,174.4103881613193,173.21058868686296,176.65244005722923,177.94769184167774,181.62482925647242,181.4210874762773,185.1911839198166,187.68511591544728,184.60010903434744,184.41876374104953,185.8785384276634,182.86457967106384,181.7425104790425,176.0507162879466,178.6724319673948,180.60037798981364,185.4340619523146,189.504777131813,184.33060114364093,186.27743555139068,185.84224437943482,187.30902848147636,188.08852342093257,187.85369339103747,189.3330614417215,187.91767742010643,186.43331000338787,188.5465687827671,185.8484030922154,174.93620627953416,171.88102362586255,161.51914864203957,168.2397704381442,174.19807445548994,186.1977869840427,184.65242328876093,182.61935781422193,179.68159285132361,178.67741215846405,177.73924049722376,170.352558132208,176.76067029328698,174.81312587659335,160.643010768685,156.62878465605797,,168.26581943648085,,,
3,1984-12-07 17:58:44+00:00,,,,,,,,,158.11890071456457,152.89531851500163,159.0939647731263,157.29793650057266,155.9931473318056,162.77579183720704,166.36276840503203,168.03488912956126,167.1619268363451,173.27958075571104,178.86884866123899,177.75632560488782,179.75163373538925,178.15161627642135,175.94471596171638,181.99368729030633,180.74066765997065,183.34323378985903,181.33621969457664,185.29272256200125,185.32506592953655,190.91903730703385,191.643407332079,189.88519257515003,186.3260562899768,183.22849325560483,178.5555790279363,182.18891537287234,180.04951410825075,185.40721978590176,194.1437683308489,192.3121811428631,183.85006949272434,190.73592729988889,,,,,,,,,,,172.7373842469426,,,,,,,,,,,,,,,,,,,
4,1985-01-08 17:58:37+00:00,,,,,,,,,,,,147.53613455387375,151.96451366492425,146.70768087856777,143.69828954897542,147.73696513378445,147.91841312339488,147.79510606843834,155.11017215437755,157.99977096815684,162.10830107999965,161.87702431601275,165.51070339617416,161.44644362232563,164.08211887098344,168.88853870451737,173.67910334715833,176.67913775850593,179.73920617012126,173.74057317507354,170.94766342803325,177.8749747785024,180.67865089877273,178.4577253873378,172.8308327679551,177.0703623687814,170.44956345743407,170.9993583150639,177.2149900601221,178.44347653214408,178.09643451647008,177.53421116403268,177.7912623854766,180.6054164655522,177.4060218579588,175.62574922325766,175.21618293831952,179.01069311379553,173.15075624244025,170.8982112165736,172.17188225239042,169.8776946953005,157.4531590126212,160.98304383789434,162.83794276399448,166.18663606603218,161.90082042764664,162.6457690303274,164.50717420943334,161.05252246793867,166.12298902604516,171.61326439481746,167.49599702025694,172.18563254432354,167.7448927504963,151.5735948402284,,,154.4969911259512,152.76165796802027,,148.33681448667653
5,1985-03-29 17:58:42+00:00,159.07709575117082,156.8830149734879,163.41020206342102,174.3545304330842,169.19788804625412,178.05231821900475,182.37419885658716,176.41748523674804,180.66051896129477,184.14072239113074,183.35886214617295,186.00030495968474,186.44973026469796,180.95432871799414,180.11743209652883,174.30196217003598,180.2798080531393,188.31586641449348,194.78368505919602,197.40969286218422,192.95879821992298,194.42778805985324,198.6041927752696,194.21700746486553,200.75229229089598,206.17011476249593,209.51500612479668,208.03620299868632,213.05343676151634,207.43425712577852,209.3252612004884,210.42335247261389,212.21054878348286,210.92397207542,206.3638073813002,206.27468580019723,205.72191731893332,209.5940763920368,211.73045774797401,213.61237966721092,215.6718088424701,210.57221111589365,214.04523556485168,210.08908704434367,211.88689896576676,211.68344514439485,212.43079577095668,209.48602946312798,206.4712385460277,207.03552892255067,208.08610881831504,204.1494713254254,200.39340419629414,193.93898169541998,195.37962238631175,204.49977883047742,207.62583641942237,210.16269262073203,206.65860975144037,213.45880824224565,210.88749436377174,205.98374405579284,206.98277398250193,206.35821130147002,202.29175809338588,195.63564883630767,189.88237740911748,187.56896379834615,188.2248833782224,191.61553875868128,174.14671487463042,186.51286795853852
6,1985-06-17 17:58:24+00:00,160.13241355710704,161.21204125323385,163.87900728021006,167.83853348283975,169.3707243328579,167.37140040489743,170.2923976599077,178.06858802147826,175.19286145292443,181.40576084116933,183.5564306786202,184.1075765938483,187.2217781839703,186.1576956980539,183.62155386177795,181.84867771699692,183.31737142965397,188.92137732446463,193.99895471499877,190.85582796624226,189.34826596123682,189.92898809990615,191.55793461648778,196.16487382207447,191.30075122768636,198.25890782116457,203.18272944232547,203.5320965365333,202.33959310954293,201.3535750553026,196.65520566697597,198.13942441187353,201.4000269111669,199.3116413231872,198.44875358448041,192.40825256107232,200.19635899935645,201.74213824366376,206.9249248792211,207.83958158362606,204.3769794628571,205.2102909043942,199.25958449981454,200.97254875945418,209.67300816541734,211.10145256029608,211.8519286992041,210.30469930510975,209.71738719636153,210.00904369164428,208.4295631503664,203.74453458106416,198.199760258342,193.90547315091254,192.91158599618754,198.31035161305715,205.59366214104935,204.28172970135626,202.33729588126442,204.4301748846704,205.35960803987297,203.05919463188616,200.09723084178563,197.6073573564305,197.1058438136901,181.92281499971983,186.59639526988468,,186.76121745745365,184.458530738277,178.66567540560192,183.16023538229922
7,1985-08-20 17:58:19+00:00,157.0865661448423,162.02161626416228,166.44363834246445,167.1731084746928,168.0195733262409,168.96577409963976,172.20705194888268,173.89969306031173,174.35996373366385,177.91682140750714,179.07667583536528,181.72028257495293,191.16967429624037,186.595203184093,184.3954843344552,185.22228104159723,185.99984524500005,186.11575706436633,194.48817444367495,191.4881787210149,189.92844429565653,184.9306972066171,191.72917705950977,193.73051632200452,193.62901826008175,202.19986019665447,203.16245777795032,206.475501051324,207.17014514549825,203.9351307658066,203.19056422250418,203.7160879383806,203.94602579731577,201.38765673875457,205.36486914067848,203.25417231071836,203.73528876422148,206.18219120142822,207.09688368895888,210.733064529798,210.9276993837248,208.4605042687494,206.15079178517846,211.38859433827028,211.0556252533571,212.1136781851804,212.55553503235186,216.54619303710322,213.3069659122148,210.1682149878667,208.9177436964016,204.82153775272775,199.4954920000181,191.91885375787973,192.45116845977768,199.39681348923554,197.4297613207998,197.413635389599,202.4624357829079,207.6717752461832,206.12126900593842,199.90370801549182,200.9706701162451,203.75747842618574,199.6968405079391,193.27037601627552,191.77484090607473,192.27113674140006,195.94823623644672,196.27708615940594,195.33887987217585,197.5601927105976
8,1985-09-21 17:57:55+00:00,165.3113583422699,159.8852044970269,170.5879303560548,169.55685406157477,170.44792486983113,171.8348226717361,172.5809855400534,173.3319345326995,176.45367220964943,182.8481885282859,186.53867598804476,185.86660077400106,190.0151410341162,191.70926146872068,188.5706859582062,187.88226538546488,185.79750701542565,188.20523440159366,194.19958614363765,196.59409771217247,194.64997748076217,195.97758512135056,193.412745773065,194.27428215034826,195.1764259616337,202.332617478306,207.92086086680553,209.52745639825912,211.28492451316916,212.06653820411555,207.66996487299724,207.90985007665918,209.2641666558792,206.76460389539577,205.06168070044407,201.5538818160786,204.3535109102829,206.22707318008943,205.4985616104186,208.59291174576288,206.1257486162427,208.99560549111226,207.42832089994798,211.42070728886222,217.51821617319297,215.9036941155871,214.87477481565577,216.51670690070102,214.74602349641435,215.37559217525677,207.60076807660033,201.76093767629987,194.489112202091,188.36071970274003,193.10432008429328,199.13629497258427,201.80499906357343,205.3403954330075,202.5542851720274,206.46485011379147,205.19283116501555,203.28013672481768,205.58418876309588,205.37334383905943,204.6800578627761,196.26144594989802,198.84252131339505,203.96648656570548,209.01102654573057,202.418121820857,200.68668250947027,203.5863557876242
9,1985-12-10 17:56:22+00:00,,,,151.5640739771416,151.8092418879171,153.3939241498367,158.39724401375807,163.07024472877023,165.8695507081801,164.24748382783213,165.3293769294645,164.15200821953036,166.94994504474977,168.8056022497912,166.9598348236688,162.8026761726633,170.93789774148172,169.94887230512802,179.2220637243476,179.86566020472264,174.48937115724257,177.17476282338572,177.0359625862426,176.53753536812306,182.4836719078301,185.4094442232344,185.81940071967142,185.9829333095896,187.687785534434,190.042420269364,187.079488871006,188.73824370995902,187.5588173496551,187.43362110622266,184.27852559479072,185.90520857988494,187.37878825314687,185.60333501143668,188.08092837909996,189.05765364053292,190.20638445223653,192.781203625018,196.71099493921994,192.02657810059486,195.79327253035854,198.28453067922558,192.634584147207,198.3418701551563,198.2635417694184,195.57140819854789,191.77299898545064,185.55608653678408,178.87547384078462,174.33184447415215,172.76378227598548,179.36031849846827,172.71642366261705,177.59555286219313,,,,,,,,,,,,,,
