dates,nzd0354-0000,nzd0354-0001,nzd0354-0002,nzd0354-0003,nzd0354-0004,nzd0354-0005,nzd0354-0006,nzd0354-0007,nzd0354-0008,nzd0354-0009,nzd0354-0010,nzd0354-0011,nzd0354-0012,nzd0354-0013,nzd0354-0014,nzd0354-0015,nzd0354-0016,nzd0354-0017,nzd0354-0018,nzd0354-0019,nzd0354-0020,nzd0354-0021,nzd0354-0022,nzd0354-0023,nzd0354-0024,nzd0354-0025,nzd0354-0026,nzd0354-0027,nzd0354-0028,nzd0354-0029,nzd0354-0030,nzd0354-0031,nzd0354-0032,nzd0354-0033,nzd0354-0034,nzd0354-0035,nzd0354-0036,nzd0354-0037,nzd0354-0038,nzd0354-0039,nzd0354-0040,nzd0354-0041,nzd0354-0042,nzd0354-0043,nzd0354-0044,nzd0354-0045,nzd0354-0046,nzd0354-0047,nzd0354-0048,nzd0354-0049,nzd0354-0050,nzd0354-0051,nzd0354-0052,nzd0354-0053,nzd0354-0054,nzd0354-0055,nzd0354-0056,nzd0354-0057,nzd0354-0058,nzd0354-0059,nzd0354-0060,nzd0354-0061,nzd0354-0062,nzd0354-0063,nzd0354-0064,nzd0354-0065,nzd0354-0066,nzd0354-0067,nzd0354-0068,nzd0354-0069,nzd0354-0070,nzd0354-0071,nzd0354-0072,nzd0354-0073,satname
1999-07-02 21:59:57+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L7
1999-09-04 22:00:09+00:00,,,,,,,,,,,,,,324.87,323.16,338.94,333.96,328.91,,,,,,,,,,,,362.98,,,,,,,,,,,,,,,340.60,345.51,345.18,329.40,,,318.85,330.00,,,,,,,,,,,,342.85,340.41,342.86,,,,,,,,,L7
1999-09-20 22:00:08+00:00,302.66,305.33,297.83,300.38,297.70,305.49,306.52,308.52,310.65,311.34,319.32,317.55,315.84,321.85,320.65,329.14,327.96,325.96,327.28,328.22,331.80,329.74,333.27,336.74,332.62,334.93,334.87,334.88,329.47,348.02,333.15,338.92,339.69,343.31,348.19,348.84,350.11,348.18,346.27,344.45,341.34,343.32,340.00,338.43,340.37,343.39,343.68,338.32,351.06,348.75,334.74,340.86,353.38,355.46,354.78,354.19,353.69,351.40,348.43,345.10,350.53,345.77,344.46,341.08,339.95,341.72,339.65,336.14,328.11,327.16,323.58,319.09,320.71,335.84,L7
1999-10-22 22:00:04+00:00,314.36,315.35,309.51,311.90,312.57,316.18,314.91,318.14,319.13,319.85,326.00,327.94,325.75,327.60,327.69,333.84,332.69,331.23,335.11,335.62,336.24,336.90,338.51,340.75,338.38,340.37,342.01,339.39,337.84,347.29,339.12,342.67,343.37,349.76,352.08,351.88,351.89,348.36,347.23,346.51,344.94,345.85,340.92,340.77,341.95,344.69,345.08,343.17,352.60,351.19,341.16,345.81,356.09,358.37,357.58,357.69,356.83,354.27,350.10,346.83,349.62,343.92,345.05,340.98,342.37,342.81,342.19,338.82,331.90,328.55,327.85,322.98,326.38,339.19,L7
1999-12-09 22:00:09+00:00,317.47,315.96,312.01,311.54,311.50,315.58,315.39,317.94,317.82,321.23,325.27,324.95,325.46,326.69,327.78,331.39,332.03,331.28,334.50,334.81,334.93,336.20,337.61,338.94,337.17,339.58,341.43,339.77,337.79,346.12,341.06,343.22,344.58,349.54,352.48,350.90,351.22,348.60,347.35,347.29,346.29,346.37,342.30,341.50,342.40,345.85,346.02,345.32,352.14,350.85,343.21,347.25,356.50,356.73,356.41,357.83,357.23,354.02,350.88,347.18,349.17,343.73,344.03,341.57,342.09,343.51,342.53,340.00,332.08,329.73,327.83,323.90,329.07,344.28,L7
1999-12-25 22:00:04+00:00,318.50,315.63,312.12,311.19,310.46,314.37,314.50,315.94,317.48,322.36,324.27,324.53,325.22,326.13,326.83,330.09,331.37,330.61,332.53,333.53,334.27,335.76,336.93,337.60,336.93,339.67,341.58,340.06,337.58,345.21,341.65,342.50,344.44,349.81,352.84,350.32,350.71,349.98,347.92,347.83,347.15,347.43,343.13,342.89,343.20,346.10,346.72,346.17,352.76,351.59,346.44,350.14,357.20,357.77,357.53,358.75,358.31,353.54,351.58,348.31,348.77,344.63,343.19,343.14,343.37,344.15,344.40,341.39,333.20,331.57,327.56,324.80,331.63,342.69,L7
2000-02-11 21:59:57+00:00,320.07,316.80,314.39,312.67,312.63,315.32,315.78,316.45,318.16,323.32,325.00,325.33,326.54,327.35,328.26,330.38,332.27,331.26,333.11,333.93,334.66,336.37,336.97,338.93,338.50,340.60,342.79,340.84,339.28,342.14,342.87,343.54,345.93,350.53,353.73,351.57,352.43,350.95,348.95,348.55,348.04,348.28,344.36,343.79,344.34,347.26,347.70,347.13,353.56,352.38,348.64,352.06,357.91,358.00,359.03,359.64,358.87,354.41,352.49,348.89,349.67,345.25,344.29,343.70,343.91,344.81,344.68,342.12,333.65,332.53,328.94,327.05,333.28,343.10,L7
2000-02-27 21:59:52+00:00,320.47,317.30,315.58,314.84,314.94,317.19,317.81,318.31,319.85,323.48,325.28,325.57,327.31,327.48,328.83,330.58,333.37,331.89,334.28,334.71,334.59,336.10,337.01,339.41,338.66,340.90,342.85,340.66,339.81,342.32,342.82,344.07,346.46,351.02,353.91,352.31,352.73,351.18,349.13,348.44,347.69,348.78,344.89,344.42,345.45,347.96,348.54,347.84,353.96,352.83,349.24,353.05,357.47,357.72,359.48,360.14,359.80,355.76,353.68,350.36,350.38,346.40,345.31,344.09,343.79,344.84,344.24,342.22,334.27,332.96,330.26,328.54,334.04,345.08,L7
2000-03-30 21:59:45+00:00,323.44,320.11,318.91,317.62,317.56,317.39,318.77,319.52,321.19,324.49,325.18,326.25,328.07,328.77,330.76,330.26,334.23,333.56,334.76,334.64,334.63,335.81,336.50,339.05,339.09,341.29,343.64,340.81,340.83,342.90,344.14,344.94,347.64,352.37,354.65,352.77,352.94,351.24,349.55,348.59,347.91,348.74,344.91,344.94,346.85,349.28,349.70,351.51,354.15,353.20,354.28,357.10,357.34,357.21,359.44,360.25,360.31,356.16,353.81,351.88,349.92,346.23,344.79,344.27,344.43,345.23,343.57,342.14,334.49,332.73,330.81,329.53,335.85,346.20,L7
2000-04-15 21:59:31+00:00,323.24,319.47,318.20,316.92,317.10,316.76,317.86,318.58,319.85,323.18,323.92,325.50,326.65,328.27,329.92,329.21,333.19,332.87,334.50,334.62,334.67,335.77,336.50,338.81,338.79,340.52,342.63,340.45,340.37,342.31,343.78,345.02,347.51,352.19,354.49,352.64,352.56,350.41,348.74,347.79,347.26,347.91,344.48,345.31,346.89,349.17,349.64,350.93,353.59,352.42,353.16,356.30,356.27,356.82,358.64,359.56,359.93,356.25,353.44,351.63,349.40,345.60,344.21,343.21,343.18,344.46,342.35,341.11,334.41,332.35,331.16,330.07,335.73,347.12,L7
