dates,satname,nzd0354-0000,nzd0354-0001,nzd0354-0002,nzd0354-0003,nzd0354-0004,nzd0354-0005,nzd0354-0006,nzd0354-0007,nzd0354-0008,nzd0354-0009,nzd0354-0010,nzd0354-0011,nzd0354-0012,nzd0354-0013,nzd0354-0014,nzd0354-0015,nzd0354-0016,nzd0354-0017,nzd0354-0018,nzd0354-0019,nzd0354-0020,nzd0354-0021,nzd0354-0022,nzd0354-0023,nzd0354-0024,nzd0354-0025,nzd0354-0026,nzd0354-0027,nzd0354-0028,nzd0354-0029,nzd0354-0030,nzd0354-0031,nzd0354-0032,nzd0354-0033,nzd0354-0034,nzd0354-0035,nzd0354-0036,nzd0354-0037,nzd0354-0038,nzd0354-0039,nzd0354-0040,nzd0354-0041,nzd0354-0042,nzd0354-0043,nzd0354-0044,nzd0354-0045,nzd0354-0046,nzd0354-0047,nzd0354-0048,nzd0354-0049,nzd0354-0050,nzd0354-0051,nzd0354-0052,nzd0354-0053,nzd0354-0054,nzd0354-0055,nzd0354-0056,nzd0354-0057,nzd0354-0058,nzd0354-0059,nzd0354-0060,nzd0354-0061,nzd0354-0062,nzd0354-0063,nzd0354-0064,nzd0354-0065,nzd0354-0066,nzd0354-0067,nzd0354-0068,nzd0354-0069,nzd0354-0070,nzd0354-0071,nzd0354-0072,nzd0354-0073
1999-07-02 21:59:57+00:00,L7,,228.48,185.73,133.98,,,,,,,,581.77,,,,,578.47,590.32,,,,,,511.70,474.13,461.46,,566.57,,358.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,627.02,,507.08,,567.59,,,,,,,,,,,
1999-09-04 22:00:09+00:00,L7,,,,,,,,,,,,,,325.56,323.98,339.80,334.65,329.60,,,109.20,145.73,125.94,148.71,135.98,,,,,,,,,,,,,,,,,,,,341.55,346.37,346.08,330.46,308.34,305.54,319.91,331.00,,238.90,,,111.53,,,,,,,343.91,341.70,343.86,,457.24,464.77,,,,,
1999-09-20 22:00:08+00:00,L7,304.98,306.46,299.93,301.76,299.17,307.32,309.11,310.28,312.65,314.27,321.42,319.24,317.94,320.51,320.14,321.45,323.65,324.70,329.04,330.32,333.80,331.84,335.37,338.57,334.53,337.13,336.97,336.51,331.47,335.17,334.98,340.55,341.38,345.41,350.39,350.84,352.21,350.28,348.37,346.65,343.66,345.52,342.10,340.53,342.46,343.37,344.37,349.84,353.38,350.66,353.22,354.15,355.38,357.66,357.22,356.10,355.89,353.72,350.34,347.85,352.85,348.52,347.21,341.89,342.62,343.02,342.58,338.73,330.55,329.75,326.02,321.53,323.46,337.84
1999-10-22 22:00:04+00:00,L7,330.69,327.63,325.38,326.17,330.37,330.54,328.49,331.29,331.61,334.22,336.86,341.72,339.85,342.48,345.78,347.42,345.52,345.16,346.45,347.22,344.67,348.26,347.95,348.43,347.97,350.20,353.34,347.16,350.21,350.02,348.75,349.68,350.42,360.41,360.37,358.91,357.87,352.72,352.37,352.98,353.17,352.78,346.03,347.31,349.75,351.47,352.29,358.05,358.77,357.45,359.18,360.61,362.80,365.68,365.28,365.02,364.37,361.78,355.59,354.06,353.35,347.57,351.14,345.97,353.52,349.87,350.61,346.68,340.59,335.12,337.01,331.75,337.56,346.55
1999-12-09 22:00:09+00:00,L7,320.00,315.39,313.67,308.63,307.03,311.47,312.22,314.74,312.01,319.33,320.48,316.26,321.56,321.30,324.87,320.73,327.39,328.72,330.50,329.85,329.15,331.46,332.46,332.40,331.71,334.51,336.93,337.93,334.52,339.29,342.02,341.72,344.31,345.76,349.79,345.76,346.54,345.77,344.26,345.34,345.31,343.91,341.73,339.61,340.05,346.02,345.35,347.66,347.54,347.14,345.25,347.70,354.15,349.95,350.17,355.08,354.52,349.83,349.40,343.50,344.57,338.98,337.60,339.21,336.22,341.74,338.54,338.23,328.54,327.97,323.89,321.87,330.08,351.27
1999-12-25 22:00:04+00:00,L7,313.59,310.75,305.22,305.41,302.26,304.39,302.88,303.84,309.57,315.62,314.05,317.45,317.26,318.01,316.09,317.61,322.84,322.08,320.52,322.47,325.38,327.20,327.67,327.26,329.59,332.35,334.80,335.33,330.03,334.29,337.12,334.73,338.18,343.36,346.29,341.67,341.93,346.88,342.41,341.86,341.73,342.99,338.40,339.85,338.40,339.87,341.90,340.63,346.63,347.21,350.39,353.23,352.39,353.31,352.44,354.89,353.94,344.09,347.08,342.20,339.58,337.82,331.17,340.48,337.65,338.28,339.88,336.65,328.14,328.15,318.33,319.03,329.82,331.00
2000-02-11 21:59:57+00:00,L7,320.66,318.68,318.33,315.19,317.71,314.65,314.54,314.17,315.96,319.96,322.75,324.37,326.66,329.32,330.51,326.73,332.65,330.35,331.12,330.38,331.29,333.67,331.96,339.74,340.08,338.92,342.49,339.94,341.17,342.52,343.22,343.67,347.75,348.30,351.91,351.66,354.16,349.68,347.91,346.02,345.91,346.28,344.11,342.22,344.39,347.92,347.24,345.59,351.09,350.81,353.29,355.68,355.84,353.48,359.06,358.50,355.75,352.22,351.45,344.45,347.58,340.96,341.93,340.18,338.92,342.12,338.58,338.65,329.45,330.04,328.43,330.05,333.10,339.85
2000-02-27 21:59:52+00:00,L7,321.85,319.53,320.95,325.32,326.08,326.01,327.25,327.13,327.73,323.46,326.15,326.29,330.57,327.81,331.70,331.18,339.48,335.21,339.65,338.05,333.69,334.20,336.67,341.32,338.96,341.79,342.56,339.33,341.90,342.66,342.08,346.29,348.67,352.90,354.22,355.45,353.68,351.73,349.46,347.31,345.33,350.67,347.01,346.99,351.47,351.59,352.95,351.35,355.29,354.56,352.13,358.33,354.69,355.75,361.02,362.12,363.83,361.90,359.09,356.95,353.33,351.40,349.65,345.69,342.19,344.34,341.27,342.03,336.66,334.36,336.19,335.35,337.11,354.42
2000-03-30 21:59:45+00:00,L7,323.84,323.81,320.87,319.09,315.57,309.35,316.06,318.32,321.60,321.69,321.74,324.12,323.50,326.40,326.99,328.84,330.18,332.51,332.70,330.85,334.99,331.03,333.22,337.21,338.00,340.46,342.66,338.17,338.50,339.58,343.74,346.52,349.19,354.44,355.83,354.55,354.44,351.64,351.84,348.55,346.04,346.29,343.13,344.63,347.02,349.76,348.98,354.60,355.57,353.80,354.23,356.52,355.54,355.59,358.09,357.66,359.92,357.17,351.98,358.23,351.13,348.76,345.37,342.88,344.48,344.46,339.90,339.43,333.04,329.56,330.48,328.59,335.59,345.50
2000-04-15 21:59:31+00:00,L7,327.52,318.30,318.88,315.94,317.80,317.30,318.54,317.11,316.59,322.25,321.34,325.00,323.06,329.24,329.60,327.90,330.95,332.78,337.12,339.40,339.59,340.45,341.47,341.74,341.51,341.10,341.56,342.09,342.34,343.69,345.92,349.37,350.74,356.08,358.72,356.54,355.18,350.38,348.82,348.14,348.81,348.12,346.89,352.48,352.60,353.50,354.44,353.58,355.75,352.22,352.59,357.25,354.56,359.65,359.64,359.92,362.86,362.25,355.75,356.62,351.73,348.35,347.24,343.02,343.12,345.62,341.95,341.06,339.66,336.16,339.00,339.05,341.47,357.35
