dates,satname,nzd0040-0000,nzd0040-0001,nzd0040-0002,nzd0040-0003,nzd0040-0004,nzd0040-0005,nzd0040-0006,nzd0040-0007,nzd0040-0008,nzd0040-0009,nzd0040-0010,nzd0040-0011,nzd0040-0012,nzd0040-0013,nzd0040-0014,nzd0040-0015,nzd0040-0016,nzd0040-0017,nzd0040-0018,nzd0040-0019
1999-07-25 22:04:15+00:00,L7,,383.99,391.47,365.99,365.83,389.67,393.82,381.90,355.29,347.63,349.14,352.90,346.02,350.39,348.00,349.37,356.61,360.87,366.18,363.71
1999-08-17 22:10:26+00:00,L7,364.13,,,,,,,,,,,,343.76,332.52,334.77,323.95,318.50,322.93,,325.90
1999-08-26 22:04:21+00:00,L7,364.87,363.36,369.63,341.56,341.09,361.78,364.28,346.49,341.37,341.51,340.96,337.90,341.99,346.34,344.84,346.20,342.68,347.58,356.54,347.12
1999-09-27 22:04:25+00:00,L7,352.05,345.12,350.80,322.72,323.92,336.09,345.53,321.00,328.27,322.34,324.80,327.81,331.13,333.17,328.20,326.23,332.74,339.41,346.96,341.09
1999-10-04 22:10:38+00:00,L7,397.91,396.81,396.42,383.38,380.93,401.46,410.40,377.69,356.82,349.44,348.18,350.30,351.51,354.36,353.41,355.79,375.46,379.47,383.27,376.98
1999-10-13 22:04:24+00:00,L7,356.93,351.92,354.36,336.05,333.09,346.10,354.59,334.90,330.66,329.59,328.63,330.25,331.89,338.79,332.81,330.23,338.04,341.90,351.47,344.81
1999-11-14 22:04:18+00:00,L7,360.47,357.91,365.63,341.29,,,,,,,,,,,,,340.62,346.29,,
2000-02-09 22:10:19+00:00,L7,357.20,354.95,376.71,357.16,351.23,350.52,365.25,355.03,342.62,330.63,333.40,335.62,336.84,342.43,339.60,345.49,344.80,348.73,363.25,348.10
2000-04-13 22:09:54+00:00,L7,384.09,385.81,395.17,374.22,368.12,380.18,388.84,381.23,370.73,367.44,364.62,369.11,374.66,377.83,372.80,371.47,375.82,372.36,376.26,360.50
2000-04-29 22:09:53+00:00,L7,,379.92,391.17,373.48,369.78,389.28,392.51,383.44,372.80,368.52,363.73,367.96,372.16,373.72,370.35,370.32,375.83,374.05,371.48,358.79
2000-05-24 22:03:22+00:00,L7,,381.10,391.08,369.74,367.21,374.84,384.86,368.10,357.27,353.22,355.93,359.73,365.24,370.40,366.49,367.49,368.43,366.60,371.13,361.76
2000-08-03 22:08:44+00:00,L7,353.29,347.02,353.16,332.77,330.89,341.96,348.60,308.73,323.22,323.07,326.53,332.99,327.19,327.69,325.96,321.34,334.11,338.51,343.86,345.29
2000-08-12 22:02:30+00:00,L7,379.92,383.23,393.62,375.17,365.94,380.79,389.52,381.35,356.84,350.81,352.88,352.68,351.76,361.70,361.31,357.56,366.13,365.29,371.85,362.38
2000-10-15 22:01:32+00:00,L7,347.92,340.44,345.01,327.15,326.51,335.70,332.92,310.46,310.66,312.35,310.20,309.72,313.95,316.82,318.92,317.00,331.69,333.51,335.04,338.71
2001-01-03 22:01:48+00:00,L7,375.88,387.44,398.28,377.58,375.21,385.57,385.73,375.43,363.82,361.99,359.15,361.31,365.33,370.90,364.66,365.15,371.36,370.33,373.72,
2001-02-11 22:08:01+00:00,L7,344.98,341.89,350.57,327.58,327.95,336.18,339.98,321.03,313.20,313.22,315.67,318.02,319.29,317.57,321.16,314.80,330.09,336.59,342.92,342.61
2001-06-03 22:07:16+00:00,L7,,396.65,401.50,390.93,383.68,405.55,404.17,408.92,388.27,378.71,375.90,373.89,369.25,380.25,379.81,378.20,383.51,380.31,378.87,372.47
2001-06-12 22:01:01+00:00,L7,,381.47,392.40,370.26,368.27,386.66,385.84,374.82,357.32,352.36,354.75,356.47,356.22,363.50,357.53,355.28,359.32,361.24,361.53,348.99
2001-06-19 22:07:05+00:00,L7,,390.98,401.02,387.71,377.39,397.72,402.22,396.76,378.24,372.38,363.14,367.02,365.00,370.92,370.01,374.91,382.05,376.54,377.81,366.43
2001-08-31 22:00:05+00:00,L7,,,,318.97,317.51,348.72,,,,,,,,,,,,,,
2001-09-07 22:06:11+00:00,L7,,,,,316.57,317.61,341.39,316.90,311.60,308.28,313.62,320.20,318.92,325.36,319.71,330.68,343.53,349.20,358.02,345.16
2001-10-02 21:59:40+00:00,L7,359.41,363.91,372.87,348.89,341.89,358.54,362.74,335.95,340.32,329.73,329.23,332.29,332.97,342.80,338.54,342.11,346.03,353.61,361.98,344.74
2001-11-19 21:59:56+00:00,L7,369.51,370.26,382.89,353.79,346.51,358.02,360.63,336.33,332.74,329.07,334.07,332.23,337.07,340.07,336.83,335.72,342.87,348.20,354.36,
2001-12-05 21:59:55+00:00,L7,352.78,357.50,351.96,345.74,329.64,,,,,,,,,,,315.46,327.57,332.06,341.58,337.20
2002-01-22 22:00:16+00:00,L7,381.79,388.36,397.71,381.19,373.42,389.36,393.74,388.54,376.32,370.69,365.75,366.76,366.50,371.76,370.70,366.09,371.67,370.16,372.43,365.16
2002-02-14 22:06:29+00:00,L7,355.20,365.66,366.86,358.74,345.27,360.10,366.42,,322.02,321.31,326.87,328.22,327.42,338.27,331.91,337.98,338.93,343.78,350.72,343.03
