dates,nzd0040-0000,nzd0040-0001,nzd0040-0002,nzd0040-0003,nzd0040-0004,nzd0040-0005,nzd0040-0006,nzd0040-0007,nzd0040-0008,nzd0040-0009,nzd0040-0010,nzd0040-0011,nzd0040-0012,nzd0040-0013,nzd0040-0014,nzd0040-0015,nzd0040-0016,nzd0040-0017,nzd0040-0018,nzd0040-0019,satname
2006-03-13 22:07:41+00:00,368.04,374.06,382.09,365.26,365.15,372.51,378.01,374.57,356.78,349.67,354.92,,,,,,,,370.07,356.79,L7
2006-03-14 22:02:31+00:00,369.63,374.07,381.94,370.68,355.07,371.91,381.42,367.85,358.36,348.59,354.36,354.24,349.39,353.81,352.55,354.55,362.20,364.01,374.84,367.72,L5
2006-04-30 22:07:38+00:00,,,,,,,,,,,,353.22,355.38,356.08,354.09,355.90,362.01,367.97,375.36,369.76,L7
2006-05-09 22:01:28+00:00,,,,,,,,,,,349.87,351.38,352.64,361.04,355.96,356.96,358.77,364.77,368.00,363.92,L7
2006-05-16 22:07:40+00:00,376.74,374.95,399.48,368.38,368.45,376.32,385.90,360.96,368.58,356.52,369.81,366.47,365.06,376.15,368.98,373.66,370.08,374.06,379.32,,L7
2006-05-17 22:03:33+00:00,373.22,384.39,398.97,380.69,370.87,384.22,385.85,365.04,363.05,359.07,367.95,370.34,368.92,377.69,376.25,375.92,375.01,377.79,377.70,367.24,L5
2006-06-10 22:01:26+00:00,,,,,,,,,,,,,,362.75,357.00,358.12,363.98,364.76,371.87,366.59,L7
2006-06-17 22:07:34+00:00,371.67,,,,,,371.50,363.95,354.28,349.00,354.96,349.64,357.57,362.39,361.57,356.25,358.33,361.08,363.20,358.18,L7
2006-06-25 22:10:20+00:00,364.62,360.73,373.24,350.58,347.28,363.56,368.78,350.80,346.90,345.81,352.39,348.93,351.07,358.71,357.40,352.50,356.58,362.84,356.24,343.80,L5
2006-06-26 22:01:20+00:00,375.04,371.69,379.43,,350.39,366.01,373.19,352.18,353.69,351.51,353.71,348.92,352.95,358.39,357.15,352.41,359.40,363.03,373.29,354.37,L7
2006-07-03 22:07:28+00:00,384.13,372.22,,375.86,347.47,363.52,364.68,353.80,342.33,347.98,345.42,350.62,349.53,354.62,354.46,350.53,354.17,357.20,365.90,,L7
2006-07-04 22:04:17+00:00,378.54,375.65,382.17,356.78,353.85,365.41,368.89,351.12,334.35,333.79,336.64,346.69,339.20,337.38,342.13,335.94,334.93,341.51,,,L5
2006-07-27 22:10:47+00:00,378.99,375.14,391.77,364.93,364.01,379.80,384.54,366.83,370.82,357.21,356.04,352.19,357.73,361.42,363.78,360.34,359.34,365.13,379.19,365.52,L5
2006-08-13 22:01:05+00:00,371.18,379.16,378.00,360.57,357.69,370.45,373.20,355.48,350.44,346.27,345.89,352.18,348.47,347.84,350.06,,,,,,L7
2006-08-21 22:04:55+00:00,369.74,368.71,375.84,353.93,352.45,373.26,375.28,365.70,358.05,342.34,343.17,348.62,348.91,356.51,350.96,344.56,351.21,353.13,364.16,354.20,L5
2006-08-28 22:11:11+00:00,373.11,381.40,387.88,363.35,365.20,370.23,372.70,360.56,359.38,348.15,354.99,357.21,354.34,360.03,351.67,356.76,357.03,362.33,373.50,363.44,L5
2006-09-14 22:00:57+00:00,375.55,379.08,385.55,363.99,363.53,383.82,381.35,369.35,362.29,353.22,350.40,355.47,358.99,365.37,360.78,,,,,,L7
2006-10-16 22:00:55+00:00,364.69,,,,,,377.20,358.69,355.05,352.18,347.27,348.11,348.98,355.63,353.93,353.93,356.91,362.89,365.36,357.88,L7
2006-11-24 22:07:37+00:00,,,,,,,,,,,,,,347.04,347.65,351.42,361.37,364.38,378.33,369.45,L7
2006-12-02 22:12:34+00:00,341.46,347.57,365.23,357.43,370.73,379.44,381.36,366.97,383.00,376.29,384.13,339.22,354.36,367.45,371.53,374.34,383.23,391.16,401.82,399.53,L5
2006-12-10 22:07:44+00:00,367.42,367.78,387.31,356.88,363.98,366.28,375.42,369.11,354.51,345.63,350.79,346.95,347.11,354.01,350.41,354.34,359.29,359.42,,,L7
2006-12-11 22:06:28+00:00,329.59,360.12,387.23,381.68,,,415.63,406.98,,,,,,,,,,,,,L5
2007-02-13 22:06:23+00:00,363.45,367.50,383.07,363.89,360.30,370.08,381.46,373.53,359.46,356.04,353.97,356.72,358.44,368.07,362.29,361.18,359.39,361.15,363.93,355.95,L5
2007-04-17 22:08:06+00:00,375.00,374.08,388.81,371.93,372.94,379.29,378.76,362.91,362.51,359.83,362.08,362.69,356.12,366.31,370.15,372.76,370.39,385.32,,,L7
2007-05-03 22:08:02+00:00,378.83,379.80,383.46,373.28,376.51,386.52,382.29,371.05,365.61,362.69,365.65,366.67,366.43,374.28,373.55,377.34,378.90,378.12,383.58,369.91,L7
2007-05-12 22:01:48+00:00,367.81,372.10,383.90,361.46,363.40,370.74,381.07,359.45,361.25,351.92,349.43,348.10,350.97,357.79,352.83,,,,,,L7
2007-05-28 22:01:40+00:00,,,,,,,,,,,,,,371.35,367.60,366.53,371.18,369.38,366.29,366.35,L7
2007-06-13 22:01:40+00:00,,,,,,,,,,,,,,362.55,354.04,354.36,361.83,363.09,363.22,349.00,L7
2007-07-22 22:07:45+00:00,,,,,,,,,,,,,,,354.54,345.01,355.59,359.30,367.81,356.73,L7
2007-08-07 22:07:40+00:00,384.62,381.52,386.46,369.14,367.36,386.81,401.27,389.92,374.50,363.92,350.99,349.34,347.35,348.29,347.63,357.15,367.63,365.85,369.08,376.56,L7
2007-09-24 22:07:22+00:00,363.22,360.29,370.60,346.72,346.20,359.70,366.23,365.78,337.86,340.88,338.51,343.78,336.93,344.34,341.59,339.35,342.98,,,,L7
2007-09-25 22:04:24+00:00,380.55,377.56,387.21,365.70,363.47,378.86,381.38,371.12,354.97,351.80,349.19,346.89,349.13,353.13,348.59,349.01,359.70,365.08,369.99,364.35,L5
2007-10-02 22:10:31+00:00,,,,,,,378.16,351.71,349.66,343.20,352.78,349.34,348.94,355.67,351.23,356.19,359.13,350.95,354.64,348.84,L5
2007-12-22 22:01:44+00:00,368.03,365.01,380.43,360.74,348.60,,,348.51,341.39,339.55,343.65,,,,343.60,341.84,347.20,319.68,,,L7
2008-01-23 22:01:45+00:00,374.18,364.81,365.84,359.19,350.29,362.40,361.36,337.55,340.40,336.97,332.91,332.38,341.26,341.88,345.26,,,,,,L7
2008-02-24 22:01:38+00:00,373.98,367.60,367.00,360.41,359.02,376.89,366.17,343.09,347.79,341.83,343.70,343.89,346.31,356.05,351.31,354.04,,,,,L7
2008-03-11 22:01:32+00:00,,,,,,,,,,,,,,,356.09,356.58,367.39,367.67,377.71,374.45,L7
2008-04-28 22:01:29+00:00,,,,,,,,,,,,,352.46,350.95,352.02,350.69,356.18,358.28,,,L7
2008-06-06 22:07:24+00:00,377.36,377.22,376.75,360.55,357.00,368.42,,,,,,,,,,,,,373.86,373.79,L7
2008-08-09 22:06:47+00:00,377.88,369.30,375.90,348.96,350.35,361.29,369.91,359.52,344.22,339.79,341.19,337.39,344.41,349.72,345.71,341.92,349.33,359.30,,,L7
2008-08-18 22:00:33+00:00,363.29,367.28,353.17,338.39,337.44,354.35,,,,,,,,,,,,,,,L7
2008-08-25 22:06:40+00:00,373.58,361.63,365.14,343.37,340.54,350.91,364.43,336.40,334.05,332.08,334.74,331.28,339.99,344.83,,,,,,353.32,L7
2008-09-26 22:06:23+00:00,,,,,,,,,,,,335.13,334.54,342.97,340.70,336.06,341.95,350.64,362.14,375.02,L7
2008-10-21 22:00:12+00:00,,367.18,371.84,352.35,346.39,358.11,356.79,,,,,,,,,,,353.53,360.91,364.63,L7
2008-11-13 22:06:43+00:00,,,,,,,,,,346.62,344.38,345.77,348.76,353.71,356.01,354.03,361.52,366.70,376.10,371.92,L7
2008-11-21 22:01:05+00:00,361.81,358.63,363.97,340.22,339.28,345.27,349.16,323.75,325.46,327.28,330.06,333.78,336.36,326.17,328.42,327.87,331.81,343.44,353.64,354.56,L5
2008-11-29 22:06:55+00:00,371.50,365.80,372.27,354.92,351.55,365.02,365.21,359.82,377.86,,,,,,,,,360.86,370.29,368.35,L7
2008-12-31 22:07:13+00:00,373.02,371.36,378.63,360.80,354.08,363.42,372.04,369.37,362.65,342.11,343.32,347.99,345.12,356.52,,,,,,372.21,L7
2009-01-01 21:56:07+00:00,,,,,,,,,,349.56,346.42,355.63,352.15,359.42,355.96,360.51,364.85,368.31,377.28,370.50,L5
2009-01-25 22:01:10+00:00,,,,373.09,361.58,363.61,376.56,374.68,365.46,351.39,355.64,354.49,355.24,372.67,,,,,,,L7
2009-02-02 21:56:58+00:00,,383.19,389.22,373.76,369.64,375.62,388.22,373.47,373.89,368.45,354.02,360.75,363.39,374.00,362.66,,,,,,L5
2009-02-17 22:07:31+00:00,353.49,355.36,,,,355.52,360.76,346.68,338.62,330.50,338.46,335.73,347.45,349.33,336.59,,,,352.54,349.82,L7
