dates,nzd0255-0000,nzd0255-0001,nzd0255-0002,nzd0255-0003,nzd0255-0004,nzd0255-0005,nzd0255-0006,nzd0255-0007,nzd0255-0008,nzd0255-0009,nzd0255-0010,nzd0255-0011,nzd0255-0012,nzd0255-0013,nzd0255-0014,nzd0255-0015,nzd0255-0016,nzd0255-0017,nzd0255-0018,nzd0255-0019,nzd0255-0020,nzd0255-0021,nzd0255-0022,satname
1999-08-05 21:46:59+00:00,251.39,240.04,235.77,256.24,269.22,274.63,288.00,294.54,288.70,294.67,317.07,330.92,329.59,328.15,331.91,333.52,331.62,326.75,326.07,327.15,328.22,325.76,322.09,L7
1999-08-21 21:46:56+00:00,252.30,244.66,245.76,257.51,280.34,281.20,281.42,291.04,288.27,298.37,319.46,340.47,337.07,335.78,336.93,337.51,332.05,319.77,323.55,320.12,322.25,327.04,322.74,L7
1999-09-06 21:46:59+00:00,254.45,243.31,240.47,275.15,292.49,276.33,289.89,296.43,295.88,297.50,312.05,337.86,338.53,337.06,335.97,336.02,333.37,325.77,325.83,325.75,327.84,328.50,330.62,L7
1999-09-22 21:47:00+00:00,247.98,243.73,242.29,264.74,285.43,282.44,288.50,294.30,287.19,295.86,326.94,345.41,327.93,325.24,331.09,337.16,327.75,318.20,322.89,,,,,L7
1999-10-08 21:47:06+00:00,250.05,243.41,249.07,264.86,282.93,284.14,292.44,297.37,288.49,294.60,306.71,328.07,326.64,323.83,327.83,332.38,329.36,322.76,326.58,326.71,327.63,325.40,325.50,L7
1999-10-24 21:46:56+00:00,254.28,246.49,244.18,268.20,287.16,288.49,296.33,308.39,295.31,305.12,319.61,337.63,336.11,336.32,337.10,339.86,341.52,332.33,328.37,332.27,337.86,337.35,337.30,L7
2000-02-13 21:46:48+00:00,234.21,230.72,232.27,250.11,273.76,272.92,275.75,281.11,281.60,290.67,313.70,320.79,317.14,319.27,325.91,329.94,319.83,318.26,319.09,324.42,323.69,327.53,328.93,L7
2000-04-01 21:46:34+00:00,248.03,238.87,232.38,247.77,275.06,274.41,287.16,299.95,287.25,298.13,311.69,330.02,326.73,322.55,333.20,337.93,333.97,326.09,322.36,319.80,319.30,325.30,322.72,L7
2000-05-19 21:46:07+00:00,245.43,238.32,237.76,258.62,279.13,280.20,283.90,296.03,294.80,295.63,321.02,339.17,334.94,336.51,338.47,343.82,343.26,334.10,329.44,332.70,330.61,329.42,328.65,L7
2000-08-07 21:45:08+00:00,246.91,242.63,237.12,259.67,281.88,281.17,282.23,290.79,285.37,293.55,317.63,334.49,327.20,323.58,331.88,336.53,339.55,325.46,326.13,322.63,325.87,324.35,326.15,L7
2001-04-04 21:44:06+00:00,255.78,249.26,239.11,254.50,280.10,276.09,280.40,284.84,285.18,290.06,326.14,339.21,335.23,335.04,336.09,335.60,326.91,323.03,323.78,324.15,326.90,324.15,326.77,L7
2001-04-20 21:44:10+00:00,257.77,247.11,243.70,265.67,287.40,277.11,288.00,286.59,288.72,293.02,316.72,331.84,329.85,330.84,332.55,338.15,337.67,327.90,329.23,330.13,332.40,331.29,330.33,L7
2001-05-22 21:43:54+00:00,246.23,236.21,230.09,252.85,271.85,267.80,270.32,283.24,283.21,289.41,309.65,326.65,326.53,319.56,326.66,328.90,329.77,322.79,323.68,324.82,323.16,325.01,325.88,L7
2001-07-25 21:43:18+00:00,257.87,243.65,242.79,273.98,287.51,294.90,299.93,305.57,294.07,302.99,328.26,340.44,334.93,330.30,338.91,338.76,336.63,335.30,336.33,338.73,338.87,339.55,342.75,L7
2001-08-10 21:43:00+00:00,256.22,237.97,234.81,265.05,278.16,280.85,292.82,293.43,287.65,291.31,312.27,330.00,330.31,322.39,328.08,329.43,329.13,327.31,325.38,326.54,331.69,330.72,328.52,L7
2001-09-27 21:42:29+00:00,256.67,245.94,238.11,260.54,272.60,274.00,280.77,286.81,282.03,293.98,316.78,333.95,333.62,328.35,333.71,337.89,338.58,333.84,329.76,332.04,330.44,332.51,333.28,L7
