,dates,chi0316-0000,chi0316-0001,chi0316-0002,chi0316-0003,chi0316-0004,chi0316-0005,chi0316-0006,chi0316-0007,chi0316-0008,chi0316-0009
0,1985-01-25 14:04:03+00:00,191.6810461239576,192.35970667000515,202.18122088831473,211.4989932852825,212.08167408922378,201.78027560207005,198.46226693709744,185.7280597545972,184.03463414285915,177.69083158729202
1,1986-01-28 14:00:46+00:00,194.0514693600137,193.05682669823608,203.34062936608345,209.53617235955704,208.70439088843378,199.2954405354393,194.25289950194542,182.38415231188316,179.51234701811967,184.40298692538076
2,1986-02-04 14:06:47+00:00,204.02719566451538,190.87280481202916,,210.44814451426655,222.68543901310318,208.2491893712085,200.94200799085118,188.7529634252207,186.77919921509928,182.5524976101282
3,1986-03-01 14:00:01+00:00,,,207.84530808889392,211.24105166443633,211.28341987060148,206.11532051258666,196.01479605210574,185.74921345781686,181.27260423667033,184.51697573037615
4,1986-04-02 13:59:23+00:00,209.43133272785417,202.05110235543833,199.29011196442215,212.18616068603257,212.5537470006467,201.1898655154372,196.3491054011958,188.56342919442437,179.96588082465698,185.29394230889113
5,1986-05-04 13:58:38+00:00,180.96908899944887,181.36484180799863,,,173.3235804667443,,,176.5940419208515,173.30838347146542,158.530645371049
6,1986-05-20 13:58:12+00:00,,,,,,,,,,
7,1986-06-05 13:57:43+00:00,194.03402323643283,196.5718747964072,,,,,,167.09187179819634,170.1733687543418,163.82827150492673
8,1986-09-16 14:00:22+00:00,192.53086426077337,199.276689719777,,205.23064055186057,197.1401602743954,188.0887285805783,181.31593642618841,178.1214405388641,182.57277607061133,182.62675028421305
9,1986-11-03 13:58:46+00:00,201.49273070230768,204.35828393129268,201.55288169981895,212.00435843660688,202.11086235534768,196.3825215163068,191.8026486782561,190.0439524142313,188.83973987845278,186.99436316243043
10,1986-11-28 13:51:58+00:00,186.28906065049446,186.6690302972871,192.70542352063,200.85752056940777,192.00678797126147,182.79086495290844,180.08905591693394,172.49287547271783,173.72879856448796,170.2977026261095
11,1986-12-14 13:52:25+00:00,197.582860807202,188.254354742291,197.58159640280437,206.40532936844005,204.82188210360513,198.56711211830134,189.4354140966949,184.36850189957366,182.8098015386337,181.98399076602504
12,1986-12-30 13:52:55+00:00,195.28674588597383,192.73287459363024,197.84301869869114,198.54181071406276,194.73650297059265,187.83618042369787,184.74437884870414,178.64879765368528,174.74407425356029,175.8786347912367
13,1987-01-31 13:53:53+00:00,203.0651595249225,194.71271244882107,195.9447493153569,196.5870936262598,195.86237642658216,185.6011907052581,185.30829396352482,183.98792367804145,178.298317916425,180.5556096361609
14,1987-02-07 14:00:21+00:00,205.3388973258968,198.89595470142922,202.47531547098936,205.94542813393872,206.92770605221205,201.99970451956898,197.25328830584306,189.70914630458554,185.03246732309128,178.21334933376667
15,1987-03-27 14:02:09+00:00,215.69341524307083,212.85499471445195,211.75298887964527,212.1078742811441,208.0736852808072,204.4909612418975,196.74607528248697,190.50545598802697,191.76917593640866,201.74793614133714
16,1987-10-21 14:07:25+00:00,188.05670586509817,197.24500672423645,172.50147556650077,197.31945251626917,191.82652899002966,190.0760674302464,185.905406292611,178.605077309302,182.77194172085422,176.31696011547191
17,1987-11-06 14:07:44+00:00,192.50540953885013,198.43742646605077,186.74757537656677,210.008629072205,203.4075705362746,194.68361709924272,189.6870279420208,185.64533111754145,187.65078192202736,188.89006284570212
18,1987-11-15 14:01:45+00:00,198.7426722206276,196.75070871701715,193.6040963356684,209.0112691519272,205.49257736471301,197.40925131470544,194.9594749580331,186.5028382282815,189.38539612196524,186.51456494071053
19,1987-12-08 14:08:17+00:00,195.62297437575765,197.3750629979348,204.8619180731239,208.48597771436272,206.69133410983235,196.3807022405866,193.339147543782,186.0610670407311,183.149355576831,176.73903623468505
20,1987-12-24 14:08:32+00:00,200.71490739376037,194.5949083580507,197.66655217182227,204.9656164443274,205.92766932474495,199.1395522618214,192.25661338374917,186.62511491986777,182.2777750937969,178.2942905671485
21,1988-01-18 14:02:48+00:00,205.70100889464055,206.14403783792858,210.85190091851146,219.61087677824966,215.8218364743108,209.00451818445518,203.9775357812136,192.99106590277785,191.24919641228036,198.40205485173124
22,1988-04-07 14:03:45+00:00,202.47287996025685,200.28231049714603,195.2681258912142,212.33232907882575,205.9355819705062,195.10030550236777,193.16815378797867,185.77204265145704,183.05568773638666,186.17807319959118
23,1988-04-30 14:10:04+00:00,,,,,,,193.01737633076337,176.96486834199646,166.57975762428774,190.39586003298817
24,1988-05-16 14:10:15+00:00,206.0109227682284,210.9272409560669,198.3516500928607,222.526911135641,214.32929276383055,203.56259639469494,190.42817706988401,186.1410190868571,186.54258212840747,190.85837825239244
25,1988-05-25 14:04:07+00:00,,190.07531086477616,,,,,,175.96871710983098,166.11302577742836,170.40713024405062
26,1988-06-01 14:10:21+00:00,193.6513565297489,195.40271618040146,,202.31594140886318,,,,,165.5557477975345,174.37333974981908
27,1988-07-19 14:10:33+00:00,205.47089710719536,208.3863656686096,204.47066909217028,214.3702420995414,207.69954734630983,192.7102582124218,180.34090034752154,179.63070574169294,175.45183189191158,174.13528543352945
28,1988-08-04 14:10:35+00:00,,197.65814038860253,,,,,,167.37713672677265,165.34492923551062,163.90183198272965
29,1988-08-20 14:10:36+00:00,195.43874370590697,202.07688235107622,199.08155265813417,191.40311638034132,185.25424697472786,,,149.65405119584668,154.7873163348277,148.24145845570433
30,1988-09-05 14:10:39+00:00,,195.63344601753533,191.96393661338956,175.40929191505762,149.8884694378553,,,178.84253415276416,177.21399551095996,174.28528759593746
31,1988-11-01 14:04:16+00:00,201.03666239802092,194.0554678491324,202.06704264139654,208.41967674400695,208.3747587651281,196.4984716541349,188.8116874042102,181.88898164343044,179.93626042105,180.28846266005215
32,1988-11-17 14:04:14+00:00,195.7290044026921,198.33474611343308,202.12640068304054,203.06603533229983,202.83903500204647,193.5705587553698,188.97311833340248,182.44631096609606,184.36713652632457,181.64790938256445
33,1988-12-19 14:04:00+00:00,198.5866564740528,193.9529265806905,200.9488623571176,207.19625986636905,206.86363366999967,200.70056446781732,197.14747080993578,189.22956341916966,185.27614720419396,184.55173245734292
34,1989-01-11 14:10:04+00:00,196.13071826884632,202.12118103817477,191.6235286233024,205.91449609960114,201.45939040091488,197.3479642528413,188.1968131188635,177.5280193140196,181.6945548068596,175.66207288395623
35,1989-01-20 14:03:39+00:00,201.6024903120796,199.3026371045754,199.08233890226634,213.56571145231825,211.70026342115187,203.37439291649383,193.8547011603621,184.2232186199951,183.86734678527458,178.58921854490282
36,1989-02-21 14:03:35+00:00,196.90033890814027,195.1988343958354,191.96370969705652,210.73822245698832,208.90193925308475,204.72472020538567,192.47446012863068,183.4085309878809,181.23843087208513,178.99758856212216
37,1989-04-10 14:02:49+00:00,,188.84734132118612,,198.47262424570505,188.3787314823844,179.85271078244207,170.4892477983137,165.6954942577731,165.5353277121215,166.282336112414
38,1989-04-26 14:02:30+00:00,,193.53790686311433,,202.5238220954108,185.13477867901136,,,170.43840578722492,170.07695339304234,164.7267238850575
39,1989-06-04 14:08:05+00:00,,,,,,,,,,151.2474582465419
40,1989-08-16 14:00:20+00:00,194.05812811495142,201.8889046196807,,185.0114628601662,195.41525184882158,185.46329884962464,181.3138703940262,173.11630509416068,183.7274731252828,173.92000577899563
