dates,satname,nzd0463-0000,nzd0463-0001,nzd0463-0002,nzd0463-0003,nzd0463-0004,nzd0463-0005,nzd0463-0006,nzd0463-0007,nzd0463-0008,nzd0463-0009,nzd0463-0010,nzd0463-0011,nzd0463-0012,nzd0463-0013,nzd0463-0014,nzd0463-0015,nzd0463-0016,nzd0463-0017,nzd0463-0018,nzd0463-0019,nzd0463-0020,nzd0463-0021,nzd0463-0022,nzd0463-0023,nzd0463-0024,nzd0463-0025,nzd0463-0026,nzd0463-0027,nzd0463-0028,nzd0463-0029,nzd0463-0030,nzd0463-0031,nzd0463-0032,nzd0463-0033,nzd0463-0034,nzd0463-0035,nzd0463-0036,nzd0463-0037,nzd0463-0038,nzd0463-0039,nzd0463-0040,nzd0463-0041,nzd0463-0042,nzd0463-0043,nzd0463-0044,nzd0463-0045,nzd0463-0046,nzd0463-0047,nzd0463-0048,nzd0463-0049,nzd0463-0050,nzd0463-0051,nzd0463-0052,nzd0463-0053,nzd0463-0054,nzd0463-0055,nzd0463-0056,nzd0463-0057,nzd0463-0058,nzd0463-0059,nzd0463-0060,nzd0463-0061,nzd0463-0062,nzd0463-0063,nzd0463-0064,nzd0463-0065,nzd0463-0066,nzd0463-0067,nzd0463-0068,nzd0463-0069,nzd0463-0070,nzd0463-0071,nzd0463-0072,nzd0463-0073,nzd0463-0074,nzd0463-0075,nzd0463-0076,nzd0463-0077,nzd0463-0078,nzd0463-0079,nzd0463-0080,nzd0463-0081,nzd0463-0082,nzd0463-0083,nzd0463-0084,nzd0463-0085,nzd0463-0086,nzd0463-0087,nzd0463-0088,nzd0463-0089,nzd0463-0090,nzd0463-0091,nzd0463-0092,nzd0463-0093,nzd0463-0094,nzd0463-0095,nzd0463-0096,nzd0463-0097,nzd0463-0098,nzd0463-0099,nzd0463-0100,nzd0463-0101,nzd0463-0102,nzd0463-0103,nzd0463-0104,nzd0463-0105,nzd0463-0106,nzd0463-0107,nzd0463-0108,nzd0463-0109,nzd0463-0110,nzd0463-0111,nzd0463-0112,nzd0463-0113,nzd0463-0114,nzd0463-0115,nzd0463-0116,nzd0463-0117,nzd0463-0118,nzd0463-0119,nzd0463-0120,nzd0463-0121,nzd0463-0122,nzd0463-0123,nzd0463-0124,nzd0463-0125,nzd0463-0126,nzd0463-0127,nzd0463-0128,nzd0463-0129,nzd0463-0130,nzd0463-0131,nzd0463-0132,nzd0463-0133
1999-08-26 22:07:08+00:00,L7,323.34,312.07,322.71,327.99,332.27,329.38,328.52,329.64,332.47,342.17,348.90,354.41,350.36,351.00,351.90,348.95,350.27,335.94,326.85,315.59,315.02,311.68,309.70,307.94,313.22,323.23,323.42,326.49,326.61,323.19,324.22,321.21,316.36,318.03,315.99,314.73,320.19,331.21,334.71,336.15,325.43,328.61,332.35,329.29,323.21,328.61,328.47,334.81,339.72,339.04,339.80,342.68,343.90,343.93,341.32,337.81,337.78,332.75,337.34,337.08,338.85,333.70,332.59,335.32,333.24,334.91,340.02,343.91,349.30,351.05,350.86,348.16,349.24,352.13,346.49,344.65,341.29,341.24,339.51,334.97,340.36,330.68,339.03,340.31,343.66,334.29,339.70,342.90,342.06,346.71,341.88,343.94,342.40,341.40,336.47,334.35,333.35,334.02,343.40,343.64,342.87,341.08,343.89,351.44,350.89,351.90,353.52,348.44,342.96,333.34,327.44,325.31,322.65,323.54,332.28,336.17,341.94,338.91,337.82,335.91,333.27,322.61,319.08,325.24,327.83,333.94,330.41,335.70,338.06,341.24,345.11,342.17,344.49,337.37
1999-09-27 22:07:12+00:00,L7,334.85,328.54,335.83,336.43,340.53,341.36,339.67,341.32,343.41,348.52,348.64,365.06,361.28,365.10,360.40,364.02,363.63,357.01,337.95,323.90,329.13,329.53,328.11,334.00,329.59,337.05,339.08,340.44,346.87,348.83,347.18,348.70,343.64,343.97,338.36,345.98,342.68,341.90,343.65,346.11,340.14,339.50,335.01,333.19,331.32,339.43,337.98,342.76,348.01,345.58,347.96,349.17,351.71,351.81,350.03,348.59,348.76,347.40,345.47,349.53,349.82,348.63,351.13,352.61,353.87,355.87,359.94,359.16,362.72,358.91,357.32,355.09,354.09,361.63,355.77,356.09,348.45,345.32,350.53,353.90,350.33,344.57,352.68,354.85,353.13,357.97,356.79,359.54,360.13,359.54,354.82,357.77,359.66,358.57,359.61,359.07,361.29,363.45,367.35,370.86,367.00,361.31,355.25,358.36,359.82,356.67,351.09,347.41,347.58,348.38,341.63,336.01,332.64,339.84,342.15,351.39,352.17,352.88,352.49,348.30,347.06,346.89,346.87,349.81,342.92,347.08,353.80,356.37,352.31,352.14,350.71,349.51,350.29,340.74
1999-11-30 22:06:59+00:00,L7,332.28,317.35,325.17,329.69,329.47,326.65,329.16,330.40,337.21,339.33,342.70,354.25,352.39,350.03,348.90,346.02,354.06,345.07,334.60,322.63,322.25,318.00,315.19,314.49,322.78,335.24,340.83,340.63,337.53,336.70,339.33,338.73,336.33,329.68,329.20,326.95,326.70,331.47,336.01,330.26,331.63,330.71,331.48,326.90,325.97,330.02,328.97,337.99,336.72,340.05,339.58,343.34,341.93,343.79,340.01,344.09,343.88,341.44,339.22,339.92,340.36,340.83,338.20,336.67,340.30,344.09,348.95,353.34,346.02,352.93,355.52,352.85,354.06,357.11,351.21,347.71,345.74,342.84,346.02,345.61,341.48,341.03,340.48,344.77,348.94,348.57,345.89,347.19,345.52,348.23,345.81,342.63,344.85,345.53,345.90,341.71,342.85,346.70,349.06,351.61,350.59,350.71,352.02,348.79,,347.45,342.52,345.55,339.41,338.23,329.12,324.97,323.74,328.78,328.88,330.60,335.48,341.36,338.52,340.93,339.91,334.92,334.96,335.28,336.05,339.30,341.99,343.02,342.56,344.90,344.48,340.20,338.99,335.02
1999-12-16 22:07:09+00:00,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349.27,346.95,348.03,346.42,346.70,342.60,340.34,341.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-03-21 22:06:49+00:00,L7,345.45,338.59,339.95,344.60,346.19,344.55,338.40,339.99,349.56,356.83,354.34,362.58,358.82,363.30,357.48,368.01,371.43,365.67,355.47,345.45,335.19,330.59,329.05,335.15,338.30,344.43,346.90,353.65,349.94,349.99,348.43,348.47,347.90,347.86,344.21,342.64,342.72,344.76,347.58,345.76,343.62,346.43,347.46,345.07,341.86,349.42,349.63,351.83,349.64,346.98,346.57,352.37,348.19,352.21,347.05,350.23,351.78,351.25,351.19,348.41,350.65,351.78,348.40,349.75,349.80,353.51,360.47,358.16,361.08,361.29,363.11,370.38,363.34,362.37,360.79,359.54,358.09,358.98,359.94,351.15,350.78,355.05,356.72,353.72,353.36,357.11,358.87,358.73,360.55,360.03,358.02,352.41,354.71,355.15,352.82,353.70,360.00,354.61,355.98,357.93,363.87,361.95,359.63,360.64,357.27,358.05,357.11,356.96,351.31,341.69,333.67,330.87,327.65,337.33,345.19,340.99,344.29,348.67,345.62,347.12,349.61,344.44,349.62,349.20,352.10,349.54,350.35,351.45,351.61,352.06,348.49,348.94,348.07,346.90
2000-05-08 22:06:20+00:00,L7,334.14,330.20,337.41,339.01,340.18,338.34,335.50,332.17,342.09,341.79,348.31,,,,,,,,,,,,,,,,,,344.67,346.03,344.57,343.42,338.36,332.80,338.14,342.17,343.29,338.43,345.75,338.47,333.19,332.89,343.11,331.70,328.51,335.48,337.90,343.36,347.24,343.29,347.90,347.08,350.14,349.35,343.62,345.10,343.96,342.43,343.17,340.06,345.11,341.64,344.54,345.90,351.50,347.76,356.96,355.28,359.19,355.10,360.11,359.97,360.45,360.69,356.04,354.00,352.70,356.55,353.33,348.44,349.56,347.08,344.91,346.27,347.53,348.56,346.07,345.80,349.48,353.74,349.73,346.54,349.09,346.58,349.03,349.30,354.68,352.38,356.39,356.58,,,,,,,,,,,,,,,,340.57,345.30,345.34,346.58,347.17,344.54,337.30,342.71,340.24,348.09,344.65,344.17,344.29,341.44,345.82,347.14,347.35,341.46,336.82
2000-07-11 22:05:41+00:00,L7,310.11,303.28,313.86,323.29,317.91,320.36,317.09,325.55,334.09,346.24,344.52,354.29,351.60,347.79,351.03,352.86,344.21,344.01,341.12,329.80,319.68,320.39,319.52,318.02,321.83,324.17,334.12,336.91,336.87,336.80,332.35,333.96,333.81,333.40,332.26,332.26,331.73,332.99,333.97,333.12,328.28,327.83,326.05,328.26,325.51,328.27,329.56,324.55,332.53,337.20,334.19,333.73,338.87,337.16,334.16,332.20,336.94,336.45,336.70,330.37,336.13,331.03,333.05,330.85,335.98,340.76,346.54,344.61,343.39,346.83,349.12,352.10,349.00,346.39,343.48,341.43,344.13,345.94,345.03,342.23,336.36,335.76,341.29,342.14,341.01,337.90,334.16,339.35,335.36,337.89,337.95,342.63,342.91,336.40,335.37,336.52,341.74,342.81,341.62,344.36,344.92,348.58,347.15,348.21,349.21,345.66,346.24,348.43,331.34,325.65,320.68,324.53,316.52,319.00,321.89,326.58,327.88,339.78,331.03,330.09,334.97,340.32,337.86,328.07,332.09,333.29,331.88,333.46,337.72,339.35,340.18,338.38,336.13,332.45
2000-07-27 22:05:24+00:00,L7,318.30,312.58,322.44,328.35,327.08,332.05,331.11,340.94,353.81,360.21,360.01,372.09,363.12,360.06,357.37,346.28,350.03,352.66,338.75,335.93,327.89,328.23,322.82,326.92,329.18,337.91,340.59,342.79,341.64,345.24,344.15,347.24,341.69,344.17,342.05,348.09,345.42,350.39,351.39,344.36,341.59,343.53,340.80,338.29,337.45,339.27,338.98,335.83,342.46,343.23,344.53,348.27,349.47,350.14,349.86,346.55,347.93,347.71,344.70,344.08,343.98,344.92,344.50,348.68,352.95,350.67,355.52,357.14,359.00,359.96,360.50,359.62,360.36,358.96,356.92,356.80,354.60,356.09,356.22,353.76,357.29,358.29,357.18,352.21,353.70,352.00,352.85,351.73,349.29,355.00,351.93,353.51,355.17,354.64,354.59,358.71,352.38,360.61,358.11,358.19,355.57,355.84,361.82,360.82,359.89,359.96,356.92,356.18,350.35,342.68,339.31,336.36,332.51,335.78,337.32,340.57,344.09,346.21,345.89,345.41,341.12,347.42,345.48,343.88,343.66,346.01,347.05,344.81,345.15,345.85,346.78,342.04,343.35,337.74
2000-08-12 22:05:17+00:00,L7,331.30,322.74,330.54,330.41,335.21,336.39,337.01,338.01,348.47,359.16,363.09,371.97,362.98,365.87,357.21,353.46,359.88,357.16,348.63,338.39,335.40,331.87,328.97,329.05,330.80,342.05,345.64,346.11,351.22,351.74,348.17,347.96,345.53,343.82,345.17,349.54,347.77,349.61,343.34,342.91,336.18,339.63,337.91,336.94,329.85,337.15,336.01,342.75,346.11,339.63,341.28,345.41,343.44,349.83,347.74,347.52,344.72,345.63,345.00,343.63,347.09,343.70,341.99,345.20,344.73,348.66,353.74,355.10,355.45,358.27,358.95,360.99,356.13,359.44,351.56,349.81,348.35,352.09,349.46,351.15,351.07,350.96,345.25,349.15,353.71,351.77,352.21,351.83,354.95,356.07,351.73,351.48,351.20,356.57,353.71,354.59,355.94,359.77,358.55,361.66,360.17,362.62,359.23,359.78,358.61,360.68,360.44,355.42,349.56,345.29,342.08,340.69,333.12,334.17,331.99,336.11,345.41,345.80,343.73,342.49,346.56,344.50,341.15,343.02,346.90,346.39,350.31,348.48,347.80,349.05,351.99,351.31,345.38,344.70
2000-10-15 22:04:20+00:00,L7,328.65,316.39,317.30,333.52,331.18,337.24,334.92,334.86,343.34,344.98,348.74,349.28,350.00,345.23,350.91,346.27,353.71,349.71,341.02,330.54,325.01,324.56,322.58,322.01,325.14,329.57,334.73,335.13,339.12,335.30,337.36,338.93,341.63,335.08,337.58,332.66,341.61,338.42,339.05,337.82,333.48,338.87,330.88,332.75,328.88,332.07,332.52,338.21,340.11,338.17,330.23,334.10,333.76,346.43,338.78,339.56,334.92,334.86,333.50,335.29,334.83,329.95,331.91,329.50,333.98,338.99,343.19,342.57,341.36,349.69,343.15,344.56,349.57,349.86,346.94,340.48,334.16,340.99,339.80,340.96,344.29,340.91,339.34,344.91,342.08,341.73,340.81,342.23,339.40,341.40,341.85,341.61,342.67,344.85,349.91,348.36,347.25,345.35,348.44,353.99,351.17,348.41,350.59,345.23,352.70,349.40,347.61,341.89,321.60,327.31,322.11,328.47,335.08,,,,,,,,,,,,,,,,,,,,,
