,dates,usa_HI_0026-0000,usa_HI_0026-0001,usa_HI_0026-0002,usa_HI_0026-0003,usa_HI_0026-0004,usa_HI_0026-0005,usa_HI_0026-0006,usa_HI_0026-0007,usa_HI_0026-0008,usa_HI_0026-0009,usa_HI_0026-0010,usa_HI_0026-0011
0,1991-10-09 20:18:07+00:00,196.86148473019514,190.31481030480535,197.44257948558004,197.45793354166887,197.0266147177428,193.75088923748794,192.24602693202007,195.48799241180276,190.24932847460005,189.07289369798428,198.7300067744212,191.97511007253715
1,1991-11-10 20:18:16+00:00,205.68009938299542,202.44434740081707,202.79167049239246,208.13435097783906,189.58189091246518,186.0216180112146,177.78322874995186,182.96484564999147,188.34101398514463,189.1909816462392,186.79112155390965,
2,1991-12-03 20:24:42+00:00,,,,,,,,,,,,
3,1991-12-12 20:18:31+00:00,208.1738966578284,208.38318422177292,,206.42678017693063,194.49616024386805,188.1930501312799,191.40853526216907,200.5530246032211,199.45372542897564,197.6787699957778,196.2915303858898,194.66766702648096
4,1999-07-03 20:46:48+00:00,206.86769672323052,204.09443528506023,203.81863624711045,202.22561864757893,201.8905163001068,197.83382073503458,203.36859635150094,201.91468286848658,201.001551114053,203.0105009788455,193.60928799396777,196.53231067787237
5,1999-07-10 20:53:01+00:00,199.0853981765635,203.7658607645411,197.43422925527005,198.10765681617545,193.2449235691005,190.93177263130914,197.17714644795973,196.66911881823378,193.2545697508981,194.0925463747188,190.25720354889773,188.22374170329425
6,1999-07-26 20:53:05+00:00,194.78886749655197,200.43441334989657,196.66231597234733,202.13487897964794,199.5210285372862,200.10110479289006,199.2090323000795,197.8636076668519,194.33094464889277,190.43921950581534,192.20584719845633,194.03612394119745
7,1999-08-11 20:53:07+00:00,202.712320428602,194.89287270888659,196.76899885536474,200.38421963667486,194.7421046661589,196.326234176857,197.97346786391887,202.00724526815665,193.45062773242,196.95076258150064,193.74701431581937,191.30988158177726
8,1999-09-21 20:46:59+00:00,,,216.19964959318176,209.87741028696504,202.79065341092354,204.63248223895883,207.55568003940147,203.91308786718696,198.2379212653934,204.12147726717734,198.00584994620115,199.19413095965447
9,1999-10-14 20:53:13+00:00,204.94936113243043,202.73372786462272,200.9767177123306,205.33733116019152,197.94663501596472,200.02116882479808,196.6627248211307,201.419751845039,195.37499176399837,196.69127912736224,192.9588357238863,194.1402618339716
10,1999-10-30 20:53:07+00:00,209.3877312361845,205.57807818241932,203.19144013914496,211.46234865920073,200.71413833537605,202.03918057575882,199.26200137259386,201.05481903253823,197.94423430297525,192.65087273644758,197.6489710173003,192.9908834035513
11,1999-11-24 20:46:49+00:00,206.22404543858212,205.5583743741705,203.03605616383004,207.10169189407537,204.55736263428753,191.2448251524852,201.65441324668433,205.35047054368562,204.11886134490413,203.04302092434563,197.73981907700264,199.14172993218153
12,1999-12-17 20:53:11+00:00,209.33898639263418,207.93226507780156,208.47083233688298,213.6820849525093,201.0772363754134,204.71632711142672,205.70183350106606,207.37846543412368,203.02072400861564,201.9456202077738,205.2897757307148,199.04822448004128
