dates,satname,sar1373-0000,sar1373-0001,sar1373-0002,sar1373-0003,sar1373-0004,sar1373-0005
1984-05-06 09:33:51+00:00,L5,180.75,203.11,245.51,213.21,184.37,179.35
1984-08-26 09:36:33+00:00,L5,,,,,,
1984-09-11 09:36:38+00:00,L5,,,,,,
1984-09-27 09:36:39+00:00,L5,185.00,209.38,249.34,213.52,190.60,182.71
1984-10-29 09:36:32+00:00,L5,183.46,211.23,242.67,207.05,186.47,182.09
1985-06-26 09:36:35+00:00,L5,175.64,203.50,238.91,203.95,177.82,171.75
1985-07-28 09:36:22+00:00,L5,183.79,207.79,246.90,207.61,186.61,182.50
1985-08-13 09:36:12+00:00,L5,181.09,203.85,243.38,209.55,188.91,180.43
1985-08-29 09:36:02+00:00,L5,186.01,215.65,246.01,209.65,189.35,183.77
1985-12-03 09:34:43+00:00,L5,172.78,202.50,259.82,215.84,185.81,168.71
1986-04-10 09:32:04+00:00,L5,181.49,212.82,240.49,209.68,173.66,175.02
1986-05-12 09:31:17+00:00,L5,194.43,216.72,253.34,214.33,198.36,193.67
1986-05-28 09:30:50+00:00,L5,180.18,205.41,243.07,207.26,189.20,179.29
1986-06-29 09:29:50+00:00,L5,191.50,210.00,250.78,213.75,189.66,189.39
1986-09-01 09:27:32+00:00,L5,175.77,200.58,246.72,204.18,181.41,174.51
1986-09-17 09:27:01+00:00,L5,184.14,207.58,247.85,210.64,187.81,182.76
1986-11-04 09:25:25+00:00,L5,385.87,336.47,432.83,315.98,291.65,357.14
1987-01-07 09:26:01+00:00,L5,382.89,287.62,251.25,186.45,176.84,330.36
1987-01-23 09:26:28+00:00,L5,182.19,199.84,247.59,203.87,185.01,179.62
1987-03-28 09:28:52+00:00,L5,181.35,205.93,246.45,207.29,186.58,180.03
1987-04-13 09:29:24+00:00,L5,250.35,265.43,380.43,292.52,327.87,281.81
1987-05-15 09:30:21+00:00,L5,175.70,204.73,243.49,203.13,177.16,172.01
1987-06-16 09:31:07+00:00,L5,175.48,204.68,242.79,203.68,177.41,168.41
1987-07-02 09:31:27+00:00,L5,180.26,206.98,245.01,212.65,182.62,179.28
1987-07-18 09:31:44+00:00,L5,177.31,210.60,252.25,203.61,179.01,171.65
1987-08-03 09:32:13+00:00,L5,179.44,206.82,245.39,201.77,180.78,178.13
1987-08-19 09:32:41+00:00,L5,173.67,204.49,253.33,201.56,172.82,167.01
1987-09-04 09:33:07+00:00,L5,178.17,207.78,247.14,209.86,186.22,176.58
1987-09-20 09:33:30+00:00,L5,184.82,207.90,258.06,217.48,193.53,183.60
1987-10-06 09:33:50+00:00,L5,,,,,,
1987-11-07 09:34:26+00:00,L5,182.50,208.45,250.79,211.27,187.41,181.19
1987-12-25 09:35:13+00:00,L5,176.72,206.36,254.25,211.31,185.60,172.97
1988-01-10 09:35:29+00:00,L5,173.94,200.69,252.94,218.55,203.81,177.67
1988-02-11 09:36:05+00:00,L5,169.87,206.18,247.72,203.35,174.01,165.57
1988-04-15 09:36:38+00:00,L5,183.10,209.17,256.84,213.24,182.76,180.65
1988-05-17 09:36:55+00:00,L5,187.49,212.27,251.76,204.11,182.32,185.16
1988-06-02 09:37:02+00:00,L5,,,,,,
