,dates,per0242-0000,per0242-0001,per0242-0002,per0242-0003,per0242-0004,per0242-0005,per0242-0006,per0242-0007,per0242-0008,per0242-0009,per0242-0010,per0242-0011
0,1984-11-11 14:17:42+00:00,190.26104033944745,197.02811600106608,162.46133204383653,197.10719714293595,238.00654925301973,197.69258623798572,168.79365279662488,124.09732991332585,174.6749061726436,164.52582672581778,162.88661707978483,156.6480067431784
1,1985-03-03 14:18:15+00:00,183.24365259670688,213.29036870117986,181.3490553537422,206.90329499036392,247.00728917282828,210.7288887090479,181.78425106224557,156.90912383560186,178.7276681863451,179.6524612466448,176.06883001794722,174.99806012867396
2,1985-03-19 14:18:14+00:00,184.13158635262386,176.05663525051267,165.97554838853787,187.49078770095952,192.9661628221247,180.40147350857256,145.89051171715926,121.97879034868228,159.45713669173628,157.76730883340355,148.50536757281913,145.4374596788096
3,1985-03-28 14:12:25+00:00,182.90825384214645,183.99065518656857,169.6295635728208,193.5234028318361,231.78175667585091,189.85379268063636,163.24290835316947,143.11126588225153,175.32699295703304,172.3921781205133,170.75422871404325,169.73080830180757
4,1985-04-20 14:18:05+00:00,165.145737973123,160.5785470626967,159.92414295991992,176.59805725791347,,188.10297334491165,147.25290679866578,115.06984634851938,147.99953125227822,149.92816319047233,147.6775271129825,145.8937690806072
5,1985-11-07 14:10:41+00:00,,173.06313926887822,165.4184664531156,195.9596994760444,231.80487569086483,186.70941611428515,167.00113332816636,122.90356847753795,167.7942287481203,161.51747044653075,145.63099896768006,130.22698836137758
6,1986-07-21 14:04:35+00:00,178.95470037749186,170.6141825013657,157.15425807954736,183.97907726608483,,187.8917135361199,152.68369608714016,128.12168187732942,154.1759397723718,151.86074950804812,140.6400433566477,129.2675413200449
7,1986-12-28 14:01:13+00:00,199.8715889862287,230.7831842991195,178.9111735876545,201.91280322382931,254.7463568812455,201.93074294317674,170.70378114787013,,178.3738436444821,187.24053023700432,170.6430360875098,173.92133668145053
8,1987-01-13 14:01:42+00:00,192.97615594763326,215.84793071724164,176.57266329125602,206.96880288251015,236.24678803327282,190.26958016447793,168.16365762682244,165.06383540325592,176.87174103509787,174.7686982462621,167.30588924124265,167.26872960973398
9,1987-11-29 14:10:21+00:00,,182.47599383258722,169.06182376509463,197.91908388769136,241.09032717439771,190.0469833714526,170.02852462166908,121.77076236082317,163.37344233483634,151.86245257673502,150.34636548472918,145.59754319048227
10,1987-12-06 14:16:14+00:00,184.32075336596083,186.86859662238712,176.8769682418846,204.3040182281411,230.49887288567052,190.09833210728917,164.80459771498724,133.2827585347527,165.6169305297999,155.5354228818916,153.94485396745415,153.12578589105047
11,1987-12-15 14:10:35+00:00,185.3762234704991,,174.03995251794944,205.0519372283474,243.37066522712686,196.10407065289587,169.1187750533766,136.64325386429414,166.8662874005134,159.38841946138666,158.7504401424199,158.36323818418865
12,1988-02-17 14:11:41+00:00,193.16931408424742,214.05365492723178,179.1855347241623,203.77030733247585,226.40258271487033,203.12246353220547,185.0227977612954,,183.48784172208164,182.3371754718227,175.31144073258332,173.49856547488565
13,1988-03-04 14:11:51+00:00,195.1704890695535,218.19479358762743,197.79583003521452,207.26489604452036,234.0213840260012,211.8551770524998,197.1250766553932,,188.87663818443363,185.72743376281605,167.25425736529095,171.65574309703953
14,1988-10-14 14:12:36+00:00,,193.34039777576587,167.84772775630745,203.5675728352195,238.3474489701598,191.9997111443546,159.66802971360477,119.1910246362167,169.6933685773057,160.52333604598755,153.37740767762335,141.89902047715617
15,1988-10-30 14:12:37+00:00,188.35559772115477,,178.20148376958423,213.41499534434615,250.28876752116923,204.63822396947347,178.80687251255597,129.58135076062229,175.63104451074418,177.2505911443148,166.5367554144915,150.95977341032113
16,1988-12-01 14:12:36+00:00,193.5005858638769,211.11748871682573,171.98240648021994,216.98364670297116,258.1729446782567,213.16207545691748,179.31929574723114,138.54373538984828,176.87320857519404,165.00042620522566,162.29798765560787,156.6597664264644
17,1989-03-07 14:11:38+00:00,170.53810058085196,164.65575087250141,148.06147693409758,173.99915245020662,,178.21995086495087,149.37202636316965,121.79184633969246,149.81956174468542,148.8399332724203,149.99673301512402,140.8868258983887
18,1989-03-14 14:17:09+00:00,186.46965726433078,194.73721563567167,173.06633332200312,206.80179063599962,235.01140203165141,198.4168021671938,170.27002518774088,151.7643884800633,167.77170235367834,167.7349521087774,168.41429266358088,159.21962482579127
19,1989-03-23 14:10:57+00:00,175.61155472362879,174.53736103239697,151.58916200098173,189.07985496968064,190.06868255711683,190.45658181351442,162.1043688036064,138.25865268098846,163.26816645681816,152.90323980002552,159.68325967134032,149.1513763533443
20,1989-05-10 14:10:41+00:00,176.94940972032884,173.81517737872207,158.97949820696593,190.9909356459803,228.23087608432417,189.4580268863735,160.98514466560513,121.92580368929163,167.6795212412539,156.33561772460206,148.41789402868943,138.0958981037874
21,1989-05-26 14:10:24+00:00,169.41717417852166,170.89740550367094,160.11667173831006,193.48445607126953,209.2949153854295,183.93073599472177,155.5205028073962,133.00968693671078,167.92632848995925,159.6729976887152,144.55458769635575,133.38098708555572
22,1989-09-15 14:07:51+00:00,,161.40219325820675,152.09434533806254,188.45893058576985,202.0114569064658,183.56786496573199,149.8123898830565,117.84104670951241,162.61238633462136,149.41771192167568,140.064083645077,126.43185884592226
23,1989-11-09 14:12:17+00:00,,,,,,211.3822341784051,180.32988411684101,146.29163066438286,169.5270818901953,177.18510616303135,174.16986224747663,159.47938167282473
24,1989-12-11 14:11:24+00:00,,,,,,,,,,,,
25,1989-12-20 14:05:21+00:00,,179.63877493460734,164.6238214587437,205.23930747251404,,203.05570872446836,174.99309505934247,148.14438803860708,171.63373281550778,166.3712783032656,162.27920171413848,154.60493272831295
26,1990-01-21 14:04:21+00:00,177.9230856821298,168.82315182743005,154.3793722899872,194.07462580241506,,195.64421616046025,169.06556454683005,147.77200040444222,166.77332841200925,165.0294369495914,164.0728828297784,154.36887973783936
27,1990-03-10 14:02:44+00:00,,171.81905652078385,155.1097322961568,,,,,,,,,
28,1990-04-11 14:02:13+00:00,,160.6819915944938,152.3076220422577,172.96632290630532,184.27664525609316,187.45010592848757,144.4993558597532,119.90255336497229,167.8469803657659,145.2756705020132,143.10962727652532,141.67471412395668
29,1990-12-23 14:01:39+00:00,,186.56314846277584,160.88143721058913,196.24454216132128,,203.64732731518876,174.42348969865157,135.98937727704714,161.48498520612634,169.28042000030496,167.86965943824066,157.6831658058619
