dates,satname,sar2322-0000,sar2322-0001,sar2322-0002,sar2322-0003
1984-05-06 09:33:03+00:00,L5,,,,
1984-05-31 09:27:59+00:00,L5,,,,
1984-08-03 09:29:20+00:00,L5,,,,
1984-08-26 09:35:45+00:00,L5,,,,
1984-09-04 09:29:37+00:00,L5,,,,
1984-09-11 09:35:50+00:00,L5,,,,
1985-01-17 09:36:05+00:00,L5,,,,
1985-02-02 09:36:09+00:00,L5,,,,
1985-04-23 09:35:59+00:00,L5,,,,
1985-06-26 09:35:47+00:00,L5,,,,
1985-07-12 09:35:41+00:00,L5,,,,
1985-08-13 09:35:25+00:00,L5,,,,
1985-10-25 09:28:23+00:00,L5,,,,
1985-11-10 09:28:33+00:00,L5,,,,
1985-12-03 09:33:55+00:00,L5,,,,
1986-01-04 09:33:20+00:00,L5,,,,
1986-02-14 09:26:39+00:00,L5,,,,
1986-03-18 09:25:58+00:00,L5,,,,
1986-03-25 09:31:37+00:00,L5,,,,
1986-04-10 09:31:17+00:00,L5,,,,
1986-05-12 09:30:29+00:00,L5,,,,
1986-06-22 09:23:04+00:00,L5,,,,
1986-07-08 09:22:57+00:00,L5,,,,
1986-07-31 09:27:55+00:00,L5,,,,
1986-08-16 09:27:20+00:00,L5,,,,
1986-09-17 09:26:13+00:00,L5,,,,
1987-01-07 09:25:13+00:00,L5,,,,
1987-02-17 09:20:35+00:00,L5,,,,
1987-04-06 09:22:12+00:00,L5,,,,
1987-04-29 09:29:06+00:00,L5,,,,
1987-05-15 09:29:33+00:00,L5,,,,
1987-06-16 09:30:19+00:00,L5,,,,
1987-07-02 09:30:39+00:00,L5,,,,
1987-07-18 09:30:57+00:00,L5,,,,
1987-08-03 09:31:25+00:00,L5,,,,
1987-08-19 09:31:54+00:00,L5,,,,
1987-09-04 09:32:19+00:00,L5,,,,
1987-09-20 09:32:42+00:00,L5,,,,
1987-11-07 09:33:38+00:00,L5,,,,
1988-01-10 09:34:42+00:00,L5,,,,
1988-01-26 09:35:22+00:00,L5,222.76,211.68,210.30,275.75
1988-02-11 09:35:17+00:00,L5,,,,
1988-03-14 09:35:39+00:00,L5,,,,
1988-05-01 09:35:57+00:00,L5,,,,
1988-05-17 09:36:08+00:00,L5,,,,
1988-06-02 09:36:14+00:00,L5,,,,
1988-06-18 09:36:19+00:00,L5,,,,
1988-07-04 09:36:24+00:00,L5,,,,
1988-08-05 09:36:28+00:00,L5,,,,
1988-08-21 09:36:29+00:00,L5,,,,
1988-10-01 09:30:34+00:00,L5,,,,
1988-10-08 09:36:21+00:00,L5,,,,
1988-12-04 09:30:05+00:00,L5,337.40,204.77,372.61,299.76
1988-12-11 09:36:09+00:00,L5,,,,
1988-12-27 09:36:03+00:00,L5,,,,
1989-01-12 09:35:56+00:00,L5,,,,
1989-01-28 09:35:43+00:00,L5,,,,
1989-03-26 09:28:53+00:00,L5,,,,
1989-04-02 09:34:48+00:00,L5,,,,
1989-05-20 09:34:09+00:00,L5,,,,
1989-05-29 09:28:17+00:00,L5,,,,
1989-06-14 09:27:46+00:00,L5,,,,
1989-06-21 09:33:31+00:00,L5,,,,
1989-07-16 09:27:19+00:00,L5,,,,
