,dates,usa_CA_0119-0000,usa_CA_0119-0001,usa_CA_0119-0002,usa_CA_0119-0003,usa_CA_0119-0004,usa_CA_0119-0005,usa_CA_0119-0006,usa_CA_0119-0007,usa_CA_0119-0008,usa_CA_0119-0009,usa_CA_0119-0010,usa_CA_0119-0011,usa_CA_0119-0012,usa_CA_0119-0013,usa_CA_0119-0014,usa_CA_0119-0015
0,1984-04-18 18:01:41+00:00,201.96649249152108,200.4697626846178,203.8350408470988,198.1686117537795,195.6632126173711,195.06349233732803,197.76533887228047,202.45078613984296,203.43263287457196,207.62638169572105,209.3351490976957,208.10730536435764,213.08697101573765,214.1757432877407,210.57644402461932,213.25836912565907
1,1984-05-04 18:01:45+00:00,211.69963386873556,203.87086259471218,211.9100431212707,204.34835051183865,201.55304686197147,198.91429622787203,206.99048562216043,210.02694602228001,210.81421592622073,222.35583254232967,226.33644592370584,218.0109439985049,220.8418070497153,223.51045426214108,221.96819625461563,220.26557261293487
2,1984-05-20 18:02:16+00:00,,203.15186780121067,209.70092044483985,208.32152940475066,199.64339542929991,207.43147933660177,207.2331352725769,206.68475352958464,210.28336551189346,215.75765549358968,214.0027631161949,213.77255610934296,209.7554428650896,211.26727586302206,209.3260894077547,204.54404875505946
3,1984-06-05 18:02:38+00:00,199.9134311455408,195.29165227455476,204.3799905381526,197.12651741774025,191.57554670794562,194.71279646260896,192.83382536319465,196.38627970928326,197.80482003990875,201.64638548081646,202.93077129998852,201.20594595534595,208.01154744456244,207.8615613455742,210.83074544208193,207.340919461068
4,1984-06-21 18:02:54+00:00,203.02140483871497,196.09026688212916,201.2057244808888,196.60127817061888,189.7964224514312,194.43049881425867,195.2428359492845,193.42627901387124,203.80355036791804,211.81400114991405,213.62563984795406,212.89816342577296,212.57222688225363,213.3780601146285,207.0076954928141,205.85890986290497
5,1984-10-27 18:04:31+00:00,219.228302797282,211.88849428487572,212.2350048369098,210.41384346533815,204.9774143896247,206.0814570143058,206.93220375488977,211.24830876087384,211.95582499465695,210.0252756953486,214.36092057878471,213.48797474109188,221.06663622356137,226.29504483916338,223.44095547138357,223.66860543981377
6,1984-11-28 18:04:24+00:00,202.03961510446706,202.7382339815201,201.42809805073878,204.41846524429337,194.0333683177671,196.9101926236901,197.9646540218427,200.2870390730514,204.76772261853517,210.91112200550018,213.05406702912467,212.61333397883072,213.61705796871925,214.01858391292805,224.97543819827,221.7698264761445
7,1984-12-14 18:04:35+00:00,204.96744073418466,200.37161561493292,206.65513477456557,213.7815192978731,204.01443329174532,202.5303035506299,204.10798270455356,204.480600942094,212.05693277777183,215.51930095219151,217.04205643237708,214.59379319251653,216.33656985122184,219.17582061163006,215.6129025745796,216.64529044075812
8,1984-12-30 18:04:44+00:00,209.7663041960652,213.53841123299168,213.85216896278678,214.1127713698327,204.64560694615813,204.89463450830266,207.01022093378054,208.7205478274992,212.87270350659048,224.26746904990264,226.66310090713364,223.24573163014537,226.1579718222986,226.23686159915,231.33972351536565,222.34744174787667
9,1985-01-15 18:04:51+00:00,209.16798135479416,205.53558411805093,218.2280288840868,210.157041105423,203.80647716039928,210.28583421960647,208.03883630751184,211.1928320991104,211.6022419407505,219.10949785226163,220.85749357105433,215.57818646697356,216.45501686592317,215.45788864996052,215.88527127626293,219.6502723935256
10,1985-01-31 18:04:55+00:00,215.4920109418129,211.6362980022406,217.53991277928606,205.71371815886997,197.55757560753722,209.29569893113765,209.7828304129253,213.82404162742807,219.21797492804436,222.30797202719137,225.0630619155213,214.31798230191413,214.71407088671043,216.49964187971443,216.50625406896563,221.97543553420294
11,1985-03-20 18:04:55+00:00,205.39379641843738,204.0046079693751,213.4887544803077,207.80892675982554,201.19131482957854,204.29740398531163,205.16464535350113,207.4800227147085,203.30201643205626,215.0825053767606,216.098306092918,214.27285082953412,219.40101804477376,215.60276132727677,215.76109045751033,222.95154906421052
12,1985-06-08 18:04:37+00:00,214.21895580150843,207.27289521863918,217.13739039534153,211.50772472632596,206.02726126850666,210.9488563879483,210.246281157339,212.66293219578364,220.37821698408214,223.5753426111982,230.8611013799774,224.6523509298901,219.4026082059899,227.02149952693853,223.11942970555262,221.81640834396518
13,1985-09-12 18:03:49+00:00,221.02153745567998,225.91468576258194,228.53863638694742,229.25717103207884,220.94461868285006,223.03663905961477,224.7623743497986,222.33376094203987,217.279100070324,224.74384123301462,224.10457681300076,223.14573906593697,224.23635961193824,222.46303698034413,223.91747245493931,219.51540513296928
14,1985-10-14 18:03:28+00:00,219.55511962710105,223.4275639846595,232.62863784829707,226.77588998253103,225.4928721571225,223.20287658315658,222.9633243458797,220.58125445098418,217.90919417209093,226.86965302902593,221.18915367874735,219.60393380985633,216.65423360268096,228.32664509638022,227.56231428505757,237.42609966163982
15,1985-11-15 18:03:01+00:00,213.03381494738048,220.21473236078128,236.97365969087616,236.52431062864972,231.2392098558841,226.89967812378606,224.31506553749688,219.98909901058636,221.3357268886645,228.65347823111185,,228.29449185158467,223.23097806791873,222.7467732025351,228.6681154173196,251.49232169800916
16,1986-01-18 18:01:49+00:00,215.02956413081344,211.05194241060832,216.70613204663735,208.62859641328185,201.71873963176407,213.25058791073118,209.84261926426265,213.73214746347978,215.98747784159747,218.02116332968174,221.44259484529297,212.30500536804269,214.99386901927906,217.23449993019565,214.10417070575392,216.27243471225498
17,1986-02-03 18:01:28+00:00,208.42082304723084,202.6766297776491,209.91725548509672,207.3211813081752,198.2048129942502,199.79209974027273,198.27607437740656,208.2893644324634,203.1419234347163,209.43271356849434,208.24948417814767,206.47430983899892,212.84941031358483,213.98835773533176,212.46765166827612,216.48760531385452
18,1986-04-08 18:00:05+00:00,207.08309352364643,205.10173630546657,202.21850249358369,204.06774983979656,199.06125884003603,205.6792150971748,207.33117203982312,210.4468463973286,209.81657181580346,215.23629048251675,207.5490365639969,205.51265088019295,212.08517266762206,214.20515715546722,211.33255932804636,220.61959476106674
19,1986-04-24 17:59:43+00:00,209.24948845890057,206.63622451044714,204.52485267470507,201.24273290419256,196.35178421718055,195.72618367142053,198.95438303113457,206.4021082662302,208.75923758232142,218.1075068356397,214.8569104807111,209.64250955683588,213.0479349401079,215.3214636408238,213.61694755931077,215.6615163379378
20,1986-05-10 17:59:18+00:00,213.92738101456524,211.77499245509142,209.50237609378362,205.5368268477213,202.71914209206943,204.5079615683143,204.8206242377897,200.54897273694087,201.6023200195366,220.43319688213958,216.70913263894627,206.8479653458304,215.68611260097634,216.12553045980846,215.15745617977802,219.15116584546277
21,1986-07-13 17:57:19+00:00,216.99549904303092,215.5813188468973,213.98606913246613,211.72187899072824,200.9048956698979,203.340392043031,204.6238951032291,201.3974977865552,210.42424084447984,215.03330501786564,214.1266855043843,216.03644678825188,218.34682092965468,218.62788711992516,215.43948803011875,217.36833690858123
22,1986-07-29 17:56:45+00:00,219.15003088094187,214.59342454921912,218.01649690907027,208.52379670052068,211.11190703274463,207.12434818089312,210.20835989669908,208.60405670328615,213.97574413666052,218.9846150637432,216.3120507692016,221.52747235430797,218.71538332456373,222.23277676278855,216.06529033089555,213.0701065629307
23,1986-08-30 17:55:34+00:00,215.29392598801743,217.21606624809317,213.19995037778924,198.56941566960862,200.74870718036576,198.1742575200017,200.79906313592218,202.4694951191926,206.44218694364213,206.58940145095434,207.89441501346093,202.4339987118473,209.78591342334664,213.31443348124833,209.53401226414823,210.24003763876908
24,1986-09-15 17:55:02+00:00,215.95686028798457,218.1456192403494,221.72609632910672,204.21251474033136,205.75218357300147,198.05706156992665,201.4180456304515,203.8947921591476,208.56569567963,214.339657241827,218.0095838868589,215.8518571914142,225.36166602768478,220.8415567728872,222.1747615206623,225.74802557355588
25,1986-10-17 17:54:01+00:00,202.77678938525503,210.19719469104467,208.77519896737317,202.99502340356605,193.64315060703757,195.70168839365297,196.14246145249137,197.9800057565617,209.70401841435276,211.13017495484166,213.58606215790542,218.3130168761677,213.61842109923026,216.76537286942013,213.77519478522234,211.53970108146635
26,1986-11-02 17:53:27+00:00,209.00414214149492,198.8837116023233,201.38940984666112,203.3326734629967,196.95110114951802,199.0220665412236,204.53578354500496,208.77627725367014,209.22363176675196,210.24595261259492,216.39428713277687,215.78394753906665,216.6896369851299,221.06110850492743,211.01700173793384,213.22760956997075
