,dates,jap0362-0000,jap0362-0001,jap0362-0002,jap0362-0003,jap0362-0004,jap0362-0005,jap0362-0006,jap0362-0007,jap0362-0008,jap0362-0009,jap0362-0010,jap0362-0011,jap0362-0012,jap0362-0013,jap0362-0014,jap0362-0015,jap0362-0016,jap0362-0017,jap0362-0018,jap0362-0019,jap0362-0020,jap0362-0021,jap0362-0022,jap0362-0023,jap0362-0024,jap0362-0025,jap0362-0026
0,1984-07-02 01:16:26+00:00,220.40448437631682,202.71210465120512,,176.6638628464583,173.83202771702503,170.08215678748897,176.76737335263562,186.16736587621722,,186.5767573116053,182.89478104150868,,205.9246537468328,221.9470035765333,229.51759705905914,,,,,,,,186.30860311723754,186.04174868308502,181.23493373475614,184.7358391827279,199.34739615981283
1,1984-10-22 01:17:58+00:00,228.836536738627,225.16879587524124,,182.3931212615897,180.82088673685521,182.3679802984235,167.03945863151927,174.30772757550858,,181.6181664040204,191.05117174856,186.8677907767119,194.2810588651478,192.70240611514774,198.2773951969835,201.96680530989823,218.1335544470974,210.71463620945997,193.63353291360545,201.9549324772917,163.8337223952602,186.9502761624938,162.2136305179843,155.68930230229728,165.49957366070137,181.72192268606403,198.22873740751038
2,1985-05-18 01:18:02+00:00,228.4686749603477,194.48968761647023,,186.76347779525847,178.56301555022827,164.553399116036,175.97709082335345,190.51322643120628,186.0481066631326,163.5064426472787,179.07301758258848,181.94922621515377,203.27076240241175,193.11646580987528,205.65806900730826,216.94796266194993,224.68257795544832,222.7633781119087,203.66978652787418,187.11812811706264,169.12013409334463,153.67848175142652,170.11740618816788,180.49598155929166,172.74348032632875,176.46099983484328,204.92973057614935
3,1985-10-09 01:16:57+00:00,249.4912138856351,219.58434797453612,,200.9332490958571,199.69593018894054,,202.63357023691933,213.6040427572387,216.74666931342801,200.20472590152784,201.9953931901019,205.88264790483893,210.37679510943968,212.99594321209693,210.51422995060133,219.77168810942314,227.96328689935498,237.9783735689457,227.46576347750175,217.72716542985052,214.78832088396786,,215.76484665528685,215.64476103802363,206.45792261222923,208.8859178266879,232.30995106490928
4,1986-09-26 01:08:08+00:00,219.38163476178462,202.38344327156165,193.8406864103668,184.14346980662475,178.91965253960532,174.1668518281803,174.4954065774138,185.16803689157547,,179.15574473312233,176.66310404707096,196.45303844606954,207.9701302690878,208.20058075493495,214.5481866653909,224.4572469337718,235.33011290748306,240.50460501715023,211.94662129604228,199.60335064370463,185.07333314540335,137.98741121382875,163.82065787548532,173.49505898004153,177.79674634463444,195.26376192091337,227.27260500437853
5,1986-12-15 01:06:42+00:00,251.13284216440215,237.8389753169718,,212.9633448455101,201.7755222622499,,210.46992102002133,217.9230943056372,220.91092828174385,208.4565288761006,219.22854184853645,212.76249892486723,229.42904853102104,232.44945127301605,234.53606182269516,241.46919250552736,244.77257509479378,248.65716734781884,230.40374174846,220.48372643912444,209.69539403127808,,191.88972870822806,198.84316160105612,189.3285938798437,204.49659138582342,215.5170745607828
6,1987-03-05 01:09:24+00:00,276.4764765479446,249.15709757570247,,229.44372656930057,223.3478477604676,,234.86549043423014,247.03252309494889,239.6889682131156,235.27719189818023,,238.9649505757047,251.1203108051326,254.50682175204446,255.84763666849173,259.06685640949917,270.0808104409878,286.52375165957994,278.797456279695,258.68676085834323,228.1668687464583,,225.930892587649,222.8444537150746,222.40900407141385,225.9479398047686,247.22508045393045
7,1987-08-12 01:13:52+00:00,240.1713442065856,220.04747034831374,213.7227989916403,206.1375141456992,200.804317658008,,206.4539742691503,221.05683527237974,219.66488990748562,209.81777215476495,210.07068995363488,220.09513726964252,229.16986269655933,237.55618351941231,243.217873257227,255.82787956852357,266.8926182457621,275.28954336484054,258.13942898181546,236.54650004497364,212.30397540375594,137.19569064213766,191.16921551641275,199.79770263739542,203.20686422753866,216.33603524666296,238.9154137321736
8,1987-08-28 01:14:19+00:00,248.09486109759803,228.970558039079,,212.73648832194522,211.011043681936,,219.0124725785965,229.04929560885537,222.14070789635662,215.80709057802636,217.28540145825323,226.39602364243405,237.2673145498806,255.9016491506701,259.8886793672072,255.49151981667444,271.77023572414396,,,,,,,,,215.15222286913348,238.67296221633347
9,1988-03-07 01:17:46+00:00,241.9288006839461,227.65640043195665,,212.3116391350267,199.22088539132207,194.89924395616,200.41133512945856,207.9472753006564,214.3298718034686,208.05691925707106,206.89628633718232,217.06102228052467,221.00584605664423,237.74073502685246,,239.22736426247124,246.80184906574064,256.9707736510892,239.96395488149446,221.1138485820142,211.54806352597063,164.1142910820018,207.53707261642134,214.86494662618063,209.20186304317238,205.34969419423206,208.52547808262275
