dates,satname,nzd0259-0000,nzd0259-0001,nzd0259-0002,nzd0259-0003,nzd0259-0004,nzd0259-0005,nzd0259-0006,nzd0259-0007,nzd0259-0008,nzd0259-0009,nzd0259-0010,nzd0259-0011,nzd0259-0012,nzd0259-0013,nzd0259-0014,nzd0259-0015,nzd0259-0016,nzd0259-0017,nzd0259-0018
1999-12-25 21:59:16+00:00,L7,347.99,314.79,303.34,294.37,293.90,311.52,310.82,308.22,317.29,325.19,317.91,317.46,315.37,326.81,330.75,344.29,332.95,329.61,322.90
2000-01-10 21:59:16+00:00,L7,347.96,325.15,320.45,312.59,313.27,316.27,320.90,327.17,334.70,337.42,335.75,343.34,339.28,341.39,344.90,347.07,347.01,342.68,338.44
2000-01-26 21:59:14+00:00,L7,363.39,341.43,326.48,340.10,322.27,324.14,342.24,339.93,353.51,350.35,354.45,339.73,354.24,366.55,359.38,332.41,261.87,251.98,257.55
2000-03-14 21:58:59+00:00,L7,365.14,,304.52,312.78,315.59,317.01,335.10,339.68,348.50,367.00,356.19,360.16,376.17,376.61,388.41,386.68,377.44,378.10,369.71
2000-03-30 21:58:57+00:00,L7,350.19,314.23,300.68,304.12,,309.31,324.91,328.95,341.31,344.58,347.34,356.52,364.11,364.33,374.64,366.25,355.26,350.32,342.07
2000-07-04 21:58:02+00:00,L7,333.09,314.13,280.78,284.80,264.87,283.63,302.42,307.66,311.03,324.76,323.65,324.75,331.20,333.57,334.40,333.89,87.38,250.75,254.27
2000-08-05 21:57:32+00:00,L7,339.50,321.10,293.61,298.31,268.54,288.42,316.33,326.70,330.46,336.60,330.93,340.02,334.73,343.82,327.83,347.16,338.93,254.11,256.69
2000-09-22 21:56:53+00:00,L7,351.47,325.19,307.29,307.41,313.19,313.70,314.38,318.13,331.84,351.53,358.89,354.11,358.36,361.51,346.09,336.89,338.91,257.10,262.62
2000-11-09 21:56:45+00:00,L7,348.18,324.28,301.48,304.64,298.77,296.82,309.72,316.19,323.06,328.54,330.49,314.94,331.37,333.13,332.13,326.38,325.78,322.74,299.45
2000-11-25 21:56:47+00:00,L7,341.74,313.04,305.19,296.81,275.57,288.81,282.15,294.15,294.14,305.47,314.24,262.82,302.12,290.81,296.27,303.85,295.98,281.31,275.62
2001-03-17 21:56:40+00:00,L7,370.82,316.31,303.94,302.03,,314.79,324.26,323.67,326.15,338.16,350.65,356.35,362.90,380.42,378.63,386.12,376.92,366.77,353.99
2001-04-02 21:56:30+00:00,L7,308.51,,260.37,270.42,256.16,,332.26,344.22,343.46,350.19,359.18,376.59,364.43,380.89,388.47,383.38,374.87,,
