dates,satname,nzd0565-0000,nzd0565-0001,nzd0565-0002
1999-07-02 21:59:57+00:00,L7,,197.62,182.80
1999-08-26 22:06:20+00:00,L7,204.46,190.79,189.53
1999-09-20 22:00:08+00:00,L7,221.63,209.96,212.46
1999-09-27 22:06:00+00:00,L7,205.36,200.26,187.58
1999-11-07 22:00:08+00:00,L7,194.47,190.76,186.28
1999-11-30 22:05:47+00:00,L7,218.05,209.71,211.08
1999-12-09 22:00:09+00:00,L7,205.11,196.29,196.02
1999-12-25 22:00:04+00:00,L7,211.67,205.65,208.54
2000-01-17 22:05:47+00:00,L7,209.25,196.52,193.31
2000-02-11 21:59:57+00:00,L7,235.81,229.48,220.04
2000-02-18 22:05:41+00:00,L7,198.67,188.27,185.13
2000-02-27 21:59:52+00:00,L7,233.20,227.64,221.20
2000-03-05 22:05:36+00:00,L7,197.78,188.50,185.75
2000-03-21 22:06:01+00:00,L7,201.19,197.04,188.09
2000-03-30 21:59:45+00:00,L7,221.13,208.06,215.45
2000-04-15 21:59:31+00:00,L7,,,
2000-05-01 21:59:30+00:00,L7,211.69,215.68,197.32
2000-05-08 22:05:33+00:00,L7,218.99,219.25,202.89
2000-05-17 21:59:19+00:00,L7,201.84,190.13,177.50
2000-05-24 22:04:58+00:00,L7,220.66,220.36,205.77
2000-06-02 21:59:07+00:00,L7,,,
2000-06-18 21:59:03+00:00,L7,213.69,219.10,194.47
2000-07-04 21:58:50+00:00,L7,215.52,213.55,189.38
2000-07-27 22:04:12+00:00,L7,214.17,204.09,197.71
2000-08-05 21:58:20+00:00,L7,230.41,227.68,
2000-08-12 22:04:05+00:00,L7,209.99,199.77,194.36
2000-09-13 22:04:02+00:00,L7,208.17,197.73,197.58
2000-11-09 21:57:33+00:00,L7,199.68,196.74,191.03
2000-11-16 22:03:20+00:00,L7,212.88,204.32,204.56
2000-11-25 21:57:34+00:00,L7,188.12,188.86,180.90
2000-12-11 21:57:36+00:00,L7,201.49,191.78,192.69
2001-01-03 22:03:24+00:00,L7,216.52,218.74,206.90
2001-01-12 21:57:42+00:00,L7,209.42,213.66,201.45
2001-01-19 22:03:31+00:00,L7,208.38,202.54,200.40
2001-01-28 21:57:44+00:00,L7,212.10,211.78,213.61
2001-02-13 21:57:39+00:00,L7,211.68,213.26,211.79
2001-02-20 22:03:24+00:00,L7,204.38,202.03,199.82
2001-04-02 21:57:18+00:00,L7,210.15,205.60,198.89
2001-05-20 21:57:04+00:00,L7,213.16,197.33,195.03
2001-05-27 22:03:12+00:00,L7,219.32,217.84,194.76
2001-06-05 21:56:52+00:00,L7,,201.97,181.42
2001-06-28 22:02:45+00:00,L7,,224.41,
2001-07-07 21:56:36+00:00,L7,225.52,218.94,195.42
2001-07-14 22:02:45+00:00,L7,236.31,230.87,216.08
2001-08-08 21:56:12+00:00,L7,211.00,203.34,193.22
2001-08-15 22:02:14+00:00,L7,214.18,214.64,200.57
2001-09-25 21:55:40+00:00,L7,223.77,221.78,221.13
2001-10-02 22:01:16+00:00,L7,204.95,197.73,189.20
2001-11-03 22:01:22+00:00,L7,196.82,194.67,187.77
2002-01-22 22:01:52+00:00,L7,230.63,220.52,215.32
2002-01-31 21:56:02+00:00,L7,205.33,199.02,193.81
2002-03-04 21:56:09+00:00,L7,215.83,206.99,205.62
2002-03-11 22:01:55+00:00,L7,202.97,196.38,190.15
2002-03-27 22:01:49+00:00,L7,198.17,191.90,183.48
2002-05-07 21:56:03+00:00,L7,217.03,214.51,206.18
2002-05-14 22:02:07+00:00,L7,,163.24,173.95
2002-05-30 22:02:01+00:00,L7,229.03,224.39,194.86
2002-07-17 22:01:44+00:00,L7,239.41,236.09,
2002-08-02 22:01:13+00:00,L7,219.50,227.58,219.31
2002-08-18 22:01:09+00:00,L7,216.97,208.59,205.22
2002-08-27 21:55:12+00:00,L7,225.41,226.10,217.61
2002-09-12 21:55:07+00:00,L7,235.71,226.90,215.91
2002-10-05 22:00:43+00:00,L7,200.60,185.43,187.37
2002-10-14 21:54:55+00:00,L7,215.09,208.80,217.98
2002-10-21 22:00:48+00:00,L7,191.80,177.04,181.88
2002-10-30 21:55:01+00:00,L7,212.25,217.00,210.22
2002-11-15 21:55:12+00:00,L7,206.21,210.34,204.84
2003-01-25 22:01:54+00:00,L7,211.75,209.77,208.31
2003-02-03 21:55:49+00:00,L7,210.01,212.03,203.65
2003-02-19 21:55:54+00:00,L7,208.08,197.57,196.02
2003-02-26 22:02:04+00:00,L7,210.83,212.81,207.18
2003-03-07 21:55:58+00:00,L7,213.13,225.02,212.18
2003-03-14 22:02:08+00:00,L7,213.88,207.42,205.96
