,dates,usa_HI_0012-0000,usa_HI_0012-0001,usa_HI_0012-0002,usa_HI_0012-0003,usa_HI_0012-0004,usa_HI_0012-0005,usa_HI_0012-0006,usa_HI_0012-0007,usa_HI_0012-0008,usa_HI_0012-0009
0,1991-11-10 20:18:16+00:00,171.96799716726147,177.80992162653897,171.13425763666302,167.83597442117824,173.9489401900991,175.12404384599134,179.58209723177993,186.51209049888578,188.8665865481848,184.63095140416937
1,1991-12-12 20:18:31+00:00,181.12141292420944,180.4438392047575,177.50997505654055,171.3183340772734,173.34848495367626,177.2325087556392,190.890322973552,,,
2,1999-07-03 20:46:48+00:00,186.70143212332385,182.78326805879755,180.17734099819236,172.04773924324024,177.6936643284209,177.58275861923752,186.938914264085,182.32731056486733,185.5337923718674,184.45838216140496
3,1999-08-20 20:46:55+00:00,184.25287141418048,182.49980654356438,177.69661076239666,172.4353119578398,176.17784893572207,183.9978795311191,184.15598879348934,189.39289795035714,187.61446281418398,191.56437536373468
4,1999-09-05 20:46:59+00:00,182.20751228684352,184.73583015651917,173.95965505487507,172.34052461615937,178.2706527355861,180.19302016819898,190.7282319231274,187.5007714191551,188.99635475130248,187.6644861278065
5,1999-11-24 20:46:49+00:00,190.99573313606038,184.25770846848604,178.71159429987867,173.0756309817223,176.98794117269165,175.1343264321054,181.42245274739005,180.29550649438204,184.10600007010774,184.02378406442583
6,2000-02-12 20:46:47+00:00,194.88710517481326,197.55217036543908,185.85935848143143,175.22392496373274,180.1960496920878,177.27767152217234,190.49687356970122,184.75819044538144,194.06680550074486,185.5920693747261
7,2000-03-15 20:46:37+00:00,186.05706226645458,192.87229943787725,174.85265871302727,173.04522687895926,173.1756031004528,178.69493754099693,182.42466335338506,188.6344780201113,188.53297561480633,185.08345285334846
8,2000-06-03 20:45:56+00:00,190.89619138720818,183.4564869608674,177.12207366706275,175.06096916315852,174.7597887814404,186.21561169053683,184.92962496858485,190.7967966049136,183.3115442882549,191.1001962428008
9,2000-09-07 20:44:48+00:00,179.0915098353297,176.1243527596182,171.07688519023893,168.31613148527086,171.10349707898877,178.57253806174083,184.36728745350248,188.4156142322646,183.92936148173763,184.34429871370702
