,dates,mex0142-0000,mex0142-0001,mex0142-0002,mex0142-0003,mex0142-0004,mex0142-0005,mex0142-0006,mex0142-0007,mex0142-0008,mex0142-0009,mex0142-0010,mex0142-0011,mex0142-0012,mex0142-0013,mex0142-0014,mex0142-0015,mex0142-0016,mex0142-0017,mex0142-0018,mex0142-0019,mex0142-0020,mex0142-0021,mex0142-0022,mex0142-0023,mex0142-0024,mex0142-0025,mex0142-0026,mex0142-0027,mex0142-0028,mex0142-0029,mex0142-0030,mex0142-0031,mex0142-0032,mex0142-0033,mex0142-0034,mex0142-0035,mex0142-0036,mex0142-0037,mex0142-0038,mex0142-0039,mex0142-0040,mex0142-0041,mex0142-0042,mex0142-0043,mex0142-0044,mex0142-0045,mex0142-0046,mex0142-0047,mex0142-0048,mex0142-0049,mex0142-0050,mex0142-0051,mex0142-0052,mex0142-0053,mex0142-0054,mex0142-0055,mex0142-0056,mex0142-0057,mex0142-0058,mex0142-0059,mex0142-0060,mex0142-0061,mex0142-0062,mex0142-0063,mex0142-0064,mex0142-0065,mex0142-0066,mex0142-0067,mex0142-0068,mex0142-0069,mex0142-0070,mex0142-0071,mex0142-0072,mex0142-0073,mex0142-0074,mex0142-0075,mex0142-0076,mex0142-0077,mex0142-0078,mex0142-0079,mex0142-0080,mex0142-0081,mex0142-0082,mex0142-0083,mex0142-0084,mex0142-0085,mex0142-0086,mex0142-0087,mex0142-0088,mex0142-0089,mex0142-0090,mex0142-0091,mex0142-0092,mex0142-0093,mex0142-0094,mex0142-0095,mex0142-0096,mex0142-0097,mex0142-0098,mex0142-0099,mex0142-0100,mex0142-0101,mex0142-0102,mex0142-0103,mex0142-0104,mex0142-0105,mex0142-0106,mex0142-0107,mex0142-0108,mex0142-0109,mex0142-0110,mex0142-0111,mex0142-0112,mex0142-0113,mex0142-0114,mex0142-0115,mex0142-0116,mex0142-0117,mex0142-0118,mex0142-0119,mex0142-0120,mex0142-0121,mex0142-0122,mex0142-0123,mex0142-0124,mex0142-0125,mex0142-0126,mex0142-0127,mex0142-0128,mex0142-0129,mex0142-0130
0,1986-01-25 16:33:44+00:00,226.62275536738287,232.51560006559026,230.7215059295631,232.6151501519672,236.63120629641867,235.85666561494347,233.44113109418777,233.84075971833107,229.2798396639168,231.60151246488184,231.0081315827432,238.24157522054588,237.6079695971919,240.64141597840361,237.35552645981653,238.63543935814005,237.52394391973428,241.24571529887388,230.82101109718607,237.4293876742745,237.74377710686161,239.76305966702148,240.80522193512016,243.92557996257648,242.8419881280009,242.22761821339003,242.65588332072696,236.52109641687474,234.28272814399872,237.42090616058135,239.34582473397708,241.34547672760027,248.2152336869728,244.39899973825288,245.55596389465882,244.46676240404315,248.16263376913741,240.92007235976197,238.254066317577,233.73600877157276,230.0189795228698,225.03598415513915,224.87119796473826,226.28775371076864,227.0945001450478,230.27428323312836,232.6465151878843,239.05405706073986,237.60499167596257,240.85030562632824,243.11478799324547,239.17764481598047,233.50376392887628,230.3896302810104,233.21313151949252,233.9549429936472,238.07546098082244,237.6301660803534,237.02026952846566,236.84226795200743,235.15774603760383,236.47094833987748,233.3216816182539,228.63897328600672,229.01144485187993,228.00709196496211,226.49187170733353,220.92798705509463,222.29344496561822,223.68316245909628,232.5651757736067,230.80119254293146,236.33951206650858,235.3354157090991,236.25153907816036,235.67963874794503,240.9165724710918,237.7724254183372,237.7748269988502,239.48040263649855,239.69604200833294,239.01697622867582,242.93671078764865,242.6295367412803,242.1829252284205,240.94590532976304,241.98252519443906,239.45561647718006,239.08016485846662,237.7972697797258,236.47638273318975,236.87158800201723,232.8127341330606,232.65489837721685,234.85604039345682,231.58858249794218,231.6547875639696,231.0766849462179,227.56660447388307,228.7735023406193,230.69427047765345,248.02774023173697,247.05407082454758,244.66854173064075,246.94809258577908,256.5347052981877,257.8815073038237,259.65796465435284,268.01460541164727,260.1744833080976,256.9110143890507,254.44040651762356,255.00136885874497,258.0328344028884,256.91573315855396,259.0659826439693,259.23000726654044,256.73910471333585,259.9078785813957,255.89988618926154,257.54525619146983,255.07419604167396,255.80093820714188,255.93755173400643,255.9459712909596,257.4535782151289,,254.32736434326068,251.3005700606025,240.5563976832072,237.64744854446164
1,1986-03-14 16:32:40+00:00,233.13585806880474,236.2734972460261,239.32370732748137,235.58834255555428,241.62939442190714,236.32169458210228,238.71816497635848,229.9640993179682,233.09716958166769,228.11816858559746,231.15226895093275,233.1213159965623,242.16687461761376,241.04529318932003,242.586260006413,243.64228922009198,245.59386427745818,246.36209051152255,242.42738107022262,245.0413975901098,246.14472393020947,240.3630878973205,244.3300988035403,249.18297117030787,244.56470069890563,239.74915744987624,245.92143370272794,246.88599283015833,243.15177585210265,241.96500681732707,239.91610430632946,242.78385328785768,248.1662257553495,250.61345898144728,251.56493707155505,255.7203816809129,255.05817353392098,250.00025334402704,246.5618648799575,241.26292301866997,231.6498903170728,229.79261176506083,236.29454400714963,237.35122275721534,231.07365035678833,233.32209566784243,233.6535192965281,239.61696740391582,243.88389579320895,244.89094552244927,244.9644434423534,241.93055158931463,237.74571899285394,232.30672027352472,237.3090507088673,237.82434319671364,239.95106479227226,238.45198941284713,242.35518803793803,244.79807075833352,249.1695144475886,243.1109001875417,240.99563902011255,244.14794845212054,242.36110949599765,242.57702964237967,232.5727265084652,230.64025661247913,236.22291866732525,234.7258756105098,236.1894734500184,234.3706789207165,235.8898717555183,240.52084563151905,239.24658458247083,245.44183759880573,238.97207252068088,248.74602801173097,245.36566546619065,244.1157558238016,245.85773781124422,243.75414146747528,248.08240477442843,245.1500515689903,242.97450829692883,246.467372765709,243.93121226442182,242.69053110524237,244.05335358142128,244.16403062296038,238.7853333374738,235.01636943861956,241.44546433629677,242.9266524597702,245.24444689881412,239.76248894715027,245.50467049365272,243.0471020038069,237.86270901831617,232.28511478694344,243.09248813390374,239.8013888427868,245.90636696584988,245.68989409630268,250.19466724937564,248.62674660897045,252.66017454687628,258.74919553312134,260.3059966743772,259.34013624957134,259.52000037418134,257.8854992083585,256.56361356545847,258.5711703805833,263.70522809777117,258.493535555463,260.40997512199834,258.3708928873888,254.1608626681973,256.0475525083227,250.40125234122414,253.47413602337934,260.7578716386193,264.24850248057805,260.42318348626986,,,255.8327354777594,253.48294232348147,255.27126202749872,248.8730168579518
2,1986-10-08 16:26:23+00:00,205.2357949688863,211.1284374591802,214.75857562382447,214.21473339654543,216.43506783734324,215.90593853945862,211.71594346142342,213.61332128835835,204.32943539748936,209.18132855682018,212.09639495595758,215.14433474280776,211.1414278431224,212.41778029175714,213.2824693759739,214.06859444593442,209.1619522268177,209.2315357033626,211.71747125857365,212.78639646068052,207.36849933766615,220.15562766142497,217.6092249196031,219.02088305359524,221.59190378373768,218.29136877826303,217.58306050936147,220.95631419924496,218.4355444393903,218.51483061925785,215.48426652843546,222.06569579213246,216.45431277821314,217.84917697389528,217.15243748335553,222.43593345465416,221.24562410235896,219.0563482346218,218.1526166507922,215.99558753520412,207.5215004243055,203.4815802675478,196.4989388750675,195.3321657382715,205.4383514078144,207.99087332206466,216.44887249690493,216.1121171393566,213.95291177586188,215.31268378573236,214.4041049110256,213.1535587904091,211.209260571206,204.26436490363466,208.926837422289,209.11133168871208,211.36434216855477,218.14765596434466,218.09797127172683,220.45030741927482,213.67014083068074,208.2446739698173,210.60195537632484,207.47699277960515,205.62441777125855,211.38282963308865,206.12078029140835,205.86593444758782,200.8673565976863,201.67372806511213,200.2914854433189,212.99271814524224,207.60200399022682,211.73850584513292,211.2141615154606,212.1759754935921,215.2487207428918,212.97246090822065,221.66905566952374,215.83236019098996,218.00327858041334,218.39716473113936,213.82969010967156,219.17477970716675,222.67154220653788,220.21673562265698,217.02551670796527,215.44253264013173,214.08602953565043,213.41626625847798,212.82098298655433,213.26023904152797,213.60533525529314,211.62157247150063,212.4177599444837,209.34829089747996,210.15503116100848,210.5012581412583,210.0231261077211,214.5595966814626,212.81588684448104,221.58297612366627,217.03860607049592,215.05498758617028,221.06497469001243,225.1585786910327,228.68167005729174,235.238345484783,231.5231901776195,233.26820414038292,232.80604801534435,237.97946618327236,233.15204359812887,234.2408263371413,234.2724443079581,230.33548651987533,229.7705353283889,229.98314713514665,228.4859313866103,226.59084864711792,225.80321950606378,227.40150906343862,223.80955252229128,223.64019102958036,231.7321528291643,230.65161464045826,,231.9700306186785,221.86488612304748,212.80612292400767,211.521990523157
3,1990-03-25 16:26:48+00:00,222.14532555482964,227.0714846109687,230.25703212726722,225.70522510260872,225.47115394170532,221.65439300954986,222.69480512824944,221.32036296738352,219.91022367768625,221.53017532216364,227.27205882348977,221.28427200821616,225.69900513386978,227.91576799409586,226.3129787562645,226.43032449790576,224.91644282702492,241.12139966702642,231.44791341144727,236.6949267240227,231.93500943494752,232.3499512219155,232.25996440657102,234.66887904544183,228.4296697206688,236.02556384575124,235.16957559041117,237.56955853812897,229.48395736908554,231.72859330843548,232.83882683330242,236.44670844754532,236.79039241877322,239.1332882079568,245.8556110355217,240.16855463522165,244.11735719536424,237.2800024635301,229.0350729959165,225.82988909492929,226.2863914517194,228.83924067775334,223.27191344965635,219.12791208182065,222.27389549988305,223.8203571952788,233.65812959233605,231.63725165116566,233.089439182932,235.3296368507608,233.38661625861982,228.2145074994079,223.84041742341168,226.85936839937943,228.0830873954992,230.77360352654853,226.20037848063936,228.57399515134554,231.4165989303052,229.85492649578805,225.39157212217805,228.39165627328128,221.72199187797526,230.5946350207724,227.56203574343488,221.84024567127432,221.34397931207468,227.582656730133,225.7389553515108,228.31143811772836,228.58486358686298,227.75312943759724,232.3574957702366,232.34062827951374,230.88149371160176,225.68555015725497,233.6155031778325,226.89193423212922,232.4580732412114,226.9405347086766,231.83298237842786,235.51434647690772,235.51650425915273,239.47873206716974,236.37750815786666,233.96556881507928,235.46760295513343,231.35579043524996,231.9865971905809,231.39643381650188,224.59374270588816,220.651199025354,222.92539179818078,216.51837191903735,219.17312868764967,221.09627372932383,222.85000086274334,226.9513635944631,224.53984878651903,227.95881260677572,231.59100728022258,234.0207719060683,232.61971714554085,234.5804570016831,234.0979504888508,239.1384103721935,239.76211295623963,243.74663155497956,242.4211121350629,244.6218872352576,240.3125612974128,241.57571968862248,241.07407281319098,243.96912481382606,241.6501594410974,243.41075664745392,242.47352084427905,242.35078569875472,238.56356084435416,231.70314641590693,237.99694665085363,231.3962383370084,228.03526063735706,231.91829707702115,227.2257431349601,229.99123107178715,,237.20577774265067,225.0621544970166,217.7401262403181,211.47913185708003
4,1993-01-12 16:28:11+00:00,221.07299938110404,230.705556366807,230.91040843790574,232.41214415758316,230.63375484291873,226.17853069955737,230.4950149514338,225.08618646434917,225.48231817293043,224.64395343270817,232.74669491700462,229.24635634020115,230.8548744396919,232.7687066984958,233.05508629698073,229.444355010172,234.37309900559995,233.92621862197413,234.9494001826792,232.73460375577525,232.40094985819167,229.8363546519176,234.31116265239825,233.9345143597957,229.52428776778677,232.92936846296664,230.02362017660448,228.92439628639488,236.66254656892335,238.60022371220077,240.72819627118653,245.6111236091495,241.59339772124798,246.27170763605747,249.23906649153955,247.03085912963772,249.3793004164849,242.72520418923256,231.1434342892236,233.33148372648589,234.46517861095566,228.7628168519363,229.2881578404964,228.4564044891937,224.66044009807874,227.92840366917,231.8288887686038,228.27998622480177,233.41887887882473,235.48300477106568,239.93885140571442,228.01372308765656,227.98161212151564,231.45052921824896,231.70189555799766,235.92958837403987,237.5990204042505,244.44198490636,239.24542286508455,241.087667119017,236.70780386589445,235.2516480724014,231.8734822338083,235.16461288565313,224.90565593595213,228.52768454959863,224.0685213191079,231.62675774620814,228.5994604228542,229.48623764325612,230.54907404471217,227.99439883834572,231.2009739107129,229.49375525243127,234.70772946337902,230.6032954908353,232.87023976123197,228.70771742137265,232.03803815351677,231.40622090935057,232.14483943914524,238.39263153597477,248.7295648232946,245.78602613752165,241.36157467297622,237.93280517705006,241.6730550817819,239.8163592904495,237.9997976302736,235.19887556885413,235.51095750722698,231.31487372158506,231.3089741338739,229.50329970286214,234.851848326147,229.45720054938295,231.29278972164252,234.25060102010093,227.7315044358311,230.6251578441196,233.09131111690908,235.21595134108875,233.69919582941452,236.91658192625945,235.94342649151022,241.68882653498832,240.89333113029073,247.83403735463804,244.8222052403074,241.39217918071992,246.6680888792107,244.45845310848068,244.97713836570145,245.60333839253792,251.61560991240322,252.40695834476048,249.54835874938988,242.36971715939052,251.5495532400672,252.95675924771555,254.02642403521816,253.46957900886514,250.28122873354437,247.55191570523476,247.85613134804376,247.3917476648767,,247.8395776847463,244.99834394109175,230.95489585222052,214.87924285605374
5,1993-01-28 16:28:21+00:00,215.96800100214296,226.5107222553333,228.54455340783187,229.00654273206436,229.98711141319367,224.2824291354889,221.772139325365,220.4431394787602,223.07805964029802,225.17481962415496,226.24390176499236,231.5766915576588,228.14409410665297,228.12271904812707,231.89802888957487,232.81273920883092,231.921055546815,233.79734523554362,236.3277760680346,236.10957921415041,236.05815369803207,236.22155694442705,238.37212751438975,231.85006372413528,235.01081713233634,236.15282319307903,235.3410747063139,231.32159012554075,232.28628526770368,230.85159463993315,234.57746330037025,238.63905658978953,237.80645424934067,233.55958012634545,234.9815963971891,232.74018684255157,231.4345216488264,245.2642674477945,237.84144419055016,226.7623935530108,230.68095433006334,231.20266543932587,226.44768477560456,222.76406641966526,224.4437749930653,225.54531065197529,229.89825874550638,231.76892553915718,235.10829803554992,233.81982340391474,235.19218467519505,232.79570398469662,229.11809735465957,222.98097257661192,232.49627641561648,227.156053343833,226.0134755297977,228.75946095796905,232.63637379241982,233.04581093618236,231.39427891642015,233.42712669176305,227.81958862560776,237.20144335890538,238.53961051649694,233.07622715631226,228.42195891523727,230.42830072680246,228.58968178652032,230.14068345435064,229.85590836303996,230.4877371931179,227.90981564384003,231.61228496582623,231.2955037785295,228.26755515898114,225.0793479002759,230.68930645242455,229.03022066718597,228.9188630823459,230.63139034920283,235.08093948979544,238.164846275706,231.9099846795738,236.95469274755635,235.23584826754674,237.1705696031524,227.9155759651772,233.7138315281331,219.7730134919989,221.88681050615656,221.56764540077683,227.4099508853412,228.7356584274543,235.08832588884823,234.45212168067027,227.32157836439245,232.2467909223298,226.88651598599455,228.52764375859414,227.96576075520522,230.64239617318495,235.8446713153246,241.92587287325878,241.1514067954546,243.84829449344863,244.53560199065151,247.72640252888039,247.85903423187634,248.76395680127862,249.9589872693827,250.67971574301185,249.41012688082176,249.12141335553304,251.05328522590327,245.92247632826198,243.5894164340814,248.9829714164165,246.42148155210975,246.172592378511,246.69412241956613,246.01065509833512,244.90825366399076,244.50046821993868,240.66763071347805,242.0518841930377,,239.69374890860547,230.39919286990002,226.03262700123702,216.17716036989654
6,1993-02-13 16:28:31+00:00,223.9158495569305,229.72611872728567,230.41954255602442,228.23862028811476,229.47792365626992,224.32523690951012,224.18734703492723,217.61816378791093,219.58263423233245,223.48694079278386,226.1266473306495,223.79080949938032,231.85177831139117,231.7981182747504,233.2538638267916,226.89805840722536,224.9865751913436,232.07844117492442,228.57097730351512,227.323054381611,226.62643402723796,228.1169012586136,229.30583118205203,227.17853365376806,228.2274815328572,228.47638865923332,225.66123859325725,228.80677626036913,231.58247663181845,232.32059612382585,234.29183563656375,237.08961032294695,239.56881954402752,239.71852031446085,235.53034661832294,238.31768518276172,242.03462768082704,236.295198525091,231.79507381079657,229.05347214967028,228.63611644714,231.01575832194402,226.23768500578097,229.81041464035832,229.9190203593199,227.2748462517783,234.1445094144072,230.775900037594,230.38826865606978,231.8403139513523,228.7701670475534,225.78656701818062,218.54267009672293,215.40186514890394,219.57893138159704,219.3002152250964,227.61831363883348,231.1203954444517,233.46150590839403,233.15832598462026,232.47327900276125,229.63933331577533,235.3424945286507,232.9201401563296,227.8077765354071,223.71096728266969,221.29461561725674,224.69733800368647,223.24965769304399,231.35112030548075,229.347038401881,233.2690917259716,230.35826866062587,230.1338327195167,230.41697242026814,234.0687138828008,234.0876787075302,231.78361009760312,232.172968743661,239.66016584575576,238.91535625699188,236.0819904740227,238.67556878671024,240.06760436027997,235.52251485307175,238.13670355505417,236.4028409581116,236.59336885302025,233.48328141921778,231.58817879922614,226.97895501346562,228.4434978773341,224.7567059653222,223.78949907357185,221.4780552769531,221.60362493042254,220.7848646829764,226.0980279004891,229.87095161886037,232.3798793983395,230.77793289069254,240.58546456978002,242.9007110939675,243.58871769749032,243.08941147853446,242.64066338477335,243.25341172492742,245.77310628676682,242.76626849255248,240.87832045223408,241.17098810191047,244.01931749443298,245.3453654758742,250.19654335550382,250.05822331150148,245.47410769104027,249.581589499375,249.5812772119999,240.36843810316765,238.67954942961353,233.57312769294774,240.13896356237828,244.6838023444701,241.28485953682264,240.24260480690248,240.17593909255663,,245.33154704244834,233.6905733219956,223.55139164287786,217.5990835361338
7,1993-03-01 16:28:38+00:00,216.72780634357443,228.22729199640708,228.69691777622725,223.64929921334158,217.06630097005544,217.14769951418157,213.48448121917158,219.59829853776972,218.4730913257676,220.01099102451303,219.83550871908076,221.84893422424804,221.3121358088941,223.50870464120595,214.7629870907894,222.7230584779845,223.8058144979817,218.7648940826287,217.2893103858459,223.50776087317388,229.6323197210001,227.57346617072116,223.0821553591049,228.81847642283435,230.75815811585926,227.1271431209344,228.357021220181,229.66103610889994,225.3060852449334,223.7196778371694,226.39272595959685,226.62365544513688,231.72150256422162,228.91846542859895,230.68313362020717,240.82167414385967,235.03387408459406,226.45294811507307,231.7361584294728,224.03607038862913,215.31056379264612,218.8917188178097,211.10707050512946,223.44702293256574,219.34126028012383,219.01557931004322,226.84291184699984,228.28119182165713,226.18858835835664,232.20519297327763,227.51184927368135,227.43098761090846,222.32496825069921,214.69953032783644,215.45513260286052,221.2151956091886,228.4253704799287,228.89053219914868,230.2940701540109,230.57246153468435,229.5478702863827,224.0300184582114,223.60020668452898,219.36336678710393,220.11239016541083,215.98841499326176,218.22052934034335,213.76702359684728,211.30312753840278,219.38358852712244,224.298256881604,225.0367241838469,226.94127369826066,223.5864983037875,221.00920708493555,228.06920604705505,221.36951133469864,224.4655649191705,225.9875473578254,230.47316704393077,225.4515561635156,228.14051166904335,232.50445890752053,227.55716959897762,228.91973989009182,228.48053658535974,228.51714165165075,224.71492546959726,223.25985650926344,218.43422293803002,218.74227851810156,222.16845131153127,219.8510613920804,219.5879002680996,215.86884443690167,216.41618693530953,213.83415954522167,215.09825408117956,208.3175154660094,220.58865633197178,224.74340478894138,223.49422882063783,221.86729584396403,227.57817333571313,237.13545031426685,237.92105047937213,243.27166107871903,243.38770938328955,243.70049524766625,243.8377879692634,244.29961003769256,244.77123111743276,246.39620793545456,238.70731926377874,241.32980946214275,238.63134546994473,239.18928969713517,239.1368682511069,239.87739337563792,233.3153291090071,225.0929499930768,221.73014187327976,227.6304655456098,234.7080278949036,234.3271265548616,230.6432794402058,,242.24826888466018,229.33922442588644,218.19485812592362,210.92038378527624
8,1993-03-17 16:28:45+00:00,213.16194120738345,218.0635882432685,220.92463816987694,216.80777307039338,215.8882257573329,216.51040120750184,221.25481199451625,223.70357047630787,218.2864138710774,219.62973010994284,217.31972462896076,226.53179842147614,225.72052425797196,225.22327843992738,229.46850712942637,227.8339102608889,228.8472173349926,231.24811745080288,225.2544565578712,225.2588351312993,231.03369436539606,235.48438208626476,225.46464563223986,229.16381348449954,230.77719406613448,227.85317063715064,222.7939201277549,221.84755227021995,225.47520308628688,233.1371048847481,238.3203533184798,233.97351512440534,235.97513808575053,238.62705961856034,241.61763112656223,241.81993731982254,236.73412690186757,231.63729812902355,231.82838139587608,227.5511964726502,225.2656620454852,221.32469255785833,214.84825175705993,216.13435470762255,212.59521230363592,219.94024805928214,218.7942290774164,231.3835292657811,223.2750292612942,228.11531426063425,226.30461247996632,220.73128363889577,221.547115697353,229.01402987405754,230.22187027009738,229.4351977402969,236.03621910187388,231.11134312138802,235.10899221660563,234.76948442446627,229.14708124365887,231.72638847778092,232.17834293393457,219.3723658386158,219.25915605966313,220.36227842631047,227.42461487267883,221.41287014615523,227.93745583222452,223.05454214832747,222.24557720720242,228.17187500903498,227.3390524459269,221.20941456305258,226.33728906102522,223.26472824761748,229.9870825550994,225.3332212112634,223.57479107449632,224.21242489171732,234.7480848896905,237.82516421465854,238.51097005047671,237.19853740308247,238.06594355294519,233.28358282414894,231.90034887091747,230.3609888182859,235.24250265166324,224.05556043002503,230.25658551861122,225.50936131043335,228.79795742800496,221.8918179831794,221.30913097429627,218.67550907873306,223.19552574368413,223.55801859827687,219.1865024076376,220.4205979581265,221.00076101902823,227.79368029503038,225.3958662285089,229.81638722263042,233.56108876522885,233.0593398521995,233.30632386026747,239.09678018951877,235.55399569624115,239.58464393513887,241.8300173830597,237.96448172093216,246.151980482944,247.8042180443009,249.39340164195244,249.83578465301923,245.056430406321,243.3211743928103,244.7751696473726,247.40481735644101,245.79915965983906,245.05722459561417,243.40909116083617,243.24472473102045,240.56645656122876,,,245.94068056911468,238.53014737367656,231.76873503696223,218.7956637480619
9,1993-04-02 16:28:49+00:00,207.32231909976946,218.78951780318724,218.3500720664346,221.417512846978,217.1513295813424,215.92716086252452,208.83930840738753,206.44881313655867,214.10550077143182,213.93553465950086,218.57005937420826,222.27082143084832,229.31521677572368,220.9059109005626,221.83964481172507,219.770996068503,221.72043965067348,224.3257215080868,227.31144734353055,229.20596080855762,227.7179976389852,222.59819778631942,226.30473006402417,223.69330567451465,226.05916181047672,227.4979257741178,227.0371848646913,220.36463128168737,218.95852507399067,219.90374210781818,219.49758610797178,231.4575305488413,230.3597511768321,230.22152363562026,232.00068185934379,233.8471461680973,232.2607499744986,231.73130936284372,227.43627547364525,225.228678029305,220.608449705034,212.21876476972054,210.4855464420732,212.428527871033,213.89367102077162,213.8250453749488,218.3091349679179,219.56269036208585,225.9216900059605,225.23274610457293,221.0424908831301,215.97447280516386,215.37319909346442,211.4800508622754,206.61712329661248,213.75792527908686,221.07751470004905,224.2691200734338,230.70752208307798,234.82926435321357,231.27318524512953,231.0594870440387,228.44250035664277,227.45739484094224,221.27414884808906,225.16417555769345,224.19012946128845,221.3110902084464,223.15293543404061,222.3807724582054,222.77831662528362,218.08264678733076,213.30324945530907,216.6979307471924,220.74663954266504,223.4356971949458,224.21290978226273,224.1819380657891,224.7544399764799,226.56077266221084,230.033205678481,225.96839589050214,222.00544794806524,231.93308296111394,224.18588562574496,224.71662996452397,224.63730632910398,230.59508660719905,221.57947117930948,221.77107663674138,220.00493884139303,223.28502542717143,219.88624460523306,219.744677381829,217.01661658255966,220.22017639738925,221.1756209946405,219.63696755028752,219.0170936545989,219.8081905110909,222.7542069247762,224.28047821235248,230.60576229813933,228.1585717054516,229.01187897797345,228.43819406860155,236.554182099703,238.27539899408734,237.77154480749243,239.0536643920625,238.13878891066307,236.65495330182623,240.13858476980948,234.94211870649218,235.34229670543755,234.1286465572769,230.26494171322923,232.3344581531282,228.5703021749856,239.75645654600592,243.3847536055531,238.9721639870789,232.2343290507735,235.16744228033966,236.50317499465922,,,237.17857677092167,221.34179232952104,219.97382808238535,212.2914192317183
