dates,nzd0016-0000,nzd0016-0001,nzd0016-0002,nzd0016-0003,nzd0016-0004,nzd0016-0005,nzd0016-0006,nzd0016-0007,nzd0016-0008,nzd0016-0009,nzd0016-0010,nzd0016-0011,nzd0016-0012,nzd0016-0013,nzd0016-0014,nzd0016-0015,nzd0016-0016,nzd0016-0017,nzd0016-0018,nzd0016-0019,nzd0016-0020,nzd0016-0021,nzd0016-0022,nzd0016-0023,nzd0016-0024,nzd0016-0025,nzd0016-0026,nzd0016-0027,nzd0016-0028,nzd0016-0029,nzd0016-0030,nzd0016-0031,nzd0016-0032,nzd0016-0033,nzd0016-0034,nzd0016-0035,nzd0016-0036,nzd0016-0037,nzd0016-0038,nzd0016-0039,nzd0016-0040,nzd0016-0041,nzd0016-0042,nzd0016-0043,nzd0016-0044,nzd0016-0045,nzd0016-0046,nzd0016-0047,nzd0016-0048,nzd0016-0049,nzd0016-0050,nzd0016-0051,nzd0016-0052,nzd0016-0053,nzd0016-0054,nzd0016-0055,nzd0016-0056,nzd0016-0057,satname
1999-08-17 22:10:26+00:00,415.07,376.23,370.27,351.98,339.87,353.42,352.11,340.94,354.88,360.54,347.18,345.61,353.08,347.42,351.43,344.83,329.20,325.03,324.76,323.04,327.15,342.33,334.38,339.37,343.15,327.69,328.71,317.85,328.38,341.54,334.53,333.96,334.38,336.11,335.43,339.96,338.38,345.04,341.17,352.02,351.78,349.81,350.68,358.02,344.39,345.70,339.41,336.91,333.89,325.63,,,370.81,376.27,388.19,386.30,385.53,381.43,L7
1999-10-04 22:10:38+00:00,414.40,376.23,370.27,351.98,343.76,354.00,353.36,344.65,361.06,363.07,344.26,344.78,352.60,346.96,351.72,337.65,329.02,328.67,330.19,322.58,326.35,343.70,336.77,338.87,343.72,333.64,332.19,325.48,337.27,348.47,340.10,339.82,340.79,344.39,345.40,350.91,343.66,350.80,346.43,357.21,358.49,356.68,358.83,365.95,355.29,357.15,354.49,354.87,352.06,345.37,365.03,377.91,383.56,391.54,394.66,393.44,396.20,387.61,L7
2000-03-28 22:10:07+00:00,415.26,381.23,367.03,353.45,348.32,357.12,356.14,353.44,365.46,364.03,349.67,347.44,353.96,346.86,351.38,335.11,333.43,335.93,337.87,331.95,334.71,349.38,338.72,335.97,340.93,337.42,337.39,335.38,346.16,355.39,345.66,345.69,347.21,352.68,355.37,366.01,357.40,358.95,351.99,360.35,369.02,363.17,364.95,368.05,358.94,363.15,361.36,365.27,361.00,359.88,361.07,378.98,397.31,405.53,402.50,400.81,407.00,398.44,L7
2000-08-19 22:08:38+00:00,405.77,377.69,365.85,348.97,340.13,350.32,344.18,347.38,356.55,354.75,341.67,336.39,344.56,335.73,339.88,326.93,321.35,324.51,327.49,327.53,332.21,344.00,331.91,330.50,336.00,332.62,329.68,323.66,320.83,326.29,323.06,320.69,318.80,318.72,320.58,348.10,346.50,347.00,341.13,344.94,353.72,347.12,348.87,352.76,343.68,344.01,340.07,343.26,336.01,334.33,333.97,353.06,370.53,382.44,384.50,386.19,387.43,385.55,L7
2000-09-04 22:08:22+00:00,406.08,375.17,362.33,350.00,337.13,348.79,343.45,346.25,360.13,354.27,339.00,334.73,343.76,334.88,338.93,325.96,318.05,320.38,322.90,327.24,331.41,345.83,333.91,330.76,332.54,329.36,326.54,320.60,324.50,333.27,327.62,325.29,323.38,323.02,324.48,344.46,338.08,343.75,336.93,344.48,349.15,345.87,349.27,351.86,343.38,344.85,340.73,341.83,339.03,334.59,330.22,345.87,365.89,379.13,379.19,382.62,384.11,385.55,L7
2000-09-20 22:08:03+00:00,410.97,375.32,361.23,349.85,338.38,350.22,344.97,348.33,361.39,354.08,339.52,336.82,343.97,334.36,340.33,329.20,320.55,319.44,321.79,328.41,333.69,347.65,335.58,333.76,333.31,329.81,327.63,320.11,328.27,337.26,330.92,329.47,326.14,328.29,329.83,346.24,341.25,348.79,341.24,347.32,352.29,348.14,353.06,356.07,348.15,348.19,345.74,346.27,343.23,338.31,332.98,348.02,368.37,380.28,379.14,384.38,384.93,384.52,L7
2001-01-26 22:08:07+00:00,406.77,376.02,362.27,353.29,338.92,351.97,345.50,349.34,361.73,354.63,339.13,338.11,347.28,333.26,343.92,333.78,323.28,322.34,325.44,332.27,340.08,354.33,342.56,340.98,338.58,335.25,330.73,320.52,334.75,343.94,338.31,336.00,332.79,335.49,335.84,342.91,339.48,347.88,340.16,347.57,349.95,347.38,354.04,358.57,351.57,349.06,348.00,346.69,342.14,333.12,326.77,339.41,361.44,374.12,373.79,380.55,380.85,380.63,L7
2001-04-16 22:07:42+00:00,407.56,382.02,373.70,361.52,349.86,365.02,359.93,359.52,367.31,369.62,359.53,361.24,371.88,349.03,359.47,347.97,341.22,341.39,347.78,350.96,360.38,369.77,353.98,350.25,348.65,347.62,343.14,332.34,345.12,359.80,359.44,349.05,340.07,341.73,342.13,349.39,348.43,353.44,346.70,353.34,355.44,358.22,363.62,366.01,359.85,358.08,355.84,354.44,345.28,331.93,332.25,342.03,366.73,375.38,380.25,379.13,383.76,383.88,L7
2001-06-03 22:07:16+00:00,407.04,381.61,371.17,358.09,346.87,362.83,357.81,356.64,366.86,369.62,356.37,358.29,367.72,351.67,356.47,342.25,336.54,335.98,340.66,342.70,353.47,365.46,347.49,345.07,345.58,341.68,336.32,328.26,341.16,354.36,355.20,345.38,338.49,336.17,337.11,343.81,342.44,351.86,344.49,348.43,353.47,358.19,361.07,363.24,354.65,351.37,349.39,351.35,339.22,327.33,332.28,344.06,363.72,371.16,376.83,377.38,380.75,380.31,L7
2001-09-07 22:06:11+00:00,408.48,379.48,371.44,350.86,343.53,360.79,354.64,355.29,365.29,368.11,356.31,358.08,363.37,351.88,348.95,334.71,328.42,325.57,329.28,329.91,340.53,353.86,335.30,334.25,336.84,333.36,331.83,322.16,332.05,347.61,345.67,337.02,327.78,324.92,327.35,336.41,334.99,343.06,339.19,344.07,346.87,351.51,351.27,355.34,346.91,345.98,343.49,346.01,333.95,321.70,328.47,337.07,356.04,366.01,374.59,375.26,378.62,374.75,L7
