dates,satname,nzd0547-0000,nzd0547-0001,nzd0547-0002,nzd0547-0003,nzd0547-0004,nzd0547-0005,nzd0547-0006,nzd0547-0007,nzd0547-0008,nzd0547-0009,nzd0547-0010,nzd0547-0011,nzd0547-0012,nzd0547-0013,nzd0547-0014,nzd0547-0015,nzd0547-0016,nzd0547-0017,nzd0547-0018,nzd0547-0019,nzd0547-0020,nzd0547-0021,nzd0547-0022,nzd0547-0023,nzd0547-0024,nzd0547-0025,nzd0547-0026,nzd0547-0027,nzd0547-0028,nzd0547-0029,nzd0547-0030,nzd0547-0031,nzd0547-0032,nzd0547-0033,nzd0547-0034,nzd0547-0035,nzd0547-0036,nzd0547-0037,nzd0547-0038,nzd0547-0039,nzd0547-0040,nzd0547-0041,nzd0547-0042,nzd0547-0043,nzd0547-0044,nzd0547-0045,nzd0547-0046,nzd0547-0047
1999-07-16 22:13:35+00:00,L7,446.24,450.49,619.65,583.50,543.98,392.32,410.58,623.35,623.59,614.24,645.26,593.09,585.22,611.38,631.86,630.63,577.69,515.67,,,,632.56,626.34,643.77,558.14,623.96,602.53,275.09,205.93,554.72,508.85,602.03,606.45,609.19,528.83,540.04,571.38,634.70,642.59,632.16,634.33,593.86,577.32,,,,,
1999-11-05 22:13:40+00:00,L7,350.67,333.41,330.50,346.92,342.04,358.28,365.57,377.11,382.06,390.77,397.04,387.54,377.75,364.52,355.04,345.93,337.34,330.26,334.95,335.69,337.75,333.26,333.48,337.06,338.13,344.67,341.82,335.50,333.07,334.77,340.47,344.81,344.29,345.45,347.81,348.66,342.48,348.33,342.28,352.68,351.72,358.31,357.92,353.22,353.04,348.01,347.98,332.82
1999-12-07 22:13:41+00:00,L7,378.89,375.01,365.88,383.09,397.59,396.74,401.68,403.73,416.24,426.07,424.44,414.41,405.96,402.93,395.62,380.32,361.34,353.07,359.00,364.43,359.59,356.49,364.71,367.69,365.38,365.93,362.24,356.59,356.59,366.05,376.24,376.69,373.22,370.70,375.97,370.91,371.29,374.30,368.30,364.48,374.17,375.47,379.41,375.45,380.48,391.23,407.22,436.16
1999-12-16 22:07:33+00:00,L7,347.28,337.59,324.18,342.14,337.86,347.52,352.75,371.78,376.41,387.96,391.50,380.28,371.27,360.43,353.49,342.38,326.54,319.66,326.00,326.98,331.42,324.79,324.62,331.06,329.92,335.06,333.29,331.75,332.23,339.15,341.62,346.77,343.51,349.41,344.09,343.54,344.71,345.89,343.06,349.59,350.58,355.34,354.41,350.16,341.00,350.76,350.35,339.28
2000-05-08 22:06:44+00:00,L7,117.11,74.53,,323.38,328.19,353.24,354.80,366.66,374.63,379.04,379.22,375.34,370.02,367.80,365.75,358.98,350.41,339.77,340.33,345.77,343.85,344.47,347.09,340.94,337.34,339.10,339.12,340.17,340.09,349.64,360.75,364.20,363.08,358.88,360.59,359.89,363.17,364.09,357.62,352.72,354.84,365.09,368.03,,368.23,378.97,373.78,357.96
2000-09-20 22:11:14+00:00,L7,313.58,307.43,305.41,294.44,313.41,318.99,328.63,352.19,356.39,368.82,366.38,361.50,354.49,344.38,343.94,340.61,332.74,325.76,326.88,329.08,333.98,329.10,329.14,329.21,327.78,332.30,330.20,331.10,333.99,338.98,344.47,343.93,347.37,347.17,348.34,346.48,352.92,356.63,354.12,352.89,352.15,364.68,363.79,361.78,362.69,360.84,353.51,332.88
2000-10-15 22:05:07+00:00,L7,367.17,372.77,365.50,379.40,380.59,365.77,373.94,383.18,390.18,394.71,397.89,397.27,386.18,379.59,373.92,367.75,345.77,359.37,369.49,358.00,353.62,358.34,362.57,364.16,363.37,358.18,356.70,352.24,352.05,361.76,367.78,373.10,376.01,375.88,370.23,373.18,373.10,373.87,371.45,370.36,370.20,375.25,381.87,386.77,392.18,397.61,395.34,396.25
2001-02-11 22:11:12+00:00,L7,378.70,372.96,370.79,383.65,381.32,390.45,391.62,406.22,414.57,418.55,418.90,406.77,400.45,396.76,398.75,397.31,386.20,374.18,370.36,371.93,374.87,377.38,384.26,382.39,381.51,382.78,380.45,380.65,382.20,391.15,392.34,396.25,402.55,401.45,400.51,396.01,396.49,395.35,394.44,393.19,401.59,416.23,426.61,422.59,422.22,415.90,409.41,423.50
2001-02-20 22:05:00+00:00,L7,364.41,363.68,364.39,363.70,369.24,379.25,385.42,392.66,398.61,404.52,408.76,398.95,390.87,389.08,388.64,382.95,371.56,362.54,365.43,368.17,368.95,368.89,367.85,372.87,371.78,376.11,373.75,370.48,371.06,376.96,382.72,388.33,392.77,391.64,390.12,394.40,391.27,390.64,390.05,387.75,396.38,404.89,413.49,408.75,408.62,406.49,398.10,392.71
2001-02-27 22:11:06+00:00,L7,380.44,380.77,371.37,375.63,389.81,398.93,411.07,412.92,415.23,425.59,431.58,425.14,411.85,407.72,404.07,394.13,385.31,376.18,378.95,376.73,376.75,379.47,378.38,378.95,380.12,382.92,379.77,375.84,377.73,386.07,393.34,399.37,399.02,400.57,397.74,396.28,395.25,395.16,392.81,390.69,397.60,406.16,414.53,413.65,406.75,406.52,400.44,388.65
