dates,nzd0547-0000,nzd0547-0001,nzd0547-0002,nzd0547-0003,nzd0547-0004,nzd0547-0005,nzd0547-0006,nzd0547-0007,nzd0547-0008,nzd0547-0009,nzd0547-0010,nzd0547-0011,nzd0547-0012,nzd0547-0013,nzd0547-0014,nzd0547-0015,nzd0547-0016,nzd0547-0017,nzd0547-0018,nzd0547-0019,nzd0547-0020,nzd0547-0021,nzd0547-0022,nzd0547-0023,nzd0547-0024,nzd0547-0025,nzd0547-0026,nzd0547-0027,nzd0547-0028,nzd0547-0029,nzd0547-0030,nzd0547-0031,nzd0547-0032,nzd0547-0033,nzd0547-0034,nzd0547-0035,nzd0547-0036,nzd0547-0037,nzd0547-0038,nzd0547-0039,nzd0547-0040,nzd0547-0041,nzd0547-0042,nzd0547-0043,nzd0547-0044,nzd0547-0045,nzd0547-0046,nzd0547-0047,satname
1999-07-16 22:13:35+00:00,,,,,,373.75,388.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L7
1999-11-05 22:13:40+00:00,351.11,334.08,331.17,347.72,342.71,366.30,377.58,377.68,382.63,391.44,397.71,388.04,378.32,365.02,355.61,346.37,337.84,330.76,335.31,336.19,338.25,333.83,334.05,337.63,338.53,345.07,342.18,335.90,333.43,335.13,340.80,345.17,344.69,345.95,348.25,349.10,342.92,348.77,342.68,353.08,352.08,358.71,358.28,353.58,353.44,348.58,348.65,,L7
1999-12-07 22:13:41+00:00,358.11,344.21,338.19,353.00,359.81,370.54,378.72,381.85,390.58,398.42,400.74,393.48,383.28,376.23,366.76,356.46,341.84,334.16,341.52,342.56,341.17,336.30,340.52,343.81,345.75,349.30,346.58,340.04,339.38,344.95,353.36,355.30,352.75,350.57,355.22,353.12,350.22,354.64,349.29,352.58,357.49,360.89,363.21,358.88,360.76,361.05,367.60,,L7
1999-12-16 22:07:33+00:00,359.69,349.78,341.30,358.72,360.27,369.79,378.06,385.16,392.52,402.71,405.44,394.91,385.95,376.79,369.00,356.95,342.57,335.16,340.59,343.20,343.75,339.13,341.89,346.22,345.14,349.22,346.39,341.95,341.24,347.26,353.33,356.70,354.34,356.02,356.70,355.11,353.57,356.91,351.88,356.25,359.43,363.71,364.52,360.22,358.84,364.29,369.63,367.28,L7
2000-05-08 22:06:44+00:00,363.97,357.63,346.36,347.94,353.21,364.69,368.41,379.58,387.95,396.35,397.05,389.01,381.28,376.05,370.48,359.67,345.10,336.50,341.05,344.73,343.95,340.78,344.33,345.42,343.41,345.90,344.16,342.04,342.24,350.89,358.87,361.83,359.14,358.66,359.33,357.23,358.84,360.54,355.53,354.80,359.14,364.50,366.56,363.54,362.44,372.51,375.78,358.62,L7
2000-09-20 22:11:14+00:00,324.47,323.76,321.74,314.71,325.63,340.26,346.54,363.57,369.65,378.76,377.63,372.04,366.40,359.72,358.99,353.02,345.20,336.39,336.24,341.05,342.54,340.93,342.26,339.22,335.46,338.60,337.30,338.53,339.67,346.94,355.03,356.70,358.12,356.65,357.69,356.41,361.27,363.58,358.77,355.71,356.13,367.78,368.54,370.69,368.36,374.05,368.48,351.22,L7
2000-10-15 22:05:07+00:00,335.49,332.76,328.12,323.87,333.62,339.91,345.34,361.25,367.64,373.74,374.05,372.70,364.14,358.59,355.11,351.04,337.64,336.30,341.69,338.95,338.48,337.88,340.17,338.68,338.56,338.93,338.13,336.90,338.16,346.25,354.11,356.53,357.89,355.31,354.98,355.11,358.32,360.12,356.80,354.39,355.18,364.07,367.35,370.27,370.10,373.05,367.10,353.83,L7
2001-02-11 22:11:12+00:00,344.78,338.50,334.68,337.43,345.88,347.64,352.17,369.77,376.29,381.47,381.83,379.10,369.61,364.16,361.44,360.19,345.49,343.69,348.73,343.59,344.74,344.18,347.90,347.83,350.02,350.22,348.93,347.13,349.23,357.11,361.92,364.24,367.78,365.42,364.66,363.52,365.80,366.91,365.80,364.61,367.80,377.85,383.91,383.53,384.83,380.69,373.53,369.14,L7
2001-02-20 22:05:00+00:00,348.13,342.46,339.77,341.20,349.39,353.55,358.15,373.49,379.87,384.90,386.23,382.31,372.93,368.64,366.24,364.32,350.25,346.65,351.63,347.98,349.04,348.36,350.88,352.09,354.06,355.29,353.87,351.57,353.41,360.80,365.95,368.99,372.62,370.22,369.47,369.69,370.61,371.29,370.47,369.00,373.67,383.21,390.03,388.56,389.38,385.14,377.34,372.24,L7
2001-02-27 22:11:06+00:00,352.64,347.19,343.16,344.56,354.54,360.11,365.80,378.86,384.43,390.10,392.37,388.68,378.20,374.26,371.29,368.33,355.07,350.36,355.49,351.53,352.38,352.07,353.87,354.95,357.51,359.06,357.45,354.66,356.68,364.26,369.96,373.47,376.14,374.09,373.17,373.05,373.58,374.11,373.17,371.58,376.86,386.04,393.33,391.98,391.09,386.90,379.03,372.00,L7
2001-04-16 22:10:54+00:00,357.47,352.25,348.00,351.23,359.76,365.84,373.68,386.99,391.83,400.04,403.95,395.81,386.16,382.20,380.15,375.67,365.77,356.35,359.80,358.58,360.10,360.68,361.34,363.64,364.20,367.03,366.02,362.81,364.29,372.47,377.86,382.85,386.28,385.47,383.78,384.39,383.48,383.87,382.34,381.02,389.02,397.78,405.95,403.54,400.48,396.26,389.10,381.53,L7
2001-06-19 22:10:17+00:00,357.47,352.25,348.00,351.23,360.89,366.88,374.77,386.96,392.88,401.92,405.57,397.53,388.25,384.18,382.33,377.41,367.56,358.06,360.91,359.37,360.86,362.15,362.92,364.55,365.53,367.82,367.96,364.89,366.47,374.40,379.85,384.57,387.68,387.41,385.83,384.77,385.76,387.61,385.49,386.05,389.02,397.78,405.95,403.54,400.48,396.26,389.10,381.53,L7
2001-07-05 22:10:09+00:00,357.47,352.25,348.00,352.88,364.65,369.72,377.92,388.17,395.26,402.77,405.73,398.59,389.53,385.41,383.62,378.96,369.35,359.48,362.98,360.58,361.13,360.68,363.44,363.49,365.14,367.62,368.91,365.06,366.71,374.77,380.13,385.05,387.33,386.53,386.00,385.19,385.98,388.23,386.64,388.25,391.67,401.62,409.07,407.39,404.68,402.07,389.10,381.53,L7
2001-08-15 22:03:26+00:00,355.50,353.01,348.07,352.09,365.91,369.51,379.78,388.50,395.34,404.21,407.69,400.41,391.28,386.59,384.53,372.25,369.43,359.99,364.02,361.76,361.84,361.28,363.21,363.65,364.63,367.35,369.12,364.71,366.13,374.01,372.98,377.69,380.23,380.17,380.62,379.94,381.77,384.01,387.84,390.02,386.04,394.36,399.87,406.73,398.40,398.35,386.76,375.44,L7
2001-11-26 22:09:21+00:00,371.29,361.12,374.12,366.25,375.33,379.91,386.53,393.35,402.82,407.27,408.61,400.54,393.18,389.63,388.80,369.95,366.88,356.77,359.07,360.65,362.13,360.77,364.02,361.62,362.57,360.79,362.59,361.48,364.93,374.46,369.07,371.53,373.96,373.33,375.35,373.25,379.01,382.24,389.05,392.86,381.47,390.28,392.29,405.23,394.12,397.76,384.56,375.71,L7
2002-01-29 22:09:33+00:00,368.20,379.16,370.71,358.97,388.05,381.12,378.64,386.96,395.57,404.00,407.94,399.34,386.31,382.82,376.96,362.87,360.87,341.50,341.66,343.60,346.60,350.04,352.84,345.60,346.69,341.74,340.77,343.38,348.70,359.54,357.79,358.84,361.17,362.20,363.41,364.13,369.10,369.76,376.62,373.16,376.23,378.65,379.31,381.27,378.60,381.46,384.56,375.71,L7
2002-03-11 22:03:31+00:00,369.79,379.16,368.98,356.22,379.27,377.76,376.95,387.38,395.20,401.81,403.05,395.89,382.23,379.10,372.87,368.03,357.12,341.45,342.83,343.22,346.34,346.75,347.15,342.32,345.21,341.93,341.99,343.50,349.42,358.90,366.06,369.74,371.17,372.03,369.93,373.34,377.75,379.79,377.75,376.36,382.43,385.98,385.62,382.28,380.87,384.53,387.86,376.93,L7
2002-05-05 22:09:37+00:00,369.79,379.16,354.86,346.62,365.38,369.72,370.10,383.38,390.74,399.76,400.13,391.07,377.99,374.86,369.31,361.24,349.70,335.98,336.49,336.77,341.02,341.91,343.33,340.38,342.76,340.37,340.63,341.74,346.58,355.01,362.78,368.34,367.80,369.33,369.34,371.41,377.11,378.96,375.68,373.58,380.72,385.08,384.19,380.74,380.37,386.20,386.69,375.03,L7
2002-05-14 22:03:19+00:00,369.79,379.16,354.86,346.62,365.38,369.72,370.10,383.38,390.74,399.76,400.13,391.07,377.99,366.64,361.21,353.09,343.36,330.44,328.76,330.46,334.44,335.77,336.18,336.08,339.81,340.04,342.30,342.87,346.19,355.28,363.16,368.70,368.33,368.79,369.13,370.59,375.31,376.76,372.89,372.38,380.71,385.57,385.71,380.74,381.08,384.48,382.44,371.90,L7
2002-05-21 22:09:29+00:00,369.79,379.16,348.42,343.93,358.64,366.51,367.82,381.25,387.74,397.25,398.83,389.90,377.46,366.89,361.41,350.80,341.80,329.07,327.10,328.21,332.52,334.99,335.07,336.01,338.78,339.09,340.81,341.82,343.09,353.11,361.24,367.18,368.10,368.94,368.55,370.04,374.13,376.29,372.00,372.20,379.55,385.08,385.83,380.06,380.92,383.04,380.53,369.25,L7
2002-07-08 22:09:12+00:00,369.04,397.20,341.99,336.66,354.01,357.83,361.62,373.41,379.92,389.06,390.64,384.20,372.50,363.19,356.64,347.64,339.30,326.61,325.24,324.50,329.88,332.37,332.85,333.50,336.52,338.50,341.33,342.05,341.73,352.33,361.08,368.31,368.71,369.55,370.60,371.29,374.49,375.95,373.73,374.02,379.49,385.42,386.44,381.14,383.05,385.38,383.53,366.59,L7
2002-08-09 22:08:57+00:00,372.97,332.17,333.42,328.83,341.51,354.60,357.39,372.06,378.34,382.30,382.76,377.08,365.12,359.56,355.83,346.63,336.93,326.75,325.68,324.89,331.45,334.86,334.50,337.48,340.76,343.59,344.81,344.37,343.39,352.16,361.70,369.79,374.04,373.03,373.19,373.94,377.63,381.05,373.73,382.18,386.54,386.08,387.20,382.70,384.67,387.18,391.62,366.59,L7
2002-11-29 22:09:01+00:00,324.87,331.46,332.40,330.72,347.11,355.40,359.02,368.86,377.98,379.48,381.85,376.65,366.88,366.99,366.94,363.60,351.80,341.19,341.07,340.73,348.80,354.92,357.39,356.72,354.94,357.14,356.40,355.67,354.27,360.67,370.03,378.21,385.62,385.21,384.55,385.62,388.91,392.73,385.95,399.36,400.92,394.97,396.18,397.04,399.62,406.23,414.81,394.23,L7
2003-02-10 22:03:40+00:00,326.42,329.31,332.33,343.04,342.26,359.15,367.95,377.14,387.31,402.52,409.16,395.12,389.37,379.83,380.17,368.30,361.50,353.31,350.98,356.23,358.38,362.18,363.23,367.08,361.85,365.17,365.23,367.49,366.71,375.42,377.37,384.65,385.99,390.61,390.06,393.10,394.71,399.89,392.63,396.26,398.70,406.28,410.18,409.82,406.43,409.10,398.05,378.25,L7
2003-02-26 22:03:16+00:00,328.29,330.69,335.48,344.34,345.18,361.82,366.76,376.91,388.59,402.72,409.17,395.15,386.65,380.11,379.54,367.43,361.49,353.89,351.42,355.32,358.60,362.74,362.75,366.31,362.41,366.31,365.96,368.91,369.26,373.84,376.41,383.60,385.86,390.00,390.10,392.84,398.00,402.50,395.27,397.13,399.63,406.82,411.49,409.35,405.02,404.58,388.87,368.04,L7
