dates,satname,nzd0586-0000,nzd0586-0001,nzd0586-0002,nzd0586-0003,nzd0586-0004,nzd0586-0005,nzd0586-0006,nzd0586-0007,nzd0586-0008,nzd0586-0009,nzd0586-0010,nzd0586-0011,nzd0586-0012,nzd0586-0013,nzd0586-0014,nzd0586-0015,nzd0586-0016,nzd0586-0017,nzd0586-0018,nzd0586-0019
1999-08-08 22:19:52+00:00,L7,994.82,942.55,159.15,139.58,138.34,143.41,158.49,190.01,230.81,198.09,192.96,184.25,193.04,204.79,219.42,213.07,193.39,180.10,172.18,197.44
1999-08-17 22:14:01+00:00,L7,996.46,929.27,193.89,173.11,165.94,160.05,176.08,201.32,239.35,213.31,197.13,194.48,198.55,209.61,231.38,223.08,201.87,187.22,181.69,200.95
1999-10-04 22:14:13+00:00,L7,992.60,959.62,380.60,147.47,146.60,150.20,167.85,184.16,227.64,200.74,188.82,184.29,182.15,195.72,213.96,211.62,188.61,170.37,166.98,185.99
1999-11-12 22:19:51+00:00,L7,988.61,939.46,,,,,,,,,199.07,191.51,194.22,205.97,226.06,219.99,197.28,183.50,182.29,199.35
1999-12-07 22:14:05+00:00,L7,994.08,911.95,396.50,180.29,171.66,169.79,187.65,206.86,988.15,217.28,209.63,208.32,207.25,221.14,236.99,230.35,205.02,193.96,189.74,421.52
1999-12-30 22:19:45+00:00,L7,996.78,940.14,389.10,170.15,158.46,162.74,174.32,188.64,233.37,201.53,195.19,188.42,193.22,205.21,220.38,213.38,198.11,182.69,171.19,195.07
2000-04-13 22:13:30+00:00,L7,996.42,930.56,188.69,165.42,159.29,159.21,173.45,190.70,239.63,211.27,197.04,194.79,201.75,207.30,224.37,224.03,198.75,183.90,173.65,202.72
2000-04-20 22:19:39+00:00,L7,993.31,922.19,208.29,183.56,172.67,173.08,184.74,208.51,253.36,224.02,207.92,211.71,209.85,222.91,243.21,235.27,211.87,194.64,195.57,274.35
2000-05-15 22:13:18+00:00,L7,978.42,278.48,279.37,379.31,485.74,469.69,434.00,553.84,583.30,616.29,,474.21,446.80,394.45,406.07,433.98,365.37,370.16,331.24,276.22
2000-06-07 22:19:12+00:00,L7,629.56,632.49,130.32,152.49,147.03,166.02,461.77,,,478.68,467.43,,,,,,,,,
2000-07-25 22:18:09+00:00,L7,995.55,930.71,165.14,151.94,152.01,150.92,162.14,195.90,243.04,209.65,198.56,194.14,197.18,212.20,226.01,223.06,200.75,184.81,181.15,197.14
2000-08-10 22:18:26+00:00,L7,986.73,997.75,479.91,535.04,237.85,259.33,155.47,576.49,951.55,235.11,,487.81,432.83,493.11,485.09,450.51,491.58,400.50,496.90,428.90
2000-09-04 22:11:58+00:00,L7,269.32,977.73,379.12,164.09,151.97,148.28,158.40,178.43,205.01,179.25,175.47,162.82,169.85,183.20,203.12,198.12,179.39,166.65,170.05,190.19
2000-09-27 22:17:24+00:00,L7,995.58,939.11,370.91,174.81,162.80,162.16,178.77,201.28,240.84,215.06,198.84,192.41,194.64,206.25,223.66,219.11,197.88,187.43,181.33,239.73
2000-10-06 22:11:35+00:00,L7,992.85,956.41,440.67,153.08,155.20,150.27,189.01,199.80,253.18,217.80,192.11,188.27,183.50,195.81,210.87,207.02,180.63,174.32,166.45,189.90
2000-10-29 22:17:19+00:00,L7,990.68,925.22,387.98,184.99,167.17,167.85,175.55,201.11,244.65,212.06,199.47,193.19,198.82,210.89,226.43,225.53,209.03,192.78,188.75,418.41
2001-02-11 22:11:36+00:00,L7,980.91,897.88,387.37,188.67,179.39,178.04,192.50,217.23,987.06,230.10,219.43,216.44,218.48,231.88,245.86,243.53,219.89,206.36,203.02,293.40
2001-04-16 22:11:18+00:00,L7,994.23,927.49,201.71,170.98,164.64,161.80,181.17,191.28,242.42,214.66,210.45,201.10,204.60,214.77,230.33,223.01,202.55,185.59,183.14,195.07
2001-04-23 22:17:26+00:00,L7,999.31,921.78,205.87,178.86,170.13,168.14,181.40,207.04,272.19,228.01,209.25,210.78,209.98,216.84,240.00,229.44,210.40,199.96,193.55,267.13
