,dates,usa_CA_0278-0000,usa_CA_0278-0001,usa_CA_0278-0002,usa_CA_0278-0003,usa_CA_0278-0004,usa_CA_0278-0005,usa_CA_0278-0006,usa_CA_0278-0007,usa_CA_0278-0008,usa_CA_0278-0009,usa_CA_0278-0010,usa_CA_0278-0011,usa_CA_0278-0012,usa_CA_0278-0013,usa_CA_0278-0014,usa_CA_0278-0015,usa_CA_0278-0016,usa_CA_0278-0017,usa_CA_0278-0018,usa_CA_0278-0019
0,1984-04-14 18:24:49+00:00,213.10909221769484,213.21353302513347,226.50003659593708,225.4964934608361,228.7062040710006,220.78768390014693,230.3294728780293,224.14102047831787,223.564735330539,225.5472974619386,217.05068709677468,208.18226517180153,205.35732918001676,206.98807168339218,222.5729286375361,209.41969670571845,200.55754708021436,201.88441383010107,188.9876298332456,207.8303316541874
1,1984-05-25 18:19:21+00:00,211.3377876071661,225.61319460085315,230.92215965247743,232.6101048794208,232.42091094734764,224.49539740529286,213.5390450882716,215.75336955657826,218.25173363670402,220.83105896544646,204.73473691867548,205.94075279572365,203.70993935136656,201.29876773372584,208.48318052758066,197.2632577711904,191.71367845886905,195.801778733625,188.43181796049817,193.3854945808084
2,1984-06-10 18:19:41+00:00,237.43922511986386,236.0052528524976,233.66602781318844,241.95928412278099,233.9115323808568,226.41360854734805,213.16832724046247,209.30548913160226,207.92606321660193,206.20107379210395,194.13128097454523,198.84742653022118,198.77335582993848,197.79505193511633,203.97309356129162,198.67650697205332,197.78724643612395,189.59727513807414,180.36937286936094,191.9080368398998
3,1984-06-17 18:25:59+00:00,246.60956236689447,237.90006120363248,236.93327915481603,237.5521934000203,224.629460327927,211.24205158434486,205.61416488966057,208.38838006562412,209.2625283107515,196.92300506729126,197.3432685120105,202.9853488769626,199.92441034158426,197.51568640836018,201.4835613142342,197.67437080089715,197.88594512937016,186.1191795724566,167.53257209513978,200.2826690381784
4,1984-06-26 18:19:55+00:00,233.87759580125862,239.13276026135458,218.63474466801733,219.49341989654172,229.14626812812432,230.6305395867827,222.89988912289897,216.13069081829556,209.06630007255094,211.947658824756,198.80773300213562,195.3901749132289,198.45015111899892,197.68537327719991,201.95312901005306,190.63844549248893,190.61768116664578,184.35953992137763,180.988821274864,194.34853360684363
5,1984-07-03 18:26:10+00:00,223.87534944795777,236.06043175785194,236.16643901322686,232.7953834395873,232.73598475112726,216.4975317152237,202.71221122061036,206.0958201464337,205.89342134187106,194.27714589644665,185.31186211457728,185.5051589865958,193.94608983696895,192.81767147567336,201.57685282789834,199.72493044087577,195.59237162398304,190.5571159185913,172.67711839125494,201.20985920918352
6,1984-07-28 18:20:39+00:00,268.2221941109008,256.42740597974796,253.41169946459263,251.38709442585917,245.51408713689503,219.84827275569768,209.1385301743888,210.8924330149791,204.94121754130256,207.00602089313838,200.1374272951767,208.58498661969685,205.90046752727093,201.34627813960822,206.77189636420073,201.93184966240125,199.35656785527354,195.21401365852086,188.37309323377784,199.13276294325624
7,1984-08-04 18:27:04+00:00,270.5129579921447,263.64624470949036,255.1175333384338,249.77121915301265,242.63644709775087,225.70056659814927,217.55781988059144,213.29060698406454,211.5967501846166,204.15608573380214,188.09019726275542,204.51314223794378,210.38576024880038,205.75471553773076,212.25897886177395,205.21274575255035,206.8026590108443,200.906749414626,187.09703422495286,209.27377344636162
8,1984-09-21 18:27:45+00:00,258.8043586970905,250.32778557249156,252.31438073593338,244.32185957171697,247.96178962832732,230.19052046678163,219.30451573980383,210.4206021185043,208.11949275715602,204.9302138929546,204.48997770827728,207.7725524890991,206.76324287761778,203.64787706439515,218.46400917287565,209.3335039541404,210.58106461938638,194.25172829544476,184.0094218231432,215.67674165982487
9,1984-10-23 18:27:40+00:00,245.16434533415105,248.7430869972421,250.92631406398402,249.9006239962529,249.8914787552934,246.09787195606518,239.7176754297002,235.90166383940863,232.9937775759717,231.29990381014514,221.7277363686869,216.13535796370888,220.01623408695335,216.16038026002167,229.32276481262534,219.1500518138503,215.72634553160145,198.13099092319695,189.52289896659514,226.62739418383094
10,1984-12-03 18:21:24+00:00,167.01327167584554,182.0591587892055,193.97796885761204,210.57114015860273,225.88447224288097,220.12862181240538,206.62519894624745,214.47733743653055,221.5015763990488,213.29523975183272,201.45961158246783,207.11350607672165,202.3182823904343,200.0672873114829,,,,,,
11,1984-12-19 18:21:35+00:00,205.22253799450692,206.73370800137275,213.945915666153,225.93564293072816,215.5116131469546,221.30410479006403,230.60836205262183,228.54610014151737,232.99243591598488,230.73192437616376,225.68160988458752,234.53595593236489,227.37777280124212,220.32547077720625,231.84723491983596,213.41915961098502,216.68429118894943,172.49001660779857,175.9802307325912,229.90452355160153
12,1985-04-01 18:28:00+00:00,214.48992262878207,229.6211289828724,233.97253839112702,242.03343819758655,232.12708027749142,228.64493950441508,214.23957884886985,214.05123421011837,208.2684265275511,206.40955059784991,201.07153431643155,200.49261178411524,194.92798213353285,192.1985794067515,210.3535598918728,199.7483237428447,194.78917893848646,180.90412687984693,165.99653808860262,198.347954996664
13,1985-05-03 18:27:48+00:00,244.60765583988194,247.5961489968624,238.40678727572407,248.10402683745943,248.0406284843881,233.49840187475283,214.35015791984068,205.4458967525938,209.12824980060213,213.1259145447881,200.41058289642868,203.03573136585524,206.50416074083515,194.30753908482694,203.70316360699275,197.39687351748572,198.06089280318392,190.13592200223724,171.52212727129296,194.25742859739196
14,1985-05-12 18:21:34+00:00,257.09117336547916,247.50364453854476,245.98026713728507,247.54537062127756,241.81450710652854,223.4560348968983,218.9962439278089,216.47941857027268,218.13096784542228,211.0042871296385,212.5094240429392,218.13328410908605,208.97937937664008,199.59300473613965,202.81668392386757,197.64253490415092,200.15103014812644,183.31250999396926,179.54487466058706,208.54493117761473
15,1985-06-13 18:21:33+00:00,214.1282254114623,215.09362296476047,219.4371476218065,216.1483027862884,227.7150436973613,221.0365800861208,206.00112186153126,204.7266509157447,201.63505244695284,196.25411968549017,183.02146998062778,190.16796990018054,186.41055945157262,189.60037384044065,193.91248630663117,193.45457254818575,191.24611508358015,189.52028730287077,172.07594064372586,195.34329604363006
